"Year","Quarter","Predator","Predator.age","Prey","Prey.age","Prey.no","eatenW","Part.M2","tot.M2.prey"
1974,1,"Cod",8,"Herring",1,2,5511.182480397,0.0273274,0.144851
1974,1,"Cod",3,"Herring",1,2,1389.7568104398,0.00689116,0.144851
1974,1,"Cod",7,"Herring",1,2,3157.7260157685,0.0156577,0.144851
1974,1,"Cod",10,"Herring",1,2,846.3626155116,0.00419672,0.144851
1974,1,"Cod",4,"Herring",1,2,4817.1268985895,0.0238859,0.144851
1974,1,"Cod",9,"Herring",1,2,2378.4235083675,0.0117935,0.144851
1974,1,"Cod",6,"Herring",1,2,5701.238554869,0.0282698,0.144851
1974,1,"Cod",11,"Herring",1,2,330.20831232675,0.00163735,0.144851
1974,1,"Cod",5,"Herring",1,2,5080.3900560765,0.0251913,0.144851
1974,1,"Cod",10,"Herring",2,2,1437.30296631,0.00347883,0.0678277
1974,1,"Cod",9,"Herring",2,2,3461.41281972,0.00837796,0.0678277
1974,1,"Cod",7,"Herring",2,2,3315.90305589,0.00802577,0.0678277
1974,1,"Cod",6,"Herring",2,2,5234.4099801,0.0126693,0.0678277
1974,1,"Cod",11,"Herring",2,2,660.74133225,0.00159925,0.0678277
1974,1,"Cod",5,"Herring",2,2,4032.24292563,0.00975959,0.0678277
1974,1,"Cod",8,"Herring",2,2,6668.1474015,0.0161395,0.0678277
1974,1,"Cod",4,"Herring",2,2,3213.30790965,0.00777745,0.0678277
1974,1,"Cod",7,"Herring",3,2,1870.7807707776,0.00481118,0.037604
1974,1,"Cod",5,"Herring",3,2,1922.6248506432,0.00494451,0.037604
1974,1,"Cod",9,"Herring",3,2,2376.0982086336,0.00611073,0.037604
1974,1,"Cod",8,"Herring",3,2,4096.471655232,0.0105351,0.037604
1974,1,"Cod",6,"Herring",3,2,2724.1686210816,0.00700588,0.037604
1974,1,"Cod",10,"Herring",3,2,1082.5470044928,0.00278404,0.037604
1974,1,"Cod",11,"Herring",3,2,549.2330635968,0.00141249,0.037604
1974,1,"Cod",11,"Herring",4,2,649.805676732,0.00129366,0.0294775
1974,1,"Cod",8,"Herring",4,2,4198.4762217,0.0083585,0.0294775
1974,1,"Cod",6,"Herring",4,2,2580.54216249,0.00513745,0.0294775
1974,1,"Cod",10,"Herring",4,2,1222.191823638,0.00243319,0.0294775
1974,1,"Cod",7,"Herring",4,2,1841.38230318,0.0036659,0.0294775
1974,1,"Cod",5,"Herring",4,2,1747.120647648,0.00347824,0.0294775
1974,1,"Cod",9,"Herring",4,2,2567.03028711,0.00511055,0.0294775
1974,1,"Cod",11,"Herring",5,2,300.236106456,0.00124784,0.026923
1974,1,"Cod",8,"Herring",5,2,1842.4998827235,0.00765779,0.026923
1974,1,"Cod",10,"Herring",5,2,555.2986898745,0.00230793,0.026923
1974,1,"Cod",7,"Herring",5,2,796.454324523,0.00331022,0.026923
1974,1,"Cod",9,"Herring",5,2,1148.0378693355,0.00477147,0.026923
1974,1,"Cod",5,"Herring",5,2,734.3374220325,0.00305205,0.026923
1974,1,"Cod",6,"Herring",5,2,1100.925072819,0.00457566,0.026923
1974,1,"Cod",10,"Herring",6,2,252.8259499392,0.00228416,0.0264562
1974,1,"Cod",9,"Herring",6,2,521.1247824882,0.00470811,0.0264562
1974,1,"Cod",7,"Herring",6,2,359.2356389424,0.00324552,0.0264562
1974,1,"Cod",11,"Herring",6,2,137.135187849,0.00123895,0.0264562
1974,1,"Cod",5,"Herring",6,2,329.4122360496,0.00297608,0.0264562
1974,1,"Cod",6,"Herring",6,2,495.2650674576,0.00447448,0.0264562
1974,1,"Cod",8,"Herring",6,2,833.3496001842,0.00752891,0.0264562
1974,1,"Cod",9,"Herring",7,2,332.33412402,0.00435551,0.021344
1974,1,"Cod",11,"Herring",7,2,90.608625,0.0011875,0.021344
1974,1,"Cod",7,"Herring",7,2,220.92404778,0.00289539,0.021344
1974,1,"Cod",10,"Herring",7,2,164.02564638,0.00214969,0.021344
1974,1,"Cod",8,"Herring",7,2,520.6390668,0.0068234,0.021344
1974,1,"Cod",6,"Herring",7,2,300.0614301,0.00393255,0.021344
1974,1,"Cod",11,"Herring",8,2,371.691805988412,0.000979524,0.0144023
1974,1,"Cod",8,"Herring",8,2,1716.76425036123,0.00452421,0.0144023
1974,1,"Cod",6,"Herring",8,2,877.71759421878,0.00231306,0.0144023
1974,1,"Cod",9,"Herring",8,2,1187.30898121059,0.00312893,0.0144023
1974,1,"Cod",10,"Herring",8,2,626.60883872853,0.00165131,0.0144023
1974,1,"Cod",7,"Herring",8,2,685.02316713075,0.00180525,0.0144023
1974,1,"Cod",10,"Sprat",1,3,465.8580599808,0.0014156,0.153418
1974,1,"Cod",4,"Sprat",1,3,12148.6738683648,0.0369161,0.153418
1974,1,"Cod",9,"Sprat",1,3,1683.33512074752,0.00511514,0.153418
1974,1,"Cod",6,"Sprat",1,3,8545.283494272,0.0259665,0.153418
1974,1,"Cod",2,"Sprat",1,3,3631.330010496,0.0110345,0.153418
1974,1,"Cod",3,"Sprat",1,3,5148.59377536,0.015645,0.153418
1974,1,"Cod",7,"Sprat",1,3,3802.9827118848,0.0115561,0.153418
1974,1,"Cod",11,"Sprat",1,3,139.131162068736,0.000422777,0.153418
1974,1,"Cod",8,"Sprat",1,3,5269.4351709696,0.0160122,0.153418
1974,1,"Cod",5,"Sprat",1,3,9653.4570116352,0.0293339,0.153418
1974,1,"Cod",6,"Sprat",2,3,10206.4703841,0.0148653,0.0758913
1974,1,"Cod",3,"Sprat",2,3,3115.56434093,0.00453769,0.0758913
1974,1,"Cod",9,"Sprat",2,3,3533.37234737,0.00514621,0.0758913
1974,1,"Cod",10,"Sprat",2,3,1181.17341701,0.00172033,0.0758913
1974,1,"Cod",4,"Sprat",2,3,9814.5608165,0.0142945,0.0758913
1974,1,"Cod",8,"Sprat",2,3,8823.0460888,0.0128504,0.0758913
1974,1,"Cod",7,"Sprat",2,3,5353.82249914,0.00779762,0.0758913
1974,1,"Cod",5,"Sprat",2,3,9647.5117664,0.0140512,0.0758913
1974,1,"Cod",11,"Sprat",2,3,431.215186059,0.000628047,0.0758913
1974,1,"Cod",7,"Sprat",3,3,2082.861893748,0.00695899,0.0656668
1974,1,"Cod",9,"Sprat",3,3,1483.308682368,0.00495584,0.0656668
1974,1,"Cod",8,"Sprat",3,3,3547.8141882,0.0118535,0.0656668
1974,1,"Cod",6,"Sprat",3,3,3848.34653952,0.0128576,0.0656668
1974,1,"Cod",5,"Sprat",3,3,3516.11776752,0.0117476,0.0656668
1974,1,"Cod",11,"Sprat",3,3,194.9745906048,0.000651424,0.0656668
1974,1,"Cod",10,"Sprat",3,3,514.023757428,0.00171739,0.0656668
1974,1,"Cod",3,"Sprat",3,3,1032.0043296,0.003448,0.0656668
1974,1,"Cod",4,"Sprat",3,3,3434.94619728,0.0114764,0.0656668
1974,1,"Cod",9,"Sprat",4,3,820.61255878,0.00475406,0.055045
1974,1,"Cod",7,"Sprat",4,3,1080.5055961,0.0062597,0.055045
1974,1,"Cod",5,"Sprat",4,3,1726.09720353,0.00999981,0.055045
1974,1,"Cod",4,"Sprat",4,3,1629.44773257,0.00943989,0.055045
1974,1,"Cod",11,"Sprat",4,3,114.853410553,0.000665381,0.055045
1974,1,"Cod",8,"Sprat",4,3,1892.5979772,0.0109644,0.055045
1974,1,"Cod",6,"Sprat",4,3,1944.2092642,0.0112634,0.055045
1974,1,"Cod",10,"Sprat",4,3,293.15901468,0.00169836,0.055045
1974,1,"Cod",7,"Sprat",5,3,504.275673076,0.0062597,0.055045
1974,1,"Cod",11,"Sprat",5,3,53.60248120948,0.000665381,0.055045
1974,1,"Cod",9,"Sprat",5,3,382.9826998648,0.00475406,0.055045
