"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Cod",1974,8,"Herring",99,416.550446457644
"Cod",1975,8,"Herring",99,426.042540219043
"Cod",1976,8,"Herring",99,373.996846832494
"Cod",1977,8,"Herring",99,447.805764202589
"Cod",1978,8,"Herring",99,657.49416068416
"Cod",1979,8,"Herring",99,831.55170882629
"Cod",1980,8,"Herring",99,870.233644506453
"Cod",1981,8,"Herring",99,885.196640713912
"Cod",1982,8,"Herring",99,821.51798442069
"Cod",1983,8,"Herring",99,698.029239216572
"Cod",1984,8,"Herring",99,544.652318925064
"Cod",1985,8,"Herring",99,388.849437865983
"Cod",1986,8,"Herring",99,315.58811358929
"Cod",1987,8,"Herring",99,293.38715339149
"Cod",1988,8,"Herring",99,246.788399780186
"Cod",1989,8,"Herring",99,188.890356701435
"Cod",1990,8,"Herring",99,115.084621744511
"Cod",1991,8,"Herring",99,81.3569970056248
"Cod",1992,8,"Herring",99,96.6204009420045
"Cod",1993,8,"Herring",99,140.290287267254
"Cod",1994,8,"Herring",99,138.338101964772
"Cod",1995,8,"Herring",99,115.482208149734
"Cod",1996,8,"Herring",99,81.8141556404778
"Cod",1997,8,"Herring",99,55.9940104063606
"Cod",1998,8,"Herring",99,51.5090097620389
"Cod",1999,8,"Herring",99,57.745900570968
"Cod",2000,8,"Herring",99,80.4600285490862
"Cod",2001,8,"Herring",99,77.6845256576306
"Cod",2002,8,"Herring",99,84.6262398494211
"Cod",2003,8,"Herring",99,84.9011631740814
"Cod",2004,8,"Herring",99,73.610571805331
"Cod",2005,8,"Herring",99,93.7641944376682
"Cod",2006,8,"Herring",99,107.976122019817
"Cod",2007,8,"Herring",99,121.261243187305
"Cod",2008,8,"Herring",99,144.2978473984
"Cod",2009,8,"Herring",99,148.106320234315
"Cod",2010,8,"Herring",99,142.754028726394
"Cod",2011,8,"Herring",99,128.593796948875
"Cod",2012,8,"Herring",99,116.596623462225
"Cod",2013,8,"Herring",99,115.316601549802
"Cod",2014,8,"Herring",99,126.971255820398
"Cod",2015,8,"Herring",99,121.115752466991
"Cod",2016,8,"Herring",99,93.9109273683518
"Cod",2017,8,"Herring",99,69.5788237157803
"Cod",2018,8,"Herring",99,54.4796747675338
"Cod",2019,8,"Herring",99,50.4199352067672
"Cod",2020,8,"Herring",99,51.3133272900414
"Cod",2021,8,"Herring",99,51.4811117992167
"Cod",1974,8,"Sprat",99,559.281114130235
"Cod",1975,8,"Sprat",99,553.048540437915
"Cod",1976,8,"Sprat",99,621.03752306052
"Cod",1977,8,"Sprat",99,652.211780098693
"Cod",1978,8,"Sprat",99,711.205884458737
"Cod",1979,8,"Sprat",99,618.647337202827
"Cod",1980,8,"Sprat",99,595.08446100986
"Cod",1981,8,"Sprat",99,674.062784854477
"Cod",1982,8,"Sprat",99,803.147209348519
"Cod",1983,8,"Sprat",99,835.851443253129
"Cod",1984,8,"Sprat",99,625.355108216797
"Cod",1985,8,"Sprat",99,462.58669270143
"Cod",1986,8,"Sprat",99,366.966112517419
"Cod",1987,8,"Sprat",99,329.268149001816
"Cod",1988,8,"Sprat",99,274.102908781761
"Cod",1989,8,"Sprat",99,240.295176300929
"Cod",1990,8,"Sprat",99,165.797869495735
"Cod",1991,8,"Sprat",99,151.444894044685
"Cod",1992,8,"Sprat",99,213.538661642356
"Cod",1993,8,"Sprat",99,287.715798344846
"Cod",1994,8,"Sprat",99,326.396362025651
"Cod",1995,8,"Sprat",99,344.842414028873
"Cod",1996,8,"Sprat",99,263.901520607032
"Cod",1997,8,"Sprat",99,211.60057718735
"Cod",1998,8,"Sprat",99,222.247507237747
"Cod",1999,8,"Sprat",99,234.439599713218
"Cod",2000,8,"Sprat",99,273.954238194631
"Cod",2001,8,"Sprat",99,249.925957480217
"Cod",2002,8,"Sprat",99,246.153160746041
"Cod",2003,8,"Sprat",99,267.605580573413
"Cod",2004,8,"Sprat",99,298.069707894894
"Cod",2005,8,"Sprat",99,311.593116859129
"Cod",2006,8,"Sprat",99,309.929206943996
"Cod",2007,8,"Sprat",99,300.612508706858
"Cod",2008,8,"Sprat",99,338.522107452582
"Cod",2009,8,"Sprat",99,378.253661767934
"Cod",2010,8,"Sprat",99,336.747411252357
"Cod",2011,8,"Sprat",99,281.231343865705
"Cod",2012,8,"Sprat",99,236.026020662015
"Cod",2013,8,"Sprat",99,223.321741487523
"Cod",2014,8,"Sprat",99,267.211802452428
"Cod",2015,8,"Sprat",99,299.605086493524
"Cod",2016,8,"Sprat",99,242.752392844957
"Cod",2017,8,"Sprat",99,187.553242475215
"Cod",2018,8,"Sprat",99,158.263994629807
"Cod",2019,8,"Sprat",99,138.925829803333
"Cod",2020,8,"Sprat",99,136.79746229908
"Cod",2021,8,"Sprat",99,132.317875169832
