"Year","Quarter","Predator","Prey","eatenW"
1974,1,"Cod","Herring",103164.202348744
1975,1,"Cod","Herring",118392.78738865
1976,1,"Cod","Herring",103566.968979263
1977,1,"Cod","Herring",99249.1429182771
1978,1,"Cod","Herring",151744.710081501
1979,1,"Cod","Herring",187486.202260702
1980,1,"Cod","Herring",225268.732407023
1981,1,"Cod","Herring",214160.200990432
1982,1,"Cod","Herring",236691.783982895
1983,1,"Cod","Herring",187821.843602334
1984,1,"Cod","Herring",160723.857748398
1985,1,"Cod","Herring",121457.361593786
1986,1,"Cod","Herring",84987.7745889338
1987,1,"Cod","Herring",84789.1945269836
1988,1,"Cod","Herring",74789.339857459
1989,1,"Cod","Herring",57751.130567478
1990,1,"Cod","Herring",34758.2227905236
1991,1,"Cod","Herring",23815.1713124853
1992,1,"Cod","Herring",21727.59728031
1993,1,"Cod","Herring",31839.2981382073
1994,1,"Cod","Herring",37987.4837603723
1995,1,"Cod","Herring",32045.727415717
1996,1,"Cod","Herring",25932.0717316873
1997,1,"Cod","Herring",16576.3352454605
1998,1,"Cod","Herring",13725.3575961357
1999,1,"Cod","Herring",13966.3935012033
2000,1,"Cod","Herring",35097.1111744591
2001,1,"Cod","Herring",35399.9669972401
2002,1,"Cod","Herring",34231.712365662
2003,1,"Cod","Herring",41208.6678241548
2004,1,"Cod","Herring",31125.3572136777
2005,1,"Cod","Herring",34535.7073060268
2006,1,"Cod","Herring",47696.2182776655
2007,1,"Cod","Herring",47019.9493394311
2008,1,"Cod","Herring",61338.8404868995
2009,1,"Cod","Herring",63214.2640821919
2010,1,"Cod","Herring",65287.0530891458
2011,1,"Cod","Herring",58097.256435391
2012,1,"Cod","Herring",51406.7182932073
2013,1,"Cod","Herring",48275.0416057816
2014,1,"Cod","Herring",51494.6320593924
2015,1,"Cod","Herring",55654.8384451724
2016,1,"Cod","Herring",45186.2784382328
2017,1,"Cod","Herring",33061.7414365419
2018,1,"Cod","Herring",25353.4435494043
2019,1,"Cod","Herring",20836.5936855931
2020,1,"Cod","Herring",22486.9524447594
2021,1,"Cod","Herring",21548.4292564545
1974,2,"Cod","Herring",36618.3338017655
1975,2,"Cod","Herring",43418.9432911838
1976,2,"Cod","Herring",32028.0495647473
1977,2,"Cod","Herring",32654.1185628201
1978,2,"Cod","Herring",58676.5708655138
1979,2,"Cod","Herring",76438.328961391
1980,2,"Cod","Herring",91239.5279047062
1981,2,"Cod","Herring",82118.133001967
1982,2,"Cod","Herring",93744.932387064
1983,2,"Cod","Herring",63250.2217722777
1984,2,"Cod","Herring",50723.5132685466
1985,2,"Cod","Herring",38546.9309585282
1986,2,"Cod","Herring",26726.7007359616
1987,2,"Cod","Herring",29030.7110780108
1988,2,"Cod","Herring",24799.5225973185
1989,2,"Cod","Herring",18576.9701122641
1990,2,"Cod","Herring",13109.9172831159
1991,2,"Cod","Herring",8322.62975120519
1992,2,"Cod","Herring",9208.45158652773
1993,2,"Cod","Herring",13184.9397532578
1994,2,"Cod","Herring",14134.8677541327
1995,2,"Cod","Herring",11329.9971339846
1996,2,"Cod","Herring",7760.64845212971
1997,2,"Cod","Herring",5346.88748861989
1998,2,"Cod","Herring",4741.96392677502
1999,2,"Cod","Herring",4943.67590402713
2000,2,"Cod","Herring",6529.027757212
2001,2,"Cod","Herring",6424.77594752076
2002,2,"Cod","Herring",7155.83494985235
2003,2,"Cod","Herring",8482.08800926136
2004,2,"Cod","Herring",5918.62845503778
2005,2,"Cod","Herring",7514.77816187031
2006,2,"Cod","Herring",9793.08226393267
2007,2,"Cod","Herring",9934.09063302137
2008,2,"Cod","Herring",14515.1424113662
2009,2,"Cod","Herring",13128.9333634233
2010,2,"Cod","Herring",14179.3409444243
2011,2,"Cod","Herring",12004.5009593422
2012,2,"Cod","Herring",10925.7830372248
2013,2,"Cod","Herring",11284.8982218335
2014,2,"Cod","Herring",12385.0365115057
2015,2,"Cod","Herring",11512.2355529626
2016,2,"Cod","Herring",8845.09325156618
2017,2,"Cod","Herring",6350.30263418081
2018,2,"Cod","Herring",5166.76855645498
2019,2,"Cod","Herring",4327.5318626253
2020,2,"Cod","Herring",4995.41367351172
2021,2,"Cod","Herring",4672.17306173132
1974,3,"Cod","Herring",135117.059271107
1975,3,"Cod","Herring",135488.716703032
1976,3,"Cod","Herring",118953.808256675
1977,3,"Cod","Herring",151592.568741031
1978,3,"Cod","Herring",221509.512648176
1979,3,"Cod","Herring",291825.157003393
1980,3,"Cod","Herring",286766.212421659
1981,3,"Cod","Herring",300007.509906494
1982,3,"Cod","Herring",249298.902846631
1983,3,"Cod","Herring",227956.763944334
1984,3,"Cod","Herring",169572.971847384
1985,3,"Cod","Herring",116877.65570263
1986,3,"Cod","Herring",100548.315034678
1987,3,"Cod","Herring",88482.541644543
1988,3,"Cod","Herring",73570.022018597
1989,3,"Cod","Herring",56147.4496466517
1990,3,"Cod","Herring",35311.7376151708
1991,3,"Cod","Herring",24884.3980482429
1992,3,"Cod","Herring",31780.0490667174
1993,3,"Cod","Herring",47744.8559824584
1994,3,"Cod","Herring",43720.370655585
1995,3,"Cod","Herring",37509.8065458184
1996,3,"Cod","Herring",25472.635700607
1997,3,"Cod","Herring",17457.9947572312
1998,3,"Cod","Herring",16604.0746607071
1999,3,"Cod","Herring",18948.7560476536
2000,3,"Cod","Herring",10106.0127554997
2001,3,"Cod","Herring",9384.51244376617
2002,3,"Cod","Herring",11182.9178922743
2003,3,"Cod","Herring",8952.3679431076
2004,3,"Cod","Herring",9009.74069002746
2005,3,"Cod","Herring",13219.7631648384
2006,3,"Cod","Herring",12712.4070610692
2007,3,"Cod","Herring",16186.8995489085
2008,3,"Cod","Herring",17233.4552461511
2009,3,"Cod","Herring",18349.2903680768
2010,3,"Cod","Herring",16817.94730082
2011,3,"Cod","Herring",15921.3808870123
2012,3,"Cod","Herring",14755.5936636004
2013,3,"Cod","Herring",14501.6230865937
2014,3,"Cod","Herring",16434.1483120971
2015,3,"Cod","Herring",14010.0685798469
2016,3,"Cod","Herring",10796.1093994343
2017,3,"Cod","Herring",8217.23393571871
2018,3,"Cod","Herring",6364.17006331399
2019,3,"Cod","Herring",6836.88458839427
2020,3,"Cod","Herring",6242.8858886001
2021,3,"Cod","Herring",6780.39219988101
1974,4,"Cod","Herring",141650.851036027
1975,4,"Cod","Herring",128742.092836177
1976,4,"Cod","Herring",119448.020031809
1977,4,"Cod","Herring",164309.933980461
1978,4,"Cod","Herring",225563.367088969
1979,4,"Cod","Herring",275802.020600804
1980,4,"Cod","Herring",266959.171773066
1981,4,"Cod","Herring",288910.796815019
1982,4,"Cod","Herring",241782.365204099
1983,4,"Cod","Herring",219000.409897626
1984,4,"Cod","Herring",163631.976060735
1985,4,"Cod","Herring",111967.489611037
1986,4,"Cod","Herring",103325.323229716
1987,4,"Cod","Herring",91084.7061419524
1988,4,"Cod","Herring",73629.5153068118
1989,4,"Cod","Herring",56414.8063750416
1990,4,"Cod","Herring",31904.7440557007
1991,4,"Cod","Herring",24334.7978936915
1992,4,"Cod","Herring",33904.3030084495
1993,4,"Cod","Herring",47521.1933933304
1994,4,"Cod","Herring",42495.3797946824
1995,4,"Cod","Herring",34596.6770542141
1996,4,"Cod","Herring",22648.7997560538
1997,4,"Cod","Herring",16612.7929150491
1998,4,"Cod","Herring",16437.6135784212
1999,4,"Cod","Herring",19887.075118084
2000,4,"Cod","Herring",28727.8768619154
2001,4,"Cod","Herring",26475.2702691036
2002,4,"Cod","Herring",32055.7746416324
2003,4,"Cod","Herring",26258.0393975577
2004,4,"Cod","Herring",27556.8454465881
2005,4,"Cod","Herring",38493.9458049326
2006,4,"Cod","Herring",37774.4144171496
2007,4,"Cod","Herring",48120.3036659435
2008,4,"Cod","Herring",51210.4092539829
2009,4,"Cod","Herring",53413.8324206233
2010,4,"Cod","Herring",46469.6873920037
2011,4,"Cod","Herring",42570.6586671292
2012,4,"Cod","Herring",39508.5284681926
2013,4,"Cod","Herring",41255.0386355933
2014,4,"Cod","Herring",46657.438937403
2015,4,"Cod","Herring",39938.6098890095
2016,4,"Cod","Herring",29083.4462791185
2017,4,"Cod","Herring",21949.545709339
2018,4,"Cod","Herring",17595.2925983605
2019,4,"Cod","Herring",18418.9250701545
2020,4,"Cod","Herring",17588.0752831702
2021,4,"Cod","Herring",18480.1172811499
1974,1,"Cod","Sprat",140687.2440472
1975,1,"Cod","Sprat",107789.566848966
1976,1,"Cod","Sprat",146860.088895744
1977,1,"Cod","Sprat",152962.244968976
1978,1,"Cod","Sprat",158143.321227735
1979,1,"Cod","Sprat",163381.867794983
1980,1,"Cod","Sprat",114561.836253664
1981,1,"Cod","Sprat",165354.600747062
1982,1,"Cod","Sprat",144174.920137728
1983,1,"Cod","Sprat",209572.030613791
1984,1,"Cod","Sprat",156587.578555585
1985,1,"Cod","Sprat",117325.392584467
1986,1,"Cod","Sprat",87394.7209112404
1987,1,"Cod","Sprat",82253.0899268181
1988,1,"Cod","Sprat",63191.7825900671
1989,1,"Cod","Sprat",57738.9417475833
1990,1,"Cod","Sprat",36800.5792966753
1991,1,"Cod","Sprat",32300.8266144019
1992,1,"Cod","Sprat",38588.7025466211
1993,1,"Cod","Sprat",56652.8162735179
1994,1,"Cod","Sprat",63756.6865976365
1995,1,"Cod","Sprat",72999.7296853226
1996,1,"Cod","Sprat",64089.4066146062
1997,1,"Cod","Sprat",46262.5326682626
1998,1,"Cod","Sprat",47968.7693218484
1999,1,"Cod","Sprat",48307.5263828739
2000,1,"Cod","Sprat",101408.864431722
2001,1,"Cod","Sprat",92023.4033414594
2002,1,"Cod","Sprat",83898.444694685
2003,1,"Cod","Sprat",86344.2629757058
2004,1,"Cod","Sprat",102754.842048942
2005,1,"Cod","Sprat",105505.343771956
2006,1,"Cod","Sprat",108253.544775223
2007,1,"Cod","Sprat",105720.98982748
2008,1,"Cod","Sprat",103367.404890608
2009,1,"Cod","Sprat",133270.235320781
2010,1,"Cod","Sprat",122995.291669359
2011,1,"Cod","Sprat",104032.839459289
2012,1,"Cod","Sprat",85328.0896252822
2013,1,"Cod","Sprat",74408.928243262
2014,1,"Cod","Sprat",76073.3226659358
2015,1,"Cod","Sprat",105425.852528532
2016,1,"Cod","Sprat",92043.0721364896
2017,1,"Cod","Sprat",69638.8044985364
2018,1,"Cod","Sprat",56964.2478565407
2019,1,"Cod","Sprat",49021.8663988966
2020,1,"Cod","Sprat",46655.3239096794
2021,1,"Cod","Sprat",46552.84781487
1974,2,"Cod","Sprat",169501.845316685
1975,2,"Cod","Sprat",129487.286707712
1976,2,"Cod","Sprat",173195.547766304
1977,2,"Cod","Sprat",200381.14213454
1978,2,"Cod","Sprat",208267.592673398
1979,2,"Cod","Sprat",193461.043367986
1980,2,"Cod","Sprat",147147.038144307
1981,2,"Cod","Sprat",204025.532707039
1982,2,"Cod","Sprat",187050.70609602
1983,2,"Cod","Sprat",231707.686555508
1984,2,"Cod","Sprat",176251.269888453
1985,2,"Cod","Sprat",135463.067843619
1986,2,"Cod","Sprat",107269.388646058
1987,2,"Cod","Sprat",101596.447997224
1988,2,"Cod","Sprat",77974.8026367308
1989,2,"Cod","Sprat",67021.8367368306
1990,2,"Cod","Sprat",49653.3433480103
1991,2,"Cod","Sprat",42471.7628344694
1992,2,"Cod","Sprat",58942.7793947081
1993,2,"Cod","Sprat",83348.2618920892
1994,2,"Cod","Sprat",83755.6900920789
1995,2,"Cod","Sprat",90327.5073843799
1996,2,"Cod","Sprat",72864.039492691
1997,2,"Cod","Sprat",55895.9318539865
1998,2,"Cod","Sprat",61973.8085050026
1999,2,"Cod","Sprat",62275.5387079961
2000,2,"Cod","Sprat",70614.5958386252
2001,2,"Cod","Sprat",64507.8078816798
2002,2,"Cod","Sprat",61948.185391786
2003,2,"Cod","Sprat",63355.8703048048
2004,2,"Cod","Sprat",72853.1988968674
2005,2,"Cod","Sprat",79281.0028913636
2006,2,"Cod","Sprat",78044.725423156
2007,2,"Cod","Sprat",78502.4363237894
2008,2,"Cod","Sprat",81808.9168335264
2009,2,"Cod","Sprat",100428.1826918
2010,2,"Cod","Sprat",90566.2243296442
2011,2,"Cod","Sprat",77004.1400953391
2012,2,"Cod","Sprat",64243.5902613819
2013,2,"Cod","Sprat",61057.9686601101
2014,2,"Cod","Sprat",62644.0719967515
2015,2,"Cod","Sprat",78839.3486487165
2016,2,"Cod","Sprat",65473.4030787418
2017,2,"Cod","Sprat",49680.1973209071
2018,2,"Cod","Sprat",42357.6905062279
2019,2,"Cod","Sprat",36579.6200559812
2020,2,"Cod","Sprat",36080.4066645678
2021,2,"Cod","Sprat",35184.0378005785
1974,3,"Cod","Sprat",132295.774215863
1975,3,"Cod","Sprat",157404.24816533
1976,3,"Cod","Sprat",153632.655128288
1977,3,"Cod","Sprat",158204.044166211
1978,3,"Cod","Sprat",184327.827673047
1979,3,"Cod","Sprat",140067.957429621
1980,3,"Cod","Sprat",174211.182362486
1981,3,"Cod","Sprat",160242.321925113
1982,3,"Cod","Sprat",247346.578428834
1983,3,"Cod","Sprat",207255.802547364
1984,3,"Cod","Sprat",156099.215586498
1985,3,"Cod","Sprat",113008.217445461
1986,3,"Cod","Sprat",92422.9379830052
1987,3,"Cod","Sprat",79105.1894201328
1988,3,"Cod","Sprat",72709.6953038887
1989,3,"Cod","Sprat",62377.7442195807
1990,3,"Cod","Sprat",44501.1015200432
1991,3,"Cod","Sprat",42176.7858065922
1992,3,"Cod","Sprat",62082.9285889506
1993,3,"Cod","Sprat",81036.7635955066
1994,3,"Cod","Sprat",98037.3058412858
1995,3,"Cod","Sprat",100490.931627375
1996,3,"Cod","Sprat",71627.8639303871
1997,3,"Cod","Sprat",61553.8377872322
1998,3,"Cod","Sprat",62729.6295499333
1999,3,"Cod","Sprat",67981.6624788138
2000,3,"Cod","Sprat",31817.2040488682
2001,3,"Cod","Sprat",28929.8819857462
2002,3,"Cod","Sprat",31501.2902694733
2003,3,"Cod","Sprat",36562.2055896847
