"Year","Predator","Prey","Prey.no","eatenW"
1974,"Cod","Herring",2,416550.446457644
1975,"Cod","Herring",2,426042.540219043
1976,"Cod","Herring",2,373996.846832494
1977,"Cod","Herring",2,447805.764202589
1978,"Cod","Herring",2,657494.160684159
1979,"Cod","Herring",2,831551.70882629
1980,"Cod","Herring",2,870233.644506453
1981,"Cod","Herring",2,885196.640713912
1982,"Cod","Herring",2,821517.98442069
1983,"Cod","Herring",2,698029.239216572
1984,"Cod","Herring",2,544652.318925064
1985,"Cod","Herring",2,388849.437865983
1986,"Cod","Herring",2,315588.11358929
1987,"Cod","Herring",2,293387.15339149
1988,"Cod","Herring",2,246788.399780186
1989,"Cod","Herring",2,188890.356701435
1990,"Cod","Herring",2,115084.621744511
1991,"Cod","Herring",2,81356.9970056248
1992,"Cod","Herring",2,96620.4009420045
1993,"Cod","Herring",2,140290.287267254
1994,"Cod","Herring",2,138338.101964772
1995,"Cod","Herring",2,115482.208149734
1996,"Cod","Herring",2,81814.1556404778
1997,"Cod","Herring",2,55994.0104063606
1998,"Cod","Herring",2,51509.0097620389
1999,"Cod","Herring",2,57745.900570968
2000,"Cod","Herring",2,80460.0285490862
2001,"Cod","Herring",2,77684.5256576306
2002,"Cod","Herring",2,84626.2398494211
2003,"Cod","Herring",2,84901.1631740814
2004,"Cod","Herring",2,73610.571805331
2005,"Cod","Herring",2,93764.1944376681
2006,"Cod","Herring",2,107976.122019817
2007,"Cod","Herring",2,121261.243187305
2008,"Cod","Herring",2,144297.8473984
2009,"Cod","Herring",2,148106.320234315
2010,"Cod","Herring",2,142754.028726394
2011,"Cod","Herring",2,128593.796948875
2012,"Cod","Herring",2,116596.623462225
2013,"Cod","Herring",2,115316.601549802
2014,"Cod","Herring",2,126971.255820398
2015,"Cod","Herring",2,121115.752466991
2016,"Cod","Herring",2,93910.9273683518
2017,"Cod","Herring",2,69578.8237157803
2018,"Cod","Herring",2,54479.6747675338
2019,"Cod","Herring",2,50419.9352067672
2020,"Cod","Herring",2,51313.3272900414
2021,"Cod","Herring",2,51481.1117992167
1974,"Cod","Sprat",3,559281.114130235
1975,"Cod","Sprat",3,553048.540437915
1976,"Cod","Sprat",3,621037.52306052
1977,"Cod","Sprat",3,652211.780098693
1978,"Cod","Sprat",3,711205.884458737
1979,"Cod","Sprat",3,618647.337202827
1980,"Cod","Sprat",3,595084.46100986
1981,"Cod","Sprat",3,674062.784854477
1982,"Cod","Sprat",3,803147.209348519
1983,"Cod","Sprat",3,835851.443253129
1984,"Cod","Sprat",3,625355.108216797
1985,"Cod","Sprat",3,462586.69270143
1986,"Cod","Sprat",3,366966.112517419
1987,"Cod","Sprat",3,329268.149001816
1988,"Cod","Sprat",3,274102.908781761
1989,"Cod","Sprat",3,240295.176300929
1990,"Cod","Sprat",3,165797.869495735
1991,"Cod","Sprat",3,151444.894044685
1992,"Cod","Sprat",3,213538.661642356
1993,"Cod","Sprat",3,287715.798344846
1994,"Cod","Sprat",3,326396.362025651
1995,"Cod","Sprat",3,344842.414028873
1996,"Cod","Sprat",3,263901.520607032
1997,"Cod","Sprat",3,211600.57718735
1998,"Cod","Sprat",3,222247.507237747
1999,"Cod","Sprat",3,234439.599713218
2000,"Cod","Sprat",3,273954.238194631
2001,"Cod","Sprat",3,249925.957480217
2002,"Cod","Sprat",3,246153.160746041
2003,"Cod","Sprat",3,267605.580573413
2004,"Cod","Sprat",3,298069.707894894
2005,"Cod","Sprat",3,311593.116859129
2006,"Cod","Sprat",3,309929.206943996
2007,"Cod","Sprat",3,300612.508706858
2008,"Cod","Sprat",3,338522.107452582
2009,"Cod","Sprat",3,378253.661767935
2010,"Cod","Sprat",3,336747.411252357
2011,"Cod","Sprat",3,281231.343865705
2012,"Cod","Sprat",3,236026.020662015
2013,"Cod","Sprat",3,223321.741487523
2014,"Cod","Sprat",3,267211.802452428
2015,"Cod","Sprat",3,299605.086493524
2016,"Cod","Sprat",3,242752.392844957
2017,"Cod","Sprat",3,187553.242475215
2018,"Cod","Sprat",3,158263.994629807
2019,"Cod","Sprat",3,138925.829803333
2020,"Cod","Sprat",3,136797.46229908
2021,"Cod","Sprat",3,132317.875169832
