"Predator","Quarter","Year","Predator.length.class","Prey","Quarter.no","SMS.area","Predator.no","Size.model","Predator.length","Predator.length.mean","Predator.weight","Predator.size","Predator.available.food","Diri.p","Diri.sum.p","Diri.like","multinom.like","Prey.no","Prey.length.class","Prey.length.mean","Prey.weight","Prey.size","Prey.number.obs","Prey.number.prob","Obj.N.contrib","avail.prey.number.sum","N.haul","N.samples","stomcon","stomcon.hat","Residual","L.N.bar","Prey.avail","Prey.avail.part","Suit","Stom.var","obj.contrib","stom.input","stom.used.all","stom.used.like","stom.used.avail","stom.type","stan.residual","Area","Pred.avail","stomcon.hat.part","Residual.part","year.range","year"
"A. radiata","Q1",1991,16,"Other",1,1,9,0,200,223,0.258472,0.258472,1005730,6.54504,6.54504,0,0,0,0,-1,-1,-1,0,0,0,0,50,50,1,1,0,-1,1005730,1005730,1.00573,0,0,1,1,1,1,1,NA,1,1005730,1,0,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"Other",1,1,9,0,250,272,0.459446,0.459446,1774100,4.77542,6.54504,3.50703,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.398577,0.729624,-0.331047,-1,1294430,1294430,1.29443,0.026146,0,0.398577,1,1,1,1,-2.04732612436425,1,1774103.07,0.72962502680298,-0.33104802680298,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"N. sandeel",1,1,9,0,250,272,0.459446,0.459446,1774100,1.76227,6.54504,3.50703,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.512784,0.269254,0.24353,1514120,477683,5845.55,2.57379,0.0260775,0,0.0372681,1,1,1,1,1.50806302419333,1,1774103.07,0.00329493257683163,0.0339731674231684,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"N. sandeel",1,1,9,0,250,272,0.459446,0.459446,1774100,0,6.54504,3.50703,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,24063500,0,133778,2.57379,0,0,0.377812,1,0,1,1,NA,1,1774103.07,0.0754059909270097,0.30240600907299,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"N. sandeel",1,1,9,0,250,272,0.459446,0.459446,1774100,0,6.54504,3.50703,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,33168500,0,338059,2.57379,0,0,0.0977029,1,0,1,1,NA,1,1774103.07,0.19055206302078,-0.0928491630207804,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"Nor. pout",1,1,9,0,250,272,0.459446,0.459446,1774100,0.00734344,6.54504,3.50703,0,24,11,73,0.00207,0.00207,0,0,0,0,50,50,0.0886393,0.00112199,0.0875173,349095,1990.52,1990.52,2.75456,0.000148538,0,0.0886393,1,1,1,1,7.18083792735056,1,1774103.07,0.00112198667239779,0.0875173133276022,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"Other",1,1,9,0,300,320,0.735593,0.735593,2068980,5.03393,6.54504,-0.644785,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.716333,0.769121,-0.052788,-1,1591290,1591290,1.59129,0.0235352,0,0.716333,1,1,1,1,-0.344093335688122,1,2068972.55,0.769120885629923,-0.0527878856299229,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"N. sandeel",1,1,9,0,300,320,0.735593,0.735593,2068980,1.51111,6.54504,-0.644785,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.283667,0.230879,0.052788,1514120,477683,5845.55,2.57379,0.0235352,0,0.0153488,1,1,1,1,0.344093335688122,1,2068972.55,0.0028253395628666,0.0125234604371334,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"N. sandeel",1,1,9,0,300,320,0.735593,0.735593,2068980,0,6.54504,-0.644785,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,24063500,0,133778,2.57379,0,0,0.174237,1,0,1,1,NA,1,2068972.55,0.0646591468794499,0.10957785312055,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"N. sandeel",1,1,9,0,300,320,0.735593,0.735593,2068980,0,6.54504,-0.644785,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,33168500,0,338059,2.57379,0,0,0.0940813,1,0,1,1,NA,1,2068972.55,0.163394627927761,-0.0693133279277606,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"Other",1,1,9,0,350,371,1.12883,1.12883,2397880,5.2412,6.54504,0.456677,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.552401,0.80079,-0.248389,-1,1920200,1920200,1.9202,0.0211431,0,0.552401,1,1,1,1,-1.70823661750312,1,2397882.55,0.800789846858846,-0.248388846858846,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"N. sandeel",1,1,9,0,350,371,1.12883,1.12883,2397880,1.30384,6.54504,0.456677,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.447599,0.19921,0.248389,1514120,477683,5845.55,2.57379,0.0211431,0,0.0357455,1,1,1,1,1.70823661750312,1,2397882.55,0.00243779663019776,0.0333077033698022,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"N. sandeel",1,1,9,0,350,371,1.12883,1.12883,2397880,0,6.54504,0.456677,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,24063500,0,133778,2.57379,0,0,0.17663,1,0,1,1,NA,1,2397882.55,0.0557900552718898,0.12083994472811,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"N. sandeel",1,1,9,0,350,371,1.12883,1.12883,2397880,0,6.54504,0.456677,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,33168500,0,338059,2.57379,0,0,0.235224,1,0,1,1,NA,1,2397882.55,0.140982301239066,0.0942416987609339,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"Other",1,1,9,0,400,440,1.84996,1.84996,3558160,4.38682,6.54504,1.60749,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.316166,0.670251,-0.354086,-1,2384860,2384860,2.38486,0.0292927,0,0.316166,1,1,1,1,-2.06885023902681,1,3558157.55,0.670251377710917,-0.354085377710917,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3558160,1.89158,6.54504,1.60749,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.382963,0.289009,0.0939536,1514120,1028340,5845.55,2.57379,0.0272342,0,0.00580205,1,1,1,1,0.569319572127679,1,3558157.55,0.00164285867555246,0.00415919132444754,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3558160,0,6.54504,1.60749,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,24063500,0,133778,2.57379,0,0,0.143461,1,0,1,1,NA,1,3558157.55,0.0375975482030019,0.105863451796998,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3558160,0,6.54504,1.60749,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,33168500,0,338059,2.57379,0,0,0.187401,1,0,1,1,NA,1,3558157.55,0.0950095647113771,0.0923914352886229,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3558160,0,6.54504,1.60749,0,22,14,132,0.00651,0.00651,0,0,0,0,50,50,0,0,0,23490800,0,393597,2.57379,0,0,0.0308174,1,0,1,1,NA,1,3558157.55,0.110618204637959,-0.0798008046379593,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3558160,0,6.54504,1.60749,0,22,15,165,0.01195,0.01195,0,0,0,0,50,50,0,0,0,5106560,0,157061,2.57379,0,0,0.0154814,1,0,1,1,NA,1,3558157.55,0.044141103307806,-0.028659703307806,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"Nor. pout",1,1,9,0,400,440,1.84996,1.84996,3558160,0.26664,6.54504,1.60749,0,24,15,167,0.01698,0.01698,0,0,0,0,50,50,0.300871,0.0407393,0.260132,3099190,144957,144957,2.75456,0.00517951,0,0.300871,1,1,1,1,3.61451009509781,1,3558157.55,0.0407393427533865,0.260131657246613,"1982-93","Y1991"
"A. radiata","Q1",1991,21,"Other",1,1,9,0,500,515,2.91821,2.91821,3384610,5.63262,6.54504,-0.934739,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.851385,0.860593,-0.00920828,-1,2912780,2912780,2.91278,0.0159008,0,0.851385,1,1,1,1,-0.073024573484286,1,3384617,0.860593680171198,-0.00920868017119814,"1982-93","Y1991"
"A. radiata","Q1",1991,21,"N. sandeel",1,1,9,0,500,515,2.91821,2.91821,3384610,0.912421,6.54504,-0.934739,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0.148615,0.139407,0.00920828,24063500,471837,133778,2.57379,0.0159008,0,0.110398,1,1,1,1,0.073024573484286,1,3384617,0.0395252993174708,0.0708727006825292,"1982-93","Y1991"
"A. radiata","Q1",1991,21,"N. sandeel",1,1,9,0,500,515,2.91821,2.91821,3384610,0,6.54504,-0.934739,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,33168500,0,338059,2.57379,0,0,0.0382172,1,0,1,1,NA,1,3384617,0.0998810205113311,-0.0616638205113311,"1982-93","Y1991"
"A. radiata","Q2",1991,16,"Other",2,1,9,0,200,223,0.258472,0.258472,1005730,6.54504,6.54504,0,0,0,0,-1,-1,-1,0,0,0,0,50,50,1,1,0,-1,1005730,1005730,1.00573,0,0,1,1,1,1,1,NA,1,1005730,1,0,"1982-93","Y1991"
"A. radiata","Q2",1991,17,"Other",2,1,9,0,250,274,0.469298,0.469298,1896390,4.50925,6.54504,-0.805812,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.73554,0.688958,0.0465822,-1,1306530,1306530,1.30653,0.0284021,0,0.73554,1,1,1,1,0.276404283808028,1,1896387,0.688957475452004,0.0465825245479957,"1982-93","Y1991"
"A. radiata","Q2",1991,17,"N. sandeel",2,1,9,0,250,274,0.469298,0.469298,1896390,2.03578,6.54504,-0.805812,0,22,14,132,0.0073,0.0073,0,0,0,0,50,50,0.26446,0.311042,-0.0465822,31394400,589857,589857,2.57379,0.0284021,0,0.26446,1,1,1,1,-0.276404283808028,1,1896387,0.311042524547996,-0.0465825245479958,"1982-93","Y1991"
"A. radiata","Q2",1991,18,"Other",2,1,9,0,300,322,0.748986,0.748986,1901790,5.51998,6.54504,-0.933204,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.839963,0.843384,-0.00342046,-1,1603940,1603940,1.60394,0.0175066,0,0.839963,1,1,1,1,-0.025851372856213,1,1901792.2,0.843383414865199,-0.00342041486519928,"1982-93","Y1991"
