"region","reg.name","quarter","no.scats","tot.otos","meas.otos"
"2","Orkney & Northern North Sea","1",375,36375,6588
"2","Orkney & Northern North Sea","2",68,7259,1529
"2","Orkney & Northern North Sea","3",43,3887,974
"2","Orkney & Northern North Sea","4",386,22374,6257
"3","Central North Sea","1",14,218,210
"3","Central North Sea","2",69,2744,1205
"3","Central North Sea","3",0,NA,NA
"3","Central North Sea","4",153,8649,2769
"4","Southern North Sea","1",104,4468,1901
"4","Southern North Sea","2",92,1240,657
"4","Southern North Sea","3",101,4415,1774
"4","Southern North Sea","4",63,962,723
"5","Inner Hebrides","1",82,1280,745
"5","Inner Hebrides","2",2,28,28
"5","Inner Hebrides","3",1,2,2
"5","Inner Hebrides","4",46,336,336
"6","Outer Hebrides","1",100,3248,1292
"6","Outer Hebrides","2",21,811,579
"6","Outer Hebrides","3",79,3237,1617
"6","Outer Hebrides","4",84,1531,1046
