Bestand,Engelsk,Type
Mallemuk,Fulmar,Andet rovdyr
Lomvie,Guillemot,Andet rovdyr
Sølvmåge,Herring gull,Andet rovdyr
Ride,Kittiwake,Andet rovdyr
Svartbag,Great black-backed gull,Andet rovdyr
Sule,Gannet,Andet rovdyr
Søpapegøje,Puffin,Andet rovdyr
Alk,Razorbill,Andet rovdyr
Tærbe,Starry ray,Andet rovdyr
Grå knurhane,Grey gurnards,Andet rovdyr
Vestlig hestemakrel,Western horse mackerel,Andet rovdyr
Nordsø hestemakrel,North Sea horse mackerel,Andet rovdyr
Kulmule,Hake,Andet rovdyr
Gråsæl,Grey seal,Andet rovdyr
Marsvin,Harbour porpoise,Andet rovdyr
Torsk,Cod,"Dynamisk, rov- og byttedyr"
Hvilling,Whiting,"Dynamisk, rov- og byttedyr"
Kuller,Haddock,"Dynamisk, rov- og byttedyr"
Mørksej,Saithe,"Dynamisk, rovdyr"
Makrel,Mackerel,"Dynamisk, rovdyr"
Sild,Herring,Dynamisk byttedyr
"Tobis, nordlig",Northern sandeel,Dynamisk byttedyr
"Torbis, sydlig",Southern sandeel,Dynamisk byttedyr
Brisling,Sprat,Dynamisk byttedyr
Sperling,Norway pout,Dynamisk byttedyr
Rødspætte,Plaice,Dynamisk
Tunge,Sole,Dynamisk
