Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
16 1974  8.29596e+06 181792 401413 252714 243449 252714 243449 0.727142 133517
16 1975  5.01633e+06 168702 399043 241132 249863 241132 249863 0.759035 136700
16 1976  1.79229e+07 151723 427449 305329 254269 305329 254269 0.832394 213472
16 1977  8.83989e+06 123507 414032 347182 279966 347182 279966 0.81622 214616
16 1978  1.52143e+07 118576 475499 327061 363360 327061 363360 0.946264 225263
16 1979  7.66376e+06 113335 443593 428086 299811 428086 299811 0.765342 175257
16 1980  9.05873e+06 126772 466002 587443 346589 587443 346589 0.889592 203115
16 1981  2.99715e+07 131702 506779 390754 340706 390754 340706 0.87396 319318
16 1982  1.03951e+07 124394 416287 356376 341289 356376 341289 0.952378 206165
16 1983  1.02908e+07 107643 384928 279032 304238 279032 304238 0.957592 178681
16 1984  1.05508e+07 94146.8 349752 378275 272296 378275 272296 0.888691 197654
16 1985  8.39223e+06 96858.8 361970 245642 246313 245642 246313 0.896993 150057
16 1986  6.73916e+06 83980.5 293178 339692 240028 339692 240028 0.974483 148056
16 1987  5.02772e+06 85771 339307 243840 265824 243840 265824 0.970093 127367
16 1988  3.79084e+06 83375.7 270250 193767 213363 193767 213363 0.941833 93643.8
16 1989  3.4789e+06 77081.8 225201 201155 198808 201155 198808 0.988428 95366.4
16 1990  5.06877e+06 74486.5 228923 151592 157433 151592 157433 0.915395 101445
16 1991  6.04989e+06 70596.8 181184 119678 144613 119678 144613 0.915669 92716.1
16 1992  4.62451e+06 67593.3 187809 148985 160905 148985 160905 0.880305 96464.6
16 1993  6.938e+06 69160.2 202754 132900 119748 132900 119748 0.819349 109454
16 1994  6.73428e+06 75886.7 204955 216500 125317 216500 125317 0.836757 114548
16 1995  6.27247e+06 85203.6 240528 198306 157293 198306 157293 0.932592 114670
16 1996  8.7459e+06 86459.1 218376 142941 155855 142941 155855 0.991595 118589
16 1997  6.33137e+06 74110.4 196056 135372 130317 135372 130317 0.898833 123810
16 1998  7.50387e+06 75558.7 220256 136757 121382 136757 121382 0.964822 114365
16 1999  1.44729e+07 62576 130459 95882.7 92266.1 95882.7 92266.1 1.08063 118910
16 2000  4.64611e+06 46932.9 115329 77117.6 84266.3 77117.6 84266.3 1.04445 73833.3
16 2001  5.54884e+06 51924.1 134627 78723.3 76509.3 78723.3 76509.3 0.993065 74362.1
16 2002  7.78103e+06 44867.6 96330.9 56581.5 57440.3 56581.5 57440.3 0.907519 78490.9
16 2003  1.01838e+07 43366.9 90135.3 51655.7 54635.2 51655.7 54635.2 0.907523 94143.5
16 2004  9.20848e+06 36533.3 76576.8 40848 37675.6 40848 37675.6 0.825667 93128.6
16 2005  1.37438e+07 37202 81490.7 36580 42376.8 36580 42376.8 0.749609 124617
16 2006  8.95706e+06 40047.4 87272.1 37577 34792.9 37577 34792.9 0.802735 102206
16 2007  9.64387e+06 49361 101564 54641.2 43478.9 54641.2 43478.9 0.621383 105965
16 2008  1.13023e+07 56888 96011.2 51795 52959.3 51795 52959.3 0.697182 104921
16 2009  7.01097e+06 55995.4 92498.4 54026.1 55468.2 54026.1 55468.2 0.729373 74781.9
16 2010  6.70943e+06 52688.4 91672.2 49105.7 50814.8 49105.7 50814.8 0.711858 77408.8
16 2011  1.42602e+07 57787.9 100879 40686.8 47318.3 40686.8 47318.3 0.585581 123151
16 2012  1.50453e+07 57829.1 93127.9 40764 44460.1 40764 44460.1 0.565924 120885
16 2013  1.31924e+07 57242.7 96846.7 40757.4 43892.8 40757.4 43892.8 0.534209 116854
16 2014  9.98649e+06 61263 110865 45192.4 45793.9 45192.4 45793.9 0.490816 104053
16 2015  8.85327e+06 69666.4 120271 49899.9 51316.1 49899.9 51316.1 0.489746 90999.3
16 2016  8.25002e+06 71456.1 109484 50310.5 49683 50310.5 49683 0.465147 75031.8
16 2017  5.17434e+06 66491.1 100222 46368.7 46134.6 46368.7 46134.6 0.50541 59767
16 2018  4.98307e+06 63543.5 101540 47904.1 51658.5 47904.1 51658.5 0.681347 57136.9
16 2019  5.2469e+06 45801.6 72566.9 35920.4 37982.4 35920.4 37982.4 0.574575 50511.7
16 2020  NA 44087.2 NA NA NA NA NA NA NA
17 1974  3.89594e+07 397843 554826 323103 266023 323103 266023 0.876664 569321
17 1975  3.76665e+07 306099 577140 276575 270952 276575 270952 0.846079 608111
17 1976  4.05519e+07 404978 685434 326266 308910 326266 308910 0.921675 737156
17 1977  3.22152e+07 380509 611362 289854 231370 289854 231370 0.681151 582102
17 1978  2.93325e+07 376422 617894 188195 193390 188195 193390 0.629345 598938
17 1979  2.55496e+07 377775 611696 243608 215702 243608 215702 0.69468 465601
17 1980  1.88388e+07 395685 630458 223322 236830 223322 236830 0.717675 473301
17 1981  2.65921e+07 406926 552511 192184 189301 192184 189301 0.612922 514858
17 1982  1.31937e+07 295619 391824 140266 126848 140266 126848 0.501088 294827
17 1983  1.53763e+07 245822 347900 161319 137264 161319 137264 0.686441 264601
17 1984  1.66512e+07 192380 311631 145614 126719 145614 126719 0.787889 288204
17 1985  1.95949e+07 203884 302460 100364 97349.8 100364 97349.8 0.572807 284975
17 1986  2.5309e+07 210489 384671 161508 144641 161508 144641 0.776426 373628
17 1987  2.57716e+07 229874 390772 138802 162222 138802 162222 0.869445 404274
17 1988  3.07321e+07 234277 338344 133209 124173 133209 124173 0.655491 374265
17 1989  2.19217e+07 244888 454804 123582 141530 123582 141530 0.632735 454061
17 1990  1.79029e+07 269506 399308 152614 137972 152614 137972 0.648828 341836
17 1991  1.48775e+07 255897 375013 126730 117470 126730 117470 0.536982 283059
17 1992  2.15447e+07 240517 338855 108541 110505 108541 110505 0.52735 308934
17 1993  1.85329e+07 226015 334453 116921 123904 116921 123904 0.646775 300789
