"Year","Quarter","Predator","Prey","eatenW"
1974,1,"Cod","Cod",11456.1726281381
1975,1,"Cod","Cod",14148.933146977
1976,1,"Cod","Cod",15353.5722317782
1977,1,"Cod","Cod",24974.4719990146
1978,1,"Cod","Cod",26448.3596284279
1979,1,"Cod","Cod",19882.8520376872
1980,1,"Cod","Cod",21375.1026476096
1981,1,"Cod","Cod",24595.4626073859
1982,1,"Cod","Cod",21986.4491510993
1983,1,"Cod","Cod",17975.3533125151
1984,1,"Cod","Cod",17794.8031917765
1985,1,"Cod","Cod",13140.2240607212
1986,1,"Cod","Cod",15736.6424164276
1987,1,"Cod","Cod",13271.9480596581
1988,1,"Cod","Cod",9488.88869923088
1989,1,"Cod","Cod",8431.27565654462
1990,1,"Cod","Cod",7858.7930568753
1991,1,"Cod","Cod",5119.68952618919
1992,1,"Cod","Cod",6096.56956939053
1993,1,"Cod","Cod",5136.95883344958
1994,1,"Cod","Cod",6576.80562837516
1995,1,"Cod","Cod",5482.94780046115
1996,1,"Cod","Cod",5017.55968824574
1997,1,"Cod","Cod",6423.43052339187
1998,1,"Cod","Cod",4280.51258084188
1999,1,"Cod","Cod",2271.85692635813
2000,1,"Cod","Cod",1997.94040212345
2001,1,"Cod","Cod",1792.67519756907
2002,1,"Cod","Cod",1114.91661121221
2003,1,"Cod","Cod",989.567760936427
2004,1,"Cod","Cod",1139.64900705931
2005,1,"Cod","Cod",1252.70954313479
2006,1,"Cod","Cod",1570.33434982809
2007,1,"Cod","Cod",1459.37823972855
2008,1,"Cod","Cod",1238.55157229761
2009,1,"Cod","Cod",1089.98875590896
2010,1,"Cod","Cod",1180.81223455681
2011,1,"Cod","Cod",1070.75183349761
2012,1,"Cod","Cod",1003.64045902791
2013,1,"Cod","Cod",1474.27372522354
2014,1,"Cod","Cod",1901.44200978259
2015,1,"Cod","Cod",1291.13854114791
2016,1,"Cod","Cod",835.191729200064
2017,1,"Cod","Cod",1155.17413421101
2018,1,"Cod","Cod",1276.72542212084
2019,1,"Cod","Cod",658.043637630978
1974,2,"Cod","Cod",9105.83551089435
1975,2,"Cod","Cod",11635.9702703553
1976,2,"Cod","Cod",9274.91926909739
1977,2,"Cod","Cod",18016.699780738
1978,2,"Cod","Cod",11929.9206730606
1979,2,"Cod","Cod",13270.0396462666
1980,2,"Cod","Cod",14451.0479502871
1981,2,"Cod","Cod",12703.0381857668
1982,2,"Cod","Cod",14684.2029798626
1983,2,"Cod","Cod",8569.26630282107
1984,2,"Cod","Cod",10876.060519035
1985,2,"Cod","Cod",5753.37209522562
1986,2,"Cod","Cod",10364.8528881498
1987,2,"Cod","Cod",5146.73281334905
1988,2,"Cod","Cod",4765.37286642191
1989,2,"Cod","Cod",4815.87209926414
1990,2,"Cod","Cod",3585.71029123411
1991,2,"Cod","Cod",2892.67747820828
1992,2,"Cod","Cod",3335.36102179405
1993,2,"Cod","Cod",2482.12746679097
1994,2,"Cod","Cod",4038.09158522986
1995,2,"Cod","Cod",2759.0748160328
1996,2,"Cod","Cod",2710.04850696904
1997,2,"Cod","Cod",3893.23954518785
1998,2,"Cod","Cod",1711.53173190748
1999,2,"Cod","Cod",1437.63226728286
2000,2,"Cod","Cod",968.960909883077
2001,2,"Cod","Cod",705.009087500582
2002,2,"Cod","Cod",691.405704454169
2003,2,"Cod","Cod",458.953769885906
2004,2,"Cod","Cod",594.460590205179
2005,2,"Cod","Cod",512.985695581701
2006,2,"Cod","Cod",778.941926744874
2007,2,"Cod","Cod",576.70934869972
2008,2,"Cod","Cod",745.632110586028
2009,2,"Cod","Cod",674.379244648443
2010,2,"Cod","Cod",734.649144085211
2011,2,"Cod","Cod",588.015914924711
2012,2,"Cod","Cod",730.341258424335
2013,2,"Cod","Cod",952.970378884654
2014,2,"Cod","Cod",1203.57203771688
2015,2,"Cod","Cod",863.129691257921
2016,2,"Cod","Cod",650.127274366959
2017,2,"Cod","Cod",1043.26433615129
2018,2,"Cod","Cod",728.622732488236
2019,2,"Cod","Cod",594.703082346644
1974,3,"Cod","Cod",12254.5072484838
1975,3,"Cod","Cod",12516.5855255551
1976,3,"Cod","Cod",20038.8768855545
1977,3,"Cod","Cod",25843.179137762
1978,3,"Cod","Cod",19441.7328229509
1979,3,"Cod","Cod",18922.9447818226
1980,3,"Cod","Cod",24789.6533798424
1981,3,"Cod","Cod",29991.4847525283
1982,3,"Cod","Cod",23559.0671352166
1983,3,"Cod","Cod",15147.1849843105
1984,3,"Cod","Cod",18316.9491463473
1985,3,"Cod","Cod",11707.3000052675
1986,3,"Cod","Cod",14273.3294198897
1987,3,"Cod","Cod",8517.90163671321
1988,3,"Cod","Cod",6864.6089676316
1989,3,"Cod","Cod",6967.01420770091
1990,3,"Cod","Cod",5231.9693195224
1991,3,"Cod","Cod",4903.458883568
1992,3,"Cod","Cod",4825.53896998459
1993,3,"Cod","Cod",4807.56418182972
1994,3,"Cod","Cod",6235.85944749321
1995,3,"Cod","Cod",5451.99282290621
1996,3,"Cod","Cod",5778.65298266877
1997,3,"Cod","Cod",6534.90806091232
1998,3,"Cod","Cod",3435.18341320564
1999,3,"Cod","Cod",2389.45306625995
2000,3,"Cod","Cod",1847.80110977394
2001,3,"Cod","Cod",1446.32197928065
2002,3,"Cod","Cod",1686.96336596377
2003,3,"Cod","Cod",1588.20658368138
2004,3,"Cod","Cod",1499.78594281971
2005,3,"Cod","Cod",2026.80561462658
2006,3,"Cod","Cod",2010.21891269101
2007,3,"Cod","Cod",1846.92796122963
2008,3,"Cod","Cod",1975.85078278432
2009,3,"Cod","Cod",1447.09783172005
2010,3,"Cod","Cod",1575.74893749259
2011,3,"Cod","Cod",2119.80850813332
2012,3,"Cod","Cod",2356.97510843286
2013,3,"Cod","Cod",2562.00313191372
2014,3,"Cod","Cod",2285.15518647272
2015,3,"Cod","Cod",1762.5399286087
2016,3,"Cod","Cod",1523.00608624477
2017,3,"Cod","Cod",1675.5094839086
2018,3,"Cod","Cod",967.498710024949
2019,3,"Cod","Cod",1151.6942428754
1974,4,"Cod","Cod",19015.8077109386
1975,4,"Cod","Cod",22563.681363884
1976,4,"Cod","Cod",33957.8603450921
1977,4,"Cod","Cod",45279.8224935719
1978,4,"Cod","Cod",24046.6281944162
1979,4,"Cod","Cod",35024.9553596642
1980,4,"Cod","Cod",34294.3091862131
1981,4,"Cod","Cod",36416.8638664061
1982,4,"Cod","Cod",27792.1354998731
1983,4,"Cod","Cod",24129.1197017543
1984,4,"Cod","Cod",26441.6225138973
1985,4,"Cod","Cod",22756.6137252704
1986,4,"Cod","Cod",16862.0914122388
1987,4,"Cod","Cod",12580.0621331245
1988,4,"Cod","Cod",10341.524799783
1989,4,"Cod","Cod",10657.0530646058
1990,4,"Cod","Cod",8099.96613957643
1991,4,"Cod","Cod",7419.27802505301
1992,4,"Cod","Cod",7703.55812743184
1993,4,"Cod","Cod",8376.7517705152
1994,4,"Cod","Cod",9254.94015588813
1995,4,"Cod","Cod",8181.73946282971
1996,4,"Cod","Cod",9289.33275747808
1997,4,"Cod","Cod",9683.51914766397
1998,4,"Cod","Cod",2895.33502566827
1999,4,"Cod","Cod",2033.24718573625
2000,4,"Cod","Cod",1939.31463445969
2001,4,"Cod","Cod",1427.33886727538
2002,4,"Cod","Cod",1039.66880439074
2003,4,"Cod","Cod",1288.50996993992
2004,4,"Cod","Cod",1423.48086080382
2005,4,"Cod","Cod",1585.38943261272
2006,4,"Cod","Cod",1572.93424098607
2007,4,"Cod","Cod",1371.95069226306
2008,4,"Cod","Cod",1218.72115131423
2009,4,"Cod","Cod",1725.7435349599
2010,4,"Cod","Cod",1844.41050978303
2011,4,"Cod","Cod",1664.20116350062
2012,4,"Cod","Cod",2366.79154254587
2013,4,"Cod","Cod",2965.62519944432
2014,4,"Cod","Cod",2352.15697960748
2015,4,"Cod","Cod",1589.55019309664
2016,4,"Cod","Cod",1661.19490248659
2017,4,"Cod","Cod",2406.33647084396
2018,4,"Cod","Cod",778.13551907808
2019,4,"Cod","Cod",1317.92924369286
1974,3,"Fulmar","Cod",1890.31535038632
1975,3,"Fulmar","Cod",1244.6326126416
1976,3,"Fulmar","Cod",4169.75018434754
1977,3,"Fulmar","Cod",2732.55615365252
1978,3,"Fulmar","Cod",3202.2059170738
1979,3,"Fulmar","Cod",2455.622760448
1980,3,"Fulmar","Cod",2702.77141592796
1981,3,"Fulmar","Cod",5598.4879442128
1982,3,"Fulmar","Cod",3240.965532194
1983,3,"Fulmar","Cod",3281.58985343488
1984,3,"Fulmar","Cod",2679.5716760592
1985,3,"Fulmar","Cod",2853.77817967632
1986,3,"Fulmar","Cod",1902.35654802232
1987,3,"Fulmar","Cod",1599.624619684
1988,3,"Fulmar","Cod",1355.52040479648
1989,3,"Fulmar","Cod",1107.441914189
1990,3,"Fulmar","Cod",1444.17969358
1991,3,"Fulmar","Cod",1783.39373737824
1992,3,"Fulmar","Cod",1054.52720305504
1993,3,"Fulmar","Cod",1473.49199118186
1994,3,"Fulmar","Cod",1089.17603082392
1995,3,"Fulmar","Cod",958.27591461472
1996,3,"Fulmar","Cod",1268.56849332096
1997,3,"Fulmar","Cod",622.64686904784
1998,3,"Fulmar","Cod",964.24867336096
1999,3,"Fulmar","Cod",1337.15827353472
2000,3,"Fulmar","Cod",476.75677897848
2001,3,"Fulmar","Cod",567.60900001442
2002,3,"Fulmar","Cod",756.73088986066
2003,3,"Fulmar","Cod",1213.74865666626
2004,3,"Fulmar","Cod",1094.28598315036
2005,3,"Fulmar","Cod",1593.700481555
2006,3,"Fulmar","Cod",900.89050588264
2007,3,"Fulmar","Cod",846.63836257
2008,3,"Fulmar","Cod",955.206288738
2009,3,"Fulmar","Cod",567.781812572
2010,3,"Fulmar","Cod",461.35543230114
2011,3,"Fulmar","Cod",1117.10876363086
2012,3,"Fulmar","Cod",1188.10585784124
2013,3,"Fulmar","Cod",1017.1049879172
2014,3,"Fulmar","Cod",684.09677166688
2015,3,"Fulmar","Cod",575.599534445
2016,3,"Fulmar","Cod",550.64280613576
2017,3,"Fulmar","Cod",335.77025176136
2018,3,"Fulmar","Cod",468.92769014208
2019,3,"Fulmar","Cod",509.3707446243
1974,3,"G. gurnards","Cod",21680.5171294241
1975,3,"G. gurnards","Cod",9756.4098468928
1976,3,"G. gurnards","Cod",39054.394211053
1977,3,"G. gurnards","Cod",5069.92907870384
1978,3,"G. gurnards","Cod",42226.7783827058
1979,3,"G. gurnards","Cod",1115.89668379238
1980,3,"G. gurnards","Cod",3619.1238894044
1981,3,"G. gurnards","Cod",97389.583759364
1982,3,"G. gurnards","Cod",23112.4716880252
