"Year","scenario","Species","variable","Age","value"
"1975","2018","Cod","M2","0",1.125051
"1976","2018","Cod","M2","0",1.544258
"1977","2018","Cod","M2","0",1.277601
"1978","2018","Cod","M2","0",1.627216
"1979","2018","Cod","M2","0",1.042707
"1980","2018","Cod","M2","0",1.461407
"1981","2018","Cod","M2","0",2.281433
"1982","2018","Cod","M2","0",1.742254
"1983","2018","Cod","M2","0",1.416095
"1984","2018","Cod","M2","0",2.106967
"1985","2018","Cod","M2","0",1.343804
"1986","2018","Cod","M2","0",1.61045
"1987","2018","Cod","M2","0",1.937396
"1988","2018","Cod","M2","0",1.32947
"1989","2018","Cod","M2","0",1.821698
"1990","2018","Cod","M2","0",1.807544
"1991","2018","Cod","M2","0",1.527314
"1992","2018","Cod","M2","0",1.772307
"1993","2018","Cod","M2","0",1.68494
"1994","2018","Cod","M2","0",1.680584
"1995","2018","Cod","M2","0",2.039288
"1996","2018","Cod","M2","0",1.763917
"1997","2018","Cod","M2","0",2.108645
"1998","2018","Cod","M2","0",2.271774
"1999","2018","Cod","M2","0",2.543304
"2000","2018","Cod","M2","0",2.294676
"2001","2018","Cod","M2","0",2.284786
"2002","2018","Cod","M2","0",2.53468
"2003","2018","Cod","M2","0",2.637138
"2004","2018","Cod","M2","0",2.359388
"2005","2018","Cod","M2","0",2.410415
"2006","2018","Cod","M2","0",2.428413
"2007","2018","Cod","M2","0",2.451027
"2008","2018","Cod","M2","0",2.343932
"2009","2018","Cod","M2","0",1.902654
"2010","2018","Cod","M2","0",2.205933
"2011","2018","Cod","M2","0",2.720681
"2012","2018","Cod","M2","0",2.783068
"2013","2018","Cod","M2","0",2.501395
"2014","2018","Cod","M2","0",2.440587
"2015","2018","Cod","M2","0",2.608355
"2016","2018","Cod","M2","0",2.357224
"2017","2018","Cod","M2","0",2.702138
"2018","2018","Cod","M2","0",1.886372
"1975","2019","Cod","M2","0",1.122889
"1976","2019","Cod","M2","0",1.533624
"1977","2019","Cod","M2","0",1.267695
"1978","2019","Cod","M2","0",1.586154
"1979","2019","Cod","M2","0",1.031026
"1980","2019","Cod","M2","0",1.446497
"1981","2019","Cod","M2","0",2.268724
"1982","2019","Cod","M2","0",1.774246
"1983","2019","Cod","M2","0",1.416278
"1984","2019","Cod","M2","0",2.142677
"1985","2019","Cod","M2","0",1.332551
"1986","2019","Cod","M2","0",1.600013
"1987","2019","Cod","M2","0",1.921466
"1988","2019","Cod","M2","0",1.328364
"1989","2019","Cod","M2","0",1.835773
"1990","2019","Cod","M2","0",1.802776
"1991","2019","Cod","M2","0",1.532889
"1992","2019","Cod","M2","0",1.76338
"1993","2019","Cod","M2","0",1.664987
"1994","2019","Cod","M2","0",1.684456
"1995","2019","Cod","M2","0",2.019275
"1996","2019","Cod","M2","0",1.757867
"1997","2019","Cod","M2","0",2.124605
"1998","2019","Cod","M2","0",2.291092
"1999","2019","Cod","M2","0",2.55017
"2000","2019","Cod","M2","0",2.293677
"2001","2019","Cod","M2","0",2.310638
"2002","2019","Cod","M2","0",2.559105
"2003","2019","Cod","M2","0",2.640586
"2004","2019","Cod","M2","0",2.361964
"2005","2019","Cod","M2","0",2.413602
"2006","2019","Cod","M2","0",2.430946
"2007","2019","Cod","M2","0",2.455751
"2008","2019","Cod","M2","0",2.377749
"2009","2019","Cod","M2","0",1.956899
"2010","2019","Cod","M2","0",2.298578
"2011","2019","Cod","M2","0",2.793272
"2012","2019","Cod","M2","0",2.779206
"2013","2019","Cod","M2","0",2.50009
"2014","2019","Cod","M2","0",2.481636
"2015","2019","Cod","M2","0",2.764401
"2016","2019","Cod","M2","0",2.445838
"2017","2019","Cod","M2","0",2.735503
"2018","2019","Cod","M2","0",2.147797
"2019","2019","Cod","M2","0",1.631587
"1975","2020","Cod","M2","0",1.124548
"1976","2020","Cod","M2","0",1.545707
"1977","2020","Cod","M2","0",1.268683
"1978","2020","Cod","M2","0",1.628338
"1979","2020","Cod","M2","0",1.035768
"1980","2020","Cod","M2","0",1.453282
"1981","2020","Cod","M2","0",2.290458
"1982","2020","Cod","M2","0",1.742669
"1983","2020","Cod","M2","0",1.412191
"1984","2020","Cod","M2","0",2.10645
"1985","2020","Cod","M2","0",1.338388
"1986","2020","Cod","M2","0",1.603772
"1987","2020","Cod","M2","0",1.91713
"1988","2020","Cod","M2","0",1.323679
"1989","2020","Cod","M2","0",1.805914
"1990","2020","Cod","M2","0",1.800603
"1991","2020","Cod","M2","0",1.521636
"1992","2020","Cod","M2","0",1.767557
"1993","2020","Cod","M2","0",1.680928
"1994","2020","Cod","M2","0",1.687386
"1995","2020","Cod","M2","0",2.042368
"1996","2020","Cod","M2","0",1.764285
"1997","2020","Cod","M2","0",2.111802
"1998","2020","Cod","M2","0",2.284514
"1999","2020","Cod","M2","0",2.573012
"2000","2020","Cod","M2","0",2.306201
"2001","2020","Cod","M2","0",2.297421
"2002","2020","Cod","M2","0",2.551747
"2003","2020","Cod","M2","0",2.656355
"2004","2020","Cod","M2","0",2.383474
"2005","2020","Cod","M2","0",2.431748
"2006","2020","Cod","M2","0",2.454466
"2007","2020","Cod","M2","0",2.476716
"2008","2020","Cod","M2","0",2.377536
"2009","2020","Cod","M2","0",1.923533
"2010","2020","Cod","M2","0",2.237097
"2011","2020","Cod","M2","0",2.75489
"2012","2020","Cod","M2","0",2.814082
"2013","2020","Cod","M2","0",2.550098
"2014","2020","Cod","M2","0",2.494224
"2015","2020","Cod","M2","0",2.659198
"2016","2020","Cod","M2","0",2.396694
"2017","2020","Cod","M2","0",2.647218
"2018","2020","Cod","M2","0",2.154856
"2019","2020","Cod","M2","0",1.797051
"2020","2020","Cod","M2","0",1.682445
"1975","2021","Cod","M2","0",1.129798
