"Year","scenario","Species","variable","Age","value"
"1974","2020","Cod","M2","0",1.88889078006145
"1975","2020","Cod","M2","0",1.7562238021491
"1976","2020","Cod","M2","0",2.16168674165046
"1977","2020","Cod","M2","0",1.87153894285439
"1978","2020","Cod","M2","0",2.43841994070659
"1979","2020","Cod","M2","0",1.4532852965986
"1980","2020","Cod","M2","0",2.1401577882387
"1981","2020","Cod","M2","0",2.89466197465147
"1982","2020","Cod","M2","0",2.35592010374917
"1983","2020","Cod","M2","0",1.87517750930347
"1984","2020","Cod","M2","0",2.82091162440466
"1985","2020","Cod","M2","0",1.64495823380487
"1986","2020","Cod","M2","0",2.07736320749776
"1987","2020","Cod","M2","0",2.06607198100543
"1988","2020","Cod","M2","0",1.44924225833615
"1989","2020","Cod","M2","0",1.88987934105853
"1990","2020","Cod","M2","0",2.20624726120964
"1991","2020","Cod","M2","0",1.96478693170226
"1992","2020","Cod","M2","0",2.39460640146504
"1993","2020","Cod","M2","0",2.1856011643931
"1994","2020","Cod","M2","0",2.48312321369622
"1995","2020","Cod","M2","0",2.63072070639986
"1996","2020","Cod","M2","0",2.22855086101734
"1997","2020","Cod","M2","0",3.37304817700692
"1998","2020","Cod","M2","0",3.1329144826913
"1999","2020","Cod","M2","0",3.34135918623558
"2000","2020","Cod","M2","0",3.14687412887152
"2001","2020","Cod","M2","0",3.22543212805476
"2002","2020","Cod","M2","0",3.80301754558776
"2003","2020","Cod","M2","0",3.65387026517182
"2004","2020","Cod","M2","0",3.583336568831
"2005","2020","Cod","M2","0",3.48696349716398
"2006","2020","Cod","M2","0",3.72485650800921
"2007","2020","Cod","M2","0",3.8202753219913
"2008","2020","Cod","M2","0",3.90942003265056
"2009","2020","Cod","M2","0",3.26488797720079
"2010","2020","Cod","M2","0",3.84130294190338
"2011","2020","Cod","M2","0",4.23566348309946
"2012","2020","Cod","M2","0",3.97032562181035
"2013","2020","Cod","M2","0",3.84229142504617
"2014","2020","Cod","M2","0",4.21413243045329
"2015","2020","Cod","M2","0",4.42328729371331
"2016","2020","Cod","M2","0",3.669790567939
"2017","2020","Cod","M2","0",4.14840162794565
"2018","2020","Cod","M2","0",3.32156607316585
"2019","2020","Cod","M2","0",2.43001797661816
"1974","2023","Cod","M2","0",1.16195843701551
"1975","2023","Cod","M2","0",1.10555493121875
"1976","2023","Cod","M2","0",1.5182973936148
"1977","2023","Cod","M2","0",1.26744555382294
"1978","2023","Cod","M2","0",1.5995236557286
"1979","2023","Cod","M2","0",1.03827487052818
