Predator,Species.n,Year,Quarter,Age,StockAbundance,MaenWeightInTheSea,FoodRation
Fulmar,1,1963,1,1,623,5,34.42
Fulmar,1,1963,2,1,817,5,28.72
Fulmar,1,1963,3,0,0,-1,0
Fulmar,1,1963,3,1,1021,5,27.091
Fulmar,1,1963,4,0,0,-1,0
Fulmar,1,1963,4,1,954,5,34.42
Fulmar,1,1964,1,1,718,5,34.42
Fulmar,1,1964,2,1,941,5,28.72
Fulmar,1,1964,3,0,0,-1,0
Fulmar,1,1964,3,1,1176,5,27.091
Fulmar,1,1964,4,0,0,-1,0
Fulmar,1,1964,4,1,1099,5,34.42
Fulmar,1,1965,1,1,813,5,34.42
Fulmar,1,1965,2,1,1065,5,28.72
Fulmar,1,1965,3,0,0,-1,0
Fulmar,1,1965,3,1,1332,5,27.091
Fulmar,1,1965,4,0,0,-1,0
Fulmar,1,1965,4,1,1244,5,34.42
Fulmar,1,1966,1,1,906,5,34.42
Fulmar,1,1966,2,1,1187,5,28.72
Fulmar,1,1966,3,0,0,-1,0
Fulmar,1,1966,3,1,1484,5,27.091
Fulmar,1,1966,4,0,0,-1,0
Fulmar,1,1966,4,1,1386,5,34.42
Fulmar,1,1967,1,1,994,5,34.42
Fulmar,1,1967,2,1,1302,5,28.72
Fulmar,1,1967,3,0,0,-1,0
Fulmar,1,1967,3,1,1628,5,27.091
Fulmar,1,1967,4,0,0,-1,0
Fulmar,1,1967,4,1,1521,5,34.42
Fulmar,1,1968,1,1,1075,5,34.42
Fulmar,1,1968,2,1,1409,5,28.72
Fulmar,1,1968,3,0,0,-1,0
Fulmar,1,1968,3,1,1762,5,27.091
Fulmar,1,1968,4,0,0,-1,0
Fulmar,1,1968,4,1,1646,5,34.42
Fulmar,1,1969,1,1,1149,5,34.42
Fulmar,1,1969,2,1,1506,5,28.72
Fulmar,1,1969,3,0,0,-1,0
Fulmar,1,1969,3,1,1883,5,27.091
Fulmar,1,1969,4,0,0,-1,0
Fulmar,1,1969,4,1,1759,5,34.42
Fulmar,1,1970,1,1,1214,5,34.42
Fulmar,1,1970,2,1,1592,5,28.72
Fulmar,1,1970,3,0,0,-1,0
Fulmar,1,1970,3,1,1990,5,27.091
Fulmar,1,1970,4,0,0,-1,0
Fulmar,1,1970,4,1,1859,5,34.42
Fulmar,1,1971,1,1,1271,5,34.42
Fulmar,1,1971,2,1,1667,5,28.72
Fulmar,1,1971,3,0,0,-1,0
Fulmar,1,1971,3,1,2084,5,27.091
Fulmar,1,1971,4,0,0,-1,0
Fulmar,1,1971,4,1,1946,5,34.42
Fulmar,1,1972,1,1,1321,5,34.42
Fulmar,1,1972,2,1,1731,5,28.72
Fulmar,1,1972,3,0,0,-1,0
Fulmar,1,1972,3,1,2164,5,27.091
Fulmar,1,1972,4,0,0,-1,0
Fulmar,1,1972,4,1,2022,5,34.42
Fulmar,1,1973,1,1,1362,5,34.42
Fulmar,1,1973,2,1,1786,5,28.72
Fulmar,1,1973,3,0,0,-1,0
Fulmar,1,1973,3,1,2233,5,27.091
