"Year","Predator","Prey","Prey.no","eatenW"
1989,"G. gurnards","Cod",17,2642.42862414714
1990,"G. gurnards","Cod",17,4429.7683665429
1991,"G. gurnards","Cod",17,5579.88358794708
1992,"G. gurnards","Cod",17,5774.56108799572
1993,"G. gurnards","Cod",17,9176.0933778816
1994,"G. gurnards","Cod",17,9453.786353395
1995,"G. gurnards","Cod",17,11470.705742095
1996,"G. gurnards","Cod",17,16622.8413961442
1997,"G. gurnards","Cod",17,6105.957582205
1998,"G. gurnards","Cod",17,10186.7468574798
1999,"G. gurnards","Cod",17,18588.1119601066
2000,"G. gurnards","Cod",17,5144.4846323845
2001,"G. gurnards","Cod",17,6769.3957993069
2002,"G. gurnards","Cod",17,5706.1455203862
2003,"G. gurnards","Cod",17,9226.348289698
2004,"G. gurnards","Cod",17,4212.51785761778
2005,"G. gurnards","Cod",17,5762.2853960582
2006,"G. gurnards","Cod",17,3492.50914983272
2007,"G. gurnards","Cod",17,3056.71473700588
2008,"G. gurnards","Cod",17,2941.85743009876
2009,"G. gurnards","Cod",17,5387.2347256
2010,"G. gurnards","Cod",17,5828.27945395172
1963,"Gannet","Cod",17,1325.6627993051
1964,"Gannet","Cod",17,2669.911505924
1965,"Gannet","Cod",17,3508.41679765
1966,"Gannet","Cod",17,5147.8644542574
1967,"Gannet","Cod",17,3975.048730898
1968,"Gannet","Cod",17,2268.581580355
1969,"Gannet","Cod",17,2655.7176785974
1970,"Gannet","Cod",17,5670.6335653716
1971,"Gannet","Cod",17,6285.6043364315
1972,"Gannet","Cod",17,2225.0475768547
1973,"Gannet","Cod",17,3199.8360095944
1974,"Gannet","Cod",17,2362.6107663327
1975,"Gannet","Cod",17,4264.8299682914
1976,"Gannet","Cod",17,2902.2618916748
1977,"Gannet","Cod",17,5345.5129408799
1978,"Gannet","Cod",17,4399.474393405
1979,"Gannet","Cod",17,3878.133856778
1980,"Gannet","Cod",17,5890.1540817074
1981,"Gannet","Cod",17,2666.9020890986
1982,"Gannet","Cod",17,4550.1230702772
1983,"Gannet","Cod",17,3331.671670168
1984,"Gannet","Cod",17,5512.9089437146
1985,"Gannet","Cod",17,1689.8168379218
1986,"Gannet","Cod",17,4708.1421883837
1987,"Gannet","Cod",17,2643.2382229087
1988,"Gannet","Cod",17,2056.0209945378
1989,"Gannet","Cod",17,3456.8487358128
1990,"Gannet","Cod",17,1707.891443008
1991,"Gannet","Cod",17,1950.8381200321
1992,"Gannet","Cod",17,3421.634870618
1993,"Gannet","Cod",17,2121.894067293
1994,"Gannet","Cod",17,3278.6078634528
1995,"Gannet","Cod",17,2554.3311932884
1996,"Gannet","Cod",17,1980.767203658
1997,"Gannet","Cod",17,3345.791351623
1998,"Gannet","Cod",17,869.26914707175
1999,"Gannet","Cod",17,1612.3924748048
2000,"Gannet","Cod",17,2552.9280573097
2001,"Gannet","Cod",17,1024.33686880784
2002,"Gannet","Cod",17,1159.92754208059
2003,"Gannet","Cod",17,742.7034985833
2004,"Gannet","Cod",17,1293.45906629504
2005,"Gannet","Cod",17,931.27175093164
2006,"Gannet","Cod",17,2215.876633871
2007,"Gannet","Cod",17,1037.21951722048
2008,"Gannet","Cod",17,1222.63628947958
2009,"Gannet","Cod",17,1111.34384261546
2010,"Gannet","Cod",17,1923.9122869844
1963,"GBB. Gull","Cod",17,80.928694612324
1964,"GBB. Gull","Cod",17,184.995923500388
1965,"GBB. Gull","Cod",17,357.5912658591
1966,"GBB. Gull","Cod",17,229.657447591
1967,"GBB. Gull","Cod",17,34.2216809077
1968,"GBB. Gull","Cod",17,75.70613542765
1969,"GBB. Gull","Cod",17,242.45966443725
1970,"GBB. Gull","Cod",17,236.383579093714
1971,"GBB. Gull","Cod",17,56.63533914701
1972,"GBB. Gull","Cod",17,100.4478321132
1973,"GBB. Gull","Cod",17,89.051599256958
1974,"GBB. Gull","Cod",17,92.390447464744
1975,"GBB. Gull","Cod",17,100.993777476176
1976,"GBB. Gull","Cod",17,248.29487044011
1977,"GBB. Gull","Cod",17,201.05352957365
1978,"GBB. Gull","Cod",17,173.762342162136
1979,"GBB. Gull","Cod",17,172.563774111534
1980,"GBB. Gull","Cod",17,144.18357821088
1981,"GBB. Gull","Cod",17,276.453551098816
1982,"GBB. Gull","Cod",17,194.389865253792
1983,"GBB. Gull","Cod",17,181.10804043618
1984,"GBB. Gull","Cod",17,123.80256696808
1985,"GBB. Gull","Cod",17,201.960300500166
1986,"GBB. Gull","Cod",17,107.59837104627
1987,"GBB. Gull","Cod",17,101.9037257238
1988,"GBB. Gull","Cod",17,110.680986339924
1989,"GBB. Gull","Cod",17,70.400346592212
1990,"GBB. Gull","Cod",17,79.569436453234
1991,"GBB. Gull","Cod",17,116.64353933232
1992,"GBB. Gull","Cod",17,72.526459292794
1993,"GBB. Gull","Cod",17,115.6998430432
1994,"GBB. Gull","Cod",17,67.59577775769
1995,"GBB. Gull","Cod",17,63.00841788241
1996,"GBB. Gull","Cod",17,88.28404444431
1997,"GBB. Gull","Cod",17,23.772768826352
1998,"GBB. Gull","Cod",17,32.93582383104
1999,"GBB. Gull","Cod",17,37.953865344304
2000,"GBB. Gull","Cod",17,16.23484678257
2001,"GBB. Gull","Cod",17,21.341359423774
2002,"GBB. Gull","Cod",17,16.597426813825
2003,"GBB. Gull","Cod",17,27.72588770159
2004,"GBB. Gull","Cod",17,16.5374685902608
2005,"GBB. Gull","Cod",17,24.217161690592
2006,"GBB. Gull","Cod",17,16.5016244284606
2007,"GBB. Gull","Cod",17,16.1486056744896
2008,"GBB. Gull","Cod",17,15.0939452480856
2009,"GBB. Gull","Cod",17,27.95431330536
2010,"GBB. Gull","Cod",17,21.6933548578396
1963,"Grey seal","Cod",17,534.96846128444
1964,"Grey seal","Cod",17,980.427600929679
1965,"Grey seal","Cod",17,1383.46128272255
1966,"Grey seal","Cod",17,1847.32672566631
1967,"Grey seal","Cod",17,1848.806670341
1968,"Grey seal","Cod",17,1493.8690450758
1969,"Grey seal","Cod",17,1567.34162641983
1970,"Grey seal","Cod",17,2473.98313652746
1971,"Grey seal","Cod",17,2807.33569721565
1972,"Grey seal","Cod",17,2671.31430821942
1973,"Grey seal","Cod",17,2893.97930482445
1974,"Grey seal","Cod",17,2091.03354289071
1975,"Grey seal","Cod",17,2730.49201455204
1976,"Grey seal","Cod",17,3567.73184388791
1977,"Grey seal","Cod",17,4675.0713950762
1978,"Grey seal","Cod",17,4905.44090540789
1979,"Grey seal","Cod",17,5057.68408015394
1980,"Grey seal","Cod",17,5908.82981138724
1981,"Grey seal","Cod",17,5862.56895542183
1982,"Grey seal","Cod",17,6402.54072946636
1983,"Grey seal","Cod",17,6512.78538843778
1984,"Grey seal","Cod",17,6816.25479216232
1985,"Grey seal","Cod",17,7204.06604391942
1986,"Grey seal","Cod",17,6975.52192522444
1987,"Grey seal","Cod",17,6215.15581337614
1988,"Grey seal","Cod",17,7962.56934346091
1989,"Grey seal","Cod",17,8098.10602895438
1990,"Grey seal","Cod",17,7438.34533193961
1991,"Grey seal","Cod",17,7521.34068711326
1992,"Grey seal","Cod",17,7147.59586852705
1993,"Grey seal","Cod",17,8838.96809393412
1994,"Grey seal","Cod",17,10015.0972621102
1995,"Grey seal","Cod",17,9276.77204597016
1996,"Grey seal","Cod",17,9578.74026876321
1997,"Grey seal","Cod",17,7333.56771491783
1998,"Grey seal","Cod",17,8897.15771767383
1999,"Grey seal","Cod",17,9308.16891049062
2000,"Grey seal","Cod",17,9189.16742012058
2001,"Grey seal","Cod",17,9731.79738833391
2002,"Grey seal","Cod",17,9065.09575897594
2003,"Grey seal","Cod",17,9174.28503904046
2004,"Grey seal","Cod",17,9297.06137838595
2005,"Grey seal","Cod",17,9167.0164684135
2006,"Grey seal","Cod",17,10387.330021443
2007,"Grey seal","Cod",17,10534.6988125768
2008,"Grey seal","Cod",17,8995.92936908249
2009,"Grey seal","Cod",17,7710.16342440208
2010,"Grey seal","Cod",17,6778.29001329011
1963,"H. porpoise","Cod",17,17427.7839528272
1964,"H. porpoise","Cod",17,20936.7042720214
1965,"H. porpoise","Cod",17,35410.2789658977
1966,"H. porpoise","Cod",17,46215.7285865514
1967,"H. porpoise","Cod",17,43429.3772182644
1968,"H. porpoise","Cod",17,27050.3683000021
1969,"H. porpoise","Cod",17,25730.6552599832
1970,"H. porpoise","Cod",17,41568.5993441951
1971,"H. porpoise","Cod",17,54319.0738646517
1972,"H. porpoise","Cod",17,39418.6864509048
1973,"H. porpoise","Cod",17,24821.8921955558
1974,"H. porpoise","Cod",17,26798.3485549002
1975,"H. porpoise","Cod",17,25853.9943060786
1976,"H. porpoise","Cod",17,27878.2665325349
1977,"H. porpoise","Cod",17,32964.6912050518
1978,"H. porpoise","Cod",17,34722.3078441158
1979,"H. porpoise","Cod",17,27955.6433577337
1980,"H. porpoise","Cod",17,31420.9383816869
1981,"H. porpoise","Cod",17,33765.2565161897
1982,"H. porpoise","Cod",17,35757.6050034673
1983,"H. porpoise","Cod",17,39014.2810512779
1984,"H. porpoise","Cod",17,41104.6914318714
1985,"H. porpoise","Cod",17,37884.4215096313
1986,"H. porpoise","Cod",17,32566.7186891259
1987,"H. porpoise","Cod",17,31186.7011107421
1988,"H. porpoise","Cod",17,24273.0500463226
1989,"H. porpoise","Cod",17,19860.0002297424
1990,"H. porpoise","Cod",17,19945.0577588631
1991,"H. porpoise","Cod",17,18742.7345119631
1992,"H. porpoise","Cod",17,22379.1538626918
1993,"H. porpoise","Cod",17,26146.5254545487
1994,"H. porpoise","Cod",17,28778.5835426718
1995,"H. porpoise","Cod",17,30032.9582085793
1996,"H. porpoise","Cod",17,28345.7597549376
1997,"H. porpoise","Cod",17,31139.3904182222
1998,"H. porpoise","Cod",17,28144.3763759345
1999,"H. porpoise","Cod",17,20140.57350881
2000,"H. porpoise","Cod",17,19704.8301379271
2001,"H. porpoise","Cod",17,19503.5293904883
2002,"H. porpoise","Cod",17,16349.7170894689
2003,"H. porpoise","Cod",17,14590.0932125694
2004,"H. porpoise","Cod",17,15139.5190230078
2005,"H. porpoise","Cod",17,17019.7893710189
2006,"H. porpoise","Cod",17,21775.4083007338
2007,"H. porpoise","Cod",17,22533.1961865117
2008,"H. porpoise","Cod",17,17676.116894902
2009,"H. porpoise","Cod",17,15016.8272505672
2010,"H. porpoise","Cod",17,17785.1260053622
1963,"Her. Gull","Cod",17,64.0176043598
1964,"Her. Gull","Cod",17,148.690206753816
1965,"Her. Gull","Cod",17,297.7317191121
1966,"Her. Gull","Cod",17,196.8536154442
1967,"Her. Gull","Cod",17,29.105566325212
1968,"Her. Gull","Cod",17,64.1081956788
1969,"Her. Gull","Cod",17,205.798897856916
1970,"Her. Gull","Cod",17,206.58301096485
1971,"Her. Gull","Cod",17,50.414335054564
1972,"Her. Gull","Cod",17,83.9702581263
1973,"Her. Gull","Cod",17,76.639067685076
1974,"Her. Gull","Cod",17,81.4331475958
1975,"Her. Gull","Cod",17,83.93169764512
1976,"Her. Gull","Cod",17,206.88608289336
1977,"Her. Gull","Cod",17,172.50473683183
1978,"Her. Gull","Cod",17,148.374236447892
1979,"Her. Gull","Cod",17,148.948381641852
1980,"Her. Gull","Cod",17,126.22897792128
1981,"Her. Gull","Cod",17,240.036475106792
1982,"Her. Gull","Cod",17,171.794879319024
1983,"Her. Gull","Cod",17,157.50889522524
1984,"Her. Gull","Cod",17,108.32148712385
1985,"Her. Gull","Cod",17,173.418482713138
1986,"Her. Gull","Cod",17,95.124650173878
1987,"Her. Gull","Cod",17,90.99927458804
1988,"Her. Gull","Cod",17,94.131371722388
1989,"Her. Gull","Cod",17,60.953918925978
1990,"Her. Gull","Cod",17,71.4473288529
1991,"Her. Gull","Cod",17,110.335585532172
1992,"Her. Gull","Cod",17,72.466697337554
1993,"Her. Gull","Cod",17,120.98677003712
1994,"Her. Gull","Cod",17,77.94520208839
1995,"Her. Gull","Cod",17,82.59827540328
1996,"Her. Gull","Cod",17,129.968338686186
1997,"Her. Gull","Cod",17,41.596688263858
1998,"Her. Gull","Cod",17,56.182161694464
1999,"Her. Gull","Cod",17,68.16688614918
2000,"Her. Gull","Cod",17,30.233432096686
2001,"Her. Gull","Cod",17,39.0570730576
2002,"Her. Gull","Cod",17,32.2185442114536
2003,"Her. Gull","Cod",17,51.90949389054
2004,"Her. Gull","Cod",17,28.134061728864
2005,"Her. Gull","Cod",17,37.592393132866
2006,"Her. Gull","Cod",17,23.1253036365494
2007,"Her. Gull","Cod",17,19.9875559477568
2008,"Her. Gull","Cod",17,17.172992146856
2009,"Her. Gull","Cod",17,29.02011682908
2010,"Her. Gull","Cod",17,21.168265452776
1963,"Kittiwake","Cod",17,148.05252218692
1964,"Kittiwake","Cod",17,388.38416451198
1965,"Kittiwake","Cod",17,814.157769516
1966,"Kittiwake","Cod",17,521.2855411764
1967,"Kittiwake","Cod",17,73.35160650233
1968,"Kittiwake","Cod",17,181.3442805993
1969,"Kittiwake","Cod",17,690.89675537844
1970,"Kittiwake","Cod",17,617.84444486518
1971,"Kittiwake","Cod",17,134.093331918
1972,"Kittiwake","Cod",17,253.8194511645
1973,"Kittiwake","Cod",17,243.51958415824
1974,"Kittiwake","Cod",17,245.46184945568
1975,"Kittiwake","Cod",17,280.99922966128
1976,"Kittiwake","Cod",17,728.3719156662
1977,"Kittiwake","Cod",17,573.2247086163
1978,"Kittiwake","Cod",17,490.2891201663
1979,"Kittiwake","Cod",17,473.74676736894
1980,"Kittiwake","Cod",17,410.7869539488
1981,"Kittiwake","Cod",17,793.68118221756
1982,"Kittiwake","Cod",17,641.40212507904
1983,"Kittiwake","Cod",17,545.2564569894
1984,"Kittiwake","Cod",17,331.37323873654
1985,"Kittiwake","Cod",17,594.64490151716
1986,"Kittiwake","Cod",17,254.05318659864
1987,"Kittiwake","Cod",17,246.0526764696
1988,"Kittiwake","Cod",17,319.52027679572
1989,"Kittiwake","Cod",17,220.36129257246
1990,"Kittiwake","Cod",17,252.52297452278
1991,"Kittiwake","Cod",17,339.3486849753
1992,"Kittiwake","Cod",17,206.85691385268
1993,"Kittiwake","Cod",17,337.1046154944
1994,"Kittiwake","Cod",17,198.2749724319
1995,"Kittiwake","Cod",17,200.9607403804
1996,"Kittiwake","Cod",17,278.58698618322
1997,"Kittiwake","Cod",17,68.40356863795
1998,"Kittiwake","Cod",17,138.09503054256
1999,"Kittiwake","Cod",17,192.2258288314
2000,"Kittiwake","Cod",17,85.73197560161
2001,"Kittiwake","Cod",17,112.51639377472
2002,"Kittiwake","Cod",17,88.488670421294
2003,"Kittiwake","Cod",17,188.6481465739
2004,"Kittiwake","Cod",17,105.734519730112
2005,"Kittiwake","Cod",17,123.4067596125
2006,"Kittiwake","Cod",17,73.691080554806
2007,"Kittiwake","Cod",17,57.555019641912
2008,"Kittiwake","Cod",17,46.293218122736
2009,"Kittiwake","Cod",17,63.79600339814
2010,"Kittiwake","Cod",17,35.0921718800952
1963,"R. radiata","Cod",17,583.80947991938
1964,"R. radiata","Cod",17,1182.85319881274
1965,"R. radiata","Cod",17,1934.137743993
1966,"R. radiata","Cod",17,1535.6226200744
1967,"R. radiata","Cod",17,275.6104943813
1968,"R. radiata","Cod",17,427.4565177792
1969,"R. radiata","Cod",17,1235.78258158368
1970,"R. radiata","Cod",17,1430.6658937948
1971,"R. radiata","Cod",17,407.36202035022
1972,"R. radiata","Cod",17,575.680108068
1973,"R. radiata","Cod",17,486.49695840356
1974,"R. radiata","Cod",17,693.67588141852
1975,"R. radiata","Cod",17,483.7265058392
1976,"R. radiata","Cod",17,1126.0087083375
1977,"R. radiata","Cod",17,1112.9707980885
1978,"R. radiata","Cod",17,938.14157035872
1979,"R. radiata","Cod",17,955.31542818114
1980,"R. radiata","Cod",17,895.6074139584
1981,"R. radiata","Cod",17,1404.06369179804
1982,"R. radiata","Cod",17,1145.84704861536
1983,"R. radiata","Cod",17,1174.836128778
1984,"R. radiata","Cod",17,1217.75792326188
1985,"R. radiata","Cod",17,1279.1421052085
1986,"R. radiata","Cod",17,1317.74452428996
1987,"R. radiata","Cod",17,2626.088705331
1988,"R. radiata","Cod",17,753.68932771132
1989,"R. radiata","Cod",17,1246.825716825
1990,"R. radiata","Cod",17,1167.73428431816
1991,"R. radiata","Cod",17,1716.37160386692
1992,"R. radiata","Cod",17,2010.7169675086
1993,"R. radiata","Cod",17,2930.328861824
1994,"R. radiata","Cod",17,1183.8812545014
1995,"R. radiata","Cod",17,1425.668903477
1996,"R. radiata","Cod",17,1891.67767438078
1997,"R. radiata","Cod",17,663.85386769884
1998,"R. radiata","Cod",17,819.12362330136
1999,"R. radiata","Cod",17,950.794797589
2000,"R. radiata","Cod",17,540.85351274344
2001,"R. radiata","Cod",17,498.23644174148
2002,"R. radiata","Cod",17,401.646890892962
2003,"R. radiata","Cod",17,801.7714018847
2004,"R. radiata","Cod",17,264.044671120048
2005,"R. radiata","Cod",17,479.65938223528
2006,"R. radiata","Cod",17,259.379940034358
2007,"R. radiata","Cod",17,347.785388559752
2008,"R. radiata","Cod",17,203.108372011116
2009,"R. radiata","Cod",17,336.4401739868
2010,"R. radiata","Cod",17,191.061799570252
1963,"Whiting","Cod",17,17360.0503938907
1964,"Whiting","Cod",17,45787.7378644029
1965,"Whiting","Cod",17,64792.4383088481
1966,"Whiting","Cod",17,41826.8078745407
1967,"Whiting","Cod",17,8210.57252617603
1968,"Whiting","Cod",17,13897.2485824333
1969,"Whiting","Cod",17,50549.4780049041
1970,"Whiting","Cod",17,26649.3986293665
1971,"Whiting","Cod",17,11873.7382319996
1972,"Whiting","Cod",17,11732.5274098554
1973,"Whiting","Cod",17,13684.8360945049
1974,"Whiting","Cod",17,12939.3109556625
1975,"Whiting","Cod",17,14519.682070584
1976,"Whiting","Cod",17,34132.043014427
1977,"Whiting","Cod",17,35222.7414756433
1978,"Whiting","Cod",17,25275.5901969687
1979,"Whiting","Cod",17,28990.4910824144
1980,"Whiting","Cod",17,32205.6624743034
1981,"Whiting","Cod",17,36364.3806891078
1982,"Whiting","Cod",17,29781.8420632027
1983,"Whiting","Cod",17,17186.4015840159
1984,"Whiting","Cod",17,14279.4652040256
1985,"Whiting","Cod",17,19316.2960426226
1986,"Whiting","Cod",17,16108.2592942769
1987,"Whiting","Cod",17,14069.4413861027
1988,"Whiting","Cod",17,14508.7420760671
1989,"Whiting","Cod",17,12662.1750537739
1990,"Whiting","Cod",17,13481.5124123561
1991,"Whiting","Cod",17,17744.6890920959
1992,"Whiting","Cod",17,14550.9017493285
1993,"Whiting","Cod",17,16650.5313901745
1994,"Whiting","Cod",17,12005.1869117156
1995,"Whiting","Cod",17,10892.4995715049
1996,"Whiting","Cod",17,13200.5492044442
1997,"Whiting","Cod",17,5143.05892865355
1998,"Whiting","Cod",17,5102.29713920316
1999,"Whiting","Cod",17,5805.96198532534
2000,"Whiting","Cod",17,3564.14009111736
2001,"Whiting","Cod",17,5159.71913818106
2002,"Whiting","Cod",17,4691.5999108383
2003,"Whiting","Cod",17,7063.60486053321
2004,"Whiting","Cod",17,4137.68536905032
2005,"Whiting","Cod",17,3911.21195857141
2006,"Whiting","Cod",17,2739.14314922585
2007,"Whiting","Cod",17,2368.33900328907
2008,"Whiting","Cod",17,2268.68654987593
2009,"Whiting","Cod",17,3882.47165606919
2010,"Whiting","Cod",17,4166.90780407055
1963,"Cod","Whiting",18,134226.328673942
1964,"Cod","Whiting",18,164778.442914973
1965,"Cod","Whiting",18,201086.004696615
1966,"Cod","Whiting",18,191805.625742905
1967,"Cod","Whiting",18,188404.1918626
1968,"Cod","Whiting",18,232150.287491617
1969,"Cod","Whiting",18,187161.545513073
1970,"Cod","Whiting",18,155560.986419031
1971,"Cod","Whiting",18,177723.947417253
1972,"Cod","Whiting",18,251995.463071457
1973,"Cod","Whiting",18,258582.137199944
1974,"Cod","Whiting",18,161566.996755392
1975,"Cod","Whiting",18,200927.35082745
1976,"Cod","Whiting",18,252926.30614697
1977,"Cod","Whiting",18,269331.302965774
1978,"Cod","Whiting",18,279969.607252882
1979,"Cod","Whiting",18,265975.947125945
1980,"Cod","Whiting",18,313261.74508749
1981,"Cod","Whiting",18,221072.335648629
1982,"Cod","Whiting",18,137229.103911462
1983,"Cod","Whiting",18,105860.39374554
1984,"Cod","Whiting",18,148986.833880671
1985,"Cod","Whiting",18,141498.527717074
1986,"Cod","Whiting",18,160467.831193187
1987,"Cod","Whiting",18,172518.315610268
1988,"Cod","Whiting",18,156674.205214387
1989,"Cod","Whiting",18,188485.897791549
1990,"Cod","Whiting",18,147351.612063802
1991,"Cod","Whiting",18,102813.5028674
1992,"Cod","Whiting",18,92816.8455416607
1993,"Cod","Whiting",18,105678.786427307
1994,"Cod","Whiting",18,105409.162364689
1995,"Cod","Whiting",18,101797.84782838
1996,"Cod","Whiting",18,80969.4039184557
1997,"Cod","Whiting",18,73466.1913108598
1998,"Cod","Whiting",18,79545.0603339755
1999,"Cod","Whiting",18,63379.2605988633
2000,"Cod","Whiting",18,62964.4039983798
2001,"Cod","Whiting",18,72186.793614607
2002,"Cod","Whiting",18,56466.9988592571
2003,"Cod","Whiting",18,40051.6125709091
2004,"Cod","Whiting",18,28825.5121894447
2005,"Cod","Whiting",18,22266.5098370477
2006,"Cod","Whiting",18,27097.5474948702
2007,"Cod","Whiting",18,35957.6162921595
2008,"Cod","Whiting",18,43380.521503417
2009,"Cod","Whiting",18,41702.111234592
2010,"Cod","Whiting",18,49537.7402907578
1963,"Fulmar","Whiting",18,967.830126912
1964,"Fulmar","Whiting",18,1247.3441059968
1965,"Fulmar","Whiting",18,1182.9233818824
1966,"Fulmar","Whiting",18,1128.46099978
1967,"Fulmar","Whiting",18,2561.133382912
1968,"Fulmar","Whiting",18,1138.608705325
1969,"Fulmar","Whiting",18,1607.689586022
1970,"Fulmar","Whiting",18,1713.86877777
1971,"Fulmar","Whiting",18,2319.86624226
1972,"Fulmar","Whiting",18,4292.740835832
1973,"Fulmar","Whiting",18,2510.372207375
1974,"Fulmar","Whiting",18,2925.468192312
1975,"Fulmar","Whiting",18,4140.3494607
1976,"Fulmar","Whiting",18,4265.986609728
1977,"Fulmar","Whiting",18,4164.429192447
