"Year","Predator","Prey","Prey.no","eatenW"
1963,"Cod","Cod",17,40563.0755462433
1964,"Cod","Cod",17,81106.75344709
1965,"Cod","Cod",17,176447.136405494
1966,"Cod","Cod",17,269014.864494424
1967,"Cod","Cod",17,208742.441991392
1968,"Cod","Cod",17,87611.2561319622
1969,"Cod","Cod",17,101562.262533965
1970,"Cod","Cod",17,194133.010231576
1971,"Cod","Cod",17,209339.858585736
1972,"Cod","Cod",17,134241.211098449
1973,"Cod","Cod",17,110122.652444806
1974,"Cod","Cod",17,93354.9847089072
1975,"Cod","Cod",17,92530.1023370474
1976,"Cod","Cod",17,122533.075051882
1977,"Cod","Cod",17,162673.905455382
1978,"Cod","Cod",17,147142.824252356
1979,"Cod","Cod",17,146677.434658412
1980,"Cod","Cod",17,141261.186144107
1981,"Cod","Cod",17,137592.682022454
1982,"Cod","Cod",17,114709.699605209
1983,"Cod","Cod",17,100927.717908895
1984,"Cod","Cod",17,113073.721973568
1985,"Cod","Cod",17,100309.714804512
1986,"Cod","Cod",17,89830.3807054085
1987,"Cod","Cod",17,71577.3525429275
1988,"Cod","Cod",17,56011.6986987378
1989,"Cod","Cod",17,49810.1933280395
1990,"Cod","Cod",17,43049.1259232078
1991,"Cod","Cod",17,35638.9658156336
1992,"Cod","Cod",17,42208.5180205947
1993,"Cod","Cod",17,49121.0750712629
1994,"Cod","Cod",17,57662.1083906763
1995,"Cod","Cod",17,52299.2423960184
1996,"Cod","Cod",17,51295.6985717082
1997,"Cod","Cod",17,48447.7923853147
1998,"Cod","Cod",17,27515.2558841946
1999,"Cod","Cod",17,18880.8836244133
2000,"Cod","Cod",17,15700.4686174995
2001,"Cod","Cod",17,10980.3512970561
2002,"Cod","Cod",17,10048.282751628
2003,"Cod","Cod",17,9541.90919188616
2004,"Cod","Cod",17,8315.837936
2005,"Cod","Cod",17,7894.95306682838
2006,"Cod","Cod",17,10801.532562234
2007,"Cod","Cod",17,10923.8640406457
2008,"Cod","Cod",17,9947.84215006535
2009,"Cod","Cod",17,11134.9047565355
2010,"Cod","Cod",17,14269.9855613674
1963,"Fulmar","Cod",17,506.2868357807
1964,"Fulmar","Cod",17,1360.6703443424
1965,"Fulmar","Cod",17,2983.891197378
1966,"Fulmar","Cod",17,2319.1974835172
1967,"Fulmar","Cod",17,425.62532387154
1968,"Fulmar","Cod",17,863.2500142266
1969,"Fulmar","Cod",17,3046.7370991356
1970,"Fulmar","Cod",17,3396.51368910048
1971,"Fulmar","Cod",17,888.38272240042
1972,"Fulmar","Cod",17,1374.849321534
1973,"Fulmar","Cod",17,1383.72146969966
1974,"Fulmar","Cod",17,1560.81462374552
1975,"Fulmar","Cod",17,1446.2587788376
1976,"Fulmar","Cod",17,3676.7675347728
1977,"Fulmar","Cod",17,3098.1614764217
1978,"Fulmar","Cod",17,2772.81858465066
1979,"Fulmar","Cod",17,2837.11295513724
1980,"Fulmar","Cod",17,2365.3220163456
1981,"Fulmar","Cod",17,4384.45456225504
1982,"Fulmar","Cod",17,3194.744801976
1983,"Fulmar","Cod",17,2914.62296112
1984,"Fulmar","Cod",17,1881.38168432214
1985,"Fulmar","Cod",17,3089.8773062066
1986,"Fulmar","Cod",17,1610.76051263088
1987,"Fulmar","Cod",17,1466.5712437922
1988,"Fulmar","Cod",17,1651.53175399212
1989,"Fulmar","Cod",17,1102.00351944618
1990,"Fulmar","Cod",17,1279.6892629794
1991,"Fulmar","Cod",17,1807.84322933214
1992,"Fulmar","Cod",17,1163.50420739462
1993,"Fulmar","Cod",17,1760.2895688768
1994,"Fulmar","Cod",17,1108.4873918482
1995,"Fulmar","Cod",17,1020.2111240321
1996,"Fulmar","Cod",17,1404.13098779382
1997,"Fulmar","Cod",17,386.0346597016
1998,"Fulmar","Cod",17,599.23809864984
1999,"Fulmar","Cod",17,809.19469814092
2000,"Fulmar","Cod",17,322.16117186773
2001,"Fulmar","Cod",17,402.82896164966
2002,"Fulmar","Cod",17,331.855718519182
2003,"Fulmar","Cod",17,587.4393876637
2004,"Fulmar","Cod",17,323.796212888512
2005,"Fulmar","Cod",17,451.6850136006
2006,"Fulmar","Cod",17,265.4930710575
2007,"Fulmar","Cod",17,226.254784597192
2008,"Fulmar","Cod",17,194.12905742737
2009,"Fulmar","Cod",17,318.9789749458
2010,"Fulmar","Cod",17,207.260385635524
1963,"G. gurnards","Cod",17,2834.13406910354
1964,"G. gurnards","Cod",17,5819.42483959878
1965,"G. gurnards","Cod",17,11245.323574668
1966,"G. gurnards","Cod",17,7655.181109884
1967,"G. gurnards","Cod",17,1194.07832467954
1968,"G. gurnards","Cod",17,2165.2634279836
1969,"G. gurnards","Cod",17,6722.51272010586
1970,"G. gurnards","Cod",17,7552.0623207774
1971,"G. gurnards","Cod",17,606.934161411762
1972,"G. gurnards","Cod",17,355.86669012885
1973,"G. gurnards","Cod",17,7238.5315646426
1974,"G. gurnards","Cod",17,3567.50688005272
1975,"G. gurnards","Cod",17,3009.91714229778
1976,"G. gurnards","Cod",17,21055.6978625154
1977,"G. gurnards","Cod",17,1493.01201087279
1978,"G. gurnards","Cod",17,8374.66663916568
1979,"G. gurnards","Cod",17,539.911450380948
1980,"G. gurnards","Cod",17,1019.56417966248
1981,"G. gurnards","Cod",17,32785.9341554364
1982,"G. gurnards","Cod",17,10360.231882897
1983,"G. gurnards","Cod",17,7172.8630873074
1984,"G. gurnards","Cod",17,10593.6656807908
1985,"G. gurnards","Cod",17,5955.33365360208
1986,"G. gurnards","Cod",17,5985.74423198166
1987,"G. gurnards","Cod",17,2746.6078740174
1988,"G. gurnards","Cod",17,2004.08272275197
