Year label Species variable Age M2 Species.n Lab
2005 abc abc M2 0 NA 11 3
2006 abc abc M2 0 NA 11 3
2007 abc abc M2 0 NA 11 3
2008 abc abc M2 0 NA 11 3
2009 abc abc M2 0 NA 11 3
2010 abc abc M2 0 NA 11 3
1963 abc abc M2 0 NA 13 1
1964 abc abc M2 0 NA 13 1
1965 abc abc M2 0 NA 13 1
1966 abc abc M2 0 NA 13 1
1967 abc abc M2 0 NA 13 1
1968 abc abc M2 0 NA 13 1
1969 abc abc M2 0 NA 13 1
1970 abc abc M2 0 NA 13 1
1971 abc abc M2 0 NA 13 1
1972 abc abc M2 0 NA 13 1
1973 abc abc M2 0 NA 13 1
1974 abc abc M2 0 NA 13 1
1975 abc abc M2 0 NA 13 1
1976 abc abc M2 0 NA 13 1
1977 abc abc M2 0 NA 13 1
1978 abc abc M2 0 NA 13 1
1979 abc abc M2 0 NA 13 1
1980 abc abc M2 0 NA 13 1
1981 abc abc M2 0 NA 13 1
1982 abc abc M2 0 NA 13 1
1983 abc abc M2 0 NA 13 1
1984 abc abc M2 0 NA 13 1
1985 abc abc M2 0 NA 13 1
1986 abc abc M2 0 NA 13 1
1987 abc abc M2 0 NA 13 1
1988 abc abc M2 0 NA 13 1
1989 abc abc M2 0 NA 13 1
1990 abc abc M2 0 NA 13 1
1991 abc abc M2 0 NA 13 1
1992 abc abc M2 0 NA 13 1
1993 abc abc M2 0 NA 13 1
1994 abc abc M2 0 NA 13 1
1995 abc abc M2 0 NA 13 1
1996 abc abc M2 0 NA 13 1
1997 abc abc M2 0 NA 13 1
1998 abc abc M2 0 NA 13 1
1999 abc abc M2 0 NA 13 1
2000 abc abc M2 0 NA 13 1
2001 abc abc M2 0 NA 13 1
2002 abc abc M2 0 NA 13 1
2003 abc abc M2 0 NA 13 1
2004 abc abc M2 0 NA 13 1
2005 abc abc M2 0 NA 13 1
2006 abc abc M2 0 NA 13 1
2007 abc abc M2 0 NA 13 1
2008 abc abc M2 0 NA 13 1
2009 abc abc M2 0 NA 13 1
2010 abc abc M2 0 NA 13 1
1963 abc abc M2 0 NA 13 2
1964 abc abc M2 0 NA 13 2
1965 abc abc M2 0 NA 13 2
1966 abc abc M2 0 NA 13 2
1967 abc abc M2 0 NA 13 2
1968 abc abc M2 0 NA 13 2
1969 abc abc M2 0 NA 13 2
1970 abc abc M2 0 NA 13 2
1971 abc abc M2 0 NA 13 2
1972 abc abc M2 0 NA 13 2
1973 abc abc M2 0 NA 13 2
1974 abc abc M2 0 NA 13 2
1975 abc abc M2 0 NA 13 2
1976 abc abc M2 0 NA 13 2
1977 abc abc M2 0 NA 13 2
1978 abc abc M2 0 NA 13 2
1979 abc abc M2 0 NA 13 2
1980 abc abc M2 0 NA 13 2
1981 abc abc M2 0 NA 13 2
1982 abc abc M2 0 NA 13 2
1983 abc abc M2 0 NA 13 2
1984 abc abc M2 0 NA 13 2
1985 abc abc M2 0 NA 13 2
1986 abc abc M2 0 NA 13 2
1987 abc abc M2 0 NA 13 2
1988 abc abc M2 0 NA 13 2
1989 abc abc M2 0 NA 13 2
1990 abc abc M2 0 NA 13 2
1991 abc abc M2 0 NA 13 2
1992 abc abc M2 0 NA 13 2
1993 abc abc M2 0 NA 13 2
1994 abc abc M2 0 NA 13 2
1995 abc abc M2 0 NA 13 2
1996 abc abc M2 0 NA 13 2
1997 abc abc M2 0 NA 13 2
1998 abc abc M2 0 NA 13 2
1999 abc abc M2 0 NA 13 2
2000 abc abc M2 0 NA 13 2
2001 abc abc M2 0 NA 13 2
2002 abc abc M2 0 NA 13 2
2003 abc abc M2 0 NA 13 2
2004 abc abc M2 0 NA 13 2
2005 abc abc M2 0 NA 13 2
2006 abc abc M2 0 NA 13 2
2007 abc abc M2 0 NA 13 2
2008 abc abc M2 0 NA 13 2
2009 abc abc M2 0 NA 13 2
2010 abc abc M2 0 NA 13 2
1963 abc abc M2 0 NA 13 3
1964 abc abc M2 0 NA 13 3
1965 abc abc M2 0 NA 13 3
1966 abc abc M2 0 NA 13 3
1967 abc abc M2 0 NA 13 3
1968 abc abc M2 0 NA 13 3
1969 abc abc M2 0 NA 13 3
1970 abc abc M2 0 NA 13 3
1971 abc abc M2 0 NA 13 3
1972 abc abc M2 0 NA 13 3
1973 abc abc M2 0 NA 13 3
1974 abc abc M2 0 NA 13 3
1975 abc abc M2 0 NA 13 3
1976 abc abc M2 0 NA 13 3
1977 abc abc M2 0 NA 13 3
1978 abc abc M2 0 NA 13 3
1979 abc abc M2 0 NA 13 3
1980 abc abc M2 0 NA 13 3
1981 abc abc M2 0 NA 13 3
1982 abc abc M2 0 NA 13 3
1983 abc abc M2 0 NA 13 3
1984 abc abc M2 0 NA 13 3
1985 abc abc M2 0 NA 13 3
1986 abc abc M2 0 NA 13 3
1987 abc abc M2 0 NA 13 3
1988 abc abc M2 0 NA 13 3
1989 abc abc M2 0 NA 13 3
1990 abc abc M2 0 NA 13 3
1991 abc abc M2 0 NA 13 3
1992 abc abc M2 0 NA 13 3
1993 abc abc M2 0 NA 13 3
1994 abc abc M2 0 NA 13 3
1995 abc abc M2 0 NA 13 3
1996 abc abc M2 0 NA 13 3
1997 abc abc M2 0 NA 13 3
1998 abc abc M2 0 NA 13 3
1999 abc abc M2 0 NA 13 3
2000 abc abc M2 0 NA 13 3
2001 abc abc M2 0 NA 13 3
2002 abc abc M2 0 NA 13 3
2003 abc abc M2 0 NA 13 3
2004 abc abc M2 0 NA 13 3
2005 abc abc M2 0 NA 13 3
2006 abc abc M2 0 NA 13 3
2007 abc abc M2 0 NA 13 3
2008 abc abc M2 0 NA 13 3
2009 abc abc M2 0 NA 13 3
2010 abc abc M2 0 NA 13 3
1963 abc abc M2 0 1.347342 18 1
1964 abc abc M2 0 1.19646 18 1
1965 abc abc M2 0 1.226773 18 1
1966 abc abc M2 0 1.051536 18 1
1967 abc abc M2 0 0.691651 18 1
1968 abc abc M2 0 1.292679 18 1
1969 abc abc M2 0 1.076033 18 1
1970 abc abc M2 0 0.962965 18 1
1971 abc abc M2 0 0.740631 18 1
1972 abc abc M2 0 0.889509 18 1
1973 abc abc M2 0 1.32027 18 1
1974 abc abc M2 0 0.827566 18 1
1975 abc abc M2 0 0.965373 18 1
1976 abc abc M2 0 1.292262 18 1
1977 abc abc M2 0 1.023947 18 1
1978 abc abc M2 0 1.170959 18 1
1979 abc abc M2 0 0.82175 18 1
1980 abc abc M2 0 1.196475 18 1
1981 abc abc M2 0 1.655973 18 1
1982 abc abc M2 0 1.222914 18 1
1983 abc abc M2 0 0.880758 18 1
1984 abc abc M2 0 1.490074 18 1
1985 abc abc M2 0 0.95685 18 1
1986 abc abc M2 0 1.127979 18 1
1987 abc abc M2 0 1.269828 18 1
1988 abc abc M2 0 0.949109 18 1
1989 abc abc M2 0 1.420696 18 1
1990 abc abc M2 0 1.319397 18 1
1991 abc abc M2 0 1.164639 18 1
1992 abc abc M2 0 1.247293 18 1
1993 abc abc M2 0 1.270327 18 1
1994 abc abc M2 0 1.266787 18 1
1995 abc abc M2 0 1.522304 18 1
1996 abc abc M2 0 1.403856 18 1
1997 abc abc M2 0 1.586159 18 1
1998 abc abc M2 0 1.618249 18 1
1999 abc abc M2 0 1.797411 18 1
2000 abc abc M2 0 1.635427 18 1
2001 abc abc M2 0 1.749731 18 1
2002 abc abc M2 0 2.062756 18 1
2003 abc abc M2 0 2.034273 18 1
2004 abc abc M2 0 1.770856 18 1
2005 abc abc M2 0 1.621652 18 1
2006 abc abc M2 0 1.688026 18 1
2007 abc abc M2 0 1.551297 18 1
2008 abc abc M2 0 1.490137 18 1
2009 abc abc M2 0 1.423003 18 1
2010 abc abc M2 0 1.836787 18 1
1963 abc abc M2 0 1.317939 18 2
1964 abc abc M2 0 1.193482 18 2
1965 abc abc M2 0 1.244331 18 2
1966 abc abc M2 0 1.041302 18 2
1967 abc abc M2 0 0.675201 18 2
1968 abc abc M2 0 1.222796 18 2
1969 abc abc M2 0 1.04563 18 2
1970 abc abc M2 0 0.925886 18 2
1971 abc abc M2 0 0.672785 18 2
1972 abc abc M2 0 0.786557 18 2
1973 abc abc M2 0 1.277026 18 2
1974 abc abc M2 0 0.787425 18 2
1975 abc abc M2 0 0.887438 18 2
1976 abc abc M2 0 1.268086 18 2
1977 abc abc M2 0 0.935204 18 2
1978 abc abc M2 0 1.132134 18 2
1979 abc abc M2 0 0.760225 18 2
1980 abc abc M2 0 1.117506 18 2
1981 abc abc M2 0 1.728237 18 2
1982 abc abc M2 0 1.187606 18 2
1983 abc abc M2 0 0.856436 18 2
1984 abc abc M2 0 1.453192 18 2
1985 abc abc M2 0 0.907388 18 2
1986 abc abc M2 0 1.080312 18 2
1987 abc abc M2 0 1.158729 18 2
1988 abc abc M2 0 0.868538 18 2
1989 abc abc M2 0 1.306168 18 2
1990 abc abc M2 0 1.246421 18 2
1991 abc abc M2 0 1.091856 18 2
1992 abc abc M2 0 1.203019 18 2
1993 abc abc M2 0 1.224996 18 2
1994 abc abc M2 0 1.262452 18 2
1995 abc abc M2 0 1.496964 18 2
1996 abc abc M2 0 1.380413 18 2
1997 abc abc M2 0 1.539862 18 2
1998 abc abc M2 0 1.594979 18 2
1999 abc abc M2 0 1.842207 18 2
2000 abc abc M2 0 1.623131 18 2
2001 abc abc M2 0 1.711304 18 2
2002 abc abc M2 0 1.996758 18 2
2003 abc abc M2 0 2.004593 18 2
2004 abc abc M2 0 1.690752 18 2
2005 abc abc M2 0 1.579098 18 2
2006 abc abc M2 0 1.621544 18 2
2007 abc abc M2 0 1.493173 18 2
2008 abc abc M2 0 1.435395 18 2
2009 abc abc M2 0 1.39577 18 2
2010 abc abc M2 0 1.777831 18 2
1963 abc abc M2 0 NA 18 3
1964 abc abc M2 0 NA 18 3
1965 abc abc M2 0 NA 18 3
1966 abc abc M2 0 NA 18 3
1967 abc abc M2 0 NA 18 3
1968 abc abc M2 0 NA 18 3
1969 abc abc M2 0 NA 18 3
1970 abc abc M2 0 NA 18 3
1971 abc abc M2 0 NA 18 3
1972 abc abc M2 0 NA 18 3
1973 abc abc M2 0 NA 18 3
1974 abc abc M2 0 NA 18 3
1975 abc abc M2 0 NA 18 3
1976 abc abc M2 0 NA 18 3
1977 abc abc M2 0 NA 18 3
1978 abc abc M2 0 NA 18 3
1979 abc abc M2 0 NA 18 3
1980 abc abc M2 0 NA 18 3
1981 abc abc M2 0 NA 18 3
1982 abc abc M2 0 NA 18 3
1983 abc abc M2 0 NA 18 3
1984 abc abc M2 0 NA 18 3
1985 abc abc M2 0 NA 18 3
1986 abc abc M2 0 NA 18 3
1987 abc abc M2 0 NA 18 3
1988 abc abc M2 0 NA 18 3
1989 abc abc M2 0 NA 18 3
1990 abc abc M2 0 NA 18 3
1991 abc abc M2 0 NA 18 3
1992 abc abc M2 0 NA 18 3
1993 abc abc M2 0 NA 18 3
1994 abc abc M2 0 NA 18 3
1995 abc abc M2 0 NA 18 3
1996 abc abc M2 0 NA 18 3
1997 abc abc M2 0 NA 18 3
1998 abc abc M2 0 NA 18 3
1999 abc abc M2 0 NA 18 3
2000 abc abc M2 0 NA 18 3
2001 abc abc M2 0 NA 18 3
2002 abc abc M2 0 NA 18 3
2003 abc abc M2 0 NA 18 3
2004 abc abc M2 0 NA 18 3
2005 abc abc M2 0 NA 18 3
2006 abc abc M2 0 NA 18 3
2007 abc abc M2 0 NA 18 3
2008 abc abc M2 0 NA 18 3
2009 abc abc M2 0 NA 18 3
2010 abc abc M2 0 NA 18 3
1963 abc abc M2 1 0.635688 17 1
1964 abc abc M2 1 0.817976 17 1
1965 abc abc M2 1 1.010122 17 1
1966 abc abc M2 1 1.403605 17 1
1967 abc abc M2 1 1.375755 17 1
1968 abc abc M2 1 0.836231 17 1
1969 abc abc M2 1 1.022394 17 1
1970 abc abc M2 1 1.063158 17 1
1971 abc abc M2 1 1.113753 17 1
1972 abc abc M2 1 1.150388 17 1
1973 abc abc M2 1 1.151208 17 1
1974 abc abc M2 1 1.061845 17 1
1975 abc abc M2 1 0.823884 17 1
1976 abc abc M2 1 1.033372 17 1
1977 abc abc M2 1 1.078154 17 1
1978 abc abc M2 1 1.117864 17 1
1979 abc abc M2 1 1.150859 17 1
1980 abc abc M2 1 0.990843 17 1
1981 abc abc M2 1 1.244931 17 1
1982 abc abc M2 1 1.240751 17 1
1983 abc abc M2 1 1.255684 17 1
1984 abc abc M2 1 0.947274 17 1
1985 abc abc M2 1 1.279158 17 1
1986 abc abc M2 1 1.005797 17 1
1987 abc abc M2 1 0.946486 17 1
1988 abc abc M2 1 1.046446 17 1
1989 abc abc M2 1 0.848321 17 1
1990 abc abc M2 1 0.893342 17 1
1991 abc abc M2 1 0.870189 17 1
1992 abc abc M2 1 0.892798 17 1
1993 abc abc M2 1 0.963955 17 1
1994 abc abc M2 1 0.97055 17 1
1995 abc abc M2 1 0.915671 17 1
1996 abc abc M2 1 0.988383 17 1
1997 abc abc M2 1 0.851105 17 1
1998 abc abc M2 1 1.071205 17 1
1999 abc abc M2 1 0.90313 17 1
2000 abc abc M2 1 0.610264 17 1
2001 abc abc M2 1 0.709431 17 1
2002 abc abc M2 1 0.719687 17 1
2003 abc abc M2 1 0.817647 17 1
2004 abc abc M2 1 0.853265 17 1
2005 abc abc M2 1 0.90444 17 1
2006 abc abc M2 1 0.804671 17 1
2007 abc abc M2 1 0.970148 17 1
2008 abc abc M2 1 0.912781 17 1
2009 abc abc M2 1 0.824298 17 1
2010 abc abc M2 1 0.750403 17 1
1963 abc abc M2 1 0.4125276 17 2
1964 abc abc M2 1 0.5162406 17 2
1965 abc abc M2 1 0.673007 17 2
1966 abc abc M2 1 0.940066 17 2
1967 abc abc M2 1 0.923406 17 2
1968 abc abc M2 1 0.5696559 17 2
1969 abc abc M2 1 0.667149 17 2
1970 abc abc M2 1 0.727477 17 2
1971 abc abc M2 1 0.767479 17 2
1972 abc abc M2 1 0.783386 17 2
1973 abc abc M2 1 0.794097 17 2
1974 abc abc M2 1 0.706506 17 2
1975 abc abc M2 1 0.5565684 17 2
1976 abc abc M2 1 0.6947896 17 2
1977 abc abc M2 1 0.719554 17 2
1978 abc abc M2 1 0.7766454 17 2
1979 abc abc M2 1 0.769122 17 2
1980 abc abc M2 1 0.666589 17 2
1981 abc abc M2 1 0.843042 17 2
1982 abc abc M2 1 0.836812 17 2
1983 abc abc M2 1 0.825502 17 2
1984 abc abc M2 1 0.648951 17 2
1985 abc abc M2 1 0.829951 17 2
1986 abc abc M2 1 0.665547 17 2
1987 abc abc M2 1 0.6358608 17 2
1988 abc abc M2 1 0.697648 17 2
1989 abc abc M2 1 0.5785118 17 2
1990 abc abc M2 1 0.6076823 17 2
1991 abc abc M2 1 0.584357 17 2
1992 abc abc M2 1 0.5633789 17 2
1993 abc abc M2 1 0.6205203 17 2
1994 abc abc M2 1 0.639294 17 2
1995 abc abc M2 1 0.6142481 17 2
1996 abc abc M2 1 0.664688 17 2
1997 abc abc M2 1 0.5721405 17 2
1998 abc abc M2 1 0.7082545 17 2
1999 abc abc M2 1 0.616783 17 2
2000 abc abc M2 1 0.4383055 17 2
2001 abc abc M2 1 0.5005295 17 2
2002 abc abc M2 1 0.4965343 17 2
2003 abc abc M2 1 0.568768 17 2
2004 abc abc M2 1 0.593157 17 2
2005 abc abc M2 1 0.622681 17 2
2006 abc abc M2 1 0.579383 17 2
2007 abc abc M2 1 0.657269 17 2
2008 abc abc M2 1 0.6227 17 2
2009 abc abc M2 1 0.563513 17 2
2010 abc abc M2 1 0.4868158 17 2
1963 abc abc M2 1 0.5435113 17 3
1964 abc abc M2 1 1.322798 17 3
1965 abc abc M2 1 1.775024 17 3
1966 abc abc M2 1 1.771056 17 3
1967 abc abc M2 1 1.416074 17 3
1968 abc abc M2 1 0.830965 17 3
1969 abc abc M2 1 1.661415 17 3
1970 abc abc M2 1 2.052753 17 3
1971 abc abc M2 1 1.590738 17 3
1972 abc abc M2 1 1.478174 17 3
1973 abc abc M2 1 1.738748 17 3
1974 abc abc M2 1 1.569634 17 3
1975 abc abc M2 1 1.163566 17 3
1976 abc abc M2 1 1.323674 17 3
1977 abc abc M2 1 1.523586 17 3
1978 abc abc M2 1 1.606801 17 3
1979 abc abc M2 1 1.434425 17 3
1980 abc abc M2 1 1.262102 17 3
1981 abc abc M2 1 1.82626 17 3
1982 abc abc M2 1 1.592531 17 3
1983 abc abc M2 1 1.401377 17 3
1984 abc abc M2 1 0.971184 17 3
1985 abc abc M2 1 1.290273 17 3
1986 abc abc M2 1 1.075318 17 3
1987 abc abc M2 1 0.991885 17 3
1988 abc abc M2 1 1.28494 17 3
1989 abc abc M2 1 1.110905 17 3
1990 abc abc M2 1 1.228472 17 3
1991 abc abc M2 1 1.140737 17 3
1992 abc abc M2 1 1.04337 17 3
1993 abc abc M2 1 1.128956 17 3
1994 abc abc M2 1 1.1209804 17 3
1995 abc abc M2 1 1.164249 17 3
1996 abc abc M2 1 1.365321 17 3
1997 abc abc M2 1 1.109917 17 3
1998 abc abc M2 1 1.337785 17 3
1999 abc abc M2 1 1.135048 17 3
2000 abc abc M2 1 0.7489229 17 3
2001 abc abc M2 1 1.110889 17 3
2002 abc abc M2 1 1.352665 17 3
2003 abc abc M2 1 1.505289 17 3
2004 abc abc M2 1 1.596587 17 3
2005 abc abc M2 1 1.56901 17 3
2006 abc abc M2 1 1.189373 17 3
2007 abc abc M2 1 1.676294 17 3
2008 abc abc M2 1 NA 17 3
2009 abc abc M2 1 NA 17 3
2010 abc abc M2 1 NA 17 3
1963 abc abc M2 1 NA 1 1
1964 abc abc M2 1 NA 1 1
1965 abc abc M2 1 NA 1 1
1966 abc abc M2 1 NA 1 1
1967 abc abc M2 1 NA 1 1
1968 abc abc M2 1 NA 1 1
1969 abc abc M2 1 NA 1 1
1970 abc abc M2 1 NA 1 1
1971 abc abc M2 1 NA 1 1
1972 abc abc M2 1 NA 1 1
1973 abc abc M2 1 NA 1 1
1974 abc abc M2 1 NA 1 1
1975 abc abc M2 1 NA 1 1
1976 abc abc M2 1 NA 1 1
1977 abc abc M2 1 NA 1 1
1978 abc abc M2 1 NA 1 1
1979 abc abc M2 1 NA 1 1
1980 abc abc M2 1 NA 1 1
1981 abc abc M2 1 NA 1 1
1982 abc abc M2 1 NA 1 1
1983 abc abc M2 1 NA 1 1
1984 abc abc M2 1 NA 1 1
1985 abc abc M2 1 NA 1 1
1986 abc abc M2 1 NA 1 1
1987 abc abc M2 1 NA 1 1
1988 abc abc M2 1 NA 1 1
1989 abc abc M2 1 NA 1 1
1990 abc abc M2 1 NA 1 1
1991 abc abc M2 1 NA 1 1
1992 abc abc M2 1 NA 1 1
1993 abc abc M2 1 NA 1 1
1994 abc abc M2 1 NA 1 1
1995 abc abc M2 1 NA 1 1
1996 abc abc M2 1 NA 1 1
1997 abc abc M2 1 NA 1 1
1998 abc abc M2 1 NA 1 1
1999 abc abc M2 1 NA 1 1
2000 abc abc M2 1 NA 1 1
2001 abc abc M2 1 NA 1 1
2002 abc abc M2 1 NA 1 1
2003 abc abc M2 1 NA 1 1
2004 abc abc M2 1 NA 1 1
2005 abc abc M2 1 NA 1 1
2006 abc abc M2 1 NA 1 1
2007 abc abc M2 1 NA 1 1
2008 abc abc M2 1 NA 1 1
2009 abc abc M2 1 NA 1 1
2010 abc abc M2 1 NA 1 1
1963 abc abc M2 1 NA 1 2
1964 abc abc M2 1 NA 1 2
1965 abc abc M2 1 NA 1 2
1966 abc abc M2 1 NA 1 2
1967 abc abc M2 1 NA 1 2
1968 abc abc M2 1 NA 1 2
1969 abc abc M2 1 NA 1 2
1970 abc abc M2 1 NA 1 2
1971 abc abc M2 1 NA 1 2
1972 abc abc M2 1 NA 1 2
1973 abc abc M2 1 NA 1 2
1974 abc abc M2 1 NA 1 2
1975 abc abc M2 1 NA 1 2
1976 abc abc M2 1 NA 1 2
1977 abc abc M2 1 NA 1 2
1978 abc abc M2 1 NA 1 2
1979 abc abc M2 1 NA 1 2
1980 abc abc M2 1 NA 1 2
1981 abc abc M2 1 NA 1 2
1982 abc abc M2 1 NA 1 2
1983 abc abc M2 1 NA 1 2
1984 abc abc M2 1 NA 1 2
1985 abc abc M2 1 NA 1 2
1986 abc abc M2 1 NA 1 2
1987 abc abc M2 1 NA 1 2
1988 abc abc M2 1 NA 1 2
1989 abc abc M2 1 NA 1 2
1990 abc abc M2 1 NA 1 2
1991 abc abc M2 1 NA 1 2
1992 abc abc M2 1 NA 1 2
1993 abc abc M2 1 NA 1 2
1994 abc abc M2 1 NA 1 2
1995 abc abc M2 1 NA 1 2
1996 abc abc M2 1 NA 1 2
1997 abc abc M2 1 NA 1 2
1998 abc abc M2 1 NA 1 2
1999 abc abc M2 1 NA 1 2
2000 abc abc M2 1 NA 1 2
2001 abc abc M2 1 NA 1 2
2002 abc abc M2 1 NA 1 2
2003 abc abc M2 1 NA 1 2
2004 abc abc M2 1 NA 1 2
2005 abc abc M2 1 NA 1 2
2006 abc abc M2 1 NA 1 2
2007 abc abc M2 1 NA 1 2
2008 abc abc M2 1 NA 1 2
2009 abc abc M2 1 NA 1 2
2010 abc abc M2 1 NA 1 2
1963 abc abc M2 1 NA 1 3
1964 abc abc M2 1 NA 1 3
1965 abc abc M2 1 NA 1 3
1966 abc abc M2 1 NA 1 3
1967 abc abc M2 1 NA 1 3
1968 abc abc M2 1 NA 1 3
1969 abc abc M2 1 NA 1 3
1970 abc abc M2 1 NA 1 3
1971 abc abc M2 1 NA 1 3
1972 abc abc M2 1 NA 1 3
1973 abc abc M2 1 NA 1 3
1974 abc abc M2 1 NA 1 3
1975 abc abc M2 1 NA 1 3
1976 abc abc M2 1 NA 1 3
1977 abc abc M2 1 NA 1 3
1978 abc abc M2 1 NA 1 3
1979 abc abc M2 1 NA 1 3
1980 abc abc M2 1 NA 1 3
1981 abc abc M2 1 NA 1 3
1982 abc abc M2 1 NA 1 3
1983 abc abc M2 1 NA 1 3
1984 abc abc M2 1 NA 1 3
1985 abc abc M2 1 NA 1 3
1986 abc abc M2 1 NA 1 3
1987 abc abc M2 1 NA 1 3
1988 abc abc M2 1 NA 1 3
1989 abc abc M2 1 NA 1 3
1990 abc abc M2 1 NA 1 3
1991 abc abc M2 1 NA 1 3
1992 abc abc M2 1 NA 1 3
1993 abc abc M2 1 NA 1 3
1994 abc abc M2 1 NA 1 3
1995 abc abc M2 1 NA 1 3
1996 abc abc M2 1 NA 1 3
1997 abc abc M2 1 NA 1 3
1998 abc abc M2 1 NA 1 3
1999 abc abc M2 1 NA 1 3
2000 abc abc M2 1 NA 1 3
2001 abc abc M2 1 NA 1 3
2002 abc abc M2 1 NA 1 3
2003 abc abc M2 1 NA 1 3
2004 abc abc M2 1 NA 1 3
2005 abc abc M2 1 NA 1 3
2006 abc abc M2 1 NA 1 3
2007 abc abc M2 1 NA 1 3
2008 abc abc M2 1 NA 1 3
2009 abc abc M2 1 NA 1 3
2010 abc abc M2 1 NA 1 3
1963 abc abc M2 1 NA 10 1
1964 abc abc M2 1 NA 10 1
1965 abc abc M2 1 NA 10 1
1966 abc abc M2 1 NA 10 1
1967 abc abc M2 1 NA 10 1
1968 abc abc M2 1 NA 10 1
1969 abc abc M2 1 NA 10 1
1970 abc abc M2 1 NA 10 1
1971 abc abc M2 1 NA 10 1
1972 abc abc M2 1 NA 10 1
1973 abc abc M2 1 NA 10 1
1974 abc abc M2 1 NA 10 1
1975 abc abc M2 1 NA 10 1
1976 abc abc M2 1 NA 10 1
1977 abc abc M2 1 NA 10 1
1978 abc abc M2 1 NA 10 1
1979 abc abc M2 1 NA 10 1
1980 abc abc M2 1 NA 10 1
1981 abc abc M2 1 NA 10 1
1982 abc abc M2 1 NA 10 1
1983 abc abc M2 1 NA 10 1
1984 abc abc M2 1 NA 10 1
1985 abc abc M2 1 NA 10 1
1986 abc abc M2 1 NA 10 1
1987 abc abc M2 1 NA 10 1
1988 abc abc M2 1 NA 10 1
1989 abc abc M2 1 NA 10 1
1990 abc abc M2 1 NA 10 1
1991 abc abc M2 1 NA 10 1
1992 abc abc M2 1 NA 10 1
1993 abc abc M2 1 NA 10 1
1994 abc abc M2 1 NA 10 1
1995 abc abc M2 1 NA 10 1
1996 abc abc M2 1 NA 10 1
1997 abc abc M2 1 NA 10 1
1998 abc abc M2 1 NA 10 1
1999 abc abc M2 1 NA 10 1
2000 abc abc M2 1 NA 10 1
2001 abc abc M2 1 NA 10 1
2002 abc abc M2 1 NA 10 1
2003 abc abc M2 1 NA 10 1
2004 abc abc M2 1 NA 10 1
2005 abc abc M2 1 NA 10 1
2006 abc abc M2 1 NA 10 1
2007 abc abc M2 1 NA 10 1
2008 abc abc M2 1 NA 10 1
2009 abc abc M2 1 NA 10 1
2010 abc abc M2 1 NA 10 1
1963 abc abc M2 1 NA 10 2
1964 abc abc M2 1 NA 10 2
1965 abc abc M2 1 NA 10 2
1966 abc abc M2 1 NA 10 2
1967 abc abc M2 1 NA 10 2
1968 abc abc M2 1 NA 10 2
1969 abc abc M2 1 NA 10 2
1970 abc abc M2 1 NA 10 2
1971 abc abc M2 1 NA 10 2
1972 abc abc M2 1 NA 10 2
1973 abc abc M2 1 NA 10 2
1974 abc abc M2 1 NA 10 2
1975 abc abc M2 1 NA 10 2
1976 abc abc M2 1 NA 10 2
1977 abc abc M2 1 NA 10 2
1978 abc abc M2 1 NA 10 2
1979 abc abc M2 1 NA 10 2
1980 abc abc M2 1 NA 10 2
1981 abc abc M2 1 NA 10 2
1982 abc abc M2 1 NA 10 2
1983 abc abc M2 1 NA 10 2
1984 abc abc M2 1 NA 10 2
1985 abc abc M2 1 NA 10 2
1986 abc abc M2 1 NA 10 2
1987 abc abc M2 1 NA 10 2
1988 abc abc M2 1 NA 10 2
1989 abc abc M2 1 NA 10 2
1990 abc abc M2 1 NA 10 2
1991 abc abc M2 1 NA 10 2
1992 abc abc M2 1 NA 10 2
1993 abc abc M2 1 NA 10 2
1994 abc abc M2 1 NA 10 2
1995 abc abc M2 1 NA 10 2
1996 abc abc M2 1 NA 10 2
1997 abc abc M2 1 NA 10 2
1998 abc abc M2 1 NA 10 2
1999 abc abc M2 1 NA 10 2
2000 abc abc M2 1 NA 10 2
2001 abc abc M2 1 NA 10 2
2002 abc abc M2 1 NA 10 2
2003 abc abc M2 1 NA 10 2
2004 abc abc M2 1 NA 10 2
2005 abc abc M2 1 NA 10 2
2006 abc abc M2 1 NA 10 2
2007 abc abc M2 1 NA 10 2
2008 abc abc M2 1 NA 10 2
2009 abc abc M2 1 NA 10 2
2010 abc abc M2 1 NA 10 2
1963 abc abc M2 1 NA 10 3
1964 abc abc M2 1 NA 10 3
1965 abc abc M2 1 NA 10 3
1966 abc abc M2 1 NA 10 3
1967 abc abc M2 1 NA 10 3
1968 abc abc M2 1 NA 10 3
1969 abc abc M2 1 NA 10 3
1970 abc abc M2 1 NA 10 3
1971 abc abc M2 1 NA 10 3
1972 abc abc M2 1 NA 10 3
1973 abc abc M2 1 NA 10 3
1974 abc abc M2 1 NA 10 3
1975 abc abc M2 1 NA 10 3
1976 abc abc M2 1 NA 10 3
1977 abc abc M2 1 NA 10 3
1978 abc abc M2 1 NA 10 3
1979 abc abc M2 1 NA 10 3
1980 abc abc M2 1 NA 10 3
1981 abc abc M2 1 NA 10 3
1982 abc abc M2 1 NA 10 3
1983 abc abc M2 1 NA 10 3
1984 abc abc M2 1 NA 10 3
1985 abc abc M2 1 NA 10 3
1986 abc abc M2 1 NA 10 3
1987 abc abc M2 1 NA 10 3
1988 abc abc M2 1 NA 10 3
1989 abc abc M2 1 NA 10 3
1990 abc abc M2 1 NA 10 3
1991 abc abc M2 1 NA 10 3
1992 abc abc M2 1 NA 10 3
1993 abc abc M2 1 NA 10 3
