Cod        

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1963          4712807         140017         318698         128799          0.481
1964         10255016         158069         380606         131064          0.507
1965         19995660         200050         497915         211657          0.530
1966         12792767         225493         671875         263781          0.576
1967          1965947         234165         701715         277705          0.549
1968          4144629         243660         633382         308469          0.646
1969         11935234         250582         549941         209258          0.567
1970         12162931         278394         586009         246924          0.557
1971          2986494         284307         750333         417317          0.695
1972          4726156         241078         734709         390066          0.821
1973          4816374         211563         549344         276484          0.716
1974          4442949         235340         513879         262849          0.731
1975          4601704         208714         467176         246222          0.759
1976         12446468         183879         503417         309720          0.790
1977          9702101         165895         511251         353278          0.836
1978          8975685         153157         524156         330852          0.899
1979          8548250         155720         536173         432004          0.702
1980          7639236         180674         546244         592542          0.850
1981         14127679         184789         569604         394900          0.852
1982          8441248         166289         455693         360411          0.889
1983          6983639         139023         406434         282937          0.853
1984          5702613         124802         407050         381423          0.818
1985          7834770         125042         439277         248527          0.845
1986          5040319         115780         362098         342640          0.969
1987          4776718         102418         366930         246049          0.940
1988          4594981          94528         319321         195929          0.936
1989          3566975          87481         261838         203533          0.967
1990          3778358          81529         263005         153438          0.875
1991          5370390          76536         220689         121653          0.877
1992          3710569          75460         231077         152380          0.829
1993          5989845          75843         269964         140622          0.817
1994          4025285          76505         283544         228409          0.794
1995          4172470          87490         310458         208668          0.852
1996          6051137          86460         293212         145283          0.912
1997          1996981          76117         253405         147305          0.828
1998          2824225          69006         259033         144060          0.971
1999          3822672          56615         174112          91252          0.965
2000          1601010          44498         144945          85162          0.889
2001          2073991          39052         170109          94896          1.012
2002          1702395          37141         139029          76411          0.817
2003          2636662          40108         124901          69297          0.908
2004          1375251          32624          97627          46237          0.791
2005          1884345          28172          93876          49600          0.735
2006          1187415          26130          96523          46023          0.635
2007          1103669          29390         122165          71616          0.601
2008           997897          36113         120571          61113          0.651
2009          1786782          39954         112083          57817          0.607
2010          1433987          40912         121182          60975          0.551
2011                           46587

Whiting    

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1963         26961399         312599         725768         233092          0.761
1964         28116075         647796         901305         141354          0.496
1965         24092272         571104         843677         176282          0.462
1966         19073675         431039         663480         242948          0.868
1967         38329882         291378         506038         207382          0.623
1968         16333463         368255         974607         237353          0.649
1969         19995918         830846        1024298         319180          0.569
1970         20139171         559473         774023         286329          0.674
1971         25365007         326063         571507         174964          0.418
1972         46590003         360277         748953         208574          0.680
1973         28030688         474798        1087585         286396          0.713
1974         27513026         556872         816108         323086          0.664
1975         41610949         442573         824693         276621          0.744
1976         45418313         530917        1044165         326300          0.785
1977         39490270         594128        1001912         289804          0.667
1978         43386136         494332         950125         205707          0.572
1979         38355355         524867         962979         249693          0.522
1980         32135184         596713        1143358         223016          0.645
1981         31553468         648082         977465         192216          0.562
1982         14225580         425311         621327         140245          0.415
1983         18908299         319191         458103         161688          0.528
1984         24071982         247963         497587         145637          0.660
1985         23596820         304007         486924         100210          0.624
1986         30368461         284219         573463         161470          0.781
1987         24884885         350979         671173         138909          0.800
1988         36347917         386795         619997         133010          0.595
1989         38768983         365888         811789         123527          0.716
1990         28620408         485733         801811         152421          0.601
1991         19740365         427243         675595         125273          0.584
1992         24878825         382383         587644         108736          0.486
1993         25597292         358732         593004         116872          0.707
1994         23550785         333626         570713         101612          0.645
1995         24304720         343384         563067         106219          0.544
1996         14556019         324666         501416          75995          0.509
1997         22243350         271200         390704          61438          0.381
1998         34953334         223456         371657          47309          0.326
1999         42292540         214156         438168          60762          0.415
2000         36684416         258522         488330          64471          0.566
2001         37559313         339144         576540          44928          0.376
