Cod        

Year         Recruits          SSB            TSB            SOP           mean-F
2002         21074100         350301         566064          46412          0.253
2003         20972139         324248         418338          45646          0.187
2004         18088738         241919         330901          32940          0.172
2005         14896026         178912         278736          28605          0.171
2006         15660763         156772         253578          35487          0.225
2007         26072250         152336         247693          27262          0.236
2008         20743276         159518         337070          29092          0.228
2009         17711732         232985         389892          27211          0.167
2010         20606167         311165         454522          31327          0.148
2011                          347069

Haddock    

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1963          2444821          99291        1280364         271034          0.704
1964          4702389         628296        1815106         380063          0.711
1965          8363105         931152        1350568         299161          0.610
1966         41156832         543649         704922         346010          0.598
1967        106807805         217619         699587         246194          0.586
1968         21910824         209480        2512630         302172          0.466
1969         19256347         981656        2832372         929878          0.817
1970         67393497        1074893        1742083         805430          0.782
1971         95180489         483870        1414791         447327          0.641
1972         23095029         341926        1925357         353685          0.773
1973         47731721         429584        1172002         307691          0.594
1974         69210977         336258        1004791         367460          0.615
1975          7695214         251654        1546535         453709          0.856
1976         12396389         392647        1038885         374843          0.758
1977         26828961         348187         614759         224725          0.766
1978         36977533         157855         452975         179327          0.829
1979         48845086         113128         559390         145059          0.766
1980         37091770         157184         917723         222130          0.770
1981         35079009         290104         874792         213318          0.643
1982         17107523         348946         889233         233091          0.585
1983         22587539         265344         597817         244210          0.797
1984         12936325         207803         675309         218924          0.851
1985          9737852         223303         582003         255131          0.761
1986         25648394         227201         467813         223037          0.938
1987          3919778         140981         523321         173926          1.007
1988          3092448         164779         391245         173031          0.928
1989          6036406         135321         230394         106462          0.776
1990         13668802          71180         142207          88954          0.978
1991         12584166          47634         213792          93283          0.972
1992         22042499          69117         304078         131765          0.841
1993          6849845         123499         531268         172685          0.961
1994         29185648         167839         428555         150951          0.908
1995         12488143         156033         677266         142421          0.703
1996         10852612         212233         613081         156823          0.821
1997          8224678         226032         499101         141288          0.683
1998          3637114         173674         375419         131356          0.674
1999         40374249         132416         245676         111934          0.952
2000         11921652          81596         788529         104520          1.099
2001          1297075         255379         883796         167038          0.762
2002          3058568         400890         646019         107818          0.446
2003          4042830         302174         398945          66794          0.294
2004          2753036         204499         273997          64841          0.311
2005         22162693         142029         192878          57156          0.387
2006          5919336          94770         445868          56120          0.712
2007          2390724         127131         367544          59529          0.532
2008          1681617         179633         303713          43616          0.265
2009          9694759         139511         206646          43372          0.221
2010          1067648         129082         335207          39591          0.217
2011                          177190

Saithe     

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 3-6
1963           212245          37712         126559          23918          0.292
1964           214099          53357         183612          38831          0.599
1965           163320          57091         271483          56502          0.262
1966           437438          93365         375064          77338          0.363
1967           532059         161452         441223          88339          0.352
1968           531161         215842         573833         113741          0.182
1969           244291         289409         779119         130580          0.305
1970           207040         328662         962774         235012          0.264
1971           168009         470689        1112617         265356          0.319
1972           220140         526824         964431         261914          0.357
1973           377568         557097         869545         242513          0.336
1974           207601         608738         900937         298347          0.425
1975           128630         525131         822282         271610          0.524
1976           179290         380056         679384         343898          0.524
1977           136611         303751         583181         216393          0.670
1978           302868         262652         459770         155124          0.397
1979           248927         260715         501037         128352          0.408
1980           225893         245477         496939         131897          0.491
1981           206606         248482         568077         132273          0.518
1982           249082         202390         564740         174336          0.474
1983           399005         211518         545387         180040          0.684
1984           243496         180916         445893         200843          0.557
1985           207494         154114         410700         220870          0.546
1986           118223         144191         437303         198605          0.728
1987           112587         138753         373759         167503          0.641
1988           173057         133537         328893         135176          0.678
1989           149208         119291         275800         108892          0.625
1990           195251         110615         250415         103831          0.555
1991           153751         100095         256470         108071          0.545
1992           450191          93204         279378          99745          0.352
1993           207364         115749         342778         111499          0.591
1994           294077         108737         355926         109621          0.418
1995           122930         139694         547093         121795          0.573
1996           256702         141503         508236         114968          0.485
1997           173960         189885         496416         107348          0.349
1998           376765         188820         428845         106126          0.342
1999           389931         203023         451245         110531          0.484
2000           236210         188694         498360          85781          0.361
2001           201018         198130         552258          91741          0.259
2002           320481         214901         619205         107987          0.375
2003            89074         239460         572611          98831          0.341
2004           231519         297866         614886          94806          0.302
2005           147051         285241         568294         115602          0.309
2006           101937         275655         516563         123304          0.375
2007           168214         250326         460801         100748          0.289
2008           223259         242782         469730         119290          0.337
2009           223259         234258         409164         115727          0.517
2010           223259         194338         380575         102545          0.415
2011                          162580

Herring    

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1963         73160754        2357437        2569293         752079          0.161
1964         90217421        2751194        2965735        1177038          0.254
1965         44297477        2428179        2712406        2062910          0.457
1966         26173139        1808092        1941347        1436765          0.445
1967         50676586        1209464        1302379        1193818          0.630
1968         49429115         724616         945679        1129086          0.925
1969         28855178         618786         834526         621332          0.589
1970         26861274         654503         777335         580308          0.621
1971         24476066         478601         631168         589933          0.795
1972         20697913         375238         568186         459675          0.437
1973          8559359         489174         653348         468183          0.695
1974         12140893         353100         420407         273014          0.675
1975          9184861         218844         321474         303675          0.891
1976          5607704         210535         274473         170973          0.411
1977          9787039         202772         248516          56824          0.135
1978          7158336         220522         288601          13881          0.011
1979         14831534         307587         371016          26606          0.020
1980         36137128         375300         477801          78808          0.053
1981         39604034         481566         671540         195149          0.132
1982         49122771         580688         792655         279257          0.094
1983         37557778         783426        1037753         455956          0.205
1984         41544114        1030134        1320436         504425          0.275
1985         56646967        1188537        1533029         689160          0.379
1986         70640839        1147865        1533012         810038          0.340
1987         59997793        1290776        1770804         839990          0.322
1988         39973629        1598620        2002018        1084117          0.337
1989         41063336        1566918        1887512         885644          0.323
1990         37332890        1493964        1705538         761585          0.280
1991         33878165        1342975        1560072         742772          0.320
1992         49819112        1089580        1436895         877418          0.425
1993         48956584         821627        1341472         970469          0.606
1994         35003051         858434        1206352         797330          0.543
1995         38832946         844796        1185914         746226          0.503
1996         39303650         819148        1149647         312331          0.225
1997         24096672         975247        1375925         297315          0.180
1998         23389541        1237001        1630379         428412          0.338
1999         61670096        1248781        1524146         394978          0.257
2000         40316120        1239359        1732019         431287          0.263
2001        108184372        1930371        2453540         430770          0.200
2002         49751431        2339183        3076508         470165          0.167
2003         26535650        2558098        3846025         604611          0.188
2004         32453020        2616262        3474266         758460          0.205
2005         20346033        2384953        2662810         913982          0.282
2006         25835950        1667945        1930559         512033          0.236
2007         30787557        1322182        1557081         408128          0.221
2008         27737679        1112980        1396217         258901          0.167
2009         37904728        1198379        1496168         168817          0.095
2010         35978992        1413318        1801421         188240          0.099
2011                         1820858

Sandeel    

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1963        704412631        2049419        3532952         162304          0.058
1964        570131310        1783467        3005366         128003          0.052
1965        491540678        1514350        2537606         130603          0.061
1966        549381552        1465577        2404344         143103          0.066
1967        836801433        1667598        2711296         188704          0.074
1968        523796303        2002185        3159209         193704          0.077
1969        350524624        1264067        2121315         113303          0.064
1970        877129980        1007502        1623647         191404          0.131
1971        337469199         970574        2508005         188172          0.086
1972        397353918        2001350        2530201         198137          0.055
1973        347292406        1356848        2108593         169862          0.093
1974        508078997        1278635        1909528         340131          0.197
1975        396006023        1206013        2082801         359747          0.231
1976        514375008        1115081        1541571         426750          0.336
1977        624939358         808223        1482240         588155          0.482
1978        518468595         878284        1676234         800672          0.462
1979        691975164        1016775        1605624         684496          0.492
1980        479613387         882784        1730156         724512          0.488
1981        887374148         855589        1343537         528547          0.623
1982        273450244         502746        1579788         595787          0.777
1983        865420997         681599         936915         531027          0.473
1984        493928954         444415        1727640         751619          0.641
1985        895470122         926277        1503971         707597          1.229
1986        617663051         351082        1681879         686112          0.276
1987        397729837        1293070        2039516         791457          0.241
1988        810043509        1188003        1578498        1007189          0.665
1989        525774548         515282        1353309         838491          0.648
1990        723628973         635108        1107192         585076          0.688
1991        771516448         459534        1158382         898399          0.547
1992        582317748         647734        1474206         821048          0.342
1993        825697354         969264        1456793         578603          0.376
1994        947919092         745401        1624735         771207          0.469
1995        515358415         933657        2038693         915459          0.325
1996       1414688208        1240310        1743257         776135          0.487
1997        403883824         751152        3105204        1119749          0.385
1998        389226707        2277505        2666828        1004103          0.472
1999        690231112        1153915        1564734         719303          0.457
2000        656123131         668414        1447336         694736          0.502
2001        804379836         628361        1373257         858444          0.688
2002        147495502         498681        1565842         807010          0.387
2003        466983461         931758        1040754         324207          0.697
2004        326284604         264599         738677         359546          0.551
2005        568370676         343880         649425         172279          0.585
2006        414877236         276242         935353         288631          0.457
2007        679225394         481898         909102         206791          0.257
2008        353485277         525526        1404599         346949          0.316
2009       1065272614         902417        1267962         335197          0.321
2010        304401660         714058        2416119         394693          0.156
2011                         1966794

Nor. pout  

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1963         90625041          42813         127549         137748          1.592
1964         90107442          36314         151403          61377          0.667
1965        116369737          42225         167751          43184          0.335
1966        128292916          60976         233638          52980          0.281
1967        194038167         103378         359108         182532          0.600
1968        502595623         179396         604511         451631          1.050
1969        436243377         205726         904243         113458          0.184
1970        288054717         225415         884715         237911          0.340
1971        299724412         211689         762420         305186          0.530
1972        296499052         227210         864882         444633          0.766
1973        558554155         206200         617604         345771          0.686
1974        206568775         175262        1133952         732616          1.515
1975        469266578         203496         608967         508283          0.925
1976        377134526         217236         961150         472622          0.664
1977        150224050         245560         956588         384115          0.503
1978        210224673         265403         566689         253976          0.665
1979        272214937         162302         638330         340127          0.718
1980        127955150         251447         879131         535055          0.730
1981        185662278         229254         448517         432386          0.592
1982        210048624         109081         442071         390248          0.869
1983        213096547         158507         598194         475870          0.741
1984        132661458         262135         774376         376547          1.109
1985        113442030         215249         454293         227481          1.291
1986        162084469          97409         313721         180622          1.075
1987         64403539          86892         337896         148906          1.033
1988        169840080          85526         170380         109295          0.649
1989        142732558          71301         335026         166561          0.430
1990        119344234         135888         358808         139429          0.667
1991        146144867         135622         373900         190461          0.939
1992        103438894         148475         457799         302463          0.812
1993        105746716         186820         386315         181255          0.817
1994        240813863         126661         321819         183588          0.803
1995        152508639         152576         700019         231768          0.343
1996        197894596         347669         609167         156078          0.269
1997         75279602         243965         656809         156911          0.281
1998        147844321         259014         390583          75285          0.240
1999        184666012         145583         413678          92310          0.291
2000        142079551         175008         528295         184995          0.304
2001        160759174         292123         517980          64372          0.161
2002         85983693         169768         407614          77109          0.172
2003         45038782         104644         234401          24687          0.152
2004         61362046          66818         130403          13488          0.094
2005         87079439          46185         142261              0          0.000
2006         98291234          64906         206077          46495          0.234
2007        155324124          97110         248715           5783          0.000
2008        257221505         125521         368445          35094          0.041
2009        192378079         211679         692822          45813          0.051
2010         32511512         468921         865631         128438          0.074
2011                          477163

Sprat      

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1963        100000000         292947         394458          67504          0.178
1964        100000000         250176         312787          70284          0.208
1965        100000000         202120         268526          75545          0.245
1966        100000000         189702         259805         106220          0.360
1967        100000000         198219         276187          70482          0.223
1968        100000000         259778         330934          70515          0.205
1969        100000000         252615         331969          57983          0.170
1970         82436994         296464         379892          46901          0.109
1971        125576306         374915         442725          76644          0.149
1972        430714782         433919         538746          87925          0.148
1973        441128766         645011         946097         208934          0.267
1974        374586769         839360        1197299         273105          0.281
1975        760029595        1249230        1563132         566425          0.402
1976        328835363        1042385        1569174         520182          0.611
1977        359109354         886361        1092979         279866          0.355
1978        503585749         668613         893424         399260          0.510
1979        304774549         621454         947457         411841          0.636
1980        211107017         577465         773912         303737          0.642
1981        107974135         307033         425194         178834          0.610
1982         81524680         173590         236388         138902          0.646
1983        149743503         111265         162687          81859          0.724
1984        146644895         148880         249757          77866          0.738
1985        123249046         166502         253494          49009          0.172
1986        240943015         196633         269637          15850          0.075
1987        126004203         215431         319223          74618          0.421
1988        212186231         130624         180446          82033          0.168
1989        147396262         147567         232951          63305          0.527
1990        191816411         111173         169585          41489          0.135
1991        151183965         156778         254760          68677          0.271
1992        228633383         171872         255224         102913          0.307
1993        396075848         213222         339597         179442          0.429
1994        194211964         353921         589059         315885          0.446
1995         95867690         371147         487218         356039          0.574
1996        157174544         181743         232251         135685          0.554
1997        174119001         159885         258265         100222          0.316
1998        268035329         206702         305836         159156          0.564
1999        210238044         243225         393965         187606          0.449
2000        153606559         261366         374115         195700          0.571
2001        183674909         196218         276362         165543          0.940
2002        146148966         150002         246573         144905          0.655
2003        134780255         148285         231156         173605          1.007
2004        302718975         117016         188866         130600          0.951
2005        134525034         217035         396312         206953          0.290
2006        155727630         242329         319931         113979          0.723
2007        169314255         149437         235642          78256          0.372
2008        342199733         168379         256008          59369          0.465
2009        164894823         270828         470804         131953          0.127
2010        171857760         321302         414873         139788          0.541
2011                          186303

Plaice     

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 3-6
1963          2709371         373043         553117         148131          0.407
1964           800951         345136         595221         147321          0.412
1965           682917         323652         604322         139851          0.377
1966           472588         375149         689145         166579          0.397
1967           444129         400664         618292         163303          0.377
1968           677379         374214         529633         139495          0.328
1969           654084         341482         478424         142892          0.353
1970           442718         336070         466549         159955          0.434
1971           402426         321229         458347         136885          0.409
1972          1502197         319255         445196         142461          0.429
1973          1160121         272034         430818         143806          0.459
1974           791708         258018         449415         157651          0.487
1975           626707         288797         512913         195228          0.556
1976           892627         267676         447561         167116          0.447
1977           757610         277494         450312         176599          0.488
1978           775738         265224         426069         159746          0.446
1979          1012460         266031         427667         213553          0.657
1980           940526         234897         391041         171269          0.521
1981          1912373         225507         393631         172556          0.531
1982          1300021         230078         457817         204279          0.589
1983          1251060         232315         479187         218637          0.576
1984          1634685         248070         513757         226598          0.586
1985          3939815         248403         515197         220907          0.534
1986          1812026         284607         686636         296604          0.648
1987          1823252         315587         754776         342523          0.641
1988          1313505         327017         760009         311600          0.679
1989          1188232         308729         641766         277429          0.637
1990          1116302         296525         575916         228468          0.554
1991           987568         281137         525390         229451          0.683
1992           587625         248552         455847         183297          0.732
1993           554516         211182         370176         152223          0.711
1994           973640         179574         296457         134479          0.737
1995           893104         153619         268469         120307          0.655
1996          3155995         144127         279988         133645          0.759
1997          1164639         134450         386596         180251          0.840
1998           946259         194650         464545         175160          0.814
1999          1135847         205690         456158         151646          0.808
2000           686696         153192         311722         125515          0.620
2001          1974620         180056         320911         182320          0.856
2002           508927         150835         322105         124633          0.817
2003          1114729         175658         312234         144178          0.811
2004           709021         143210         285344         115796          0.594
2005           737250         159953         282656         109766          0.634
2006          1084053         161235         276975         119681          0.544
2007           978718         160118         293466          89307          0.411
2008          1036954         205947         350402          92181          0.305
2009           845729         267561         443245         100099          0.228
2010           838522         346007         531383         106556          0.202
2011                          430452

Sole       

Year         Recruits          SSB            TSB            SOP           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1963           538212          72263          74182          26383          0.447
1964           118282          50124          76989          11730          0.261
1965            40780          43307         113787          17768          0.282
1966            64060          93277         109470          33704          0.255
1967            84806          97726         105686          32704          0.345
1968            55328          82464          94217          33125          0.369
1969           124022          68480          81331          26955          0.460
1970            39960          56486          69052          19485          0.389
1971            79634          50251          67096          23313          0.474
1972           118814          51055          59658          21259          0.394
1973           103954          42336          57583          18849          0.488
1974            48497          40207          59468          18219          0.491
1975           110411          41618          56451          20523          0.476
1976           135880          41870          52965          16811          0.434
1977            50834          34250          54017          17414          0.389
1978            14885          38697          57488          20365          0.492
1979           148884          45023          51857          22320          0.475
1980           160249          35746          44621          15406          0.483
1981           146257          24773          50335          14949          0.479
1982           151069          33817          60083          20911          0.541
1983            78931          41889          66697          24776          0.508
1984            95972          45324          67282          26718          0.577
1985           147642          42501          56577          24478          0.551
1986            72314          36846          55433          18266          0.620
1987           522169          30435          51665          17449          0.498
1988           117401          37366          70915          21610          0.501
1989           227110          33786         102291          22142          0.419
1990            81665          93316         118264          35378          0.427
1991           393794          80478         111728          34081          0.475
1992            74220          80303         108873          29645          0.471
1993            53454          55072         106054          31852          0.519
1994            94385          75241          86727          33302          0.543
1995            61080          58427          69357          29965          0.504
1996           254515          39095          53373          22885          0.713
1997           118296          28176          47641          14810          0.601
1998            78155          21679          57975          21018          0.635
1999           109753          40470          58442          23670          0.581
2000            58847          37828          52466          22518          0.665
2001           183442          28358          44382          20455          0.573
2002            80153          29106          44922          16944          0.521
2003            48664          24802          50719          17797          0.500
2004            52759          37930          49903          18679          0.472
2005           260059          33509          41882          16523          0.523
2006            75028          26698          45424          11183          0.400
2007           100403          20981          55887          14676          0.374
2008           123260          49318          63134          13506          0.286
2009           191712          48557          66518          13609          0.289
2010           101905          51469          75440          12537          0.245
2011                           57441

