Species,Species.n,Year,Rec,SSB,TSB,SOP,mean.F,EatenBiomass
Cod,17,1963,4712810,140017,318698,128799,0.480537,81428.8
Cod,17,1964,10255000,158069,380606,131064,0.5068,160567
Cod,17,1965,19995700,200050,497915,211657,0.529738,299175
Cod,17,1966,12792800,225493,671875,263781,0.575618,376510
Cod,17,1967,1965950,234165,701715,277705,0.549081,268238
Cod,17,1968,4144630,243660,633382,308469,0.646283,136099
Cod,17,1969,11935200,250582,549941,209258,0.567338,194210
Cod,17,1970,12162900,278394,586009,246924,0.557078,283936
Cod,17,1971,2986490,284307,750333,417317,0.694839,286770
Cod,17,1972,4726160,241078,734709,390066,0.821398,193033
Cod,17,1973,4816370,211563,549344,276484,0.715819,164241
Cod,17,1974,4442950,235340,513879,262849,0.731297,143788
Cod,17,1975,4601700,208714,467176,246222,0.758777,145305
Cod,17,1976,12446500,183879,503417,309720,0.790145,218055
Cod,17,1977,9702100,165895,511251,353278,0.835931,247533
Cod,17,1978,8975680,153157,524156,330852,0.898968,229344
Cod,17,1979,8548250,155720,536173,432004,0.702405,217687
Cod,17,1980,7639240,180674,546244,592542,0.850498,221649
Cod,17,1981,14127700,184789,569604,394900,0.852044,256136
Cod,17,1982,8441250,166289,455693,360411,0.888909,206910
Cod,17,1983,6983640,139023,406434,282937,0.853462,179119
Cod,17,1984,5702610,124802,407050,381423,0.818262,195043
Cod,17,1985,7834770,125042,439277,248527,0.845285,177699
Cod,17,1986,5040320,115780,362098,342640,0.969073,159560
Cod,17,1987,4776720,102418,366930,246049,0.939619,132970
Cod,17,1988,4594980,94528,319321,195929,0.93614,109746
Cod,17,1989,3566980,87480.8,261838,203533,0.96698,99230.2
Cod,17,1990,3778360,81529.2,263005,153438,0.874712,92902.7
Cod,17,1991,5370390,76536.4,220689,121653,0.877399,91268.9
Cod,17,1992,3710570,75460.4,231077,152380,0.828605,99008.5
Cod,17,1993,5989850,75842.8,269964,140622,0.816779,117319
Cod,17,1994,4025280,76505.2,283544,228409,0.794468,123830
Cod,17,1995,4172470,87490,310458,208668,0.851913,119319
Cod,17,1996,6051140,86460.5,293212,145283,0.912084,124817
Cod,17,1997,1996980,76117,253405,147305,0.827627,102699
Cod,17,1998,2824220,69006.4,259033,144060,0.971086,82360.7
Cod,17,1999,3822670,56614.6,174112,91252.4,0.965436,76394.4
Cod,17,2000,1601010,44497.7,144945,85161.9,0.888903,56851.2
Cod,17,2001,2073990,39052,170109,94896,1.01224,54243.1
Cod,17,2002,1702390,37141.4,139029,76410.6,0.817384,47891.6
Cod,17,2003,2636660,40108.3,124901,69296.8,0.90797,51996.4
Cod,17,2004,1375250,32624.5,97627.4,46237.2,0.791103,43134.3
Cod,17,2005,1884350,28172.3,93876.2,49600.1,0.735379,45803.1
Cod,17,2006,1187420,26129.8,96523.5,46023,0.635027,52050
Cod,17,2007,1103670,29390,122165,71615.8,0.600809,51121.7
Cod,17,2008,997897,36112.9,120571,61113,0.650865,43528.9
Cod,17,2009,1786780,39954.3,112083,57817.2,0.607275,45019.2
Cod,17,2010,1433990,40912.1,121182,60974.5,0.551413,51228.7
Cod,17,2011,NA,46587.2,NA,NA,NA,NA
Whiting,18,1963,26961400,312599,725768,233092,0.761216,613800
