"Year","Quarter","Predator","Prey","eatenW"
1963,1,"Cod","Cod",8493.74657827485
1964,1,"Cod","Cod",11747.542667599
1965,1,"Cod","Cod",27525.2021410355
1966,1,"Cod","Cod",62659.1637190672
1967,1,"Cod","Cod",72347.682311877
1968,1,"Cod","Cod",25370.0067516428
1969,1,"Cod","Cod",16723.4387930752
1970,1,"Cod","Cod",31414.4754344802
1971,1,"Cod","Cod",63827.0311914267
1972,1,"Cod","Cod",30027.0934598054
1973,1,"Cod","Cod",23468.9131609637
1974,1,"Cod","Cod",25125.6165645051
1975,1,"Cod","Cod",19820.6990690414
1976,1,"Cod","Cod",27676.9093736602
1977,1,"Cod","Cod",37434.0550949556
1978,1,"Cod","Cod",37148.8841547053
1979,1,"Cod","Cod",37696.5500241424
1980,1,"Cod","Cod",29364.9074074539
1981,1,"Cod","Cod",37987.8055523809
1982,1,"Cod","Cod",25613.6543600058
1983,1,"Cod","Cod",26217.495271838
1984,1,"Cod","Cod",27845.6830567019
1985,1,"Cod","Cod",29470.8627363927
1986,1,"Cod","Cod",19946.1669422156
1987,1,"Cod","Cod",19392.2657317776
1988,1,"Cod","Cod",12289.2525828647
1989,1,"Cod","Cod",12272.0016226229
1990,1,"Cod","Cod",13517.7364908407
1991,1,"Cod","Cod",6840.39625135008
1992,1,"Cod","Cod",10201.975108139
1993,1,"Cod","Cod",11804.3642576552
1994,1,"Cod","Cod",15784.0511941469
1995,1,"Cod","Cod",14531.6677041371
1996,1,"Cod","Cod",13929.0594305773
1997,1,"Cod","Cod",12701.7763679909
1998,1,"Cod","Cod",8518.77518841655
1999,1,"Cod","Cod",4444.4340269299
2000,1,"Cod","Cod",3697.46287469375
2001,1,"Cod","Cod",2976.7806203442
2002,1,"Cod","Cod",2065.30612388406
2003,1,"Cod","Cod",2286.01619673332
2004,1,"Cod","Cod",1815.12161327787
2005,1,"Cod","Cod",1947.08029904447
2006,1,"Cod","Cod",1990.5223931655
2007,1,"Cod","Cod",2829.02202096474
2008,1,"Cod","Cod",2231.81624288266
2009,1,"Cod","Cod",2505.07918887597
2010,1,"Cod","Cod",2800.62409925014
1963,2,"Cod","Cod",8745.10062757618
1964,2,"Cod","Cod",15553.7252830639
1965,2,"Cod","Cod",33370.627099629
1966,2,"Cod","Cod",67593.9160564198
1967,2,"Cod","Cod",70489.7768525218
1968,2,"Cod","Cod",23994.9403962314
1969,2,"Cod","Cod",20750.6478059639
1970,2,"Cod","Cod",47639.916223836
1971,2,"Cod","Cod",69948.1861315502
1972,2,"Cod","Cod",45546.4579497821
1973,2,"Cod","Cod",35647.9537155683
1974,2,"Cod","Cod",26963.6573962515
1975,2,"Cod","Cod",22466.0353039463
1976,2,"Cod","Cod",30019.6703137405
1977,2,"Cod","Cod",41323.6915205792
1978,2,"Cod","Cod",46471.0256458614
1979,2,"Cod","Cod",40377.6363089526
1980,2,"Cod","Cod",41118.1349149359
1981,2,"Cod","Cod",36697.3948356524
