"Predator","Quarter","Year","Predator.length.class","Prey","Quarter.no","SMS.area","Predator.no","Size.model","Predator.length","Predator.length.mean","Predator.weight","Predator.size","Predator.available.food","Diri.p","Diri.sum.p","Diri.like","Prey.no","Prey.length.class","Prey.length.mean","Prey.weight","Prey.size","N.haul","N.samples","stomcon","stomcon.hat","Residual","L.N.bar","Prey.avail","Prey.avail.part","Suit","Stom.var","obj.contrib","stom.input","stom.used.all","stom.used.like","stom.used.avail","stom.used.prey","Pred.avail","stomcon.hat.part","Residual.part","year.range","year"
"Cod","Q1",1981,10,"Other",1,1,17,0,150,168,0.0466826,0.0466826,1060670,16.3323,17.3232,-4.6841,0,0,-1,-1,9999,47,47,0.950091,0.942802,0.00728898,-1,1e+06,1e+06,1,0.00294308,0,0.950091,1,1,1,1,1060668.41,0.942801718776559,0.00728928122344097,"1977-81","Y1981"
"Cod","Q1",1981,10,"Sandeel",1,1,17,0,150,168,0.0466826,0.0466826,1060670,0.105458,17.3232,-4.6841,22,8,85,0.00153,0.00316331,47,47,0.00572039,0.00608768,-0.000367293,47427900,6457.01,6457.01,0.0430383,0.000330217,0,0.00572039,1,1,1,1,1060668.41,0.00608768012615743,-0.00036729012615743,"1977-81","Y1981"
"Cod","Q1",1981,10,"Sprat",1,1,17,0,150,168,0.0466826,0.0466826,1060670,0.885398,17.3232,-4.6841,24,8,85,0.00418,0.00553342,47,47,0.0441889,0.0511106,-0.00692169,54113300,54211.4,54211.4,0.181048,0.00264683,0,0.0441889,1,1,1,1,1060668.41,0.0511106010972836,-0.00692170109728355,"1977-81","Y1981"
"Cod","Q1",1981,11,"Other",1,1,17,0,200,218,0.0982716,0.0982716,1136610,22.4441,25.5101,-4.89287,0,0,-1,-1,9999,68,68,0.804818,0.87981,-0.0749915,-1,1e+06,1e+06,1,0.00398883,0,0.804818,1,1,1,1,1136609.4,0.879809721791849,-0.0749917217918487,"1977-81","Y1981"
"Cod","Q1",1981,11,"Sandeel",1,1,17,0,200,218,0.0982716,0.0982716,1136610,1.29256,25.5101,-4.89287,22,8,85,0.00153,0.00316331,68,68,0.0169828,0.0506686,-0.0336858,47427900,57590.4,6457.01,0.0430383,0.00181445,0,0.00782663,1,1,1,1,1136609.4,0.00568094017170719,0.00214568982829281,"1977-81","Y1981"
"Cod","Q1",1981,11,"Sandeel",1,1,17,0,200,218,0.0982716,0.0982716,1136610,1.29256,25.5101,-4.89287,22,9,119,0.00422,0.0096669,68,68,0,0,0,122903000,0,51133.4,0.0430383,0,0,0.00915614,1,0,1,1,1136609.4,0.0449876624282713,-0.0358315224282713,"1977-81","Y1981"
"Cod","Q1",1981,11,"Nor. pout",1,1,17,0,200,218,0.0982716,0.0982716,1136610,0.361152,25.5101,-4.89287,23,8,87,0.0037,0.00681935,68,68,0.0199159,0.0141572,0.00575867,5632240,16091.2,16091.2,0.418953,0.000526469,0,0.0199159,1,1,1,1,1136609.4,0.014157194195297,0.005758705804703,"1977-81","Y1981"
"Cod","Q1",1981,11,"Sprat",1,1,17,0,200,218,0.0982716,0.0982716,1136610,1.41236,25.5101,-4.89287,24,7,53,0.0017,0.00128534,68,68,0.158283,0.0553645,0.102919,37456200,62927.8,8716.39,0.181048,0.0019728,0,0.0478384,1,1,1,1,1136609.4,0.00766876466092925,0.0401696353390708,"1977-81","Y1981"
"Cod","Q1",1981,11,"Sprat",1,1,17,0,200,218,0.0982716,0.0982716,1136610,1.41236,25.5101,-4.89287,24,8,85,0.00418,0.00553342,68,68,0,0,0,54113300,0,54211.4,0.181048,0,0,0.110445,1,0,1,1,1136609.4,0.0476957167519466,0.0627492832480534,"1977-81","Y1981"
"Cod","Q1",1981,12,"Other",1,1,17,0,250,270,0.181081,0.181081,1168050,24.1763,28.2391,-9.05377,0,0,-1,-1,9999,75,75,0.867277,0.856126,0.0111509,-1,1e+06,1e+06,1,0.00421265,0,0.867277,1,1,1,1,1168052.4,0.856125975170292,0.0111510248297079,"1977-81","Y1981"
"Cod","Q1",1981,12,"Herring",1,1,17,0,250,270,0.181081,0.181081,1168050,0.714275,28.2391,-9.05377,21,9,125,0.0126,0.0182225,75,75,0.00730499,0.0252938,-0.0179888,8043110,29544.5,29544.5,0.201579,0.000843186,0,0.00730499,1,1,1,1,1168052.4,0.0252938138734187,-0.0179888238734187,"1977-81","Y1981"
"Cod","Q1",1981,12,"Sandeel",1,1,17,0,250,270,0.181081,0.181081,1168050,0.156106,28.2391,-9.05377,22,8,85,0.00153,0.00316331,75,75,0.00448277,0.00552802,-0.00104525,47427900,6457.01,6457.01,0.0430383,0.000188017,0,0.00448277,1,1,1,1,1168052.4,0.00552801398293433,-0.00104524398293433,"1977-81","Y1981"
"Cod","Q1",1981,12,"Nor. pout",1,1,17,0,250,270,0.181081,0.181081,1168050,0.389025,28.2391,-9.05377,23,8,87,0.0037,0.00681935,75,75,0.0625072,0.0137761,0.0487311,5632240,16091.2,16091.2,0.418953,0.000464662,0,0.0625072,1,1,1,1,1168052.4,0.0137760942916602,0.0487311057083398,"1977-81","Y1981"
"Cod","Q1",1981,12,"Sprat",1,1,17,0,250,270,0.181081,0.181081,1168050,2.80347,28.2391,-9.05377,24,7,53,0.0017,0.00128534,75,75,0.0584281,0.0992761,-0.040848,37456200,115960,8716.39,0.181048,0.00305824,0,0.0128998,1,1,1,1,1168052.4,0.00746232788871458,0.00543747211128542,"1977-81","Y1981"
"Cod","Q1",1981,12,"Sprat",1,1,17,0,250,270,0.181081,0.181081,1168050,2.80347,28.2391,-9.05377,24,8,85,0.00418,0.00553342,75,75,0,0,0,54113300,0,54211.4,0.181048,0,0,0.0269152,1,0,1,1,1168052.4,0.0464117876903468,-0.0194965876903468,"1977-81","Y1981"
"Cod","Q1",1981,12,"Sprat",1,1,17,0,250,270,0.181081,0.181081,1168050,2.80347,28.2391,-9.05377,24,9,123,0.01087,0.0173364,75,75,0,0,0,16896000,0,53031.9,0.181048,0,0,0.0186131,1,0,1,1,1168052.4,0.0454019871026334,-0.0267888871026334,"1977-81","Y1981"
"Cod","Q1",1981,13,"Other",1,1,17,0,300,339,0.346942,0.346942,1672680,21.544,36.0362,-15.5677,0,0,-1,-1,9999,95,95,0.681762,0.597844,0.0839181,-1,1e+06,1e+06,1,0.00649166,0,0.681762,1,1,1,1,1672677.38,0.597843918951065,0.0839180810489348,"1977-81","Y1981"
"Cod","Q1",1981,13,"Cod",1,1,17,0,300,339,0.346942,0.346942,1672680,0.463203,36.0362,-15.5677,17,9,130,0.01429,0.0224373,95,95,0.0037259,0.0128538,-0.00912792,370266,21500.3,21500.3,2.58797,0.0003426,0,0.0037259,1,1,1,1,1672677.38,0.0128538236106236,-0.00912792361062359,"1977-81","Y1981"
"Cod","Q1",1981,13,"Whiting",1,1,17,0,300,339,0.346942,0.346942,1672680,3.52158,36.0362,-15.5677,18,9,126,0.01357,0.0161589,95,95,0.0681488,0.0977232,-0.0295744,3043140,163459,37157,0.755624,0.00238073,0,0.0472442,1,1,1,1,1672677.38,0.0222140864964647,0.0250301135035353,"1977-81","Y1981"
"Cod","Q1",1981,13,"Whiting",1,1,17,0,300,339,0.346942,0.346942,1672680,3.52158,36.0362,-15.5677,18,10,167,0.03845,0.0370506,95,95,0,0,0,4511400,0,126302,0.755624,0,0,0.0209046,1,0,1,1,1672677.38,0.0755088826513574,-0.0546042826513574,"1977-81","Y1981"
