Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail use_prey Y YQ YQP YQPL YQPLP YQPLPL
1981 1 1 1 0 15 500 500 5 0 0 9999 -1 9999 1999.8 50 0.951748 0.951748 1 1 1 1 1 1 1 1 0
1981 1 1 1 0 15 500 500 5 17 9 110 0.01423 0.0139215 0.00278431 50 0.0104914 0.0104914 1 1 1 1 1 1 1 2 9
1981 1 1 1 0 15 500 500 5 18 9 115 0.01249 0.0123468 0.00246935 50 0.0115506 0.0115506 1 1 1 1 1 1 1 3 9
1981 1 1 1 0 15 500 500 5 21 8 90 0.0066 0.0066025 0.0013205 50 0.00715978 4.223e-005 1 1 1 1 1 1 1 4 8
1981 1 1 1 0 15 500 500 5 21 9 126 0.01912 0.0186768 0.00373536 50 0 0.0028118 0 1 1 1 1 1 1 4 9
1981 1 1 1 0 15 500 500 5 21 10 163 0.04229 0.0413868 0.00827736 50 0 0.00430575 0 1 1 1 1 1 1 4 10
1981 1 1 1 0 15 500 500 5 23 8 88 0.00714 0.00705935 0.00141187 50 0.0117951 0.00132062 1 1 1 1 1 1 1 5 8
1981 1 1 1 0 15 500 500 5 23 9 107 0.01305 0.0127561 0.00255122 50 0 0.0104745 0 1 1 1 1 1 1 5 9
1981 1 1 1 0 15 500 500 5 24 7 56 0.00152 0.00152376 0.000304753 50 0.00725556 0.0008827 1 1 1 1 1 1 1 6 7
1981 1 1 1 0 15 500 500 5 24 8 80 0.00467 0.00458803 0.000917607 50 0 0.00426226 0 1 1 1 1 1 1 6 8
1981 1 1 1 0 15 500 500 5 24 9 100 0.00914 0.0091436 0.00182872 50 0 0.0021106 0 1 1 1 1 1 1 6 9
1981 1 1 2 0 15 500 500 5 0 0 9999 -1 9999 1999.8 50 0.0402473 0.0402473 1 1 1 1 1 2 2 7 0
1981 1 1 2 0 15 500 500 5 18 9 130 0.01794 0.0177171 0.00354342 50 0.0889451 0.0113076 1 1 1 1 1 2 2 8 9
1981 1 1 2 0 15 500 500 5 18 10 166 0.03718 0.0364009 0.00728017 50 0 0.0353542 0 1 1 1 1 2 2 8 10
1981 1 1 2 0 15 500 500 5 18 11 212 0.07524 0.0748198 0.014964 50 0 0.0422833 0 1 1 1 1 2 2 8 11
1981 1 1 2 0 15 500 500 5 19 9 131 0.01781 0.0175979 0.00351957 50 0.0159745 0.00318619 1 1 1 1 1 2 2 9 9
1981 1 1 2 0 15 500 500 5 19 10 166 0.03504 0.0343684 0.00687368 50 0 0.0127883 0 1 1 1 1 2 2 9 10
1981 1 1 2 0 15 500 500 5 21 8 87 0.00594 0.00594576 0.00118915 50 0.273686 0.00353512 1 1 1 1 1 2 2 10 8
1981 1 1 2 0 15 500 500 5 21 9 126 0.01911 0.0186768 0.00373536 50 0 0.189316 0 1 1 1 1 2 2 10 9
1981 1 1 2 0 15 500 500 5 21 10 150 0.03201 0.0320118 0.00640235 50 0 0.0808345 0 1 1 1 1 2 2 10 10
