Species.n catch CPUE SSB.Rec  stomachs penalty all n.catch n.CPUE n.SSB.R n.stom n.all.obs n.par
1   0 0 0 -242.87 0 -6588.09  0 0 0 110 110 1419
2   0 0 0 -162.702 0 -6588.09  0 0 0 100 100 1419
3   0 0 0 -300.658 0 -6588.09  0 0 0 135 135 1419
4   0 0 0 -147.806 0 -6588.09  0 0 0 90 90 1419
5   0 0 0 -366.673 0 -6588.09  0 0 0 155 155 1419
6   0 0 0 -100.783 0 -6588.09  0 0 0 70 70 1419
7   0 0 0 -70.2722 0 -6588.09  0 0 0 60 60 1419
8   0 0 0 -127.008 0 -6588.09  0 0 0 90 90 1419
9   0 0 0 -24.3495 0 -6588.09  0 0 0 59 59 1419
10   0 0 0 -62.8464 0 -6588.09  0 0 0 95 95 1419
11   0 0 0 -20.119 0 -6588.09  0 0 0 71 71 1419
12   0 0 0 -43.7987 0 -6588.09  0 0 0 94 94 1419
13   0 0 0 -0.230036 0 -6588.09  0 0 0 14 14 1419
14   0 0 0 6.80674 0 -6588.09  0 0 0 36 36 1419
15   0 0 0 -139.801 0 -6588.09  0 0 0 56 56 1419
16   0 0 0 -21.5993 0 -6588.09  0 0 0 16 16 1419
17   -378.346 -66.8295 -17.2718 -1226.29 0 -6588.09  480 277 48 882 1687 1419
18   -211.261 -183.146 -31.6794 -519.494 0 -6588.09  384 503 48 548 1483 1419
19   -85.0286 -223.656 18.6435 -63.8492 0 -6588.09  480 571 36 131 1218 1419
20   -253.186 25.683 -17.2401 -155.634 0 -6588.09  384 396 48 195 1023 1419
21   -168.302 -53.2594 -18.2246 0 0 -6588.09  336 268 48 0 652 1419
22   -77.5663 -10.1763 -19.5854 0 0 -6588.09  192 189 48 0 429 1419
23   -46.5 25.3217 -8.84033 0 0 -6588.09  144 241 36 0 421 1419
24   -41.0025 45.3412 -17.7632 0 0 -6588.09  144 177 31 0 352 1419
25   -522.457 -15.9612 -9.90715 0 0 -6588.09  480 537 48 0 1065 1419
26   -428.385 -11.7441 4.224 0 0 -6588.09  432 468 48 0 948 1419
