Species.n Year  Rec SSB TSB SOP SOP.hat mean.F Eaten
17 1963  4.71281e+006 140017 318698 128799 117518 0.480537 81428.8
17 1964  1.0255e+007 158069 380606 131064 147068 0.5068 160567
17 1965  1.99957e+007 200050 497915 211657 202152 0.529738 299175
17 1966  1.27928e+007 225493 671875 263781 265514 0.575618 376510
17 1967  1.96595e+006 234165 701715 277705 277132 0.549081 268238
17 1968  4.14463e+006 243660 633382 308469 297632 0.646283 136099
17 1969  1.19352e+007 250582 549941 209258 226908 0.567338 194210
17 1970  1.21629e+007 278394 586009 246924 254714 0.557078 283936
17 1971  2.98649e+006 284307 750333 417317 365337 0.694839 286770
17 1972  4.72616e+006 241078 734709 390066 387118 0.821398 193033
17 1973  4.81637e+006 211563 549344 276484 262887 0.715819 164241
17 1974  4.44295e+006 235340 513879 262849 258679 0.731297 143788
17 1975  4.6017e+006 208714 467176 246222 242800 0.758777 145305
17 1976  1.24465e+007 183879 503417 309720 248760 0.790145 218055
17 1977  9.7021e+006 165895 511251 353278 267581 0.835931 247533
17 1978  8.97568e+006 153157 524156 330852 316082 0.898968 229344
17 1979  8.54825e+006 155720 536173 432004 264895 0.702405 217687
17 1980  7.63924e+006 180674 546244 592542 310947 0.850498 221649
17 1981  1.41277e+007 184789 569604 394900 306144 0.852044 256136
17 1982  8.44125e+006 166289 455693 360411 265285 0.888909 206910
17 1983  6.98364e+006 139023 406434 282937 240890 0.853462 179119
17 1984  5.70261e+006 124802 407050 381423 237099 0.818262 195043
17 1985  7.83477e+006 125042 439277 248527 242200 0.845285 177699
17 1986  5.04032e+006 115780 362098 342640 218237 0.969073 159560
17 1987  4.77672e+006 102418 366930 246049 239294 0.939619 132970
17 1988  4.59498e+006 94528 319321 195929 201188 0.93614 109746
17 1989  3.56698e+006 87480.8 261838 203533 181086 0.96698 99230.2
17 1990  3.77836e+006 81529.2 263005 153438 145989 0.874712 92902.7
17 1991  5.37039e+006 76536.4 220689 121653 134622 0.877399 91268.9
17 1992  3.71057e+006 75460.4 231077 152380 146562 0.828605 99008.5
17 1993  5.98985e+006 75842.8 269964 140622 146223 0.816779 117319
17 1994  4.02528e+006 76505.2 283544 228409 147621 0.794468 123830
17 1995  4.17247e+006 87490 310458 208668 173786 0.851913 119319
17 1996  6.05114e+006 86460.5 293212 145283 173889 0.912084 124817
17 1997  1.99698e+006 76117 253405 147305 145037 0.827627 102699
17 1998  2.82422e+006 69006.4 259033 144060 134568 0.971086 82360.7
17 1999  3.82267e+006 56614.6 174112 91252.4 96091.7 0.965436 76394.4
17 2000  1.60101e+006 44497.7 144945 85161.9 94790.6 0.888903 56851.2
17 2001  2.07399e+006 39052 170109 94896 103962 1.01224 54243.1
17 2002  1.70239e+006 37141.4 139029 76410.6 84148.3 0.817384 47891.6
17 2003  2.63666e+006 40108.3 124901 69296.8 68022.9 0.90797 51996.4
17 2004  1.37525e+006 32624.5 97627.4 46237.2 50674.1 0.791103 43134.3
17 2005  1.88435e+006 28172.3 93876.2 49600.1 51357.5 0.735379 45803.1
17 2006  1.18742e+006 26129.8 96523.5 46023 42843.8 0.635027 52050
17 2007  1.10367e+006 29390 122165 71615.8 57421.5 0.600809 51121.7
17 2008  997897 36112.9 120571 61113 61245.5 0.650865 43528.9
17 2009  1.78678e+006 39954.3 112083 57817.2 61168.1 0.607275 45019.2
17 2010  1.43399e+006 40912.1 121182 60974.5 62199.2 0.551413 51228.7
17 2011  NA 46587.2 NA NA NA NA NA 
18 1963  2.69614e+007 312599 725768 233092 210357 0.761216 613800
18 1964  2.81161e+007 647796 901305 141354 202794 0.496106 688431
18 1965  2.40923e+007 571104 843677 176282 188894 0.461622 661004
18 1966  1.90737e+007 431039 663480 242948 248101 0.867698 515216
18 1967  3.83299e+007 291378 506038 207382 140725 0.623419 513660
18 1968  1.63335e+007 368255 974607 237353 223303 0.648578 729677
18 1969  1.99959e+007 830846 1.0243e+006 319180 264096 0.569189 675280
18 1970  2.01392e+007 559473 774023 286329 244055 0.673961 543169
18 1971  2.5365e+007 326063 571507 174964 108759 0.417863 526885
18 1972  4.659e+007 360277 748953 208574 192587 0.679533 832834
18 1973  2.80307e+007 474798 1.08759e+006 286396 243384 0.712991 1.05268e+006
18 1974  2.7513e+007 556872 816108 323086 215128 0.664145 673624
18 1975  4.16109e+007 442573 824693 276621 241078 0.743812 790931
18 1976  4.54183e+007 530917 1.04416e+006 326300 271070 0.784886 1.07039e+006
18 1977  3.94903e+007 594128 1.00191e+006 289804 240011 0.66681 929690
18 1978  4.33861e+007 494332 950125 205707 203729 0.572116 992038
18 1979  3.83554e+007 524867 962979 249693 197431 0.521831 881055
18 1980  3.21352e+007 596713 1.14336e+006 223016 251677 0.645173 1.02217e+006
18 1981  3.15535e+007 648082 977465 192216 200904 0.562352 905497
18 1982  1.42256e+007 425311 621327 140245 113282 0.414737 484997
18 1983  1.89083e+007 319191 458103 161688 114336 0.528327 377980
18 1984  2.4072e+007 247963 497587 145637 124838 0.659871 523520
18 1985  2.35968e+007 304007 486924 100210 124907 0.623993 463847
18 1986  3.03685e+007 284219 573463 161470 166615 0.780664 584470
18 1987  2.48849e+007 350979 671173 138909 165274 0.799918 617281
18 1988  3.63479e+007 386795 619997 133010 124539 0.59533 617429
18 1989  3.8769e+007 365888 811789 123527 180680 0.715849 854001
18 1990  2.86204e+007 485733 801811 152421 158485 0.601489 716456
18 1991  1.97404e+007 427243 675595 125273 147155 0.584235 535543
18 1992  2.48788e+007 382383 587644 108736 116781 0.486493 522982
18 1993  2.55973e+007 358732 593004 116872 146017 0.707455 539081
18 1994  2.35508e+007 333626 570713 101612 126332 0.645485 525320
18 1995  2.43047e+007 343384 563067 106219 113597 0.544346 541161
18 1996  1.4556e+007 324666 501416 75995.4 96836.5 0.509267 412067
18 1997  2.22433e+007 271200 390704 61438 66219.4 0.380865 406719
18 1998  3.49533e+007 223456 371657 47309.2 49351.7 0.326165 532596
18 1999  4.22925e+007 214156 438168 60762.2 58604.3 0.414677 678226
18 2000  3.66844e+007 258522 488330 64470.6 104341 0.566202 601848
18 2001  3.75593e+007 339144 576540 44927.6 82186.5 0.375947 683896
18 2002  2.10741e+007 350301 566064 46412.4 53595.6 0.252583 534533
18 2003  2.09721e+007 324248 418338 45646.5 35626.6 0.187359 410188
18 2004  1.80887e+007 241919 330901 32940.1 30078.4 0.171854 343985
18 2005  1.4896e+007 178912 278736 28605.1 24656.5 0.171099 304049
18 2006  1.56608e+007 156772 253578 35486.9 27241.5 0.224637 300405
18 2007  2.60722e+007 152336 247693 27261.6 25623.9 0.235956 381689
18 2008  2.07433e+007 159518 337070 29091.6 28356.1 0.22817 415947
18 2009  1.77117e+007 232985 389892 27211.1 28350.6 0.166549 390937
18 2010  2.06062e+007 311165 454522 31327.4 33117.6 0.148444 431986
18 2011  NA 347069 NA NA NA NA NA 
19 1963  2.44482e+006 99290.8 1.28036e+006 271034 314880 0.703795 621903
19 1964  4.70239e+006 628296 1.81511e+006 380063 714107 0.710519 469049
19 1965  8.3631e+006 931152 1.35057e+006 299161 492159 0.60978 428890
19 1966  4.11568e+007 543649 704922 346010 245123 0.598145 736884
19 1967  1.06808e+008 217619 699587 246194 156751 0.585505 1.48249e+006
19 1968  2.19108e+007 209480 2.51263e+006 302172 392299 0.465948 2.00399e+006
19 1969  1.92563e+007 981656 2.83237e+006 929878 1.03071e+006 0.817227 1.21819e+006
19 1970  6.73935e+007 1.07489e+006 1.74208e+006 805430 684462 0.782422 1.40023e+006
19 1971  9.51805e+007 483870 1.41479e+006 447327 333813 0.64108 2.02336e+006
19 1972  2.3095e+007 341926 1.92536e+006 353685 452083 0.77261 1.74837e+006
19 1973  4.77317e+007 429584 1.172e+006 307691 318349 0.594169 1.23602e+006
19 1974  6.9211e+007 336258 1.00479e+006 367460 253526 0.615067 1.39506e+006
19 1975  7.69521e+006 251654 1.54653e+006 453709 372839 0.856161 1.2016e+006
19 1976  1.23964e+007 392647 1.03889e+006 374843 367420 0.758112 567476
19 1977  2.6829e+007 348187 614759 224725 228211 0.765977 585410
19 1978  3.69775e+007 157855 452975 179327 148533 0.828912 720540
19 1979  4.88451e+007 113128 559390 145059 138290 0.765723 957039
19 1980  3.70918e+007 157184 917723 222130 238001 0.769663 1.09042e+006
19 1981  3.5079e+007 290104 874792 213318 253590 0.642769 864433
19 1982  1.71075e+007 348946 889233 233091 225894 0.585375 717464
