species_group,First,Last
other,-100,0
other,400000000,8499999999
Other fish,8500000000,8747009999
Clupeidae,8747010000,8747019999
Other fish,8747020000,8791029999
Gadidae,8791030000,8791031999
Other fish,8791032000,8999999999
unknown,9000000000,9999999999
