Species,a,b
RAJ,4.09E-08,2.896
GUR,6.20E-09,3.1
W_H,1.05E-08,2.9622
N_H,1.05E-08,2.9622
HKE,6.59E-09,3.017
COD,2.05E-08,2.8571
WHG,1.05E-08,2.9456
HAD,1.82E-08,2.8268
POK,2.83E-08,2.7374
MAC,3.81E-09,3.21
HER,6.03E-09,3.0904
NSA,2.67E-09,3.06
SSA,2.67E-09,3.06
NOP,7.50E-09,3.0244
SPR,8.73E-10,3.4746
PLE,1.51E-08,2.8876
SOL,8.00E-09,3.04999
