rectangle,roundfish
  44F6 ,7
  44F7 ,7
  45F5 ,1
  45F6 ,1 
  46F4 ,1 
  46F5 ,1
  47F4 ,1
  48E4 ,1
  48F4 ,1
  49F4 ,1
  50F4 ,1
  51F4 ,1
  52F4 ,1
  9999 ,10
44F0,1
44F1,1
45F0,1
45F1,1
45F2,1
45F3,1
45F4,1
46F0,1
46F1,1
46F2,1
46F3,1
47E8,1
47E9,1
47F0,1
47F1,1
47F2,1
47F3,1
48E6,1
48E7,1
48E8,1
48E9,1
48F0,1
48F1,1
48F2,1
48F3,1
49E6,1
49E7,1
49E8,1
49E9,1
49F0,1
49F1,1
49F2,1
49F3,1
50E6,1
50E7,1
50E8,1
50E9,1
50F0,1
50F1,1
50F2,1
50F3,1
51E6,1
51E7,1
51E8,1
51E9,1
51F0,1
51F1,1
51F2,1
51F3,1
52E6,1
52E7,1
52E8,1
52E9,1
52F0,1
52F1,1
52F2,1
52F3,1
39F1,2
39F2,2
40F0,2
40F1,2
40F2,2
40F3,2
40F4,2
41F0,2
41F1,2
41F2,2
41F3,2
41F4,2
42F0,2
42F1,2
42F2,2
42F3,2
42F4,2
43F0,2
43F1,2
43F2,2
43F3,2
43F4,2
44F2,2
44F3,2
44F4,2
41E6,3
41E7,3
41E8,3
41E9,3
42E7,3
42E8,3
42E9,3
43E7,3
43E8,3
43E9,3
44E6,3
44E7,3
44E8,3
44E9,3
45E6,3
45E7,3
45E8,3
45E9,3
46E6,3
46E7,3
46E8,3
46E9,3
47E6,3
47E7,3
36E9,4
36F0,4
37E9,4
37F0,4
37F1,4
38E8,4
38E9,4
38F0,4
38F1,4
39E8,4
39E9,4
39F0,4
40E6,4
40E7,4
40E8,4
40E9,4
31F0,5
31F1,5
32F0,5
32F1,5
33F1,5
33F2,5
34F0,5
34F1,5
34F2,5
35F0,5
35F1,5
35F2,5
36F1,5
36F2,5
31F2,6
31F3,6
31F4,6
32F2,6
32F3,6
32F4,6
33F3,6
33F4,6
33F5,6
34F3,6
34F4,6
34F5,6
35F3,6
35F4,6
35F5,6
35F6,6
35F7,6
35F8,6
35F9,6
36F3,6
36F4,6
36F5,6
36F6,6
36F7,6
36F8,6
36F9,6
37F2,6
37F3,6
37F4,6
37F5,6
37F6,6
37F7,6
37F8,6
38F2,6
38F3,6
38F4,6
38F5,6
38F6,6
38F7,6
38F8,6
39F3,6
39F4,6
39F5,6
39F6,6
39F7,6
39F8,6
40F5,7
40F6,7
40F7,7
40F8,7
41F5,7
41F6,7
41F7,7
41F8,7
42F5,7
42F6,7
42F7,7
42F8,7
43F5,7
43F6,7
43F7,7
44F5,7
43F8,8
43F9,8
44F8,8
44F9,8
44G0,8
44G1,8
45F8,8
45F9,8
45G0,8
45G1,8
46F8,8
46F9,8
46G0,8
46G1,8
47F9,8
47G0,8
47G1,8
48F9,8
48G0,8
41G1,9
41G2,9
42G0,9
42G1,9
42G2,9
43G0,9
43G1,9
43G2,9
