pred_name,pred_nodc,rho,lambda,delta,xi,alfa,k
COD,8791030402,0.00224,1.3,0.083,-0.85,0.5,0.85
HAD,8791031301,0.00191,1.3,0.083,-0.85,0.5,0.85
POK,8791030901,0.00171,1.35,0.081,-0.85,0.5,0.85
WHG,8791031801,0.00171,1.35,0.081,-0.85,0.5,0.85
MAC,8850030302,0.00174,1.3,0.08,-0.85,0.5,0.85
