pred_name,stratum_time,pred_size,stratum_area,w_fac_area
N_H,1987-Q3,0250-0300,R-6,33
N_H,1987-Q3,0300-0350,R-6,33
N_H,1987-Q3,0200-0250,R-6,33
N_H,1987-Q3,0150-0200,R-6,33
N_H,1987-Q3,0350-0400,R-6,33
N_H,1987-Q3,0200-0250,R-2,25
N_H,1987-Q3,0250-0300,R-2,25
N_H,1987-Q3,0300-0350,R-2,25
N_H,1987-Q3,0250-0300,R-5,10
N_H,1987-Q3,0150-0200,R-5,10
N_H,1987-Q3,0200-0250,R-5,10
N_H,1987-Q3,0300-0350,R-5,10
N_H,1987-Q3,0250-0300,R-4,11
N_H,1987-Q3,0300-0350,R-4,11
N_H,1987-Q3,0350-0400,R-4,11
N_H,1991-Q2,0250-0300,R-6,33
N_H,1991-Q2,0300-0350,R-6,33
N_H,1991-Q2,0200-0250,R-6,33
N_H,1991-Q2,0350-0400,R-6,33
N_H,1991-Q2,0200-0250,R-5,10
N_H,1991-Q2,0300-0350,R-2,25
N_H,1991-Q2,0150-0200,R-5,10
N_H,1991-Q2,0150-0200,R-6,33
N_H,1991-Q2,0250-0300,R-5,10
N_H,1991-Q2,0300-0350,R-5,10
N_H,1991-Q2,0350-0400,R-5,10
N_H,1991-Q2,0300-0350,R-7,12
N_H,1991-Q3,0300-0350,R-6,33
N_H,1991-Q3,0250-0300,R-2,25
N_H,1991-Q3,0350-0400,R-2,25
N_H,1991-Q3,0300-0350,R-2,25
N_H,1991-Q3,0350-0400,R-7,12
N_H,1991-Q3,0250-0300,R-7,12
N_H,1991-Q3,0300-0350,R-7,12
N_H,1991-Q3,0250-0300,R-5,10
N_H,1991-Q3,0300-0350,R-5,10
N_H,1991-Q3,0150-0200,R-6,33
N_H,1991-Q3,0200-0250,R-6,33
N_H,1991-Q3,0250-0300,R-6,33
N_H,1991-Q3,0200-0250,R-5,10
N_H,1991-Q3,0350-0400,R-6,33
N_H,1991-Q3,0150-0200,R-5,10
N_H,1991-Q3,0250-0300,R-4,11
N_H,1991-Q3,0400-0500,R-2,25
W_H,1991-Q3,0250-0300,R-2,25
W_H,1991-Q3,0350-0400,R-2,25
W_H,1991-Q3,0300-0350,R-2,25
W_H,1991-Q3,0300-0350,R-3,19
W_H,1991-Q3,0350-0400,R-3,19
W_H,1991-Q3,0300-0350,R-1,45
W_H,1991-Q3,0250-0300,R-1,45
W_H,1991-Q3,0350-0400,R-1,45
W_H,1991-Q3,0400-0500,R-2,25
W_H,1991-Q3,0250-0300,R-3,19
N_H,1991-Q4,0250-0300,R-6,33
N_H,1991-Q4,0300-0350,R-6,33
N_H,1991-Q4,0250-0300,R-4,11
N_H,1991-Q4,0300-0350,R-4,11
N_H,1991-Q4,0350-0400,R-2,25
N_H,1991-Q4,0300-0350,R-2,25
N_H,1991-Q4,0300-0350,R-5,10
N_H,1991-Q4,0200-0250,R-6,33
N_H,1991-Q4,0350-0400,R-6,33
N_H,1991-Q4,0250-0300,R-7,12
N_H,1991-Q4,0300-0350,R-7,12
W_H,1991-Q4,0350-0400,R-1,45
W_H,1991-Q4,0250-0300,R-3,19
W_H,1991-Q4,0300-0350,R-2,25
W_H,1991-Q4,0300-0350,R-1,45
W_H,1991-Q4,0250-0300,R-1,45
N_H,1991-Q1,0350-0400,R-6,33
N_H,1991-Q2,0200-0250,R-2,25
N_H,1991-Q2,0350-0400,R-2,25
N_H,1991-Q2,0400-0500,R-6,33
W_H,1991-Q3,0400-0500,R-1,45
N_H,1991-Q4,0200-0250,R-5,10
N_H,1991-Q4,0250-0300,R-5,10
N_H,1991-Q4,0350-0400,R-4,11
N_H,1991-Q4,0250-0300,R-2,25
N_H,1991-Q4,0400-0500,R-2,25
W_H,1991-Q4,0350-0400,R-2,25
W_H,1991-Q4,0400-0500,R-1,45
W_H,1991-Q4,0250-0300,R-2,25
