species_group,First,Last
Other,400000000,4700000000
Annelida,5000000000,5001700000
Other Inv.,5001710000,5699999999
Cephalopoda,5700000000,5799999999
Other Inv.,6000000000,6099999999
Other Crustaceans,6100000000,6173999999
Euphausiacea,6174000000,6174999999
Other Crustaceans,6175000000,6178999999
Caridea,6179000000,6179999999
Astacidea,6180000000,6181999999
Other Crustaceans,6182000000,6182999999
Anomura mm,6183000000,6189999999
Other Inv.,6200000000,8099999999
Echinodermata,8100000000,8169999999
Other Inv.,8170000000,8499999999
Other fish,8500000000,8747010109
Clupea harengus,8747010200,8747010201
Sprattus sprattus,8747011700,8747011701
Other fish,8747012200,8759010000
Maurolicus,8759010500,8759010501
Other fish,8759020000,8791030000
Gadus morhua,8791030400,8791030402
Other fish,8791030800,8791030900
Pollachius virens,8791030901,8791030901
Other fish,8791030902,8791031101
Melanogrammus aeglefinus,8791031300,8791031301
Other fish,8791031500,8791031702
Trisopterus esmarki,8791031703,8791031703
Merlangius merlangus,8791031800,8791031801
Other fish,8791031900,8844999999
Ammodytidae,8845000000,8845999999
Other fish,8846000000,8857040603
Limanda limanda,8857040900,8857040904
Other fish,8857041200,8857041402
Pleuronectes platessa,8857041500,8857041502
Other fish,8857041800,8858010000
Solea solea,8858010600,8858010601
Other fish,8858010610,8999999999
Other,9000000000,9999999999
