l,Species,y1,y2,q1,q2
50,ALL,1980,2013,1,4
70,ALL,1980,2013,1,4
100,ALL,1980,2013,1,4
150,ALL,1980,2013,1,4
200,ALL,1980,2013,1,4
250,ALL,1980,2013,1,4
300,ALL,1980,2013,1,4
400,ALL,1980,2013,1,4
500,ALL,1980,2013,1,4
700,ALL,1980,2013,1,4
1000,ALL,1980,2013,1,4
1500,ALL,1980,2013,1,4
