"Species","year","quarter","l1","l2","no","group"
"ALL",1980,1,50,70,1,"0050-0070"
"ALL",1980,1,70,100,2,"0070-0100"
"ALL",1980,1,100,150,3,"0100-0150"
"ALL",1980,1,150,200,4,"0150-0200"
"ALL",1980,1,200,250,5,"0200-0250"
"ALL",1980,1,250,300,6,"0250-0300"
"ALL",1980,1,300,400,7,"0300-0400"
"ALL",1980,1,400,500,8,"0400-0500"
"ALL",1980,1,500,700,9,"0500-0700"
"ALL",1980,1,700,1000,10,"0700-1000"
"ALL",1980,1,1000,1500,11,"1000-1500"
"ALL",1980,1,1500,9999,12,"1500-9999"
"ALL",1980,2,50,70,1,"0050-0070"
"ALL",1980,2,70,100,2,"0070-0100"
"ALL",1980,2,100,150,3,"0100-0150"
"ALL",1980,2,150,200,4,"0150-0200"
"ALL",1980,2,200,250,5,"0200-0250"
"ALL",1980,2,250,300,6,"0250-0300"
"ALL",1980,2,300,400,7,"0300-0400"
"ALL",1980,2,400,500,8,"0400-0500"
"ALL",1980,2,500,700,9,"0500-0700"
"ALL",1980,2,700,1000,10,"0700-1000"
"ALL",1980,2,1000,1500,11,"1000-1500"
"ALL",1980,2,1500,9999,12,"1500-9999"
"ALL",1980,3,50,70,1,"0050-0070"
"ALL",1980,3,70,100,2,"0070-0100"
"ALL",1980,3,100,150,3,"0100-0150"
"ALL",1980,3,150,200,4,"0150-0200"
"ALL",1980,3,200,250,5,"0200-0250"
"ALL",1980,3,250,300,6,"0250-0300"
"ALL",1980,3,300,400,7,"0300-0400"
"ALL",1980,3,400,500,8,"0400-0500"
"ALL",1980,3,500,700,9,"0500-0700"
"ALL",1980,3,700,1000,10,"0700-1000"
"ALL",1980,3,1000,1500,11,"1000-1500"
"ALL",1980,3,1500,9999,12,"1500-9999"
"ALL",1980,4,50,70,1,"0050-0070"
"ALL",1980,4,70,100,2,"0070-0100"
"ALL",1980,4,100,150,3,"0100-0150"
"ALL",1980,4,150,200,4,"0150-0200"
"ALL",1980,4,200,250,5,"0200-0250"
"ALL",1980,4,250,300,6,"0250-0300"
"ALL",1980,4,300,400,7,"0300-0400"
"ALL",1980,4,400,500,8,"0400-0500"
"ALL",1980,4,500,700,9,"0500-0700"
"ALL",1980,4,700,1000,10,"0700-1000"
"ALL",1980,4,1000,1500,11,"1000-1500"
"ALL",1980,4,1500,9999,12,"1500-9999"
"ALL",1981,1,50,70,1,"0050-0070"
"ALL",1981,1,70,100,2,"0070-0100"
"ALL",1981,1,100,150,3,"0100-0150"
