pred_name,stratum_time,pred_size,stratum_area,w_fac_area
COD,1981-Q1,0200-0250,R-2,0.1564977976
COD,1981-Q1,0200-0250,R-6,0.6643287135
COD,1981-Q1,0200-0250,R-1,0.1045837006
COD,1981-Q1,0200-0250,R-7,0.0032618698
COD,1981-Q1,0250-0300,R-3,0.0380141969
COD,1981-Q1,0250-0300,R-4,0.1834018273
COD,1981-Q1,0250-0300,R-2,0.335909764
COD,1981-Q1,0250-0300,R-1,0.2280851816
COD,1981-Q1,0250-0300,R-6,0.1843555168
COD,1981-Q1,0250-0300,R-7,0.0302335134
COD,1981-Q1,0300-0400,R-3,0.0401186901
COD,1981-Q1,0300-0400,R-4,0.0755175343
COD,1981-Q1,0300-0400,R-1,0.2235716475
COD,1981-Q1,0300-0400,R-2,0.3185530664
COD,1981-Q1,0300-0400,R-5,0.0158984283
COD,1981-Q1,0150-0200,R-3,0.0132312014
COD,1981-Q1,0300-0400,R-6,0.2751123646
COD,1981-Q1,0300-0400,R-7,0.0512282689
COD,1981-Q1,0150-0200,R-4,0.0132312014
COD,1981-Q1,0400-0500,R-3,0.0266300832
COD,1981-Q1,0400-0500,R-4,0.0058305866
COD,1981-Q1,0400-0500,R-1,0.347144158
COD,1981-Q1,0150-0200,R-2,0.0921678115
COD,1981-Q1,0400-0500,R-2,0.0369358429
COD,1981-Q1,0400-0500,R-5,0.00538208
COD,1981-Q1,0400-0500,R-6,0.5457847695
COD,1981-Q1,0400-0500,R-7,0.0322924798
COD,1981-Q1,0500-0700,R-3,0.0877325287
COD,1981-Q1,0500-0700,R-1,0.6258072639
COD,1981-Q1,0150-0200,R-6,0.8516576142
COD,1981-Q1,0500-0700,R-2,0.05751905
COD,1981-Q1,0500-0700,R-6,0.1456450516
COD,1981-Q1,0500-0700,R-7,0.0637396287
COD,1981-Q1,0700-1000,R-3,0.0902705321
COD,1981-Q1,0700-1000,R-1,0.4789089283
COD,1981-Q1,0700-1000,R-4,0.0266060516
COD,1981-Q1,0700-1000,R-2,0.1397376658
COD,1981-Q1,0700-1000,R-5,0.0228051871
COD,1981-Q1,0700-1000,R-6,0.1707221643
COD,1981-Q1,0150-0200,R-7,0.0297121715
COD,1981-Q1,0700-1000,R-7,0.0709494709
COD,1981-Q1,0200-0250,R-4,0.0611600588
COD,1981-Q1,0200-0250,R-3,0.0101678598
HAD,1981-Q1,0100-0150,R-3,0.0114517464
HAD,1981-Q1,0100-0150,R-1,0.9885482536
HAD,1981-Q1,0200-0250,R-2,0.1760550751
HAD,1981-Q1,0200-0250,R-1,0.5851508818
HAD,1981-Q1,0200-0250,R-6,0.0016537034
HAD,1981-Q1,0200-0250,R-7,5.6604e-5
HAD,1981-Q1,0100-0150,R-2,0
HAD,1981-Q1,0250-0300,R-3,0.1523225304
HAD,1981-Q1,0250-0300,R-1,0.3769333018
HAD,1981-Q1,0250-0300,R-2,0.4407915769
HAD,1981-Q1,0250-0300,R-6,4.407079e-4
HAD,1981-Q1,0250-0300,R-7,2.627171e-4
HAD,1981-Q1,0300-0400,R-3,0.0914999455
HAD,1981-Q1,0100-0150,R-7,0
HAD,1981-Q1,0300-0400,R-2,0.1929377145
HAD,1981-Q1,0300-0400,R-1,0.689010766
HAD,1981-Q1,0300-0400,R-6,0.0115773906
HAD,1981-Q1,0300-0400,R-7,0.0041650046
HAD,1981-Q1,0150-0200,R-3,0.118305326
HAD,1981-Q1,0400-0500,R-3,0.0374384226
HAD,1981-Q1,0400-0500,R-1,0.8634618421
HAD,1981-Q1,0400-0500,R-6,0.0087098123
HAD,1981-Q1,0400-0500,R-2,0.0759400054
HAD,1981-Q1,0400-0500,R-7,0.0072476075
HAD,1981-Q1,0500-0700,R-2,0.0453983272
HAD,1981-Q1,0500-0700,R-1,0.8890808397
HAD,1981-Q1,0500-0700,R-7,0.00823223
HAD,1981-Q1,0500-0700,R-6,0.0227518257
HAD,1981-Q1,0150-0200,R-2,0.1127682466
HAD,1981-Q1,0150-0200,R-1,0.7672860192
HAD,1981-Q1,0150-0200,R-6,4.855526e-4
HAD,1981-Q1,0150-0200,R-7,0
HAD,1981-Q1,0200-0250,R-3,0.229864073
MAC,1981-Q1,0200-0250,R-2,0.6607019957
MAC,1981-Q1,0300-0400,R-2,1
MAC,1981-Q1,0150-0200,R-7,0
MAC,1981-Q1,0300-0400,R-1,0
MAC,1981-Q1,0250-0300,R-7,0
MAC,1981-Q1,0300-0400,R-7,0
MAC,1981-Q1,0200-0250,R-5,0
MAC,1981-Q1,0250-0300,R-5,0
MAC,1981-Q1,0300-0400,R-5,0
MAC,1981-Q1,0250-0300,R-2,0.9413241288
MAC,1981-Q1,0150-0200,R-2,1
WHG,1981-Q1,0100-0150,R-7,0.0434038455
WHG,1981-Q1,0100-0150,R-4,0.0374898145
WHG,1981-Q1,0150-0200,R-3,0.181063017
WHG,1981-Q1,0150-0200,R-4,0.0565180308
WHG,1981-Q1,0150-0200,R-2,0.3623890082
WHG,1981-Q1,0150-0200,R-1,0.173290996
WHG,1981-Q1,0150-0200,R-5,0.0141875669
WHG,1981-Q1,0100-0150,R-3,0.1610384237
WHG,1981-Q1,0150-0200,R-6,0.1573962763
WHG,1981-Q1,0100-0150,R-2,0.2409476093
WHG,1981-Q1,0150-0200,R-7,0.0551551048
WHG,1981-Q1,0200-0250,R-3,0.2774892007
WHG,1981-Q1,0200-0250,R-4,0.0300061777
WHG,1981-Q1,0200-0250,R-1,0.0580358266
WHG,1981-Q1,0200-0250,R-2,0.4848127193
WHG,1981-Q1,0200-0250,R-5,0.0575416944
WHG,1981-Q1,0200-0250,R-6,0.0869314834
WHG,1981-Q1,0250-0300,R-3,0.1774147715
WHG,1981-Q1,0250-0300,R-4,0.0219592688
WHG,1981-Q1,0100-0150,R-5,0.0148107909
WHG,1981-Q1,0250-0300,R-1,0.2625337332
WHG,1981-Q1,0250-0300,R-2,0.296046875
WHG,1981-Q1,0250-0300,R-5,0.0399914211
WHG,1981-Q1,0250-0300,R-6,0.1966043657
WHG,1981-Q1,0250-0300,R-7,0.0054495647
WHG,1981-Q1,0100-0150,R-6,0.3315225836
WHG,1981-Q1,0300-0400,R-3,0.1589238565
WHG,1981-Q1,0300-0400,R-4,0.0166005665
WHG,1981-Q1,0300-0400,R-1,0.4828456178
WHG,1981-Q1,0300-0400,R-5,0.0379650926
WHG,1981-Q1,0300-0400,R-6,0.2667905267
WHG,1981-Q1,0400-0500,R-1,0.7160314499
WHG,1981-Q1,0100-0150,R-1,0.1707869325
WHG,1981-Q1,0200-0250,R-7,0.0051828977
WHG,1981-Q1,0300-0400,R-2,0.0270532541
WHG,1981-Q1,0300-0400,R-7,0.0098210857
WHG,1981-Q1,0400-0500,R-6,0.2341688038
WHG,1981-Q1,0400-0500,R-7,0.0048217606
WHG,1981-Q1,0400-0500,R-3,0.0386494249
COD,1981-Q2,0150-0200,R-4,0.1081026705
COD,1981-Q2,0150-0200,R-2,0.1089801272
COD,1981-Q2,0150-0200,R-6,0.2854241427
COD,1981-Q2,0150-0200,R-7,0.3596222704
COD,1981-Q2,0200-0250,R-4,0.0455154109
COD,1981-Q2,0200-0250,R-5,0
COD,1981-Q2,0200-0250,R-1,0.0481454505
COD,1981-Q2,0200-0250,R-2,0.13308679
COD,1981-Q2,0200-0250,R-6,0.4316076115
COD,1981-Q2,0200-0250,R-7,0.2746265166
COD,1981-Q2,0250-0300,R-4,0.035929835
COD,1981-Q2,0250-0300,R-1,0.0534493413
COD,1981-Q2,0250-0300,R-5,0.0039996106
COD,1981-Q2,0250-0300,R-2,0.0857416517
COD,1981-Q2,0250-0300,R-6,0.5804134875
COD,1981-Q2,0250-0300,R-7,0.1602305528
COD,1981-Q2,0300-0400,R-1,0.2530067562
COD,1981-Q2,0300-0400,R-4,0.0742925022
COD,1981-Q2,0300-0400,R-3,0.0395969388
COD,1981-Q2,0300-0400,R-2,0.1052444953
COD,1981-Q2,0300-0400,R-5,0.0115780523
COD,1981-Q2,0300-0400,R-6,0.4494847998
COD,1981-Q2,0300-0400,R-7,0.0667964555
COD,1981-Q2,0400-0500,R-1,0.4361579983
COD,1981-Q2,0400-0500,R-4,0.0355590038
COD,1981-Q2,0400-0500,R-3,0.1050283668
COD,1981-Q2,0400-0500,R-2,0.2306405479
COD,1981-Q2,0400-0500,R-5,0.0041562472
COD,1981-Q2,0400-0500,R-6,0.0702925308
COD,1981-Q2,0500-0700,R-3,0.0532516694
COD,1981-Q2,0500-0700,R-1,0.4149935722
COD,1981-Q2,0500-0700,R-4,0.0171277299
COD,1981-Q2,0500-0700,R-2,0.2258991872
COD,1981-Q2,0500-0700,R-5,0.0500485615
COD,1981-Q2,0500-0700,R-6,0.1446803816
COD,1981-Q2,0700-1000,R-3,0.0258979894
COD,1981-Q2,0700-1000,R-1,0.4553833068
COD,1981-Q2,0700-1000,R-4,0.03123661
