"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Birds",1974,1,"Cod",16,4.86434866512326
"Birds",1975,1,"Cod",16,5.60907980647234
"Birds",1976,1,"Cod",16,8.13408408452602
"Birds",1977,1,"Cod",16,8.98009583690539
"Birds",1978,1,"Cod",16,8.27727383959151
"Birds",1979,1,"Cod",16,6.93516861877532
"Birds",1980,1,"Cod",16,9.90380598598191
"Birds",1981,1,"Cod",16,10.860849234199
"Birds",1982,1,"Cod",16,9.91890597308171
"Birds",1983,1,"Cod",16,7.3742892446209
"Birds",1984,1,"Cod",16,8.94270629932879
"Birds",1985,1,"Cod",16,5.75907076922605
"Birds",1986,1,"Cod",16,7.61854742089949
"Birds",1987,1,"Cod",16,5.16755778680735
"Birds",1988,1,"Cod",16,4.07198001172573
"Birds",1989,1,"Cod",16,4.9738833900082
"Birds",1990,1,"Cod",16,3.91366222003604
"Birds",1991,1,"Cod",16,4.18577579588988
"Birds",1992,1,"Cod",16,4.05720422322716
"Birds",1993,1,"Cod",16,3.11245809329318
"Birds",1994,1,"Cod",16,4.04331082781714
"Birds",1995,1,"Cod",16,3.65625189151151
"Birds",1996,1,"Cod",16,3.48669898263232
"Birds",1997,1,"Cod",16,4.82447344827797
"Birds",1998,1,"Cod",16,2.09270927762766
"Birds",1999,1,"Cod",16,3.04252970775961
"Birds",2000,1,"Cod",16,2.89918715054102
"Birds",2001,1,"Cod",16,1.97207230756662
"Birds",2002,1,"Cod",16,2.39192581769251
"Birds",2003,1,"Cod",16,2.80443649586777
"Birds",2004,1,"Cod",16,2.81511312678965
"Birds",2005,1,"Cod",16,3.36029548562883
"Birds",2006,1,"Cod",16,3.49237607505268
"Birds",2007,1,"Cod",16,2.31796829016313
"Birds",2008,1,"Cod",16,2.32387709661584
"Birds",2009,1,"Cod",16,1.86606001859637
"Birds",2010,1,"Cod",16,2.13620820768951
"Birds",2011,1,"Cod",16,2.38406487274317
"Birds",2012,1,"Cod",16,2.80777071184726
"Birds",2013,1,"Cod",16,3.50685395387178
"Birds",2014,1,"Cod",16,3.02001299572781
"Birds",2015,1,"Cod",16,2.02100364348219
"Birds",2016,1,"Cod",16,1.89163633997328
"Grey gurnard",1974,3,"Cod",16,25.1400411109068
"Grey gurnard",1975,3,"Cod",16,10.9675027432386
"Grey gurnard",1976,3,"Cod",16,43.114335770688
"Grey gurnard",1977,3,"Cod",16,5.87944735030926
"Grey gurnard",1978,3,"Cod",16,42.6388306796881
"Grey gurnard",1979,3,"Cod",16,1.22091797160333
"Grey gurnard",1980,3,"Cod",16,3.86047310759968
"Grey gurnard",1981,3,"Cod",16,105.965567808464
"Grey gurnard",1982,3,"Cod",16,25.4740857258368
"Grey gurnard",1983,3,"Cod",16,18.7131279832853
"Grey gurnard",1984,3,"Cod",16,30.948114257346
"Grey gurnard",1985,3,"Cod",16,8.72866453698876
"Grey gurnard",1986,3,"Cod",16,12.1007792429316
"Grey gurnard",1987,3,"Cod",16,7.9000630382076
"Grey gurnard",1988,3,"Cod",16,4.1933024791827
"Grey gurnard",1989,3,"Cod",16,7.9969101720898
"Grey gurnard",1990,3,"Cod",16,13.26015471248
"Grey gurnard",1991,3,"Cod",16,12.619887013422
"Grey gurnard",1992,3,"Cod",16,15.0428498044968
"Grey gurnard",1993,3,"Cod",16,20.0203956712656
"Grey gurnard",1994,3,"Cod",16,24.4683257483808
"Grey gurnard",1995,3,"Cod",16,20.8263814690308
"Grey gurnard",1996,3,"Cod",16,30.0191261935968
"Grey gurnard",1997,3,"Cod",16,30.1325679863676
"Grey gurnard",1998,3,"Cod",16,33.278062734423
"Grey gurnard",1999,3,"Cod",16,65.7568470476632
"Grey gurnard",2000,3,"Cod",16,22.75210393092
"Grey gurnard",2001,3,"Cod",16,29.9180248827512
"Grey gurnard",2002,3,"Cod",16,47.247126918017
"Grey gurnard",2003,3,"Cod",16,53.7961134882392
"Grey gurnard",2004,3,"Cod",16,43.791611151834
"Grey gurnard",2005,3,"Cod",16,61.159574603049
"Grey gurnard",2006,3,"Cod",16,43.267588734968
"Grey gurnard",2007,3,"Cod",16,48.1927126030272
"Grey gurnard",2008,3,"Cod",16,53.0102921555116
"Grey gurnard",2009,3,"Cod",16,41.0188036444576
"Grey gurnard",2010,3,"Cod",16,35.6331607858512
"Grey gurnard",2011,3,"Cod",16,67.7766883647724
"Grey gurnard",2012,3,"Cod",16,76.3430260874736
"Grey gurnard",2013,3,"Cod",16,79.5849640658592
"Grey gurnard",2014,3,"Cod",16,59.4649388927698
"Grey gurnard",2015,3,"Cod",16,57.8273462660868
"Grey gurnard",2016,3,"Cod",16,60.785382004113
"Grey seal",1974,5,"Cod",16,2.04092660687532
"Grey seal",1975,5,"Cod",16,3.2249858705603
"Grey seal",1976,5,"Cod",16,3.98829159637726
"Grey seal",1977,5,"Cod",16,6.15447391737513
"Grey seal",1978,5,"Cod",16,6.3015708723709
"Grey seal",1979,5,"Cod",16,5.27805146579878
"Grey seal",1980,5,"Cod",16,5.47792597044336
"Grey seal",1981,5,"Cod",16,6.36438455487602
"Grey seal",1982,5,"Cod",16,7.67096696702765
"Grey seal",1983,5,"Cod",16,6.48336783522029
"Grey seal",1984,5,"Cod",16,6.968570310569
"Grey seal",1985,5,"Cod",16,5.90086747390242
"Grey seal",1986,5,"Cod",16,6.87433730746462
"Grey seal",1987,5,"Cod",16,6.55701714371843
"Grey seal",1988,5,"Cod",16,7.06755547179823
"Grey seal",1989,5,"Cod",16,6.91424412077518
"Grey seal",1990,5,"Cod",16,7.87384010532814
"Grey seal",1991,5,"Cod",16,6.93479032007982
"Grey seal",1992,5,"Cod",16,6.80895429761262
"Grey seal",1993,5,"Cod",16,7.36836281593495
"Grey seal",1994,5,"Cod",16,7.21732589527528
"Grey seal",1995,5,"Cod",16,7.29852319100399
"Grey seal",1996,5,"Cod",16,8.13161021546101
"Grey seal",1997,5,"Cod",16,9.02488517334798
"Grey seal",1998,5,"Cod",16,12.0661924295366
"Grey seal",1999,5,"Cod",16,6.6607273632502
"Grey seal",2000,5,"Cod",16,7.47652486419358
"Grey seal",2001,5,"Cod",16,8.56322046272278
"Grey seal",2002,5,"Cod",16,9.59726426789219
"Grey seal",2003,5,"Cod",16,9.91959675993563
"Grey seal",2004,5,"Cod",16,11.8080774705341
"Grey seal",2005,5,"Cod",16,13.9570103942457
"Grey seal",2006,5,"Cod",16,12.2961190412337
"Grey seal",2007,5,"Cod",16,11.3848629911089
"Grey seal",2008,5,"Cod",16,11.1481524377331
"Grey seal",2009,5,"Cod",16,6.95990815898853
"Grey seal",2010,5,"Cod",16,8.347966671838
"Grey seal",2011,5,"Cod",16,13.257043492038
"Grey seal",2012,5,"Cod",16,9.88417261649811
"Grey seal",2013,5,"Cod",16,8.72814522967004
"Grey seal",2014,5,"Cod",16,11.8441682746782
"Grey seal",2015,5,"Cod",16,14.7521509725312
"Grey seal",2016,5,"Cod",16,15.8907975459078
"Harbour porpoise",1974,6,"Cod",16,41.2385505256526
"Harbour porpoise",1975,6,"Cod",16,44.9296317854286
"Harbour porpoise",1976,6,"Cod",16,49.024397788787
"Harbour porpoise",1977,6,"Cod",16,54.0725234897498
"Harbour porpoise",1978,6,"Cod",16,59.1215111319109
"Harbour porpoise",1979,6,"Cod",16,51.9054623334539
"Harbour porpoise",1980,6,"Cod",16,56.3176537770874
"Harbour porpoise",1981,6,"Cod",16,58.186071785396
"Harbour porpoise",1982,6,"Cod",16,55.2145491741988
"Harbour porpoise",1983,6,"Cod",16,59.3255112572859
"Harbour porpoise",1984,6,"Cod",16,56.0332422686594
"Harbour porpoise",1985,6,"Cod",16,53.1586850120346
"Harbour porpoise",1986,6,"Cod",16,45.7074547329389
"Harbour porpoise",1987,6,"Cod",16,49.679602582617
"Harbour porpoise",1988,6,"Cod",16,34.0961435510426
"Harbour porpoise",1989,6,"Cod",16,33.8439279752349
"Harbour porpoise",1990,6,"Cod",16,35.2451847419568
"Harbour porpoise",1991,6,"Cod",16,29.6707337635229
"Harbour porpoise",1992,6,"Cod",16,37.189095829897
"Harbour porpoise",1993,6,"Cod",16,41.6490900303717
"Harbour porpoise",1994,6,"Cod",16,40.1295751080429
"Harbour porpoise",1995,6,"Cod",16,45.325546833076
"Harbour porpoise",1996,6,"Cod",16,39.5886287605219
"Harbour porpoise",1997,6,"Cod",16,45.3751694894885
"Harbour porpoise",1998,6,"Cod",16,44.5237648573185
"Harbour porpoise",1999,6,"Cod",16,20.7956660041877
"Harbour porpoise",2000,6,"Cod",16,29.463234051466
"Harbour porpoise",2001,6,"Cod",16,28.4528959426884
"Harbour porpoise",2002,6,"Cod",16,18.1739523135409
"Harbour porpoise",2003,6,"Cod",16,18.7636755274669
"Harbour porpoise",2004,6,"Cod",16,20.2581726443632
"Harbour porpoise",2005,6,"Cod",16,26.222770317584
"Harbour porpoise",2006,6,"Cod",16,30.4939364189331
"Harbour porpoise",2007,6,"Cod",16,33.1031695438352
"Harbour porpoise",2008,6,"Cod",16,23.373859101907
"Harbour porpoise",2009,6,"Cod",16,21.8473432954174
"Harbour porpoise",2010,6,"Cod",16,22.5480810544475
"Harbour porpoise",2011,6,"Cod",16,23.6726510311186
"Harbour porpoise",2012,6,"Cod",16,19.6010828749647
"Harbour porpoise",2013,6,"Cod",16,26.6576650124035
"Harbour porpoise",2014,6,"Cod",16,34.5411281736375
"Harbour porpoise",2015,6,"Cod",16,33.7191649248734
"Harbour porpoise",2016,6,"Cod",16,21.6607192405953
"Cod",1974,8,"Cod",16,50.9673533593316
"Cod",1975,8,"Cod",16,57.8742299571171
"Cod",1976,8,"Cod",16,74.5522888652789
"Cod",1977,8,"Cod",16,110.90551061732
"Cod",1978,8,"Cod",16,79.9856461259655
"Cod",1979,8,"Cod",16,86.9272610378422
"Cod",1980,8,"Cod",16,91.6005723790289
"Cod",1981,8,"Cod",16,101.783590938664
"Cod",1982,8,"Cod",16,87.7506713303585
"Cod",1983,8,"Cod",16,66.4722332662858
"Cod",1984,8,"Cod",16,70.5250870286497
"Cod",1985,8,"Cod",16,52.2103958565531
"Cod",1986,8,"Cod",16,54.9935748824051
"Cod",1987,8,"Cod",16,38.7481697487689
"Cod",1988,8,"Cod",16,30.3266103884661
"Cod",1989,8,"Cod",16,28.2179984761445
"Cod",1990,8,"Cod",16,22.8901533839157
"Cod",1991,8,"Cod",16,18.8096582742844
"Cod",1992,8,"Cod",16,20.7905720056492
"Cod",1993,8,"Cod",16,18.9990722610827
"Cod",1994,8,"Cod",16,24.5600697663586
"Cod",1995,8,"Cod",16,20.3451338100255
"Cod",1996,8,"Cod",16,21.6581471992491
"Cod",1997,8,"Cod",16,25.3662262835702
"Cod",1998,8,"Cod",16,11.5237517139528
"Cod",1999,8,"Cod",16,7.37246333525728
"Cod",2000,8,"Cod",16,6.55756683353711
"Cod",2001,8,"Cod",16,5.55312545627026
"Cod",2002,8,"Cod",16,4.43544546102116
"Cod",2003,8,"Cod",16,4.14967970278143
"Cod",2004,8,"Cod",16,4.33163772941342
"Cod",2005,8,"Cod",16,5.10081756319497
"Cod",2006,8,"Cod",16,5.81049747646242
"Cod",2007,8,"Cod",16,5.12537115824438
"Cod",2008,8,"Cod",16,4.82086012763709
"Cod",2009,8,"Cod",16,4.71544186676489
"Cod",2010,8,"Cod",16,5.17214102255369
"Cod",2011,8,"Cod",16,5.51847505089943
"Cod",2012,8,"Cod",16,6.95032154733093
"Cod",2013,8,"Cod",16,10.0466991899905
"Cod",2014,8,"Cod",16,12.9862986867348
"Cod",2015,8,"Cod",16,11.2627372472354
"Cod",2016,8,"Cod",16,11.8975790403347
"Whiting",1974,9,"Cod",16,11.9592034916884
"Whiting",1975,9,"Cod",16,7.12930666313285
"Whiting",1976,9,"Cod",16,38.6305896314213
"Whiting",1977,9,"Cod",16,29.2873276407058
"Whiting",1978,9,"Cod",16,22.0192074257749
"Whiting",1979,9,"Cod",16,22.8567722321052
"Whiting",1980,9,"Cod",16,27.8999880761163
"Whiting",1981,9,"Cod",16,48.9718074944832
"Whiting",1982,9,"Cod",16,22.4870826095561
"Whiting",1983,9,"Cod",16,16.747621858367
"Whiting",1984,9,"Cod",16,11.2865400381936
"Whiting",1985,9,"Cod",16,22.0132921857183
"Whiting",1986,9,"Cod",16,11.3222845264059
"Whiting",1987,9,"Cod",16,15.4299871164932
"Whiting",1988,9,"Cod",16,15.3033108611027
"Whiting",1989,9,"Cod",16,11.9094172228615
"Whiting",1990,9,"Cod",16,14.0308901572737
"Whiting",1991,9,"Cod",16,13.0377045849795
"Whiting",1992,9,"Cod",16,5.64700260673136
"Whiting",1993,9,"Cod",16,8.09060730275822
"Whiting",1994,9,"Cod",16,6.08257577238395
"Whiting",1995,9,"Cod",16,6.54987540342449
"Whiting",1996,9,"Cod",16,11.29872846008
"Whiting",1997,9,"Cod",16,3.85481232156447
"Whiting",1998,9,"Cod",16,4.61720437427011
"Whiting",1999,9,"Cod",16,6.17396513031541
"Whiting",2000,9,"Cod",16,3.72777973476531
"Whiting",2001,9,"Cod",16,6.0592763568014
"Whiting",2002,9,"Cod",16,7.36859229256598
"Whiting",2003,9,"Cod",16,9.30360559715919
"Whiting",2004,9,"Cod",16,4.90780800810217
"Whiting",2005,9,"Cod",16,5.68623006893802
"Whiting",2006,9,"Cod",16,3.3590794617666
"Whiting",2007,9,"Cod",16,3.06029593885189
"Whiting",2008,9,"Cod",16,3.16837541405346
"Whiting",2009,9,"Cod",16,2.93130847147503
"Whiting",2010,9,"Cod",16,2.53253566512006
"Whiting",2011,9,"Cod",16,6.53934962335567
"Whiting",2012,9,"Cod",16,7.13044019348273
"Whiting",2013,9,"Cod",16,6.75708316892591
"Whiting",2014,9,"Cod",16,4.09533585190418
"Whiting",2015,9,"Cod",16,3.72565724145574
"Whiting",2016,9,"Cod",16,5.75048412970354
"Birds",1974,1,"Whiting",17,9.6969836586614
"Birds",1975,1,"Whiting",17,14.2875637079972
"Birds",1976,1,"Whiting",17,13.3479580490509
"Birds",1977,1,"Whiting",17,15.8922303744332
"Birds",1978,1,"Whiting",17,16.2351346876033
"Birds",1979,1,"Whiting",17,13.5055691998728
"Birds",1980,1,"Whiting",17,15.2875159694814
"Birds",1981,1,"Whiting",17,12.6486196307984
"Birds",1982,1,"Whiting",17,10.0277555667301
"Birds",1983,1,"Whiting",17,11.2119524374521
"Birds",1984,1,"Whiting",17,13.7882037866529
"Birds",1985,1,"Whiting",17,12.4866591880778
"Birds",1986,1,"Whiting",17,13.9682292366706
"Birds",1987,1,"Whiting",17,12.8924446440943
"Birds",1988,1,"Whiting",17,15.7900144921999
"Birds",1989,1,"Whiting",17,17.6819622126504
"Birds",1990,1,"Whiting",17,11.7571621426364
"Birds",1991,1,"Whiting",17,11.6177333936099
"Birds",1992,1,"Whiting",17,10.0056400586103
"Birds",1993,1,"Whiting",17,9.92333949441999
"Birds",1994,1,"Whiting",17,7.48165398618227
"Birds",1995,1,"Whiting",17,6.2834276500823
"Birds",1996,1,"Whiting",17,5.41903138856326
"Birds",1997,1,"Whiting",17,4.01296434893147
"Birds",1998,1,"Whiting",17,7.76176528484954
"Birds",1999,1,"Whiting",17,10.3652814274073
"Birds",2000,1,"Whiting",17,9.84719656347482
"Birds",2001,1,"Whiting",17,9.6350459866784
"Birds",2002,1,"Whiting",17,5.88606714893029
"Birds",2003,1,"Whiting",17,5.86539533331843
"Birds",2004,1,"Whiting",17,6.33064950422532
"Birds",2005,1,"Whiting",17,6.914980626017
"Birds",2006,1,"Whiting",17,6.41924259281348
"Birds",2007,1,"Whiting",17,6.4092195962384
"Birds",2008,1,"Whiting",17,7.43389398130388
"Birds",2009,1,"Whiting",17,4.54513752086784
"Birds",2010,1,"Whiting",17,4.72425025252741
