"Year","Predator","Prey","Prey.no","eatenW"
1974,"Cod","Cod",16,54896.7287254817
1975,"Cod","Cod",16,62719.5492380012
1976,"Cod","Cod",16,77957.8499310238
1977,"Cod","Cod",16,112615.532523491
1978,"Cod","Cod",16,82100.9637896209
1979,"Cod","Cod",16,87059.4198961643
1980,"Cod","Cod",16,93386.9363000358
1981,"Cod","Cod",16,102652.374524806
1982,"Cod","Cod",16,88717.5586640176
1983,"Cod","Cod",16,65315.8101576265
1984,"Cod","Cod",16,72076.7742863386
1985,"Cod","Cod",16,52473.7404040933
1986,"Cod","Cod",16,57002.4862688185
1987,"Cod","Cod",16,39623.9031861622
1988,"Cod","Cod",16,32392.0497874098
1989,"Cod","Cod",16,31693.6173771547
1990,"Cod","Cod",16,24736.1656311567
1991,"Cod","Cod",16,20595.787644753
1992,"Cod","Cod",16,22744.4764440418
1993,"Cod","Cod",16,21258.7569372274
1994,"Cod","Cod",16,26695.2520086691
1995,"Cod","Cod",16,22418.0555875257
1996,"Cod","Cod",16,22831.6246429703
1997,"Cod","Cod",16,26618.9517988195
1998,"Cod","Cod",16,12542.5948883548
1999,"Cod","Cod",16,8402.14319513248
2000,"Cod","Cod",16,7242.58046654672
2001,"Cod","Cod",16,5955.94454845821
2002,"Cod","Cod",16,4812.39731664928
2003,"Cod","Cod",16,4387.78704447031
2004,"Cod","Cod",16,4632.72342458956
2005,"Cod","Cod",16,5370.61065197634
2006,"Cod","Cod",16,5912.04735765787
2007,"Cod","Cod",16,5307.56365726398
2008,"Cod","Cod",16,5217.94222203379
2009,"Cod","Cod",16,4979.35077992724
2010,"Cod","Cod",16,5453.21418235682
2011,"Cod","Cod",16,5436.72513328213
2012,"Cod","Cod",16,6469.43052357619
2013,"Cod","Cod",16,8205.65649744144
2014,"Cod","Cod",16,8090.53575284435
2015,"Cod","Cod",16,5759.68627525975
2016,"Cod","Cod",16,5115.10675839755
2017,"Cod","Cod",16,6352.99338892805
2018,"Cod","Cod",16,3903.03464487997
2019,"Cod","Cod",16,3725.34446695353
1974,"Fulmar","Cod",16,2007.83663581696
1975,"Fulmar","Cod",16,1291.4007742155
1976,"Fulmar","Cod",16,4121.1599629512
1977,"Fulmar","Cod",16,2705.3722719309
1978,"Fulmar","Cod",16,3204.49568798112
1979,"Fulmar","Cod",16,2450.07473593792
1980,"Fulmar","Cod",16,2633.9781185536
1981,"Fulmar","Cod",16,5677.066059392
1982,"Fulmar","Cod",16,3298.27525209
1983,"Fulmar","Cod",16,3286.88355155888
1984,"Fulmar","Cod",16,2646.956667914
1985,"Fulmar","Cod",16,2873.92504807356
1986,"Fulmar","Cod",16,1902.59418048492
1987,"Fulmar","Cod",16,1628.704887264
1988,"Fulmar","Cod",16,1473.69930627036
1989,"Fulmar","Cod",16,1158.27116605512
1990,"Fulmar","Cod",16,1434.5682086346
1991,"Fulmar","Cod",16,1776.7161910212
1992,"Fulmar","Cod",16,1088.05408195926
1993,"Fulmar","Cod",16,1498.19926921496
1994,"Fulmar","Cod",16,1119.619992231
1995,"Fulmar","Cod",16,961.33857638676
1996,"Fulmar","Cod",16,1269.50476652844
1997,"Fulmar","Cod",16,632.81500567194
1998,"Fulmar","Cod",16,984.73631254856
1999,"Fulmar","Cod",16,1379.8809242712
2000,"Fulmar","Cod",16,532.5910012631
2001,"Fulmar","Cod",16,666.61965084
2002,"Fulmar","Cod",16,831.1917069456
2003,"Fulmar","Cod",16,1300.03650036624
2004,"Fulmar","Cod",16,1084.9566547456
2005,"Fulmar","Cod",16,1564.7635756545
2006,"Fulmar","Cod",16,891.8951939898
2007,"Fulmar","Cod",16,857.52852014232
2008,"Fulmar","Cod",16,946.4194222912
2009,"Fulmar","Cod",16,598.6588455432
2010,"Fulmar","Cod",16,516.41593803852
2011,"Fulmar","Cod",16,1129.0069404952
2012,"Fulmar","Cod",16,1214.53632104922
2013,"Fulmar","Cod",16,1096.74296842032
2014,"Fulmar","Cod",16,759.2985297144
2015,"Fulmar","Cod",16,647.03250558102
2016,"Fulmar","Cod",16,729.58712709792
2017,"Fulmar","Cod",16,273.06851294944
2018,"Fulmar","Cod",16,482.0331168276
2019,"Fulmar","Cod",16,471.6740437071
1974,"G. gurnards","Cod",16,22127.8822039475
1975,"G. gurnards","Cod",16,9518.393314846
1976,"G. gurnards","Cod",16,37164.439545168
1977,"G. gurnards","Cod",16,4935.4844273592
1978,"G. gurnards","Cod",16,41303.1099750048
1979,"G. gurnards","Cod",16,1086.84619623923
1980,"G. gurnards","Cod",16,3458.0802154496
1981,"G. gurnards","Cod",16,98512.83566124
1982,"G. gurnards","Cod",16,23500.906653588
