Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
2 1974  1.84792e+007 2.08334e+006 2.481e+006 377003 382374 377003 382374 0.22961 404946
2 1975  3.2677e+007 1.90636e+006 2.21551e+006 349685 336416 349685 336416 0.220451 419567
2 1976  2.4191e+007 1.63549e+006 2.05283e+006 394769 395247 394769 395247 0.300142 370837
2 1977  3.49971e+007 1.49514e+006 1.88667e+006 270121 262209 270121 262209 0.210334 438915
2 1978  3.49522e+007 1.5283e+006 1.97412e+006 209750 197722 209750 197722 0.15084 637903
2 1979  4.81665e+007 1.86685e+006 2.2971e+006 225917 211169 225917 211169 0.144558 785943
2 1980  6.46374e+007 1.44432e+006 1.90125e+006 267906 264706 267906 264706 0.232229 833458
2 1981  6.71273e+007 1.14931e+006 1.72242e+006 281710 268387 281710 268387 0.262679 849043
2 1982  4.57526e+007 1.34402e+006 2.00097e+006 286530 251459 286530 251459 0.261312 815192
2 1983  5.14698e+007 1.21904e+006 1.71073e+006 323691 311241 323691 311241 0.356726 674781
2 1984  3.37724e+007 973443 1.47441e+006 279565 270253 279565 270253 0.350933 522360
2 1985  1.80011e+007 1.10829e+006 1.5441e+006 316330 269293 316330 269293 0.330963 375593
2 1986  3.55546e+007 808003 1.06461e+006 256813 233809 256813 233809 0.335569 301610
2 1987  1.422e+007 1.03363e+006 1.41961e+006 222608 196576 222608 196576 0.264304 287398
2 1988  2.00225e+007 844636 1.06366e+006 252127 233660 252127 233660 0.307162 241281
2 1989  2.36832e+007 656223 869663 261876 229379 261876 229379 0.373563 185006
2 1990  1.80835e+007 708661 977157 279259 253836 279259 253836 0.419961 115044
2 1991  2.24219e+007 637420 883490 196685 198703 196685 198703 0.381116 83557.6
2 1992  2.21062e+007 676981 943040 187841 178914 187841 178914 0.300159 100344
2 1993  1.94555e+007 758391 1.03358e+006 230306 218915 230306 218915 0.351606 144411
2 1994  2.54371e+007 862544 1.09764e+006 241656 249809 241656 249809 0.385369 144671
2 1995  2.02827e+007 644755 908993 221653 230042 221653 230042 0.41689 120381
2 1996  1.00782e+007 705575 960413 195666 206865 195666 206865 0.420549 85345.5
2 1997  1.5905e+007 531355 670264 197331 199040 197331 199040 0.479877 58414.5
2 1998  9.3312e+006 538889 705159 221690 216693 221690 216693 0.534573 54248.9
2 1999  1.55608e+007 436808 552390 174096 156287 174096 156287 0.431714 59591.1
2 2000  1.25016e+007 453274 610532 208546 180435 208546 180435 0.510781 79008
2 2001  1.19138e+007 471473 617045 202481 207774 202481 207774 0.649174 73155.8
2 2002  2.42464e+007 351786 474161 131045 127766 131045 127766 0.438836 80638.3
2 2003  1.3016e+007 501018 731829 112255 119116 112255 119116 0.344379 80004.7
2 2004  8.95459e+006 410592 558692 93370 102445 93370 102445 0.295768 69560.3
2 2005  1.62383e+007 426285 528941 90586 90711.1 90586 90711.1 0.235896 89594.5
2 2006  1.35866e+007 518551 672421 109545 108160 109545 108160 0.243757 99693.4
2 2007  2.48805e+007 540677 679432 114606 114315 114606 114315 0.233917 110151
2 2008  1.79891e+007 567764 779639 125342 120874 125342 120874 0.251652 131666
2 2009  1.37567e+007 613708 804443 131229 125155 131229 125155 0.258149 135105
2 2010  8.57709e+006 635626 783589 135658 132656 135658 132656 0.26723 128329
2 2011  1.8283e+007 617049 723603 115769 111148 115769 111148 0.218644 115081
2 2012  1.92968e+007 580075 720386 97498.6 94931.7 97498.6 94931.7 0.156404 106831
2 2013  1.45561e+007 660083 829947 100558 89874.1 100558 89874.1 0.143033 107906
2 2014  3.85216e+007 715354 863435 129420 114514 129420 114514 0.170873 121001
2 2015  1.30809e+007 757172 1.02417e+006 174257 170317 174257 170317 0.244281 119652
2 2016  1.59677e+007 698413 844224 190496 192917 190496 192917 0.30161 103299
2 2017  2.37802e+007 720719 859946 200422 197897 200422 197897 0.29686 92021.3
2 2018  2.18051e+007 799614 979848 244048 207336 244048 207336 0.290123 83226
2 2019  NA 857968 NA NA NA NA NA NA NA
3 1974  4.52573e+007 1.74457e+006 2.11226e+006 262216 266851 262216 266851 0.211239 573294
3 1975  3.24442e+008 1.45922e+006 1.5975e+006 212175 223396 212175 223396 0.204925 540189
3 1976  1.08289e+008 1.13034e+006 1.96361e+006 142798 153165 142798 153165 0.157527 616162
3 1977  5.11532e+007 1.87763e+006 2.24785e+006 166497 206816 166497 206816 0.164335 690335
3 1978  1.20711e+008 1.51165e+006 1.65374e+006 111860 112143 111860 112143 0.101494 729504
3 1979  7.12424e+007 960257 1.23012e+006 66753.7 63481.8 66753.7 63481.8 0.0907025 632742
3 1980  2.15868e+008 669956 845855 48799.9 47546.2 48799.9 47546.2 0.104638 580270
3 1981  9.63415e+007 598295 1.12163e+006 42977.6 34512.5 42977.6 34512.5 0.0811858 654767
3 1982  2.99493e+008 740037 998943 42876.2 33618.7 42876.2 33618.7 0.0663513 712136
3 1983  1.21914e+008 730289 1.49265e+006 26274.1 20482.6 26274.1 20482.6 0.0346144 757926
3 1984  1.02894e+008 1.16401e+006 1.5432e+006 42672.9 24061.7 42672.9 24061.7 0.0285163 573216
3 1985  3.09526e+007 1.22874e+006 1.54418e+006 58747.8 41541.1 58747.8 41541.1 0.0408065 430459
3 1986  6.80244e+007 1.25876e+006 1.37613e+006 66524 61320 66524 61320 0.0617669 347113
3 1987  2.39685e+007 1.13963e+006 1.34151e+006 87800.5 51451.5 87800.5 51451.5 0.0562777 306868
3 1988  7.68907e+007 876671 962940 76238.2 45810.3 76238.2 45810.3 0.0636053 245357
3 1989  8.93825e+007 810749 1.04274e+006 45857.6 41953.7 45857.6 41953.7 0.0584403 217368
3 1990  8.41869e+007 980760 1.28392e+006 53839.4 38128.3 53839.4 38128.3 0.047417 149205
3 1991  1.23973e+008 1.37353e+006 1.68486e+006 86488.2 54613.2 86488.2 54613.2 0.0488362 144154
3 1992  1.27149e+008 1.68263e+006 2.1134e+006 208936 184107 208936 184107 0.13059 200912
3 1993  7.44562e+007 1.66636e+006 2.09618e+006 131870 116370 131870 116370 0.0904135 262605
3 1994  2.97695e+008 1.99501e+006 2.25779e+006 264826 240040 264826 240040 0.154852 291425
3 1995  2.14359e+008 1.96819e+006 2.86007e+006 278270 241352 278270 241352 0.153477 312985
3 1996  7.02926e+007 2.38077e+006 3.08153e+006 418355 359412 418355 359412 0.207093 244936
3 1997  2.13863e+008 2.46381e+006 2.72799e+006 511217 425643 511217 425643 0.226383 201345
3 1998  5.74196e+007 2.10699e+006 2.72682e+006 469680 413072 469680 413072 0.254376 214354
3 1999  1.32857e+008 2.11181e+006 2.33326e+006 415598 370900 415598 370900 0.239587 223573
3 2000  6.49308e+007 1.95784e+006 2.33058e+006 388712 418142 388712 418142 0.249305 260469
3 2001  8.04765e+007 1.76453e+006 1.97641e+006 339407 297415 339407 297415 0.202526 233399
3 2002  1.88052e+008 1.39114e+006 1.61828e+006 331904 335867 331904 335867 0.305269 227927
3 2003  3.34408e+008 1.23512e+006 1.74222e+006 296472 319633 296472 319633 0.310677 250096
3 2004  6.24226e+007 1.53296e+006 2.44574e+006 373008 428659 373008 428659 0.32959 282445
3 2005  1.01117e+008 1.84906e+006 2.08744e+006 397446 425784 397446 425784 0.312573 293248
3 2006  1.41008e+008 1.51591e+006 1.78397e+006 344385 302926 344385 302926 0.246706 286096
3 2007  9.42823e+007 1.29244e+006 1.66587e+006 383019 345127 383019 345127 0.312618 275024
3 2008  2.24719e+008 1.39347e+006 1.66573e+006 371268 354801 371268 354801 0.331243 303367
3 2009  6.62931e+007 1.30019e+006 1.8719e+006 401629 354631 401629 354631 0.319702 332687
3 2010  7.6954e+007 1.43474e+006 1.64963e+006 334173 320218 334173 320218 0.306048 289090
3 2011  9.01498e+007 1.11742e+006 1.31595e+006 256559 264246 256559 264246 0.301125 241448
3 2012  8.79208e+007 980987 1.21391e+006 226649 209938 226649 209938 0.247787 213236
3 2013  9.00808e+007 1.05681e+006 1.29018e+006 271410 238961 271410 238961 0.283869 211819
3 2014  3.05257e+008 956390 1.18856e+006 238589 227246 238589 227246 0.286467 254188
3 2015  9.42224e+007 1.08756e+006 1.82901e+006 245999 218387 245999 218387 0.211572 286698
3 2016  8.28052e+007 1.59435e+006 1.88812e+006 243038 240205 243038 240205 0.18703 239917
3 2017  9.58622e+007 1.60219e+006 1.82173e+006 282482 303554 282482 303554 0.22528 191411
3 2018  1.20924e+008 1.47779e+006 1.72791e+006 302904 241014 302904 241014 0.194626 153580
3 2019  NA 1.46786e+006 NA NA NA NA NA NA NA
