Year Quarter Predator.no Predator.age Prey.no Prey.age Part.M2
1974 1 1 2 3 1 0.0156873
1974 1 1 3 2 1 0.0082631
1974 1 1 3 3 1 0.0153161
1974 1 1 3 3 2 0.00501576
1974 1 1 3 3 3 0.00390955
1974 1 1 3 3 4 0.0031376
1974 1 1 3 3 5 0.0031376
1974 1 1 3 3 6 0.00283559
1974 1 1 3 3 7 0.0031376
1974 1 1 4 2 1 0.0234394
1974 1 1 4 2 2 0.00835859
1974 1 1 4 3 1 0.0301529
1974 1 1 4 3 2 0.0130346
1974 1 1 4 3 3 0.0107093
1974 1 1 4 3 4 0.00898619
1974 1 1 4 3 5 0.00898619
1974 1 1 4 3 6 0.00828472
1974 1 1 4 3 7 0.00898619
1974 1 1 5 2 1 0.0221124
1974 1 1 5 2 2 0.00934721
1974 1 1 5 2 3 0.00505124
1974 1 1 5 2 4 0.00366822
1974 1 1 5 2 5 0.00325631
1974 1 1 5 2 6 0.00318233
1974 1 1 5 3 1 0.0217081
1974 1 1 5 3 2 0.0115247
1974 1 1 5 3 3 0.00984523
1974 1 1 5 3 4 0.00853793
1974 1 1 5 3 5 0.00853793
1974 1 1 5 3 6 0.00798843
1974 1 1 5 3 7 0.00853793
1974 1 1 6 2 1 0.0292968
1974 1 1 6 2 2 0.0142738
1974 1 1 6 2 3 0.00838878
1974 1 1 6 2 4 0.00633955
1974 1 1 6 2 5 0.00570867
1974 1 1 6 2 6 0.00559421
1974 1 1 6 2 7 0.00497638
1974 1 1 6 2 8 0.0030716
1974 1 1 6 3 1 0.0229498
1974 1 1 6 3 2 0.0144645
1974 1 1 6 3 3 0.0127654
1974 1 1 6 3 4 0.0113793
1974 1 1 6 3 5 0.0113793
1974 1 1 6 3 6 0.0107789
1974 1 1 6 3 7 0.0113793
1974 1 1 7 2 1 0.0155106
1974 1 1 7 2 2 0.00861365
1974 1 1 7 2 3 0.00546931
1974 1 1 7 2 4 0.00428783
1974 1 1 7 2 5 0.00391232
1974 1 1 7 2 6 0.00384352
1974 1 1 7 2 7 0.00346834
1974 1 1 7 2 8 0.00226376
1974 1 1 7 3 1 0.00986835
1974 1 1 7 3 2 0.00728523
1974 1 1 7 3 3 0.0066253
1974 1 1 7 3 4 0.0060576
1974 1 1 7 3 5 0.0060576
1974 1 1 7 3 6 0.00580349
1974 1 1 7 3 7 0.0060576
1974 1 1 8 2 1 0.0262472
1974 1 1 8 2 2 0.0167414
1974 1 1 8 2 3 0.0115367
1974 1 1 8 2 4 0.00940286
1974 1 1 8 2 5 0.00869981
1974 1 1 8 2 6 0.00856957
1974 1 1 8 2 7 0.00785112
1974 1 1 8 2 8 0.00543637
1974 1 1 8 3 1 0.0133997
1974 1 1 8 3 2 0.0116942
1974 1 1 8 3 3 0.0109779
1974 1 1 8 3 4 0.0103103
1974 1 1 8 3 5 0.0103103
1974 1 1 8 3 6 0.00999717
1974 1 1 8 3 7 0.0103103
1974 1 1 9 2 1 0.0110379
1974 1 1 9 2 2 0.00842806
1974 1 1 9 2 3 0.00645928
1974 1 1 9 2 4 0.00553711
