Species.n Year Quarter Age N west consum size
1 1976 4 10 21510 3.05333 1.347 630
1 1976 4 11 6971 5.31673 1.994 748
1 1977 1 1 1.35391e+006 0.003646 0.004 50
1 1977 1 2 3.84513e+006 0.020986 0.03 119
1 1977 1 3 955926 0.053938 0.065 167
1 1977 1 4 476839 0.121623 0.119 218
1 1977 1 5 235432 0.225482 0.192 269
1 1977 1 6 207532 0.371562 0.28 317
1 1977 1 7 82858 0.588157 0.396 369
1 1977 1 8 127348 0.977178 0.574 434
1 1977 1 9 58694 1.82638 0.919 533
1 1977 1 10 21779 3.05992 1.352 631
1 1977 1 11 7421 5.32805 2 749
1 1977 2 1 411059 0.003646 0.004 50
1 1977 2 2 2.15611e+006 0.023311 0.033 124
1 1977 2 3 1.45333e+006 0.055886 0.066 169
1 1977 2 4 766773 0.114095 0.114 214
1 1977 2 5 221497 0.225924 0.192 269
1 1977 2 6 222556 0.373112 0.28 317
1 1977 2 7 86395 0.586893 0.396 369
1 1977 2 8 119578 0.973897 0.574 434
1 1977 2 9 54190 1.82759 0.919 533
1 1977 2 10 20835 3.06594 1.352 631
1 1977 2 11 7469 5.34253 2 749
1 1977 3 0 -1 -1 0 -1
1 1977 3 1 9.11463e+006 0.003646 0.004 50
1 1977 3 2 1.0003e+006 0.024283 0.033 125
1 1977 3 3 1.15981e+006 0.057405 0.067 170
1 1977 3 4 1.12603e+006 0.116934 0.117 216
1 1977 3 5 279348 0.223275 0.191 268
1 1977 3 6 228998 0.374113 0.282 318
1 1977 3 7 94853 0.587002 0.396 369
1 1977 3 8 123378 0.967787 0.571 433
1 1977 3 9 53816 1.82931 0.919 533
1 1977 3 10 21460 3.07216 1.356 632
1 1977 3 11 8165 5.36485 2.006 750
1 1977 4 0 -1 -1 0 -1
1 1977 4 1 4.32652e+006 0.003646 0.004 50
1 1977 4 2 2.73687e+006 0.016891 0.025 110
1 1977 4 3 715653 0.058138 0.068 171
1 1977 4 4 1.11404e+006 0.121574 0.119 218
1 1977 4 5 406464 0.223308 0.191 268
1 1977 4 6 272474 0.369421 0.278 316
1 1977 4 7 101379 0.587406 0.396 369
1 1977 4 8 133347 0.964537 0.568 432
1 1977 4 9 55670 1.83023 0.923 534
1 1977 4 10 22945 3.07816 1.356 632
1 1977 4 11 9298 5.39349 2.012 751
1 1978 1 1 1.11505e+006 0.003646 0.004 50
1 1978 1 2 3.248e+006 0.021148 0.03 119
1 1978 1 3 1.0136e+006 0.055087 0.066 168
1 1978 1 4 910516 0.123552 0.12 219
1 1978 1 5 466050 0.225038 0.192 269
1 1978 1 6 357294 0.367707 0.278 316
1 1978 1 7 112549 0.58607 0.396 369
1 1978 1 8 139693 0.963142 0.568 432
1 1978 1 9 55474 1.8275 0.919 533
1 1978 1 10 23011 3.08279 1.356 632
1 1978 1 11 9863 5.42431 2.025 753
1 1978 2 1 340759 0.003646 0.004 50
1 1978 2 2 1.81001e+006 0.02338 0.033 124
1 1978 2 3 1.3064e+006 0.056205 0.066 169
1 1978 2 4 976191 0.118966 0.118 217
1 1978 2 5 435348 0.226307 0.192 269
1 1978 2 6 421549 0.370943 0.28 317
1 1978 2 7 138448 0.58486 0.396 369
1 1978 2 8 149546 0.956707 0.565 431
1 1978 2 9 54927 1.82268 0.919 533
1 1978 2 10 22323 3.08556 1.361 633
1 1978 2 11 10033 5.45652 2.031 754
1 1978 3 0 -1 -1 0 -1
