Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1974 1 1 1 1 3 150 177 0.0482435 0 0 9999 -1 -1 -20.7282 17 1 1 1 1 1 1 1 1 1 1 0
1974 1 1 1 1 4 200 226 0.100426 0 0 9999 -1 -1 -9.95762 36 0.983145 0.964265 1 1 1 1 1 1 2 2 0
1974 1 1 1 1 4 200 226 0.100426 2 3 92 0.00677 0.00677 0.0674131 36 0.0168545 0.0103693 1 1 1 1 1 1 2 3 3
1974 1 1 1 1 4 200 226 0.100426 2 4 109 0.01127 0.01127 0.112222 36 1e-008 1e-008 0 0 2 1 1 1 2 3 4
1974 1 1 1 1 4 200 226 0.100426 2 5 129 0.01868 0.01868 0.186008 36 1e-008 1e-008 0 0 2 1 1 1 2 3 5
1974 1 1 1 1 4 200 226 0.100426 2 6 149 0.02878 0.02878 0.28658 36 0 0.00616157 0 1 1 1 1 1 2 3 6
1974 1 1 1 1 4 200 226 0.100426 2 7 169 0.04199 0.04199 0.41812 36 1e-008 1e-008 0 0 2 1 1 1 2 3 7
1974 1 1 1 1 4 200 226 0.100426 2 8 189 0.05874 0.05874 0.58491 36 0.0192041 0.0192041 0 0 1 1 1 1 2 3 8
1974 1 1 1 1 5 250 269 0.169346 0 0 9999 -1 -1 -5.90505 57 0.806091 0.746515 1 1 1 1 1 1 3 4 0
1974 1 1 1 1 5 250 269 0.169346 2 2 77 0.00397 0.00397 0.0234431 57 0.155325 0.0846499 1 1 1 1 1 1 3 5 2
1974 1 1 1 1 5 250 269 0.169346 2 3 92 0.00677 0.00677 0.0399772 57 0 0.0282039 0 1 1 1 1 1 3 5 3
1974 1 1 1 1 5 250 269 0.169346 2 4 109 0.01127 0.01127 0.06655 57 0 0.0176865 0 1 1 1 1 1 3 5 4
1974 1 1 1 1 5 250 269 0.169346 2 5 129 0.01868 0.01868 0.110306 57 1e-008 1e-008 0 0 2 1 1 1 3 5 5
1974 1 1 1 1 5 250 269 0.169346 2 6 149 0.02878 0.02878 0.169947 57 0 0.0133051 0 1 1 1 1 1 3 5 6
1974 1 1 1 1 5 250 269 0.169346 2 7 169 0.04199 0.04199 0.247953 57 1e-008 1e-008 0 0 2 1 1 1 3 5 7
1974 1 1 1 1 5 250 269 0.169346 2 8 189 0.05874 0.05874 0.346863 57 1e-008 1e-008 0 0 2 1 1 1 3 5 8
1974 1 1 1 1 5 250 269 0.169346 2 9 209 0.07943 0.07943 0.469038 57 1e-008 1e-008 0 0 2 1 1 1 3 5 9
1974 1 1 1 1 5 250 269 0.169346 2 10 229 0.10448 0.10448 0.61696 57 0.0727983 0.0727983 0 0 1 1 1 1 3 5 10
1974 1 1 1 1 5 250 269 0.169346 3 2 64 0.00228 0.00228 0.0134635 57 0.00084367 0.00084367 0 0 1 1 1 1 3 6 2
1974 1 1 1 1 5 250 269 0.169346 3 3 74 0.00353 0.00353 0.0208448 57 0.0385841 0.00293548 1 1 1 1 1 1 3 6 3
1974 1 1 1 1 5 250 269 0.169346 3 4 84 0.00516 0.00516 0.0304701 57 0 0.00565228 0 1 1 1 1 1 3 6 4
1974 1 1 1 1 5 250 269 0.169346 3 5 94 0.00723 0.00723 0.0426935 57 0 0.0100285 0 1 1 1 1 1 3 6 5
1974 1 1 1 1 5 250 269 0.169346 3 6 104 0.00979 0.00979 0.0578105 57 0 0.00726514 0 1 1 1 1 1 3 6 6
1974 1 1 1 1 5 250 269 0.169346 3 7 114 0.01289 0.01289 0.0761162 57 0 0.0084117 0 1 1 1 1 1 3 6 7
1974 1 1 1 1 5 250 269 0.169346 3 8 124 0.01659 0.01659 0.0979649 57 0 0.00143937 0 1 1 1 1 1 3 6 8
1974 1 1 1 1 5 250 269 0.169346 3 9 134 0.02093 0.02093 0.123593 57 0.00026513 0.00026513 0 0 1 1 1 1 3 6 9
