Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
16 1974  9.0673e+006 181007 397798 252714 245155 200586 199042 0.73288 136210
16 1975  5.0455e+006 167864 393695 241132 251841 187349 188871 0.764927 129735
16 1976  1.89905e+007 151318 420023 305329 253738 200309 184287 0.836646 217444
16 1977  1.00535e+007 122788 404825 347182 282369 174962 175712 0.824111 215279
16 1978  1.53579e+007 118196 467824 327061 366689 256398 274068 0.952178 218344
16 1979  8.21146e+006 113164 436916 428086 301925 255306 244425 0.771178 175124
16 1980  9.00766e+006 126123 458305 587443 348868 267055 255754 0.896225 195060
16 1981  3.30031e+007 131204 496373 390754 342014 313503 275664 0.884977 332133
16 1982  1.23381e+007 123704 407328 356376 342476 284216 257536 0.955751 208516
16 1983  1.04239e+007 106515 381321 279032 307939 247144 249550 0.961725 175116
16 1984  1.01385e+007 94238.1 345115 378275 276546 203321 187520 0.89429 184704
16 1985  8.77666e+006 96176 358793 245642 250694 195755 194452 0.905809 147771
16 1986  6.40605e+006 84629.3 292394 339692 248112 169395 163784 0.986866 138617
16 1987  5.61418e+006 86594.1 337109 243840 273024 184639 197315 0.985469 123482
16 1988  4.79679e+006 84957 267903 193767 218592 173546 182533 0.959834 95058.8
16 1989  4.65826e+006 77958.3 221413 201155 201312 127755 132758 1.00258 93856.4
16 1990  5.6147e+006 75407.3 222007 151592 157911 105385 104564 0.930061 97213.9
16 1991  5.83527e+006 70923.1 177147 119678 146041 92467 104713 0.930295 85258.5
16 1992  4.52293e+006 67619.8 184260 148985 163188 98924.8 105883 0.888942 89535.8
16 1993  6.42023e+006 68563.6 199345 132900 121771 99599.5 93792.8 0.828043 99240
16 1994  6.62008e+006 74759 201583 216500 127381 101050 97426.4 0.843643 106501
16 1995  5.8257e+006 82656.3 236457 198306 159838 136796 119530 0.94566 104002
16 1996  9.00431e+006 82958.8 214403 142941 157384 115187 123881 0.999897 114183
16 1997  6.69127e+006 72106.7 192492 135372 131941 96879.1 97821.1 0.901905 118578
16 1998  7.51652e+006 71217.2 216992 136757 123675 88153.8 82019.9 0.980461 108102
16 1999  1.36453e+007 61479.9 127939 95882.7 93293.6 72998.3 70407.8 1.10153 109802
16 2000  5.10712e+006 45905.7 112402 77117.6 84448.9 60240.6 63634.6 1.04262 72876.4
16 2001  6.75257e+006 51799.8 134503 78723.3 78569.2 48660.7 48468.1 1.00345 80518.7
16 2002  9.97741e+006 45129.6 94781.9 56581.5 57851.8 38654.2 39376.3 0.915345 89214.2
16 2003  1.16122e+007 43216.3 86391.1 51655.7 54061.6 39792.6 39354.3 0.911776 98737.2
16 2004  9.11133e+006 36836.3 73975.5 40848 38113.5 25442.9 23024.2 0.836923 87912.5
16 2005  1.27982e+007 37485.8 79395.7 36580 42578.9 22881.4 24410.7 0.749402 115487
16 2006  8.84246e+006 40546 86208.9 37577 35610 18736.4 20036.9 0.805884 98719.6
16 2007  9.61634e+006 50166.1 101373 54641.2 45300.9 21288.1 19172.1 0.637762 103184
16 2008  1.0503e+007 57155.3 95719.2 51795 54106.4 22763.2 24210.5 0.709658 97845.3
16 2009  8.32444e+006 56222.5 91280.7 54026.1 55733.7 30546.8 31858.3 0.729659 79338.8
16 2010  7.06948e+006 53562.5 91387.4 49105.7 51608.7 33622.5 35078.2 0.712597 76370.1
16 2011  1.36166e+007 59941.6 102808 40686.8 48279.9 29212.3 33289.9 0.575473 119148
16 2012  1.53805e+007 61093.7 96193.7 40764 43826.8 29772.8 32938.6 0.526114 122717
16 2013  1.6132e+007 63073.1 104214 40757.4 43119.7 28228.1 28964.9 0.467221 135281
16 2014  1.17709e+007 71913.5 130461 45192.4 45116 31782.9 30864.2 0.391358 125952
16 2015  1.12874e+007 92243.5 162898 49899.9 49968.8 34154.8 33892.2 0.332357 123308
16 2016  1.28514e+007 111190 172164 50310.5 47146.2 35951.6 34027.7 0.252066 117877
16 2017  NA 133909 NA NA NA NA NA NA NA
17 1974  2.68117e+007 461863 623872 323103 232260 223467 168549 0.854357 466120
17 1975  2.6247e+007 409239 696441 276575 251275 197639 185814 0.857419 515322
17 1976  2.90469e+007 479046 787293 326266 280135 229927 202183 0.912954 610732
17 1977  2.56934e+007 566556 801946 289854 237752 209262 175132 0.731241 546114
17 1978  3.18031e+007 419912 708370 188211 196145 140458 145567 0.664118 625161
17 1979  2.00571e+007 448362 727376 243558 206449 165430 141847 0.651201 490619
17 1980  1.68443e+007 476168 763157 223388 236954 140035 143326 0.730753 478735
17 1981  2.29711e+007 500298 677550 192132 199573 154376 156373 0.651484 525599
17 1982  1.24794e+007 359481 487210 140252 125831 110894 99294.3 0.492263 328565
17 1983  1.2446e+007 279809 391426 161289 132291 108669 88175.8 0.633978 256459
17 1984  1.58562e+007 225588 371043 145648 131453 103320 90311.8 0.759864 299156
17 1985  1.60667e+007 256429 371313 100339 118255 70105 81156.4 0.645846 274345
17 1986  1.89238e+007 250545 438235 161496 162107 83274.8 85893.3 0.817944 337033
