data Species.n Quarter Year fleet Age observed model residual stand.residual
catch 21 1 1974 -9 1  2.794670e+005 1.999181e+005 3.349763e-001 3.731946e-001
catch 21 1 1974 -9 2  1.449188e+005 1.997839e+005 -3.210629e-001 -3.576938e-001
catch 21 1 1974 -9 3  2.910000e+004 9.101150e+004 -1.140248e+000 -1.270342e+000
catch 21 1 1974 -9 4  1.738620e+004 2.162563e+004 -2.182023e-001 -2.430976e-001
catch 21 1 1974 -9 5  5.490210e+003 7.559312e+003 -3.198136e-001 -3.563020e-001
catch 21 1 1974 -9 6  4.500000e+003 2.738329e+003 4.967297e-001 5.534029e-001
catch 21 1 1974 -9 7  8.823500e+002 1.137266e+003 -2.537932e-001 -2.827492e-001
catch 21 1 1974 -9 8  4.208300e+002 4.113790e+002 2.271400e-002 1.682429e-002
catch 21 1 1974 -9 9  1.100000e+002 3.355681e+002 -1.115345e+000 -8.261373e-001
catch 21 1 1975 -9 1  1.614200e+006 3.765716e+005 1.455487e+000 1.621547e+000
catch 21 1 1975 -9 2  1.308000e+005 2.494333e+005 -6.455221e-001 -7.191714e-001
catch 21 1 1975 -9 3  1.919261e+004 8.690327e+004 -1.510270e+000 -1.682581e+000
catch 21 1 1975 -9 4  7.500000e+003 3.896254e+004 -1.647698e+000 -1.835688e+000
catch 21 1 1975 -9 5  7.900000e+003 1.454294e+004 -6.102426e-001 -6.798667e-001
catch 21 1 1975 -9 6  2.683330e+003 5.131117e+003 -6.482649e-001 -7.222271e-001
catch 21 1 1975 -9 7  1.800000e+003 1.869340e+003 -3.779897e-002 -4.211156e-002
catch 21 1 1975 -9 8  5.828600e+002 7.817718e+002 -2.936159e-001 -2.174817e-001
catch 21 1 1975 -9 9  5.995700e+002 5.141706e+002 1.536577e-001 1.138145e-001
catch 21 1 1976 -9 1  1.500000e+004 8.095718e+004 -1.685870e+000 -1.878216e+000
catch 21 1 1976 -9 2  1.661000e+005 1.266835e+005 2.708978e-001 3.018053e-001
catch 21 1 1976 -9 3  2.098211e+004 2.151123e+004 -2.490474e-002 -2.774619e-002
catch 21 1 1976 -9 4  8.783110e+003 7.927254e+003 1.025239e-001 1.142211e-001
catch 21 1 1976 -9 5  3.300000e+003 6.440199e+003 -6.686369e-001 -7.449235e-001
catch 21 1 1976 -9 6  1.000000e+002 2.378196e+003 -3.168927e+000 -3.530479e+000
catch 21 1 1976 -9 7  1.000000e+002 8.501115e+002 -2.140197e+000 -2.384378e+000
catch 21 1 1976 -9 8  9.091000e+001 3.113459e+002 -1.231035e+000 -9.118291e-001
catch 21 1 1976 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1977 -9 1  6.225686e+004 1.047461e+004 1.782315e+000 1.985664e+000
catch 21 1 1977 -9 2  1.814058e+004 1.211393e+004 4.037958e-001 4.498659e-001
catch 21 1 1977 -9 3  1.773000e+005 6.458881e+003 3.312387e+000 3.690306e+000
catch 21 1 1977 -9 4  9.400000e+003 1.115218e+003 2.131660e+000 2.374866e+000
catch 21 1 1977 -9 5  4.929580e+003 6.726334e+002 1.991809e+000 2.219059e+000
catch 21 1 1977 -9 6  2.767500e+003 5.455382e+002 1.623927e+000 1.809205e+000
catch 21 1 1977 -9 7  1.500000e+003 2.032618e+002 1.998726e+000 2.226766e+000
catch 21 1 1977 -9 8  3.994300e+002 7.302642e+001 1.699217e+000 1.258613e+000
catch 21 1 1977 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1978 -9 1  7.265691e+004 1.211372e+004 1.791410e+000 1.995797e+000
catch 21 1 1978 -9 2  3.000000e+002 1.337393e+003 -1.494695e+000 -1.665228e+000
catch 21 1 1978 -9 3  4.071400e+002 8.299659e+002 -7.122274e-001 -7.934874e-001
catch 21 1 1978 -9 4  4.000000e+002 7.943798e+002 -6.860972e-001 -7.643758e-001
catch 21 1 1978 -9 5  -99.9 -99.9 -99.9  -99.9
catch 21 1 1978 -9 6  -99.9 -99.9 -99.9  -99.9
catch 21 1 1978 -9 7  2.000000e+002 6.248263e+001 1.163429e+000 1.296168e+000
catch 21 1 1978 -9 8  1.990000e+002 2.338532e+001 2.141197e+000 1.585987e+000
catch 21 1 1978 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1979 -9 1  9.454062e+004 1.313943e+004 1.973412e+000 2.198564e+000
catch 21 1 1979 -9 2  -99.9 -99.9 -99.9  -99.9
catch 21 1 1979 -9 3  3.000000e+002 1.228407e+003 -1.409691e+000 -1.570526e+000
catch 21 1 1979 -9 4  4.000000e+002 1.270884e+003 -1.156004e+000 -1.287895e+000
catch 21 1 1979 -9 5  2.000000e+002 5.297422e+002 -9.740730e-001 -1.085208e+000
catch 21 1 1979 -9 6  -99.9 -99.9 -99.9  -99.9
catch 21 1 1979 -9 7  -99.9 -99.9 -99.9  -99.9
catch 21 1 1979 -9 8  -99.9 -99.9 -99.9  -99.9
catch 21 1 1979 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1980 -9 1  9.746222e+004 6.368939e+004 4.254468e-001 4.739871e-001
catch 21 1 1980 -9 2  6.700000e+003 4.826804e+003 3.279230e-001 3.653367e-001
catch 21 1 1980 -9 3  1.410000e+004 4.045345e+003 1.248608e+000 1.391065e+000
catch 21 1 1980 -9 4  3.912150e+003 2.207580e+003 5.721904e-001 6.374731e-001
catch 21 1 1980 -9 5  3.700000e+003 9.785442e+002 1.330022e+000 1.481768e+000
catch 21 1 1980 -9 6  1.045500e+002 6.710587e+002 -1.859191e+000 -2.071311e+000
catch 21 1 1980 -9 7  -99.9 -99.9 -99.9  -99.9
catch 21 1 1980 -9 8  -99.9 -99.9 -99.9  -99.9
catch 21 1 1980 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1981 -9 1  1.155122e+005 3.197580e+005 -1.018188e+000 -1.134356e+000
catch 21 1 1981 -9 2  1.377902e+004 2.346487e+004 -5.323574e-001 -5.930955e-001
catch 21 1 1981 -9 3  9.015800e+002 6.055522e+003 -1.904577e+000 -2.121875e+000
catch 21 1 1981 -9 4  3.007600e+002 8.430417e+003 -3.333289e+000 -3.713593e+000
catch 21 1 1981 -9 5  1.993000e+002 1.911131e+003 -2.260639e+000 -2.518562e+000
catch 21 1 1981 -9 6  7.031000e+002 1.417436e+003 -7.011060e-001 -7.810971e-001
catch 21 1 1981 -9 7  -99.9 -99.9 -99.9  -99.9
catch 21 1 1981 -9 8  -99.9 -99.9 -99.9  -99.9
catch 21 1 1981 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1982 -9 1  7.877501e+004 2.603658e+005 -1.195492e+000 -1.331889e+000
catch 21 1 1982 -9 2  9.682534e+004 2.724716e+004 1.267960e+000 1.412624e+000
catch 21 1 1982 -9 3  1.005000e+005 8.292711e+003 2.494781e+000 2.779417e+000
catch 21 1 1982 -9 4  1.010000e+004 3.747288e+003 9.915032e-001 1.104626e+000
catch 21 1 1982 -9 5  5.500000e+003 2.087615e+003 9.687258e-001 1.079250e+000
catch 21 1 1982 -9 6  2.200000e+003 8.382255e+002 9.649255e-001 1.075016e+000
catch 21 1 1982 -9 7  2.000000e+003 6.417703e+002 1.136672e+000 1.266358e+000
catch 21 1 1982 -9 8  1.800000e+003 4.519044e+002 1.382071e+000 1.023702e+000
catch 21 1 1982 -9 9  5.000000e+002 2.897087e+002 5.457323e-001 4.042247e-001
catch 21 1 1983 -9 1  1.071943e+005 2.658859e+005 -9.084240e-001 -1.012069e+000
catch 21 1 1983 -9 2  8.288924e+004 1.087667e+005 -2.717001e-001 -3.026991e-001
catch 21 1 1983 -9 3  2.200000e+004 4.633638e+004 -7.448849e-001 -8.298708e-001
catch 21 1 1983 -9 4  1.758327e+004 1.748575e+004 5.561888e-003 6.196458e-003
catch 21 1 1983 -9 5  2.800000e+003 5.299166e+003 -6.379301e-001 -7.107132e-001
catch 21 1 1983 -9 6  1.200000e+003 5.170034e+003 -1.460558e+000 -1.627197e+000
catch 21 1 1983 -9 7  4.000000e+002 2.089033e+003 -1.652992e+000 -1.841586e+000
catch 21 1 1983 -9 8  1.929800e+002 1.633883e+003 -2.136128e+000 -1.582233e+000
catch 21 1 1983 -9 9  -99.9 -99.9 -99.9  -99.9
catch 21 1 1984 -9 1  3.632911e+005 3.568019e+005 1.802362e-002 2.007998e-002
catch 21 1 1984 -9 2  1.547840e+005 2.638127e+005 -5.332088e-001 -5.940440e-001
catch 21 1 1984 -9 3  8.532756e+004 8.894824e+004 -4.155715e-002 -4.629852e-002
catch 21 1 1984 -9 4  3.546651e+004 3.710234e+004 -4.509110e-002 -5.023566e-002
catch 21 1 1984 -9 5  1.461261e+004 1.311050e+004 1.084712e-001 1.208470e-001
catch 21 1 1984 -9 6  3.749310e+003 3.920818e+003 -4.472855e-002 -4.983175e-002
catch 21 1 1984 -9 7  2.186780e+003 3.956341e+003 -5.928894e-001 -6.605337e-001
catch 21 1 1984 -9 8  2.303770e+003 1.608528e+003 3.592275e-001 2.660803e-001
catch 21 1 1984 -9 9  2.403370e+003 2.722700e+003 -1.247519e-001 -9.240394e-002
catch 21 1 1985 -9 1  1.785225e+006 3.891139e+005 1.523427e+000 1.697239e+000
catch 21 1 1985 -9 2  9.032850e+004 2.835026e+005 -1.143768e+000 -1.274264e+000
catch 21 1 1985 -9 3  2.425462e+005 1.730708e+005 3.374911e-001 3.759963e-001
catch 21 1 1985 -9 4  9.421589e+004 5.666095e+004 5.085037e-001 5.665202e-001
catch 21 1 1985 -9 5  3.504073e+004 2.130584e+004 4.975298e-001 5.542943e-001
catch 21 1 1985 -9 6  9.020690e+003 7.444233e+003 1.920813e-001 2.139963e-001
catch 21 1 1985 -9 7  7.070000e+003 2.246567e+003 1.146457e+000 1.277260e+000
catch 21 1 1985 -9 8  4.465910e+003 2.284260e+003 6.704308e-001 4.965891e-001
catch 21 1 1985 -9 9  3.544030e+003 2.506490e+003 3.463811e-001 2.565650e-001
catch 21 1 1986 -9 1  6.859143e+005 5.419849e+005 2.355146e-001 2.623851e-001
catch 21 1 1986 -9 2  2.821102e+005 2.061507e+005 3.136905e-001 3.494803e-001
catch 21 1 1986 -9 3  2.730491e+005 1.277060e+005 7.599211e-001 8.466225e-001
catch 21 1 1986 -9 4  1.647881e+005 7.501542e+004 7.869667e-001 8.767539e-001
catch 21 1 1986 -9 5  4.759672e+004 2.205920e+004 7.690339e-001 8.567751e-001
catch 21 1 1986 -9 6  2.728328e+004 8.176530e+003 1.205006e+000 1.342489e+000
catch 21 1 1986 -9 7  7.371920e+003 2.905770e+003 9.309797e-001 1.037198e+000
catch 21 1 1986 -9 8  7.354070e+003 8.823904e+002 2.120375e+000 1.570564e+000
catch 21 1 1986 -9 9  1.033973e+004 1.878699e+003 1.705414e+000 1.263203e+000
catch 21 1 1987 -9 1  3.267737e+006 6.454293e+005 1.621937e+000 1.806989e+000
catch 21 1 1987 -9 2  4.321266e+005 3.452295e+005 2.245092e-001 2.501241e-001
catch 21 1 1987 -9 3  2.111971e+005 1.079483e+005 6.711397e-001 7.477118e-001
catch 21 1 1987 -9 4  1.564436e+005 6.968439e+004 8.087191e-001 9.009880e-001
catch 21 1 1987 -9 5  7.762105e+004 3.620352e+004 7.626824e-001 8.496989e-001
catch 21 1 1987 -9 6  1.571071e+004 1.041430e+004 4.111631e-001 4.580738e-001
