Species.n Year Quarter Age N west consum
1 1991 1 1 1440 5 34.42
1 1991 2 1 1896 5 28.72
1 1991 3 0 0 -1 0
1 1991 3 1 2358 5 27.091
1 1991 4 0 0 -1 0
1 1991 4 1 2179 5 34.42
1 1992 1 1 1395 5 34.42
1 1992 2 1 1843 5 28.72
1 1992 3 0 0 -1 0
1 1992 3 1 2284 5 27.091
1 1992 4 0 0 -1 0
1 1992 4 1 2095 5 34.42
1 1993 1 1 1335 5 34.42
1 1993 2 1 1771 5 28.72
1 1993 3 0 0 -1 0
1 1993 3 1 2184 5 27.091
1 1993 4 0 0 -1 0
1 1993 4 1 1982 5 34.42
1 1994 1 1 1256 5 34.42
1 1994 2 1 1678 5 28.72
1 1994 3 0 0 -1 0
1 1994 3 1 2054 5 27.091
1 1994 4 0 0 -1 0
1 1994 4 1 1833 5 34.42
1 1995 1 1 1156 5 34.42
1 1995 2 1 1560 5 28.72
1 1995 3 0 0 -1 0
1 1995 3 1 1888 5 27.091
1 1995 4 0 0 -1 0
1 1995 4 1 1645 5 34.42
1 1996 1 1 1085 5 34.42
1 1996 2 1 1484 5 28.72
1 1996 3 0 0 -1 0
1 1996 3 1 1769 5 27.091
1 1996 4 0 0 -1 0
1 1996 4 1 1489 5 34.42
1 1997 1 1 1023 5 34.42
1 1997 2 1 1427 5 28.72
1 1997 3 0 0 -1 0
1 1997 3 1 1664 5 27.091
1 1997 4 0 0 -1 0
1 1997 4 1 1336 5 34.42
1 1998 1 1 972 5 34.42
1 1998 2 1 1355 5 28.72
1 1998 3 0 0 -1 0
1 1998 3 1 1581 5 27.091
1 1998 4 0 0 -1 0
1 1998 4 1 1269 5 34.42
1 1999 1 1 921 5 34.42
1 1999 2 1 1284 5 28.72
1 1999 3 0 0 -1 0
1 1999 3 1 1498 5 27.091
1 1999 4 0 0 -1 0
1 1999 4 1 1203 5 34.42
1 2000 1 1 871 5 34.42
1 2000 2 1 1214 5 28.72
1 2000 3 0 0 -1 0
1 2000 3 1 1416 5 27.091
1 2000 4 0 0 -1 0
1 2000 4 1 1137 5 34.42
1 2001 1 1 865 5 34.42
1 2001 2 1 1205 5 28.72
1 2001 3 0 0 -1 0
1 2001 3 1 1406 5 27.091
1 2001 4 0 0 -1 0
1 2001 4 1 1129 5 34.42
1 2002 1 1 858 5 34.42
1 2002 2 1 1197 5 28.72
1 2002 3 0 0 -1 0
1 2002 3 1 1396 5 27.091
1 2002 4 0 0 -1 0
1 2002 4 1 1121 5 34.42
1 2003 1 1 852 5 34.42
1 2003 2 1 1188 5 28.72
1 2003 3 0 0 -1 0
1 2003 3 1 1385 5 27.091
1 2003 4 0 0 -1 0
1 2003 4 1 1112 5 34.42
1 2004 1 1 814 5 34.42
1 2004 2 1 1152 5 28.72
1 2004 3 0 0 -1 0
1 2004 3 1 1351 5 27.091
1 2004 4 0 0 -1 0
1 2004 4 1 1068 5 34.42
1 2005 1 1 777 5 34.42
1 2005 2 1 1115 5 28.72
1 2005 3 0 0 -1 0
1 2005 3 1 1317 5 27.091
1 2005 4 0 0 -1 0
1 2005 4 1 1023 5 34.42
1 2006 1 1 739 5 34.42
1 2006 2 1 1079 5 28.72
1 2006 3 0 0 -1 0
1 2006 3 1 1284 5 27.091
1 2006 4 0 0 -1 0
1 2006 4 1 979 5 34.42
1 2007 1 1 702 5 34.42
1 2007 2 1 1042 5 28.72
1 2007 3 0 0 -1 0
1 2007 3 1 1250 5 27.091
1 2007 4 0 0 -1 0
1 2007 4 1 934 5 34.42
1 2008 1 1 664 5 34.42
1 2008 2 1 1006 5 28.72
1 2008 3 0 0 -1 0
1 2008 3 1 1216 5 27.091
1 2008 4 0 0 -1 0
1 2008 4 1 890 5 34.42
1 2009 1 1 627 5 34.42
1 2009 2 1 969 5 28.72
1 2009 3 0 0 -1 0
1 2009 3 1 1182 5 27.091
1 2009 4 0 0 -1 0
1 2009 4 1 845 5 34.42
1 2010 1 1 589 5 34.42
1 2010 2 1 933 5 28.72
1 2010 3 0 0 -1 0
1 2010 3 1 1148 5 27.091
1 2010 4 0 0 -1 0
1 2010 4 1 801 5 34.42
1 2011 1 1 589 5 34.42
1 2011 2 1 933 5 28.72
1 2011 3 0 0 -1 0
1 2011 3 1 1148 5 27.091
1 2011 4 0 0 -1 0
1 2011 4 1 801 5 34.42
1 2012 1 1 589 5 34.42
1 2012 2 1 933 5 28.72
1 2012 3 0 0 -1 0
1 2012 3 1 1148 5 27.091
1 2012 4 0 0 -1 0
1 2012 4 1 801 5 34.42
1 2013 1 1 589 5 34.42
1 2013 2 1 933 5 28.72
1 2013 3 0 0 -1 0
1 2013 3 1 1148 5 27.091
1 2013 4 0 0 -1 0
1 2013 4 1 801 5 34.42
