Species.n catch CPUE SSB.Rec  stomachs stomachs.N penalty all n.catch n.CPUE n.SSB.R n.stom n.all.obs n.par
1   0 0 0 -323.911 0 0 -5126.37  0 0 0 144 144 1817
2   0 0 0 -204.255 0 0 -5126.37  0 0 0 144 144 1817
3   0 0 0 -388.325 0 0 -5126.37  0 0 0 168 168 1817
4   0 0 0 -237.428 0 0 -5126.37  0 0 0 132 132 1817
5   0 0 0 -502.758 0 0 -5126.37  0 0 0 204 204 1817
6   0 0 0 -135.609 0 0 -5126.37  0 0 0 96 96 1817
7   0 0 0 -104.155 0 0 -5126.37  0 0 0 96 96 1817
8   0 0 0 -149.915 0 0 -5126.37  0 0 0 132 132 1817
9   0 0 0 -35.7605 0 0 -5126.37  0 0 0 64 64 1817
10   0 0 0 -80.0032 0 0 -5126.37  0 0 0 149 149 1817
11   0 0 0 2.13629 0 0 -5126.37  0 0 0 14 14 1817
12   0 0 0 -9.76604 0 0 -5126.37  0 0 0 34 34 1817
13   0 0 0 -124.712 0 0 -5126.37  0 0 0 54 54 1817
14   0 0 0 -26.7092 0 0 -5126.37  0 0 0 19 19 1817
15   0 0 0 -17.8601 0 0 -5126.37  0 0 0 33 33 1817
16   -416.422 -137.473 -5.45316 -1463.59 0 0 -5126.37  430 275 43 881 1629 1817
17   -241.516 -193.632 -20.922 -667.984 0 0 -5126.37  344 356 43 586 1329 1817
18   -207.979 -96.3098 15.1006 -82.1073 0 0 -5126.37  430 376 43 130 979 1817
19   -282.217 -107.447 -17.481 -108.009 0 0 -5126.37  344 290 43 188 865 1817
20   -410.196 -145.7 -11.105 -83.2041 0 0 -5126.37  430 433 43 105 1011 1817
21   272.876 -106.791 -6.28202 0 0 0 -5126.37  1634 440 43 0 2117 1817
22   125.971 27.5552 8.23829 0 0 0 -5126.37  774 204 43 0 1021 1817
23   78.8734 -51.2596 1.89467 0 0 0 -5126.37  774 144 43 0 961 1817
24   177.96 0.411011 -8.01033 0 0 0 -5126.37  602 300 43 0 945 1817
25   364.195 7.08144 -6.30695 0 0 0 -5126.37  516 241 43 0 800 1817
26   -398.072 -150.458 -26.3064 0 0 0 -5126.37  430 779 41 0 1250 1817
27   -445.61 123.452 -3.00241 0 0 0 -5126.37  387 530 41 0 958 1817
