Species.n Year Quarter Age N west consum size
1 1974 1 1 684 5 34.42 500
1 1974 2 1 897 5 28.72 500
1 1974 3 0 0 -1 0 -1
1 1974 3 1 897 5 27.091 500
1 1974 4 0 0 -1 0 -1
1 1974 4 1 1047 5 34.42 500
1 1975 1 1 698 5 34.42 500
1 1975 2 1 915 5 28.72 500
1 1975 3 0 0 -1 0 -1
1 1975 3 1 915 5 27.091 500
1 1975 4 0 0 -1 0 -1
1 1975 4 1 1069 5 34.42 500
1 1976 1 1 710 5 34.42 500
1 1976 2 1 931 5 28.72 500
1 1976 3 0 0 -1 0 -1
1 1976 3 1 931 5 27.091 500
1 1976 4 0 0 -1 0 -1
1 1976 4 1 1087 5 34.42 500
1 1977 1 1 720 5 34.42 500
1 1977 2 1 944 5 28.72 500
1 1977 3 0 0 -1 0 -1
1 1977 3 1 944 5 27.091 500
1 1977 4 0 0 -1 0 -1
1 1977 4 1 1102 5 34.42 500
1 1978 1 1 728 5 34.42 500
1 1978 2 1 954 5 28.72 500
1 1978 3 0 0 -1 0 -1
1 1978 3 1 954 5 27.091 500
1 1978 4 0 0 -1 0 -1
1 1978 4 1 1114 5 34.42 500
1 1979 1 1 735 5 34.42 500
1 1979 2 1 963 5 28.72 500
1 1979 3 0 0 -1 0 -1
1 1979 3 1 963 5 27.091 500
1 1979 4 0 0 -1 0 -1
1 1979 4 1 1124 5 34.42 500
1 1980 1 1 740 5 34.42 500
1 1980 2 1 969 5 28.72 500
1 1980 3 0 0 -1 0 -1
1 1980 3 1 969 5 27.091 500
1 1980 4 0 0 -1 0 -1
1 1980 4 1 1132 5 34.42 500
1 1981 1 1 744 5 34.42 500
1 1981 2 1 975 5 28.72 500
1 1981 3 0 0 -1 0 -1
1 1981 3 1 975 5 27.091 500
1 1981 4 0 0 -1 0 -1
1 1981 4 1 1139 5 34.42 500
1 1982 1 1 748 5 34.42 500
1 1982 2 1 980 5 28.72 500
1 1982 3 0 0 -1 0 -1
1 1982 3 1 980 5 27.091 500
1 1982 4 0 0 -1 0 -1
1 1982 4 1 1145 5 34.42 500
1 1983 1 1 750 5 34.42 500
1 1983 2 1 984 5 28.72 500
1 1983 3 0 0 -1 0 -1
1 1983 3 1 984 5 27.091 500
1 1983 4 0 0 -1 0 -1
1 1983 4 1 1149 5 34.42 500
1 1984 1 1 753 5 34.42 500
1 1984 2 1 987 5 28.72 500
1 1984 3 0 0 -1 0 -1
1 1984 3 1 987 5 27.091 500
1 1984 4 0 0 -1 0 -1
1 1984 4 1 1153 5 34.42 500
1 1985 1 1 755 5 34.42 500
1 1985 2 1 989 5 28.72 500
1 1985 3 0 0 -1 0 -1
1 1985 3 1 989 5 27.091 500
1 1985 4 0 0 -1 0 -1
1 1985 4 1 1155 5 34.42 500
1 1986 1 1 751 5 34.42 500
1 1986 2 1 985 5 28.72 500
1 1986 3 0 0 -1 0 -1
1 1986 3 1 985 5 27.091 500
1 1986 4 0 0 -1 0 -1
1 1986 4 1 1150 5 34.42 500
1 1987 1 1 747 5 34.42 500
1 1987 2 1 980 5 28.72 500
1 1987 3 0 0 -1 0 -1
1 1987 3 1 980 5 27.091 500
1 1987 4 0 0 -1 0 -1
1 1987 4 1 1143 5 34.42 500
1 1988 1 1 741 5 34.42 500
1 1988 2 1 972 5 28.72 500
1 1988 3 0 0 -1 0 -1
1 1988 3 1 972 5 27.091 500
1 1988 4 0 0 -1 0 -1
1 1988 4 1 1132 5 34.42 500
1 1989 1 1 733 5 34.42 500
1 1989 2 1 962 5 28.72 500
1 1989 3 0 0 -1 0 -1
1 1989 3 1 962 5 27.091 500
1 1989 4 0 0 -1 0 -1
1 1989 4 1 1117 5 34.42 500
1 1990 1 1 721 5 34.42 500
1 1990 2 1 947 5 28.72 500
1 1990 3 0 0 -1 0 -1
1 1990 3 1 947 5 27.091 500
1 1990 4 0 0 -1 0 -1
1 1990 4 1 1096 5 34.42 500
1 1991 1 1 705 5 34.42 500
1 1991 2 1 928 5 28.72 500
1 1991 3 0 0 -1 0 -1
1 1991 3 1 928 5 27.091 500
1 1991 4 0 0 -1 0 -1
1 1991 4 1 1066 5 34.42 500
1 1992 1 1 683 5 34.42 500
1 1992 2 1 903 5 28.72 500
1 1992 3 0 0 -1 0 -1
1 1992 3 1 903 5 27.091 500
1 1992 4 0 0 -1 0 -1
1 1992 4 1 1026 5 34.42 500
1 1993 1 1 679 5 34.42 500
1 1993 2 1 901 5 28.72 500
1 1993 3 0 0 -1 0 -1
1 1993 3 1 901 5 27.091 500
1 1993 4 0 0 -1 0 -1
1 1993 4 1 1008 5 34.42 500
1 1994 1 1 663 5 34.42 500
1 1994 2 1 885 5 28.72 500
1 1994 3 0 0 -1 0 -1
1 1994 3 1 885 5 27.091 500
1 1994 4 0 0 -1 0 -1
1 1994 4 1 967 5 34.42 500
1 1995 1 1 651 5 34.42 500
1 1995 2 1 879 5 28.72 500
1 1995 3 0 0 -1 0 -1
1 1995 3 1 879 5 27.091 500
1 1995 4 0 0 -1 0 -1
1 1995 4 1 927 5 34.42 500
1 1996 1 1 682 5 34.42 500
1 1996 2 1 933 5 28.72 500
1 1996 3 0 0 -1 0 -1
1 1996 3 1 933 5 27.091 500
1 1996 4 0 0 -1 0 -1
1 1996 4 1 936 5 34.42 500
1 1997 1 1 607 5 34.42 500
1 1997 2 1 847 5 28.72 500
1 1997 3 0 0 -1 0 -1
1 1997 3 1 847 5 27.091 500
1 1997 4 0 0 -1 0 -1
1 1997 4 1 793 5 34.42 500
1 1998 1 1 590 5 34.42 500
1 1998 2 1 822 5 28.72 500
1 1998 3 0 0 -1 0 -1
1 1998 3 1 822 5 27.091 500
1 1998 4 0 0 -1 0 -1
1 1998 4 1 770 5 34.42 500
1 1999 1 1 614 5 34.42 500
1 1999 2 1 856 5 28.72 500
1 1999 3 0 0 -1 0 -1
1 1999 3 1 856 5 27.091 500
1 1999 4 0 0 -1 0 -1
1 1999 4 1 802 5 34.42 500
1 2000 1 1 496 5 34.42 500
1 2000 2 1 692 5 28.72 500
1 2000 3 0 0 -1 0 -1
1 2000 3 1 692 5 27.091 500
1 2000 4 0 0 -1 0 -1
1 2000 4 1 648 5 34.42 500
1 2001 1 1 552 5 34.42 500
1 2001 2 1 769 5 28.72 500
1 2001 3 0 0 -1 0 -1
1 2001 3 1 769 5 27.091 500
1 2001 4 0 0 -1 0 -1
1 2001 4 1 720 5 34.42 500
1 2002 1 1 537 5 34.42 500
1 2002 2 1 749 5 28.72 500
1 2002 3 0 0 -1 0 -1
1 2002 3 1 749 5 27.091 500
1 2002 4 0 0 -1 0 -1
1 2002 4 1 701 5 34.42 500
1 2003 1 1 531 5 34.42 500
1 2003 2 1 741 5 28.72 500
1 2003 3 0 0 -1 0 -1
1 2003 3 1 741 5 27.091 500
1 2003 4 0 0 -1 0 -1
1 2003 4 1 694 5 34.42 500
1 2004 1 1 508 5 34.42 500
1 2004 2 1 719 5 28.72 500
1 2004 3 0 0 -1 0 -1
1 2004 3 1 719 5 27.091 500
1 2004 4 0 0 -1 0 -1
1 2004 4 1 667 5 34.42 500
1 2005 1 1 491 5 34.42 500
1 2005 2 1 705 5 28.72 500
1 2005 3 0 0 -1 0 -1
1 2005 3 1 705 5 27.091 500
1 2005 4 0 0 -1 0 -1
1 2005 4 1 647 5 34.42 500
1 2006 1 1 451 5 34.42 500
1 2006 2 1 659 5 28.72 500
1 2006 3 0 0 -1 0 -1
1 2006 3 1 659 5 27.091 500
1 2006 4 0 0 -1 0 -1
1 2006 4 1 598 5 34.42 500
1 2007 1 1 468 5 34.42 500
1 2007 2 1 695 5 28.72 500
1 2007 3 0 0 -1 0 -1
1 2007 3 1 695 5 27.091 500
1 2007 4 0 0 -1 0 -1
1 2007 4 1 623 5 34.42 500
1 2008 1 1 435 5 34.42 500
1 2008 2 1 659 5 28.72 500
1 2008 3 0 0 -1 0 -1
1 2008 3 1 659 5 27.091 500
1 2008 4 0 0 -1 0 -1
1 2008 4 1 583 5 34.42 500
1 2009 1 1 420 5 34.42 500
1 2009 2 1 649 5 28.72 500
1 2009 3 0 0 -1 0 -1
1 2009 3 1 649 5 27.091 500
1 2009 4 0 0 -1 0 -1
1 2009 4 1 566 5 34.42 500
1 2010 1 1 402 5 34.42 500
1 2010 2 1 637 5 28.72 500
1 2010 3 0 0 -1 0 -1
1 2010 3 1 637 5 27.091 500
1 2010 4 0 0 -1 0 -1
1 2010 4 1 547 5 34.42 500
1 2011 1 1 383 5 34.42 500
1 2011 2 1 606 5 28.72 500
1 2011 3 0 0 -1 0 -1
1 2011 3 1 606 5 27.091 500
1 2011 4 0 0 -1 0 -1
1 2011 4 1 520 5 34.42 500
1 2012 1 1 387 5 34.42 500
1 2012 2 1 613 5 28.72 500
1 2012 3 0 0 -1 0 -1
1 2012 3 1 613 5 27.091 500
1 2012 4 0 0 -1 0 -1
1 2012 4 1 526 5 34.42 500
1 2013 1 1 380 5 34.42 500
1 2013 2 1 602 5 28.72 500
1 2013 3 0 0 -1 0 -1
1 2013 3 1 602 5 27.091 500
1 2013 4 0 0 -1 0 -1
1 2013 4 1 517 5 34.42 500
1 2014 1 1 373 5 34.42 500
1 2014 2 1 591 5 28.72 500
1 2014 3 0 0 -1 0 -1
1 2014 3 1 591 5 27.091 500
1 2014 4 0 0 -1 0 -1
1 2014 4 1 508 5 34.42 500
1 2015 1 1 367 5 34.42 500
1 2015 2 1 581 5 28.72 500
1 2015 3 0 0 -1 0 -1
1 2015 3 1 581 5 27.091 500
1 2015 4 0 0 -1 0 -1
1 2015 4 1 499 5 34.42 500
1 2016 1 1 384 5 34.42 500
1 2016 2 1 608 5 28.72 500
1 2016 3 0 0 -1 0 -1
1 2016 3 1 608 5 27.091 500
1 2016 4 0 0 -1 0 -1
1 2016 4 1 522 5 34.42 500
1 2017 1 1 357 5 34.42 500
1 2017 2 1 565 5 28.72 500
1 2017 3 0 0 -1 0 -1
1 2017 3 1 565 5 27.091 500
1 2017 4 0 0 -1 0 -1
1 2017 4 1 485 5 34.42 500
1 2018 1 1 354 5 34.42 500
1 2018 2 1 561 5 28.72 500
1 2018 3 0 0 -1 0 -1
1 2018 3 1 561 5 27.091 500
1 2018 4 0 0 -1 0 -1
1 2018 4 1 481 5 34.42 500
1 2019 1 1 349 5 34.42 500
1 2019 2 1 553 5 28.72 500
1 2019 3 0 0 -1 0 -1
1 2019 3 1 553 5 27.091 500
1 2019 4 0 0 -1 0 -1
1 2019 4 1 474 5 34.42 500
1 2020 1 1 350 5 34.42 500
1 2020 2 1 555 5 28.72 500
1 2020 3 0 0 -1 0 -1
1 2020 3 1 555 5 27.091 500
1 2020 4 0 0 -1 0 -1
1 2020 4 1 476 5 34.42 500
1 2021 1 1 350 5 34.42 500
1 2021 2 1 555 5 28.72 500
1 2021 3 0 0 -1 0 -1
1 2021 3 1 555 5 27.091 500
1 2021 4 0 0 -1 0 -1
1 2021 4 1 476 5 34.42 500
1 2022 1 1 350 5 34.42 500
1 2022 2 1 555 5 28.72 500
1 2022 3 0 0 -1 0 -1
1 2022 3 1 555 5 27.091 500
1 2022 4 0 0 -1 0 -1
1 2022 4 1 476 5 34.42 500
2 1974 1 1 1019 5 32.456 500
2 1974 2 1 1275 5 32.258 500
