"Species","Species.n","Year","label","SSB","Rec","used","model","alfa","beta","std","info1","info2","incl"
"Cod",16,1974,"2020",182.381,8.7171,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1975,"2020",169.51,5.15028,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1976,"2020",152.664,17.5686,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1977,"2020",124.134,9.04124,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1978,"2020",119.212,15.3795,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1979,"2020",113.896,7.94022,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1980,"2020",127.389,9.17323,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1981,"2020",132.241,30.5688,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1982,"2020",124.49,10.8217,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1983,"2020",107.75,10.4801,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1984,"2020",94.3072,10.4303,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1985,"2020",97.2804,8.47313,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1986,"2020",84.6659,6.68529,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1987,"2020",86.5401,5.1149,TRUE,100,4.833487,107000,0.5228472,0,0,FALSE
"Cod",16,1988,"2020",83.9937,4.07248,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1989,"2020",77.612,3.56364,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1990,"2020",74.6418,4.90097,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1991,"2020",70.6024,5.97428,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1992,"2020",67.714,4.64774,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1993,"2020",69.2958,6.81557,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1994,"2020",75.7356,6.76585,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1995,"2020",84.9008,6.15195,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1996,"2020",85.9141,8.47226,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1997,"2020",73.6771,6.29574,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1998,"2020",75.3193,7.34615,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1999,"2020",62.2831,14.0654,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2000,"2020",46.9106,4.92811,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2001,"2020",52.229,6.1959,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2002,"2020",44.7542,8.28066,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2003,"2020",42.9504,10.4503,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2004,"2020",36.2083,8.80947,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2005,"2020",36.8681,12.8546,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2006,"2020",39.7754,8.57906,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2007,"2020",48.7988,9.46368,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2008,"2020",56.4051,10.7034,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2009,"2020",55.6809,6.90685,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2010,"2020",52.5174,7.04623,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2011,"2020",57.4888,13.4744,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2012,"2020",57.5206,14.5903,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2013,"2020",57.1307,13.5567,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2014,"2020",61.2846,10.2389,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2015,"2020",69.5683,8.98181,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2016,"2020",71.3236,9.71016,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2017,"2020",66.2306,4.30574,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2018,"2020",63.5317,5.05428,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,2019,"2020",45.5303,5.01764,TRUE,100,4.833487,107000,0.5228472,0,0,TRUE
"Cod",16,1974,"2023",183.175,3.50556,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1975,"2023",169.285,2.2511,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1976,"2023",151.626,7.82303,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1977,"2023",120.824,4.35142,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1978,"2023",114.52,5.71204,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1979,"2023",107.554,4.64856,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1980,"2023",119.756,3.97702,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1981,"2023",123.797,14.0984,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1982,"2023",116.098,5.05785,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1983,"2023",99.7733,5.66313,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1984,"2023",88.1207,4.0529,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
"Cod",16,1985,"2023",89.7346,5.2067,TRUE,100,3.752686,86000,0.4710973,0,0,FALSE
