Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974          3505563         183175         404979         252714          0.709
1975          2251101         169285         395713         241132          0.750
1976          7823033         151626         429763         305329          0.827
1977          4351421         120824         403521         347182          0.802
1978          5712037         114520         480898         327061          0.942
1979          4648565         107554         440479         428086          0.766
1980          3977019         119756         468640         587443          0.876
1981         14098373         123797         500946         390754          0.874
1982          5057855         116098         404465         356376          0.924
1983          5663126          99773         377335         279032          0.930
1984          4052903          88121         338419         378275          0.878
1985          5206703          89735         360931         245642          0.881
1986          3580107          77665         285384         339692          0.952
1987          3736139          79153         332387         243840          0.926
1988          2991064          76103         266797         193767          0.927
1989          2622575          71115         222692         201155          0.956
1990          2934394          68530         223735         151592          0.908
1991          3467404          64811         180292         119678          0.902
1992          2117307          64599         191341         148985          0.875
1993          3450560          69346         215042         141383          0.934
1994          2743489          71358         202016         208173          0.891
1995          3281936          81851         235801         168055          0.851
1996          5332922          91101         232911         138777          0.903
1997          1690707          89650         227212         155600          0.876
1998          2685432          94994         260189         184807          1.160
1999          4957644          67435         136774         107734          1.154
2000          1773243          47339         112147          82922          1.169
2001          1883608          45998         121524          61987          0.829
2002          2093477          46365          98532          65036          1.097
2003          3613274          34451          75567          34437          0.679
2004          2631546          35148          77578          36471          0.720
2005          4723230          36114          85077          38104          0.709
2006          2611316          37864          94025          37577          0.730
2007          2717901          45477         112179          54641          0.579
2008          2576558          53215         107145          51795          0.625
2009          2277683          55063         105734          54026          0.625
2010          1863008          54294         111450          49106          0.543
2011          4136103          65315         135158          40687          0.401
2012          6176799          72067         133584          40764          0.373
2013          4438780          72877         140164          40757          0.350
2014          2486610          76492         157149          45192          0.337
2015          1913036          85103         166886          49900          0.351
2016          2712034          85632         148013          50310          0.341
2017          1367043          79037         130501          46369          0.391
2018          1309935          69242         122082          47904          0.553
2019          1138670          50589          88124          35390          0.467
2020           928240          41151          80937          23607          0.353
2021          1885054          45313          97622          18228          0.223
2022          2165029          48920         104276          21128          0.250
2023                           53409

Whiting    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-5
1974         28641984         367882         497296         319955          0.825
1975         24585399         299865         524649         275667          0.853
1976         32067454         381144         601240         325609          0.782
1977         24574268         374354         584658         289306          0.665
1978         27044394         384693         606888         188049          0.493
1979         17388608         405621         624220         244055          0.587
1980         12183313         422793         616010         223016          0.526
1981         21851399         416132         535865         192209          0.527
1982          8174348         290768         363232         140246          0.435
1983         11012575         222332         301069         161686          0.595
1984         12732041         175305         288841         145646          0.667
1985         13633213         203111         293666         100207          0.534
1986         16678650         207573         374174         161469          0.747
1987         15686199         228709         357391         138906          0.604
1988         19412928         255936         364415         133010          0.528
1989         13732849         255668         422400         123530          0.437
1990         11341625         309974         426174         152969          0.462
1991         10799715         304840         410000         126467          0.335
1992         14938876         303275         403552         108738          0.405
1993         12448256         276517         377020         116871          0.454
1994         12794326         255442         356624         101628          0.396
1995         11652469         255296         363716         106220          0.301
1996          6777087         241622         324620          76090          0.270
1997         12883072         214098         277690          61475          0.240
1998         21991963         190148         268415          47405          0.209
1999         20736051         180020         282905          60836          0.282
2000         18953968         199385         314419          63908          0.251
2001         22559974         248301         366133          45177          0.150
2002         15156498         259921         351270          46412          0.133
2003         10225466         248221         300490          45646          0.189
2004         10776355         201071         243032          33564          0.159
2005         10865799         168366         218985          28873          0.151
2006         11211672         151931         202922          36746          0.196
2007         17090897         142584         182511          26968          0.179
2008         12891315         147843         204281          28251          0.174
2009          7495880         159821         207793          28362          0.159
2010         12726330         205280         258015          34441          0.158
2011         13542585         209553         276953          30673          0.133
2012         11067851         231190         276787          30224          0.140
2013         12107614         210686         244587          26639          0.122
2014         12552656         195958         248278          28373          0.132
2015         17081877         202299         256960          36255          0.168
2016         19505492         216402         275372          33371          0.150
2017         15898086         236402         293323          29348          0.116
2018         12362617         241548         291671          28438          0.111
2019         20610097         242686         298160          30510          0.120
2020         20165234         298603         412207          34996          0.102
2021          7802276         403424         523368          33193          0.076
2022         14890676         457742         522300          27891          0.047
2023                          490604

Haddock    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974         48458360         398445         893602         396271          0.697
1975          4419527         321233        1433689         494728          0.870
1976          5056645         523555        1063038         402849          0.798
1977         10964259         406070         535419         240340          0.766
1978         16716736         178633         362091         146706          0.807
1979         26860887         133753         454039         149064          0.834
1980         15700270         176636         745478         202451          0.796
1981         22021762         312712         728027         226485          0.573
1982          9939455         342402         676339         256108          0.553
1983         15238286         269629         487360         253230          0.732
1984          5189701         224695         555027         247089          0.875
1985          5793245         250312         499915         247098          0.832
1986         12346491         236368         380677         223727          0.867
1987          1804189         185603         452454         194995          0.975
1988          1304823         196648         351314         179974          0.953
1989          2554133         142642         187441         127719          0.944
1990          5029421          76898         133710          86748          0.883
1991          7154113          63212         175880          97264          0.914
1992         10221940         100404         303403         135185          0.807
1993          4087046         175269         469551         180218          1.004
1994         16413526         213227         402489         169436          0.899
1995          8463949         194304         567212         168928          0.804
1996          6276145         247781         523190         204683          0.947
1997          3681857         226101         385783         170009          0.721
1998          1892826         190279         296562         161929          0.781
1999         17789774         140229         195715         123489          0.976
2000          6065536         104342         486373         126823          0.859
2001          1230566         359108         655152         173366          0.696
2002          1522133         424075         496264         155333          0.630
2003          1395806         262943         292426          74350          0.340
2004          1203375         178514         207054          72513          0.367
2005          8373873         120207         142068          64115          0.394
2006          2270956          90103         227315          66967          0.616
2007          1237438         138540         206573          67425          0.562
2008           644455         135861         166874          49900          0.371
2009          4249808          95559         115039          46492          0.334
2010           612004          85819         188230          41304          0.366
2011           329445         134109         181744          42868          0.345
2012           617448         145762         157238          42920          0.297
2013           515704         109179         122674          46685          0.263
2014          3950786          77025          90654          45915          0.415
2015          1020967          61937         145132          41475          0.628
2016          1648058          99069         149883          42943          0.508
2017           836903         117805         156542          40861          0.458
2018          1787120          97351         123946          39694          0.432
2019          6204123          81223         119985          36305          0.431
2020          8569812          93129         247119          38944          0.345
2021          3609906         208356         429295          44128          0.222
2022          3919441         352007         472228          56890          0.122
2023                          406003

Saithe     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 4-7
1974           267752         558061         861485         341457          0.451
1975           150792         487925         829296         308362          0.531
1976           188176         368100         730404         432832          0.575
1977           160711         292383         600366         242626          0.734
1978           341583         247291         456438         179361          0.435
1979           256847         240335         488833         144250          0.464
1980           251835         222223         471260         146784          0.542
1981           219197         211551         540785         150025          0.498
1982           264094         192397         546190         205438          0.490
1983           495462         198449         523465         205616          0.717
1984           267134         162106         418114         245308          0.590
1985           268842         140987         403109         280080          0.598
1986           156779         123759         445029         236972          0.734
1987           151160         128347         375101         195418          0.626
1988           206380         129747         354076         156418          0.722
1989           191983         109883         290996         126442          0.667
1990           210759         103719         268893         126902          0.576
1991           171915          97189         277867         133739          0.533
1992           504248          97571         308341         117430          0.511
1993           207378         112050         353003         135112          0.735
1994           306222         108480         365542         128816          0.518
1995           142829         133105         568506         143477          0.660
1996           263825         146841         498724         130551          0.570
1997           148987         180521         484967         121523          0.408
1998           330560         183262         421751         118480          0.420
1999           338453         190291         436995         120395          0.575
2000           244463         176940         438347          94676          0.409
2001           184708         186196         486353         104100          0.313
2002           292145         221575         570320         129849          0.431
2003           127565         208438         481593         121658          0.463
2004           156507         255201         527766         113792          0.335
2005           110516         235874         489162         119234          0.382
2006           111165         255860         474434         128711          0.366
2007           191315         237283         413261         106333          0.304
2008           105830         226937         391036         129887          0.451
2009           154248         217013         367642         114519          0.466
2010           145579         203653         380883         104723          0.481
2011           109651         158538         318100         102008          0.454
2012           129713         142372         299346          87049          0.418
2013           193053         143672         299849          87270          0.381
2014           183079         159000         311743          82172          0.386
2015           108267         162338         320518          81447          0.405
2016            95474         150991         336156          77671          0.402
2017            85804         165417         359979          94585          0.477
2018           103427         160351         318431          95446          0.472
2019           147402         165907         300981          96646          0.484
2020           179438         153791         276159          76820          0.363
2021           178297         146926         275707          50951          0.257
2022           177916         162978         327912          53805          0.247
2023                          184809

Mackerel   

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 4-8
1974          4770905        4984059        5635997         604750          0.123
1975          4479281        4805337        5591931         780518          0.163
1976          2992175        4598692        5464678         826864          0.185
1977           763473        4433468        5204567         619776          0.144
1978          2530359        4326831        4836720         735619          0.182
1979          4719586        3815467        4208723         840578          0.225
1980          5267476        2752838        3312453         733063          0.238
1981          6422088        2513110        3321497         750656          0.247
1982          1744436        2511725        3465278         716385          0.247
1983          1263795        2667095        3449665         671927          0.212
1984          6107526        2679153        3085197         633027          0.218
1985          2845566        2564291        3151928         609877          0.194
1986          3374585        2634345        3344167         600246          0.182
1987          4824134        2658082        3241778         654429          0.199
1988          3119287        2650091        3364025         677317          0.217
1989          4080282        2529705        3272859         582714          0.185
1990          3043746        2693139        3328122         624046          0.200
1991          3331353        2814757        3435610         674986          0.238
1992          4047632        2776647        3274990         758475          0.278
1993          4550036        2645967        3192543         823385          0.315
