Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
16 1974  3.50556e+06 183175 404979 252714 243163 235082 252714 243163 235082 0.708995 97928.5
16 1975  2.2511e+06 169285 395713 241132 251206 224086 241132 251206 224086 0.750334 102840
16 1976  7.82303e+06 151626 429763 305329 257887 278671 305329 257887 278671 0.826951 146599
16 1977  4.35142e+06 120824 403521 347182 280928 317344 347182 280928 317344 0.801958 153837
16 1978  5.71204e+06 114520 480898 327061 375913 295637 327061 375913 295637 0.941916 164200
16 1979  4.64856e+06 107554 440479 428086 305727 384140 428086 305727 384140 0.765594 135682
16 1980  3.97702e+06 119756 468640 587443 352883 525473 587443 352883 525473 0.875765 160922
16 1981  1.40984e+07 123797 500946 390754 342437 349529 390754 342437 349529 0.873664 217774
16 1982  5.05785e+06 116098 404465 356376 334740 318222 356376 334740 318222 0.924402 155427
16 1983  5.66313e+06 99773.3 377335 279032 298768 247864 279032 298768 247864 0.930261 139186
16 1984  4.0529e+06 88120.7 338419 378275 270954 328184 378275 270954 328184 0.878311 134495
16 1985  5.2067e+06 89734.6 360931 245642 246214 216756 245642 246214 216756 0.881261 122151
16 1986  3.58011e+06 77664.8 285384 339692 239681 285894 339692 239681 285894 0.952039 113335
16 1987  3.73614e+06 79152.6 332387 243840 257404 212387 243840 257404 212387 0.92565 115671
16 1988  2.99106e+06 76103.4 266797 193767 214469 169640 193767 214469 169640 0.927285 82076.9
16 1989  2.62258e+06 71114.9 222692 201155 196850 168685 201155 196850 168685 0.956307 82602.6
16 1990  2.93439e+06 68529.8 223735 151592 156622 130441 151592 156622 130441 0.90777 79713.5
16 1991  3.4674e+06 64811.2 180292 119678 146681 101928 119678 146681 101928 0.901676 70047.8
16 1992  2.11731e+06 64598.5 191341 148985 170744 121249 148985 170744 121249 0.874619 74168.5
16 1993  3.45056e+06 69345.9 215042 141383 141768 120342 141383 141768 120342 0.934243 80574.9
16 1994  2.74349e+06 71358.4 202016 208173 132011 160052 208173 132011 160052 0.891317 80150
16 1995  3.28194e+06 81850.5 235801 168055 146471 138656 168055 146471 138656 0.850868 95977.9
16 1996  5.33292e+06 91101 232911 138777 158496 118648 138777 158496 118648 0.902808 99024.4
16 1997  1.69071e+06 89650.3 227212 155600 152056 125032 155600 152056 125032 0.87608 94666.1
16 1998  2.68543e+06 94993.8 260189 184807 165612 155875 184807 165612 155875 1.15969 85142.3
16 1999  4.95764e+06 67435.2 136774 107734 101217 91550.9 107734 101217 91550.9 1.15447 66885.2
16 2000  1.77324e+06 47338.8 112147 82922.2 90187.5 67399.4 82922.2 90187.5 67399.4 1.16871 51719.7
16 2001  1.88361e+06 45997.9 121524 61986.7 62275.3 51936.9 61986.7 62275.3 51936.9 0.828655 51796.7
16 2002  2.09348e+06 46365 98532.2 65036.4 66865.1 53938.6 65036.4 66865.1 53938.6 1.09731 43613.3
16 2003  3.61327e+06 34451.5 75567.2 34437 37480 29193.8 34437 37480 29193.8 0.678584 54904.2
16 2004  2.63155e+06 35148.4 77578.3 36471.4 34780.8 30158.3 36471.4 34780.8 30158.3 0.719781 55533.6
16 2005  4.72323e+06 36113.9 85076.9 38104.1 43247.5 31514.7 38104.1 43247.5 31514.7 0.709014 73461.1
16 2006  2.61132e+06 37864.5 94025.2 37577 35439.2 30335.1 37577 35439.2 30335.1 0.730155 72215.9
16 2007  2.7179e+06 45476.9 112179 54641.2 44373.8 44443.5 54641.2 44373.8 44443.5 0.57893 73933.6
16 2008  2.57656e+06 53214.6 107145 51795 52885.5 43363.1 51795 52885.5 43363.1 0.624825 64104.4
16 2009  2.27768e+06 55062.6 105734 54026.1 54746.6 45441.9 54026.1 54746.6 45441.9 0.624892 57218.3
16 2010  1.86301e+06 54293.9 111450 49105.7 48313 41380.4 49105.7 48313 41380.4 0.542606 63365.6
16 2011  4.1361e+06 65314.7 135158 40686.8 43690.5 34615.7 40686.8 43690.5 34615.7 0.401337 83512.5
16 2012  6.1768e+06 72066.9 133584 40764 41177.9 34831.9 40764 41177.9 34831.9 0.372813 95239.1
16 2013  4.43878e+06 72876.9 140164 40757.4 41053.4 35021.2 40757.4 41053.4 35021.2 0.349713 93478.4
16 2014  2.48661e+06 76492.1 157149 45192.4 43463.8 38226.1 45192.4 43463.8 38226.1 0.336924 84495.4
16 2015  1.91304e+06 85102.8 166886 49899.9 48919.7 42520.5 49899.9 48919.7 42520.5 0.350876 75657.7
16 2016  2.71203e+06 85632 148013 50310.5 46643 44059.6 50310.5 46643 44059.6 0.341109 59829.5
16 2017  1.36704e+06 79036.5 130501 46368.7 43717.8 41141.7 46368.7 43717.8 41141.7 0.390654 48078.8
16 2018  1.30994e+06 69241.6 122082 47904.1 48708 41920.4 47904.1 48708 41920.4 0.552572 44695.3
16 2019  1.13867e+06 50589.5 88124.5 35390.2 33557.3 31279.6 35390.2 33557.3 31279.6 0.467094 33514.4
16 2020  928240 41151.4 80937 23607.4 21569.5 19866.1 23607.4 21569.5 19866.1 0.352995 36855.5
16 2021  1.88505e+06 45313.5 97622 18227.9 19223 15674.1 18227.9 19223 15674.1 0.223151 50596.7
16 2022  2.16503e+06 48919.9 104276 21127.7 22512.1 18405.9 21127.7 22512.1 18405.9 0.249802 57680.9
16 2023  NA 53409.5 NA NA NA NA NA NA NA NA NA
17 1974  2.8642e+07 367882 497296 319955 274877 287960 319955 274877 287960 0.825238 422332
17 1975  2.45854e+07 299865 524649 275667 305988 248100 275667 305988 248100 0.852571 430275
17 1976  3.20675e+07 381144 601240 325609 298417 293048 325609 298417 293048 0.78226 565037
17 1977  2.45743e+07 374354 584658 289306 265839 260375 289306 265839 260375 0.664519 466441
17 1978  2.70444e+07 384693 606888 188049 186242 169245 188049 186242 169245 0.492654 546747
17 1979  1.73886e+07 405621 624220 244055 235764 219649 244055 235764 219649 0.587084 386497
17 1980  1.21833e+07 422793 616010 223016 216033 200714 223016 216033 200714 0.525659 384493
17 1981  2.18514e+07 416132 535865 192209 191214 172988 192209 191214 172988 0.526868 448899
17 1982  8.17435e+06 290768 363232 140246 118468 126222 140246 118468 126222 0.434874 218291
17 1983  1.10126e+07 222332 301069 161686 124510 145517 161686 124510 145517 0.595224 187159
17 1984  1.2732e+07 175305 288841 145646 119898 131081 145646 119898 131081 0.666744 237886
17 1985  1.36332e+07 203111 293666 100207 104773 90186.6 100207 104773 90186.6 0.5338 218644
17 1986  1.66786e+07 207573 374174 161469 164865 145322 161469 164865 145322 0.747252 284659
17 1987  1.56862e+07 228709 357391 138906 135899 125016 138906 135899 125016 0.604359 278064
17 1988  1.94129e+07 255936 364415 133010 124891 119709 133010 124891 119709 0.527868 288474
17 1989  1.37328e+07 255668 422400 123530 123177 111177 123530 123177 111177 0.437167 317409
17 1990  1.13416e+07 309974 426174 152969 131516 137672 152969 131516 137672 0.46238 262008
17 1991  1.07997e+07 304840 410000 126467 121524 113820 126467 121524 113820 0.335019 227498
17 1992  1.49389e+07 303275 403552 108738 140293 97864.2 108738 140293 97864.2 0.405337 256419
17 1993  1.24483e+07 276517 377020 116871 137674 105184 116871 137674 105184 0.454211 242175
17 1994  1.27943e+07 255442 356624 101628 114294 91465.1 101628 114294 91465.1 0.395748 239574
17 1995  1.16525e+07 255296 363716 106220 92501.7 95598.2 106220 92501.7 95598.2 0.301084 256863
17 1996  6.77709e+06 241622 324620 76090.3 75623.6 68481.2 76090.3 75623.6 68481.2 0.270201 187974
17 1997  1.28831e+07 214098 277690 61474.6 61757.3 55327.1 61474.6 61757.3 55327.1 0.239783 214268
17 1998  2.1992e+07 190148 268415 47404.6 48679.6 42664.2 47404.6 48679.6 42664.2 0.209425 308167
17 1999  2.07361e+07 180020 282905 60836.3 62428.1 54752.7 60836.3 62428.1 54752.7 0.282257 327864
17 2000  1.8954e+07 199385 314419 63907.5 69006.9 57516.8 63907.5 69006.9 57516.8 0.2511 282835
17 2001  2.256e+07 248301 366133 45177.2 50932.6 40659.5 45177.2 50932.6 40659.5 0.150327 349904
17 2002  1.51565e+07 259921 351270 46411.9 42740.7 41770.7 46411.9 42740.7 41770.7 0.132763 303586
17 2003  1.02255e+07 248221 300490 45645.6 47550.8 41081 45645.6 47550.8 41081 0.189147 205603
17 2004  1.07764e+07 201071 243032 33564.4 33873.2 30208 33564.4 33873.2 30208 0.158831 191103
17 2005  1.08658e+07 168366 218985 28873.3 27750.5 25986 28873.3 27750.5 25986 0.151137 187260
17 2006  1.12117e+07 151931 202922 36746.2 35808.1 33071.6 36746.2 35808.1 33071.6 0.196318 187032
17 2007  1.70909e+07 142584 182511 26968 26323.9 24271.2 26968 26323.9 24271.2 0.179362 232201
17 2008  1.28913e+07 147843 204281 28250.7 26744.9 25425.7 28250.7 26744.9 25425.7 0.17357 215814
17 2009  7.49588e+06 159821 207793 28361.9 26472.8 25525.7 28361.9 26472.8 25525.7 0.159061 156599
17 2010  1.27263e+07 205280 258015 34440.7 34482.4 30996.6 34440.7 34482.4 30996.6 0.157757 214379
17 2011  1.35426e+07 209553 276953 30673.4 30031.2 27606 30673.4 30031.2 27606 0.133292 251746
17 2012  1.10679e+07 231190 276787 30223.7 33605.9 27201.3 30223.7 33605.9 27201.3 0.140115 216644
17 2013  1.21076e+07 210686 244587 26639.4 27169.1 23975.5 26639.4 27169.1 23975.5 0.121634 202003
17 2014  1.25527e+07 195958 248278 28373.1 27747.1 25535.8 28373.1 27747.1 25535.8 0.132324 209213
17 2015  1.70819e+07 202299 256960 36255 35028.5 32629.5 36255 35028.5 32629.5 0.167857 257258
17 2016  1.95055e+07 216402 275372 33370.8 33163.8 30033.7 33370.8 33163.8 30033.7 0.149545 284845
17 2017  1.58981e+07 236402 293323 29347.8 29006.3 26413 29347.8 29006.3 26413 0.11634 275120
17 2018  1.23626e+07 241548 291671 28437.9 28088.3 25594.1 28437.9 28088.3 25594.1 0.110884 225338
17 2019  2.06101e+07 242686 298160 30510.3 30339.4 27459.2 30510.3 30339.4 27459.2 0.120181 291989
17 2020  2.01652e+07 298603 412207 34996.4 33463.7 31496.7 34996.4 33463.7 31496.7 0.102417 355427
17 2021  7.80228e+06 403424 523368 33193.3 31978.8 29874 33193.3 31978.8 29874 0.0758105 302064
17 2022  1.48907e+07 457742 522300 27891.4 23782.2 25102.2 27891.4 23782.2 25102.2 0.047116 301228
17 2023  NA 490604 NA NA NA NA NA NA NA NA NA
18 1974  4.84584e+07 398445 893602 396271 323819 348718 396271 323819 348718 0.697133 977410
18 1975  4.41953e+06 321233 1.43369e+06 494728 415481 435361 494728 415481 435361 0.870072 972168
18 1976  5.05665e+06 523555 1.06304e+06 402849 434886 354508 402849 434886 354508 0.797503 434278
18 1977  1.09643e+07 406070 535419 240340 267257 211499 240340 267257 211499 0.766216 287346
