"Predator","Quarter","Year","Area","Predator.length.class","Prey","Quarter.no","Predator.no","Size.model","Predator.length","Predator.length.mean","Predator.weight","Predator.size","Predator.available.food","Diri.p","Diri.sum.p","Diri.like","multinom.like","Prey.no","Prey.length.class","Prey.length.mean","Prey.weight","Prey.size","Prey.number.obs","Prey.number.prob","Obj.N.contrib","avail.prey.number.sum","N.haul","N.samples","stomcon","stomcon.hat","Residual","L.N.bar","Prey.avail","Prey.avail.part","Suit","Stom.var","obj.contrib","stom.input","stom.used.all","stom.used.like","stom.used.avail","stom.type","stan.residual","Pred.avail","stomcon.hat.part","Residual.part","pl.theta","pl.E","pl.Var","pl.sd","pl.res","pl.y","Composistional","ratio","split","Predator.sc","Prey.sc"
"Fulmar","Q1",1981,1,9,"Other",1,1,0,500,500,5,5,1487370,3.36163,5,-12.1996,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.951788,0.672325,0.279462,-1,1e+06,1e+06,1,0.0367173,0,0.951748,1,1,1,1,1.45843606025213,1487374.71,0.672325536582506,0.279422463417494,10,33.6163,336.163,18.3347484302349,0.762110265824956,0.80343623644773,TRUE,-5,"1 1981 Q1 1 9","0500-0700","9999-9999"
"Fulmar","Q1",1981,1,9,"Cod",1,1,0,500,500,5,5,1487370,0.410119,5,-12.1996,0,16,3,110,0.01423,0.01423,0,0,0,0,50,50,0.0104919,0.0820237,-0.0715319,318798,122000,122000,26.8931,0.0125493,0,0.0104914,1,1,1,1,-0.638542796579148,1487374.71,0.0820237154630658,-0.0715323154630658,10,4.10119,41.0119,6.40405340389975,-0.558489252732032,0.331584770606662,TRUE,351.370344342937,"1 1981 Q1 1 9","0500-0700","0100-0150"
"Fulmar","Q1",1981,1,9,"Whiting",1,1,0,500,500,5,5,1487370,0.309876,5,-12.1996,0,17,3,115,0.01249,0.01249,0,0,0,0,50,50,0.011551,0.0619753,-0.0504242,1316850,92180.4,92180.4,5.60454,0.00968906,0,0.0115505,1,1,1,1,-0.512269140042809,1487374.71,0.0619752368923901,-0.0504247368923901,10,3.09876,30.9876,5.56665069857989,-0.45291327523805,0.455040756867069,TRUE,400.320256204964,"1 1981 Q1 1 9","0500-0700","0100-0150"
"Fulmar","Q1",1981,1,9,"Herring",1,1,0,500,500,5,5,1487370,0,5,-12.1996,0,21,2,90,0.0066,0.0066,0,0,0,0,50,50,4.223e-05,0,0,296385,0,0,0.264969,0,0,4.223e-05,1,0,0,1,NA,1487374.71,0,4.223e-05,10,0,0,0,Inf,1,TRUE,757.575757575758,"1 1981 Q1 1 9","0500-0700","0070-0100"
"Fulmar","Q1",1981,1,9,"Herring",1,1,0,500,500,5,5,1487370,0.159623,5,-12.1996,0,21,3,126,0.01912,0.01912,0,0,0,0,50,50,0.00711785,0.0319245,-0.0248067,3960130,47483.8,20062.8,0.264969,0.00515089,0,0.0028118,1,1,1,1,-0.345643072356726,1487374.71,0.0134887327753475,-0.0106769327753475,10,1.59623,15.9623,3.99528472076772,-0.310450340010226,0.628344478052551,TRUE,261.506276150628,"1 1981 Q1 1 9","0500-0700","0100-0150"
"Fulmar","Q1",1981,1,9,"Herring",1,1,0,500,500,5,5,1487370,0,5,-12.1996,0,21,4,163,0.04229,0.04229,0,0,0,0,50,50,0,0,0,2447090,0,27420.9,0.264969,0,0,0.00430575,1,0,1,1,NA,1487374.71,0.0184357713060753,-0.0141300213060753,10,0,0,0,NA,0,TRUE,118.231260345235,"1 1981 Q1 1 9","0500-0700","0150-0200"
"Fulmar","Q1",1981,1,9,"Nor.pout",1,1,0,500,500,5,5,1487370,0.235077,5,-12.1996,0,24,2,88,0.00714,0.00714,0,0,0,0,50,50,0.0117956,0.0470155,-0.0352199,3216310,69929.6,6625.31,0.288503,0.0074675,0,0.00132062,1,1,1,1,-0.407568398512059,1487374.71,0.00445436510077545,-0.00313374510077545,10,2.35077,23.5077,4.84847398673026,-0.36320500116524,0.558908335116127,TRUE,700.280112044818,"1 1981 Q1 1 9","0500-0700","0070-0100"
"Fulmar","Q1",1981,1,9,"Nor.pout",1,1,0,500,500,5,5,1487370,0,5,-12.1996,0,24,3,107,0.01305,0.01305,0,0,0,0,50,50,0,0,0,16814000,0,63304.3,0.288503,0,0,0.0104745,1,0,1,1,NA,1487374.71,0.04256109746548,-0.03208659746548,10,0,0,0,NA,0,TRUE,383.141762452107,"1 1981 Q1 1 9","0500-0700","0100-0150"
"Fulmar","Q1",1981,1,9,"Sprat",1,1,0,500,500,5,5,1487370,0.523678,5,-12.1996,0,25,1,56,0.00152,0.00152,0,0,0,0,50,50,0.00725587,0.104736,-0.0974797,20135300,155781,16697.8,0.545579,0.0156277,0,0.0008827,1,1,1,1,-0.779770230762287,1487374.71,0.0112263573447474,-0.0103436573447474,10,5.23678,52.3678,7.23655995622229,-0.673522575572547,0.196020936114232,TRUE,3289.47368421053,"1 1981 Q1 1 9","0500-0700","0050-0070"
"Fulmar","Q1",1981,1,9,"Sprat",1,1,0,500,500,5,5,1487370,0,5,-12.1996,0,25,2,80,0.00467,0.00467,0,0,0,0,50,50,0,0,0,30309800,0,77224.9,0.545579,0,0,0.00426226,1,0,1,1,NA,1487374.71,0.0519202723300304,-0.0476580123300304,10,0,0,0,NA,0,TRUE,1070.66381156317,"1 1981 Q1 1 9","0500-0700","0070-0100"
"Fulmar","Q1",1981,1,9,"Sprat",1,1,0,500,500,5,5,1487370,0,5,-12.1996,0,25,3,100,0.00914,0.00914,0,0,0,0,50,50,0,0,0,12404900,0,61858.3,0.545579,0,0,0.0021106,1,0,1,1,NA,1487374.71,0.0415889147395817,-0.0394783147395817,10,0,0,0,NA,0,TRUE,547.045951859956,"1 1981 Q1 1 9","0500-0700","0100-0150"
"Guillemot","Q1",1981,1,9,"Other",1,2,0,500,500,5,5,2910310,0.171803,5,-5.78766,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.0403852,0.0343606,0.00602467,-1,1e+05,1e+05,1,0.00552999,0,0.0403852,1,1,1,1,0.0810160547624896,2910312.08,0.0343605762032229,0.00602462379677715,10,1.71803,17.1803,4.14491254431261,0.0726746334885471,0.797231251087907,TRUE,-5,"1 1981 Q1 2 9","0500-0700","9999-9999"
"Guillemot","Q1",1981,1,9,"Whiting",1,2,0,500,500,5,5,2910310,0.688751,5,-5.78766,0,17,3,130,0.01794,0.01794,0,0,0,0,50,50,0.0889451,0.13775,-0.0488051,1316850,400896,42254.3,1.78859,0.0197959,0,0.0113076,1,1,1,1,-0.346878658790866,2910312.08,0.0145188209506384,-0.0032112209506384,10,6.88751,68.8751,8.29910236109906,-0.294038426545788,0.531191093103816,TRUE,278.706800445931,"1 1981 Q1 2 9","0500-0700","0100-0150"
"Guillemot","Q1",1981,1,9,"Whiting",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,17,4,166,0.03718,0.03718,0,0,0,0,50,50,0,0,0,1976670,0,131449,1.78859,0,0,0.0353542,1,0,1,1,NA,2910312.08,0.0451666338133744,-0.0098124338133744,10,0,0,0,NA,0,TRUE,134.480903711673,"1 1981 Q1 2 9","0500-0700","0150-0200"
"Guillemot","Q1",1981,1,9,"Whiting",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,17,5,212,0.07524,0.07524,0,0,0,0,50,50,0,0,0,1688240,0,227193,1.78859,0,0,0.0422833,1,0,1,1,NA,2910312.08,0.0780648238933881,-0.0357815238933881,10,0,0,0,NA,0,TRUE,66.4540138224349,"1 1981 Q1 2 9","0500-0700","0200-0250"
"Guillemot","Q1",1981,1,9,"Haddock",1,2,0,500,500,5,5,2910310,0.63866,5,-5.78766,0,18,3,131,0.01781,0.01781,0,0,0,0,50,50,0.0159745,0.127732,-0.111757,965231,371740,75280.9,4.37915,0.0185694,0,0.00318619,1,1,1,1,-0.820116971709765,2910312.08,0.025866951010972,-0.022680761010972,10,6.3866,63.866,7.99162061161564,-0.699216751090279,0.214840380940666,TRUE,280.741156653565,"1 1981 Q1 2 9","0500-0700","0100-0150"
"Guillemot","Q1",1981,1,9,"Haddock",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,18,4,166,0.03504,0.03504,0,0,0,0,50,50,0,0,0,1932020,0,296459,4.37915,0,0,0.0127883,1,0,1,1,NA,2910312.08,0.101865020606312,-0.0890767206063124,10,0,0,0,NA,0,TRUE,142.694063926941,"1 1981 Q1 2 9","0500-0700","0150-0200"
"Guillemot","Q1",1981,1,9,"Herring",1,2,0,500,500,5,5,2910310,0.481731,5,-5.78766,0,21,2,87,0.00594,0.00594,0,0,0,0,50,50,0.273686,0.0963462,0.17734,296385,280398,3169.08,1.80008,0.0145106,0,0.00353512,1,1,1,1,1.4721905270145,2910312.08,0.00108891414834109,0.00244620585165891,10,4.81731,48.1731,6.94068440429328,1.27753827771151,0.906735406263534,TRUE,841.750841750842,"1 1981 Q1 2 9","0500-0700","0070-0100"
"Guillemot","Q1",1981,1,9,"Herring",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,21,3,126,0.01911,0.01911,0,0,0,0,50,50,0,0,0,3960130,0,136226,1.80008,0,0,0.189316,1,0,1,1,NA,2910312.08,0.0468080385386024,0.142507961461398,10,0,0,0,NA,0,TRUE,261.643118785976,"1 1981 Q1 2 9","0500-0700","0100-0150"
"Guillemot","Q1",1981,1,9,"Herring",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,21,4,150,0.03201,0.03201,0,0,0,0,50,50,0,0,0,2447090,0,141002,1.80008,0,0,0.0808345,1,0,1,1,NA,2910312.08,0.0484490996580683,0.0323854003419317,10,0,0,0,NA,0,TRUE,156.201187129022,"1 1981 Q1 2 9","0500-0700","0150-0200"
"Guillemot","Q1",1981,1,9,"N.sandeel",1,2,0,500,500,5,5,2910310,1.02457,5,-5.78766,0,22,2,86,0.00186,0.00186,0,0,0,0,50,50,0.197901,0.204913,-0.00701169,20021500,596361,45324.7,1.2171,0.027154,0,0.0179241,1,1,1,1,-0.0425506109389241,2910312.08,0.0155738280823821,0.00235027191761785,10,10.2457,102.457,10.1221045242578,-0.0346420054406336,0.617589876456831,TRUE,2688.17204301075,"1 1981 Q1 2 9","0500-0700","0070-0100"
"Guillemot","Q1",1981,1,9,"N.sandeel",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,22,3,115,0.00482,0.00482,0,0,0,0,50,50,0,0,0,55256300,0,324157,1.2171,0,0,0.141661,1,0,1,1,NA,2910312.08,0.111382213003081,0.0302787869969189,10,0,0,0,NA,0,TRUE,1037.34439834025,"1 1981 Q1 2 9","0500-0700","0100-0150"
"Guillemot","Q1",1981,1,9,"N.sandeel",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,22,4,159,0.01305,0.01305,0,0,0,0,50,50,0,0,0,14284300,0,226880,1.2171,0,0,0.0383161,1,0,1,1,NA,2910312.08,0.077957275289872,-0.039641175289872,10,0,0,0,NA,0,TRUE,383.141762452107,"1 1981 Q1 2 9","0500-0700","0150-0200"
"Guillemot","Q1",1981,1,9,"S.sandeel",1,2,0,500,500,5,5,2910310,1.16889,5,-5.78766,0,23,2,86,0.00186,0.00186,0,0,0,0,50,50,0.197901,0.233778,-0.0358761,27921500,680366,56637.2,1.09056,0.0298543,0,0.0179241,1,1,1,1,-0.207635582013905,2910312.08,0.0194608682653717,-0.00153676826537173,10,11.6889,116.889,10.8115216320368,-0.165920215585977,0.555810026804181,TRUE,2688.17204301075,"1 1981 Q1 2 9","0500-0700","0070-0100"
"Guillemot","Q1",1981,1,9,"S.sandeel",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,23,3,115,0.00482,0.00482,0,0,0,0,50,50,0,0,0,80407600,0,422664,1.09056,0,0,0.141661,1,0,1,1,NA,2910312.08,0.14522978580359,-0.00356878580358982,10,0,0,0,NA,0,TRUE,1037.34439834025,"1 1981 Q1 2 9","0500-0700","0100-0150"
"Guillemot","Q1",1981,1,9,"S.sandeel",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,23,4,159,0.01305,0.01305,0,0,0,0,50,50,0,0,0,14127800,0,201065,1.09056,0,0,0.0383161,1,0,1,1,NA,2910312.08,0.06908709254301,-0.03077099254301,10,0,0,0,NA,0,TRUE,383.141762452107,"1 1981 Q1 2 9","0500-0700","0150-0200"
"Guillemot","Q1",1981,1,9,"Sprat",1,2,0,500,500,5,5,2910310,0.825601,5,-5.78766,0,25,1,56,0.00152,0.00152,0,0,0,0,50,50,0.185206,0.16512,0.0200862,20135300,480552,44375.9,1.44993,0.0229759,0,0.0119955,1,1,1,1,0.132513924616842,2910312.08,0.015247814935366,-0.00325231493536597,10,8.25601,82.5601,9.08625885609694,0.110528438150991,0.682535619302049,TRUE,3289.47368421053,"1 1981 Q1 2 9","0500-0700","0050-0070"
"Guillemot","Q1",1981,1,9,"Sprat",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,25,2,80,0.00467,0.00467,0,0,0,0,50,50,0,0,0,30309800,0,205232,1.44993,0,0,0.0574403,1,0,1,1,NA,2910312.08,0.0705188977533983,-0.0130785977533983,10,0,0,0,NA,0,TRUE,1070.66381156317,"1 1981 Q1 2 9","0500-0700","0070-0100"
"Guillemot","Q1",1981,1,9,"Sprat",1,2,0,500,500,5,5,2910310,0,5,-5.78766,0,25,3,111,0.01284,0.01284,0,0,0,0,50,50,0,0,0,12404900,0,230943,1.44993,0,0,0.115771,1,0,1,1,NA,2910312.08,0.0793533455010089,0.0364176544989911,10,0,0,0,NA,0,TRUE,389.408099688473,"1 1981 Q1 2 9","0500-0700","0100-0150"
"Her.Gull","Q1",1981,1,9,"Other",1,3,0,500,500,5,5,136112,3.67344,5,-11.2886,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.940661,0.734687,0.205974,-1,1e+05,1e+05,1,0.032487,0,0.940661,1,1,1,1,1.14276675838454,136112.291,0.734687508859872,0.205973491140128,10,36.7344,367.344,19.1662202846571,0.537333383788992,0.747063259848123,TRUE,-5,"1 1981 Q1 3 9","0500-0700","9999-9999"
"Her.Gull","Q1",1981,1,9,"Whiting",1,3,0,500,500,5,5,136112,0.315756,5,-11.2886,0,17,3,115,0.01249,0.01249,0,0,0,0,50,50,0.0138577,0.0631512,-0.0492935,1316850,8595.65,8595.65,0.522613,0.00986052,0,0.0138577,1,1,1,1,-0.496409113935408,136112.291,0.0631511668553136,-0.0492934668553136,10,3.15756,31.5756,5.61921702730905,-0.438615377911518,0.473008078377869,TRUE,400.320256204964,"1 1981 Q1 3 9","0500-0700","0100-0150"
"Her.Gull","Q1",1981,1,9,"Haddock",1,3,0,500,500,5,5,136112,0.247634,5,-11.2886,0,18,3,116,0.01264,0.01264,0,0,0,0,50,50,0.0141616,0.0495269,-0.0353653,965231,6741.22,6741.22,0.552535,0.00784567,0,0.0141616,1,1,1,1,-0.399265999140021,136112.291,0.0495269012847635,-0.0353653012847635,10,2.47634,24.7634,4.97628375396741,-0.355337454097192,0.564491964554404,TRUE,395.569620253165,"1 1981 Q1 3 9","0500-0700","0100-0150"
"Her.Gull","Q1",1981,1,9,"Herring",1,3,0,500,500,5,5,136112,0.0878937,5,-11.2886,0,21,4,163,0.04201,0.04201,0,0,0,0,50,50,0.00845566,0.0175787,-0.00912308,2447090,2392.68,738.544,0.00718413,0.00287829,0,0.0016167,1,1,1,1,-0.170049049508821,136112.291,0.00542599051543405,-0.00380929051543405,10,0.878937,8.78937,2.96468716730788,-0.153862439528221,0.789151031988026,TRUE,119.019281123542,"1 1981 Q1 3 9","0500-0700","0150-0200"
