"Year","Predator","Prey","Prey.no","eatenW"
1974,"A.radiata","Cod",16,630.45295446276
1975,"A.radiata","Cod",16,458.22752862744
1976,"A.radiata","Cod",16,1272.14597373552
1977,"A.radiata","Cod",16,987.88584938056
1978,"A.radiata","Cod",16,957.98428532352
1979,"A.radiata","Cod",16,1025.8115283728
1980,"A.radiata","Cod",16,1038.18116015484
1981,"A.radiata","Cod",16,1792.78596039114
1982,"A.radiata","Cod",16,1058.49431847848
1983,"A.radiata","Cod",16,2201.920514144
1984,"A.radiata","Cod",16,2227.447751568
1985,"A.radiata","Cod",16,2131.9041874806
1986,"A.radiata","Cod",16,2289.1276161754
1987,"A.radiata","Cod",16,5473.5129139626
1988,"A.radiata","Cod",16,921.8204891805
1989,"A.radiata","Cod",16,2804.162879232
1990,"A.radiata","Cod",16,2083.4396246196
1991,"A.radiata","Cod",16,2292.2149098784
1992,"A.radiata","Cod",16,2015.9083525568
1993,"A.radiata","Cod",16,3036.7216309248
1994,"A.radiata","Cod",16,1414.4580439704
1995,"A.radiata","Cod",16,1988.1672791266
1996,"A.radiata","Cod",16,2800.5811343718
1997,"A.radiata","Cod",16,864.81876868816
1998,"A.radiata","Cod",16,1330.5615753066
1999,"A.radiata","Cod",16,1681.4685915456
2000,"A.radiata","Cod",16,948.10592118866
2001,"A.radiata","Cod",16,904.0006917253
2002,"A.radiata","Cod",16,879.2116995935
2003,"A.radiata","Cod",16,1299.614377022
2004,"A.radiata","Cod",16,901.5726354648
2005,"A.radiata","Cod",16,1429.9558692588
2006,"A.radiata","Cod",16,789.9597755816
2007,"A.radiata","Cod",16,974.762684532
2008,"A.radiata","Cod",16,967.896157904
2009,"A.radiata","Cod",16,730.23972706932
2010,"A.radiata","Cod",16,391.50963490275
2011,"A.radiata","Cod",16,933.13179270792
2012,"A.radiata","Cod",16,1218.4828648421
2013,"A.radiata","Cod",16,539.88321600304
2014,"A.radiata","Cod",16,446.37029229624
2015,"A.radiata","Cod",16,426.677909796476
2016,"A.radiata","Cod",16,435.0843970174
2017,"A.radiata","Cod",16,217.985289118506
2018,"A.radiata","Cod",16,238.46559950993
2019,"A.radiata","Cod",16,122.979949609504
2020,"A.radiata","Cod",16,108.732010206352
2021,"A.radiata","Cod",16,151.22788979636
2022,"A.radiata","Cod",16,367.12315411616
1974,"Cod","Cod",16,37263.4508444657
1975,"Cod","Cod",16,38152.9994079839
1976,"Cod","Cod",16,47988.0123023596
1977,"Cod","Cod",16,68414.3916013967
1978,"Cod","Cod",16,63078.8444149038
1979,"Cod","Cod",16,55922.4098383878
1980,"Cod","Cod",16,68099.0648155261
1981,"Cod","Cod",16,67469.6693873349
1982,"Cod","Cod",16,57811.0955562634
1983,"Cod","Cod",16,43976.6880573559
1984,"Cod","Cod",16,40661.6801548971
1985,"Cod","Cod",16,34838.0129589769
1986,"Cod","Cod",16,36417.6317819546
1987,"Cod","Cod",16,30570.8665090977
1988,"Cod","Cod",16,20517.7456071083
1989,"Cod","Cod",16,20467.5496929091
1990,"Cod","Cod",16,15327.92207542
1991,"Cod","Cod",16,12461.2274893388
1992,"Cod","Cod",16,13955.6771131312
1993,"Cod","Cod",16,12465.72005331
1994,"Cod","Cod",16,14931.0976394856
1995,"Cod","Cod",16,16437.5282533108
1996,"Cod","Cod",16,16715.3318788737
1997,"Cod","Cod",16,21294.1599726378
1998,"Cod","Cod",16,12296.5354625272
1999,"Cod","Cod",16,6143.17131852946
2000,"Cod","Cod",16,4262.77998187503
2001,"Cod","Cod",16,3301.45308895849
2002,"Cod","Cod",16,2739.88383528269
2003,"Cod","Cod",16,2464.63041698826
2004,"Cod","Cod",16,2938.88178373903
2005,"Cod","Cod",16,3626.73736583076
2006,"Cod","Cod",16,4560.0206890761
2007,"Cod","Cod",16,4612.12880728328
2008,"Cod","Cod",16,4501.01811925209
2009,"Cod","Cod",16,4515.86320388781
2010,"Cod","Cod",16,5483.02091576258
2011,"Cod","Cod",16,6344.53870356331
2012,"Cod","Cod",16,7500.75695124121
