"Year","Quarter","Predator","Prey","eatenW"
1974,3,"A.radiata","Cod",630.45295446276
1975,3,"A.radiata","Cod",458.22752862744
1976,3,"A.radiata","Cod",1272.14597373552
1977,3,"A.radiata","Cod",987.88584938056
1978,3,"A.radiata","Cod",957.98428532352
1979,3,"A.radiata","Cod",1025.8115283728
1980,3,"A.radiata","Cod",1038.18116015484
1981,3,"A.radiata","Cod",1792.78596039114
1982,3,"A.radiata","Cod",1058.49431847848
1983,3,"A.radiata","Cod",2201.920514144
1984,3,"A.radiata","Cod",2227.447751568
1985,3,"A.radiata","Cod",2131.9041874806
1986,3,"A.radiata","Cod",2289.1276161754
1987,3,"A.radiata","Cod",5473.5129139626
1988,3,"A.radiata","Cod",921.8204891805
1989,3,"A.radiata","Cod",2804.162879232
1990,3,"A.radiata","Cod",2083.4396246196
1991,3,"A.radiata","Cod",2292.2149098784
1992,3,"A.radiata","Cod",2015.9083525568
1993,3,"A.radiata","Cod",3036.7216309248
1994,3,"A.radiata","Cod",1414.4580439704
1995,3,"A.radiata","Cod",1988.1672791266
1996,3,"A.radiata","Cod",2800.5811343718
1997,3,"A.radiata","Cod",864.81876868816
1998,3,"A.radiata","Cod",1330.5615753066
1999,3,"A.radiata","Cod",1681.4685915456
2000,3,"A.radiata","Cod",948.10592118866
2001,3,"A.radiata","Cod",904.0006917253
2002,3,"A.radiata","Cod",879.2116995935
2003,3,"A.radiata","Cod",1299.614377022
2004,3,"A.radiata","Cod",901.5726354648
2005,3,"A.radiata","Cod",1429.9558692588
2006,3,"A.radiata","Cod",789.9597755816
2007,3,"A.radiata","Cod",974.762684532
2008,3,"A.radiata","Cod",967.896157904
2009,3,"A.radiata","Cod",730.23972706932
2010,3,"A.radiata","Cod",391.50963490275
2011,3,"A.radiata","Cod",933.13179270792
2012,3,"A.radiata","Cod",1218.4828648421
2013,3,"A.radiata","Cod",539.88321600304
2014,3,"A.radiata","Cod",446.37029229624
2015,3,"A.radiata","Cod",426.677909796476
2016,3,"A.radiata","Cod",435.0843970174
2017,3,"A.radiata","Cod",217.985289118506
