"Species","Species.n","Year","Rec","SSB","TSB","SOP","Yield","mean.F","Eaten","sum.q.F"
"Cod",16,2019,3655180,46886.4,77999.5,35920.4,35920.4,0.549791,46815.9,0.5669052
"Whiting",17,2019,14668800,135013,165790,31281.4,31281.4,0.24572,170277,0.257224
"Haddock",18,2019,8875810,100302,153139,36601.4,36601.4,0.236765,106719,0.241962133333333
"Saithe",19,2019,204427,207129,375693,96634.5,96634.5,0.370335,0,0.3703356
"Mackerel",20,2019,4217490,4207010,5209220,840182,840182,0.196276,0,0.196276
"Herring",21,2019,14279000,1226580,1375860,432123,432123,0.219223,299578,0.230795134
"N.sandeel",22,2019,476346000,312204,1067710,143583,143583,0.15249,1143070,0.16323055
"S.sandeel",23,2019,311994000,66130.7,258249,69622.1,69622.1,0.24359,264621,0.24591755
"Nor.pout",24,2019,175596000,92662.9,347367,97554.6,97554.6,0.43544,774953,0.943548785
"Sprat",25,2019,232024000,216772,395857,125053,125053,0.380962,678537,0.51536885
"Plaice",26,2019,1060500,212167,313991,86091.8,86091.8,0.274741,0,0.27474144
"Sole",27,2019,24286.4,27878.8,51251.8,10605.2,10605.2,0.299295,0,0.29929464
