"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Sea birds",1974,1,"Cod",8,5137.5224178233
"Sea birds",1975,1,"Cod",8,5999.66530618797
"Sea birds",1976,1,"Cod",8,8330.85528907165
"Sea birds",1977,1,"Cod",8,8557.18580454697
"Sea birds",1978,1,"Cod",8,8408.45100984342
"Sea birds",1979,1,"Cod",8,6613.71718743855
"Sea birds",1980,1,"Cod",8,9966.68886818916
"Sea birds",1981,1,"Cod",8,10608.0058157088
"Sea birds",1982,1,"Cod",8,9560.79807146502
"Sea birds",1983,1,"Cod",8,7240.36303847425
"Sea birds",1984,1,"Cod",8,9068.8467229136
"Sea birds",1985,1,"Cod",8,5740.4944840586
"Sea birds",1986,1,"Cod",8,7884.2953351259
"Sea birds",1987,1,"Cod",8,5138.33634248163
"Sea birds",1988,1,"Cod",8,4049.11123545887
"Sea birds",1989,1,"Cod",8,5074.47338829036
"Sea birds",1990,1,"Cod",8,3902.79156084247
"Sea birds",1991,1,"Cod",8,4457.43520031945
"Sea birds",1992,1,"Cod",8,4488.84796387863
"Sea birds",1993,1,"Cod",8,3564.34679332032
"Sea birds",1994,1,"Cod",8,4271.78649401853
"Sea birds",1995,1,"Cod",8,3948.53479412985
"Sea birds",1996,1,"Cod",8,3511.13448004144
"Sea birds",1997,1,"Cod",8,4992.67092190658
"Sea birds",1998,1,"Cod",8,2303.06590278431
"Sea birds",1999,1,"Cod",8,3333.19384776132
"Sea birds",2000,1,"Cod",8,3148.47852935708
"Sea birds",2001,1,"Cod",8,2048.02260647274
"Sea birds",2002,1,"Cod",8,2394.07257258112
"Sea birds",2003,1,"Cod",8,2792.68842624386
"Sea birds",2004,1,"Cod",8,2942.12576525473
"Sea birds",2005,1,"Cod",8,3510.28809556137
"Sea birds",2006,1,"Cod",8,3482.01007067277
"Sea birds",2007,1,"Cod",8,2406.30405570245
"Sea birds",2008,1,"Cod",8,2486.72167450275
"Sea birds",2009,1,"Cod",8,1876.90797079083
"Sea birds",2010,1,"Cod",8,2213.45580528044
"Sea birds",2011,1,"Cod",8,2527.4315363418
"Sea birds",2012,1,"Cod",8,2737.49435252478
"Sea birds",2013,1,"Cod",8,3180.8128169917
"Sea birds",2014,1,"Cod",8,2391.08475648599
"Sea birds",2015,1,"Cod",8,1631.08825268317
"Sea birds",2016,1,"Cod",8,1539.46367424
"Sea birds",2017,1,"Cod",8,1853.08213398823
"Sea birds",2018,1,"Cod",8,1060.4048548397
"Sea birds",2019,1,"Cod",8,1678.36388757811
"Grey gurnards",1974,3,"Cod",8,22127.3763823944
"Grey gurnards",1975,3,"Cod",8,9518.1595913898
"Grey gurnards",1976,3,"Cod",8,37164.6139516288
"Grey gurnards",1977,3,"Cod",8,4935.53830519776
"Grey gurnards",1978,3,"Cod",8,41303.4837387588
"Grey gurnards",1979,3,"Cod",8,1086.84879915862
"Grey gurnards",1980,3,"Cod",8,3458.13190001552
"Grey gurnards",1981,3,"Cod",8,98513.55607184
"Grey gurnards",1982,3,"Cod",8,23500.8206078464
"Grey gurnards",1983,3,"Cod",8,18270.0971341369
"Grey gurnards",1984,3,"Cod",8,30591.787654714
"Grey gurnards",1985,3,"Cod",8,8166.51028110892
"Grey gurnards",1986,3,"Cod",8,11909.123428657
"Grey gurnards",1987,3,"Cod",8,6771.6169218464
"Grey gurnards",1988,3,"Cod",8,3514.15524771168
