Species.n Year Quarter Age    N west consum
1 2020 1  1 589 5 34.42
2 2020 1  1 1303 5 32.456
3 2020 1  1 253 5 28.55
4 2020 1  1 592 5 21.865
5 2020 1  1 199 5 42.956
6 2020 1  1 105 5 84.2
7 2020 1  1 102 5 14.95
8 2020 1  1 281 5 20.116
9 2020 1  1 8248 0.0301 0.029
9 2020 1  2 14478 0.1349 0.066
9 2020 1  3 49973 0.5848 0.148
10 2020 1  1 3873 0.0042 0.004
10 2020 1  2 763751 0.0435 0.028
10 2020 1  3 1.22208e+06 0.1242 0.069
10 2020 1  4 128467 0.3472 0.169
11 2020 1  1 14552 0.1611 0
11 2020 1  2 10714 0.2561 0
11 2020 1  3 2451 0.3723 0
12 2020 1  1 270758 0.0133 0
12 2020 1  2 294156 0.0379 0
12 2020 1  3 319873 0.083 0
12 2020 1  4 336125 0.1552 0
12 2020 1  5 295372 0.2558 0
12 2020 1  6 67759 0.3726 0
13 2020 1  1 88 10 477.855
14 2020 1  1 224 10 219
15 2020 1  1 3100.6 0.1434 0.176
15 2020 1  2 3073.4 0.2404 0.261
15 2020 1  3 3668.6 0.3781 0.368
15 2020 1  4 4625.6 0.6534 0.558
15 2020 1  5 3304 1.2047 0.889
15 2020 1  6 2138 1.9909 1.303
15 2020 1  7 1251.6 3.0688 1.811
15 2020 1  8 1108 5.2799 2.737
15 2020 1  9 75.6 10.6424 4.666
1 2020 2  1 933 5 28.72
2 2020 2  1 2566 5 32.258
3 2020 2  1 375 5 33.688
4 2020 2  1 595 5 20.971
5 2020 2  1 19 5 43.412
6 2020 2  1 387 5 89.9
7 2020 2  1 483 5 15.084
8 2020 2  1 209 5 20.916
9 2020 2  1 3524 0.0301 0.031
9 2020 2  2 7677 0.1349 0.067
9 2020 2  3 34357 0.5848 0.142
10 2020 2  1 2150.5 0.0042 0.009
10 2020 2  2 539224 0.0435 0.059
10 2020 2  3 744017 0.1242 0.135
10 2020 2  4 61364 0.3472 0.304
11 2020 2  1 -1 -1 0
11 2020 2  2 -1 -1 0
11 2020 2  3 -1 -1 0
12 2020 2  1 260793 0.0133 0.002
12 2020 2  2 283330 0.0379 0.01
12 2020 2  3 308100 0.083 0.039
12 2020 2  4 323754 0.1552 0.118
12 2020 2  5 284501 0.2558 0.285
12 2020 2  6 65265 0.3726 0.553
13 2020 2  1 88 10 438.48
14 2020 2  1 224 10 219
15 2020 2  1 7431.8 0.1432 0.459
15 2020 2  2 5577.8 0.2379 0.689
15 2020 2  3 6279.6 0.3791 1.001
15 2020 2  4 9013.2 0.655 1.552
15 2020 2  5 6200 1.201 2.524
15 2020 2  6 4020.4 1.9901 3.785
15 2020 2  7 2311.2 3.068 5.355
15 2020 2  8 2049 5.2987 8.299
15 2020 2  9 144.8 10.6535 14.53
1 2020 3  0 0 -1 0
1 2020 3  1 1148 5 27.091
2 2020 3  0 0 -1 0
2 2020 3  1 2347 5 32.828
3 2020 3  0 0 -1 0
3 2020 3  1 174 5 36.829
4 2020 3  0 0 -1 0
4 2020 3  1 454 5 20.971
5 2020 3  0 0 -1 0
5 2020 3  1 102 5 44.178
6 2020 3  0 0 -1 0
6 2020 3  1 402 5 89.9
7 2020 3  0 0 -1 0
7 2020 3  1 438 5 15.084
8 2020 3  0 0 -1 0
8 2020 3  1 313 5 21.159
9 2020 3  0 -1 -1 0
9 2020 3  1 5198 0.0301 0.047
9 2020 3  2 12005 0.1349 0.093
9 2020 3  3 41461 0.5848 0.184
10 2020 3  0 -1 -1 0
10 2020 3  1 986.5 0.0042 0.017
10 2020 3  2 619376 0.0435 0.087
10 2020 3  3 1.04237e+06 0.1242 0.182
10 2020 3  4 97041.5 0.3472 0.374
11 2020 3  0 -1 -1 0
11 2020 3  1 -1 -1 0
11 2020 3  2 -1 -1 0
11 2020 3  3 -1 -1 0
12 2020 3  0 -1 -1 0
12 2020 3  1 268914 0.0133 0.002
12 2020 3  2 292167 0.0379 0.014
12 2020 3  3 317382 0.0831 0.056
12 2020 3  4 334346 0.1551 0.168
12 2020 3  5 291535 0.2557 0.406
12 2020 3  6 66457 0.3727 0.79
13 2020 3  0 0 -1 0
13 2020 3  1 88 10 382.284
14 2020 3  0 0 -1 0
14 2020 3  1 224 10 219
15 2020 3  0 -1 -1 0
15 2020 3  1 13714.8 0.1442 0.263
15 2020 3  2 10855.2 0.2375 0.397
15 2020 3  3 10003.8 0.3768 0.582
15 2020 3  4 14004 0.6591 0.923
15 2020 3  5 9876.6 1.1967 1.51
