"Year","Species.n","Yield","DeadM1","DeadM2","Fbar","SSB","TSB","Recruits"
1974,16,252714,69247.0753470475,136294.645864217,0.720951,182550,409477,6978740
1975,16,241132,70987.44912027,145141.07383776,0.754839,169517,406594,4530150
1976,16,305329,71216.829551153,207933.97853662,0.824809,152545,435130,14980300
1977,16,347182,75875.952064493,223786.802175203,0.809199,123997,420185,9104810
1978,16,327061,74760.0082686055,219480.219232096,0.939042,119158,483104,12173400
1979,16,428086,77771.0545377665,188434.646651919,0.759279,113966,451516,8293990
1980,16,587443,81445.7452275975,214346.627935055,0.882367,127478,473785,9139360
1981,16,390754,80002.0644458075,292555.213073252,0.875337,132257,509047,24729400
1982,16,356376,68267.27109332,204505.803538276,0.945759,124119,418360,9084030
1983,16,279032,59224.032805148,177335.861796128,0.951622,107534,385516,9367150
1984,16,378275,59898.887542282,180277.803712684,0.882868,94101.3,349207,7590180
1985,16,245642,54674.9087623655,151524.291100576,0.891861,96999.8,361574,8064750
1986,16,339692,52257.6482291155,148876.861588295,0.963442,83992.4,295779,5613490
1987,16,243840,51257.176434046,133948.707569965,0.961066,86128.2,342417,4885550
1988,16,193767,42363.0664729805,103670.267753653,0.939335,83796.1,275364,4195570
1989,16,201155,38839.5811348845,106478.726549776,0.981233,77632.9,234636,3269510
1990,16,151592,35538.7590565295,104121.560711196,0.910349,75094.8,236768,4040990
1991,16,119678,30889.0769073005,95342.0778362716,0.91162,71299.3,188903,5132850
1992,16,148985,33613.055497952,100360.774459915,0.875951,68382.4,196839,3377240
1993,16,132900,34363.9958932335,109573.612950693,0.818554,70103.6,211235,5207860
1994,16,216500,37678.6850992905,111908.609079215,0.835134,76436,212803,4502730
1995,16,198306,39583.128517617,114432.345021648,0.924948,85618.3,248193,4291380
1996,16,142941,34660.0986696637,110392.156337731,0.986684,86911.2,224791,6035270
1997,16,135372,37117.0624503925,114553.447407314,0.893453,74280,201710,3385910
1998,16,136757,31444.9260223442,103003.212874017,0.958943,76464.7,227050,4193760
1999,16,95882.7,20458.7549476568,83048.6229049057,1.08268,63243.4,135396,7380050
2000,16,77117.6,21135.507946885,71069.3669445351,1.03713,47395.4,121699,2488520
2001,16,78723.3,20689.7292990517,68417.1663987329,0.981435,53121.7,141793,2965830
2002,16,56581.5,16614.2884985586,61766.3912200583,0.893882,45631.2,100878,3919550
2003,16,51655.7,14443.7892369167,67574.9505432733,0.903345,43878.7,92129.3,5300860
2004,16,40848,13743.5849934852,65914.6055332434,0.825476,36868.1,78082.1,4368400
2005,16,36580,14430.3046625929,89161.137163639,0.751308,37735.5,83726,7244690
