"Year","Species.n","Age","M2"
1974,16,0,1.88158430631999
1974,18,0,0.890500020737719
1974,21,0,0.701968996151989
1974,20,0,0
1974,22,0,1.15533032081782
1974,24,0,1.09102329682072
1974,26,0,0
1974,23,0,0.396711681829205
1974,19,0,0
1974,27,0,0
1974,25,0,0.573652046841795
1974,17,0,1.12115854557006
1975,16,0,1.74007869133804
1975,18,0,0.964031944131718
1975,21,0,0.738171336079099
1975,20,0,0
1975,22,0,0.955836647906134
1975,24,0,1.15536851345266
1975,26,0,0
1975,23,0,0.375447524565686
1975,19,0,0
1975,27,0,0
1975,25,0,0.625469747272593
1975,17,0,1.06664969172494
1976,16,0,2.14210678554368
1976,18,0,1.19909677389646
1976,21,0,0.691251644247623
1976,20,0,0
1976,22,0,0.819393895955949
1976,24,0,1.0812197433151
1976,26,0,0
1976,23,0,0.424233936575668
1976,19,0,0
1976,27,0,0
1976,25,0,0.927479927456693
1976,17,0,1.33748386375512
1977,16,0,1.83630067397487
1977,18,0,1.22749079514488
1977,21,0,0.633577159369696
1977,20,0,0
1977,22,0,0.743509422149295
1977,24,0,1.01918244588249
1977,26,0,0
1977,23,0,0.309007853878044
1977,19,0,0
1977,27,0,0
1977,25,0,0.528888882852817
1977,17,0,1.02374978299765
1978,16,0,2.42148066584426
1978,18,0,1.01585528811864
1978,21,0,0.531883568925579
1978,20,0,0
1978,22,0,0.734520798844355
1978,24,0,0.821541982131672
1978,26,0,0
1978,23,0,0.333849062882661
1978,19,0,0
1978,27,0,0
1978,25,0,0.563560899634534
1978,17,0,1.32133751450548
1979,16,0,1.41938973511525
1979,18,0,1.08348480492364
1979,21,0,0.57326701105958
1979,20,0,0
1979,22,0,0.832858595051085
1979,24,0,0.78007766151429
1979,26,0,0
1979,23,0,0.270984511968433
1979,19,0,0
1979,27,0,0
1979,25,0,0.702378187014544
1979,17,0,0.852199688233188
1980,16,0,2.09579142735609
1980,18,0,1.41446527003924
1980,21,0,0.731644435541467
1980,20,0,0
1980,22,0,0.971170757835167
1980,24,0,1.09035203437481
1980,26,0,0
1980,23,0,0.325485960644599
1980,19,0,0
1980,27,0,0
1980,25,0,0.838974182061717
1980,17,0,1.31005988864371
1981,16,0,2.88908862439818
1981,18,0,1.34278232326093
1981,21,0,0.71846169297623
1981,20,0,0
1981,22,0,1.0223741669495
1981,24,0,1.14139734904068
1981,26,0,0
1981,23,0,0.473957924842704
1981,19,0,0
1981,27,0,0
1981,25,0,0.788824703038388
1981,17,0,1.75845850750518
1982,16,0,2.34242419703195
1982,18,0,1.32489890407709
1982,21,0,0.756062932558599
1982,20,0,0
1982,22,0,1.03859007497141
1982,24,0,1.02000208041348
1982,26,0,0
1982,23,0,0.403704503524667
1982,19,0,0
1982,27,0,0
1982,25,0,0.678023975201421
1982,17,0,1.50093451181525
1983,16,0,1.85686546559177
1983,18,0,1.06508615083354
1983,21,0,0.702205914493323
1983,20,0,0
1983,22,0,0.89664991854904
1983,24,0,0.888068597752516
1983,26,0,0
1983,23,0,0.366040655719794
1983,19,0,0
1983,27,0,0
1983,25,0,0.598592445674819
1983,17,0,1.2042531932296
1984,16,0,2.80536813377314
1984,18,0,1.38123424878644
1984,21,0,0.797062646420184
1984,20,0,0
1984,22,0,0.736663234225707
1984,24,0,1.12536207271205
1984,26,0,0
1984,23,0,0.467673599802502
1984,19,0,0
1984,27,0,0
1984,25,0,0.834898878756058
1984,17,0,1.69097366518857
1985,16,0,1.6187226286207
1985,18,0,1.30771525972902
1985,21,0,0.754986713504685
1985,20,0,0
1985,22,0,0.59703115044876
1985,24,0,1.07856551397595
1985,26,0,0
1985,23,0,0.370751509933878
1985,19,0,0
1985,27,0,0
1985,25,0,0.859577554737689
1985,17,0,1.15107223623427
1986,16,0,2.06135960124977
1986,18,0,1.33339789303356
1986,21,0,0.742981570036383
1986,20,0,0
1986,22,0,0.93202477701289
1986,24,0,1.13360652110646
1986,26,0,0
1986,23,0,0.425350695048988
1986,19,0,0
1986,27,0,0
1986,25,0,0.931829842989447
1986,17,0,1.2783347131493
1987,16,0,2.03019645342559
1987,18,0,1.30462495313625
1987,21,0,0.882725472302356
1987,20,0,0
1987,22,0,0.828879865171635
1987,24,0,1.4628571236398
1987,26,0,0
1987,23,0,0.513579619320149
1987,19,0,0
1987,27,0,0
1987,25,0,0.89436111303721
1987,17,0,1.49241014834813
1988,16,0,1.42510140850659
