 par parNo species year quarter area age predator prey fleet idx1 idx2 idx3
log_rec 1 16 1974 -1 -1 -1 -1 -1 -1 16 1974 -1
log_rec 2 16 1975 -1 -1 -1 -1 -1 -1 16 1975 -1
log_rec 3 16 1976 -1 -1 -1 -1 -1 -1 16 1976 -1
log_rec 4 16 1977 -1 -1 -1 -1 -1 -1 16 1977 -1
log_rec 5 16 1978 -1 -1 -1 -1 -1 -1 16 1978 -1
log_rec 6 16 1979 -1 -1 -1 -1 -1 -1 16 1979 -1
log_rec 7 16 1980 -1 -1 -1 -1 -1 -1 16 1980 -1
log_rec 8 16 1981 -1 -1 -1 -1 -1 -1 16 1981 -1
log_rec 9 16 1982 -1 -1 -1 -1 -1 -1 16 1982 -1
log_rec 10 16 1983 -1 -1 -1 -1 -1 -1 16 1983 -1
log_rec 11 16 1984 -1 -1 -1 -1 -1 -1 16 1984 -1
log_rec 12 16 1985 -1 -1 -1 -1 -1 -1 16 1985 -1
log_rec 13 16 1986 -1 -1 -1 -1 -1 -1 16 1986 -1
log_rec 14 16 1987 -1 -1 -1 -1 -1 -1 16 1987 -1
log_rec 15 16 1988 -1 -1 -1 -1 -1 -1 16 1988 -1
log_rec 16 16 1989 -1 -1 -1 -1 -1 -1 16 1989 -1
log_rec 17 16 1990 -1 -1 -1 -1 -1 -1 16 1990 -1
log_rec 18 16 1991 -1 -1 -1 -1 -1 -1 16 1991 -1
log_rec 19 16 1992 -1 -1 -1 -1 -1 -1 16 1992 -1
log_rec 20 16 1993 -1 -1 -1 -1 -1 -1 16 1993 -1
log_rec 21 16 1994 -1 -1 -1 -1 -1 -1 16 1994 -1
log_rec 22 16 1995 -1 -1 -1 -1 -1 -1 16 1995 -1
log_rec 23 16 1996 -1 -1 -1 -1 -1 -1 16 1996 -1
log_rec 24 16 1997 -1 -1 -1 -1 -1 -1 16 1997 -1
log_rec 25 16 1998 -1 -1 -1 -1 -1 -1 16 1998 -1
log_rec 26 16 1999 -1 -1 -1 -1 -1 -1 16 1999 -1
log_rec 27 16 2000 -1 -1 -1 -1 -1 -1 16 2000 -1
log_rec 28 16 2001 -1 -1 -1 -1 -1 -1 16 2001 -1
log_rec 29 16 2002 -1 -1 -1 -1 -1 -1 16 2002 -1
log_rec 30 16 2003 -1 -1 -1 -1 -1 -1 16 2003 -1
log_rec 31 16 2004 -1 -1 -1 -1 -1 -1 16 2004 -1
