"Predator","Quarter","Year","Predator.length.class","Prey","Quarter.no","SMS.area","Predator.no","Size.model","Predator.length","Predator.length.mean","Predator.weight","Predator.size","Predator.available.food","Diri.p","Diri.sum.p","Diri.like","multinom.like","Prey.no","Prey.length.class","Prey.length.mean","Prey.weight","Prey.size","Prey.number.obs","Prey.number.prob","Obj.N.contrib","avail.prey.number.sum","N.haul","N.samples","stomcon","stomcon.hat","Residual","L.N.bar","Prey.avail","Prey.avail.part","Suit","Stom.var","obj.contrib","stom.input","stom.used.all","stom.used.like","stom.used.avail","stom.type","stan.residual","Area","Pred.avail","stomcon.hat.part","Residual.part","year.range","year"
"A. radiata","Q1",1991,16,"Other",1,1,9,0,200,223,0.258472,0.258472,1005250,6.56511,6.56511,0,0,0,0,-1,-1,-1,0,0,0,0,50,50,1,1,0,-1,1005250,1005250,1.00525,0,0,1,1,1,1,1,NA,1,1005250,1,0,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"Other",1,1,9,0,250,272,0.459446,0.459446,1733850,4.79845,6.56511,3.52015,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.398577,0.730901,-0.332324,-1,1267270,1267270,1.26727,0.0259989,0,0.398577,1,1,1,1,-2.0610295560445,1,1733846.6,0.730900876698088,-0.332323876698088,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"N. sandeel",1,1,9,0,250,272,0.459446,0.459446,1733850,1.7593,6.56511,3.52015,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.512784,0.267977,0.244806,1481540,464632,5682.86,2.55718,0.0259303,0,0.0372681,1,1,1,1,1.52026146437848,1,1733846.6,0.00327760252838977,0.0339904974716102,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"N. sandeel",1,1,9,0,250,272,0.459446,0.459446,1733850,0,6.56511,3.52015,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,23547800,0,130067,2.55718,0,0,0.377812,1,0,1,1,NA,1,1733846.6,0.0750164403240748,0.302795559675925,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"N. sandeel",1,1,9,0,250,272,0.459446,0.459446,1733850,0,6.56511,3.52015,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,32477600,0,328882,2.55718,0,0,0.0977029,1,0,1,1,NA,1,1733846.6,0.189683447197693,-0.0919805471976933,"1982-93","Y1991"
"A. radiata","Q1",1991,17,"Nor. pout",1,1,9,0,250,272,0.459446,0.459446,1733850,0.00736362,6.56511,3.52015,0,24,11,73,0.00207,0.00207,0,0,0,0,50,50,0.0886393,0.00112163,0.0875177,333732,1944.74,1944.74,2.81509,0.000148097,0,0.0886393,1,1,1,1,7.19155431988042,1,1733846.6,0.00112163325175364,0.0875176667482464,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"Other",1,1,9,0,300,320,0.735593,0.735593,1996340,5.03714,6.56511,-0.652861,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.716333,0.767258,-0.0509249,-1,1531710,1531710,1.53171,0.0236048,0,0.716333,1,1,1,1,-0.331459157643198,1,1996341.86,0.767258369265472,-0.0509253692654723,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"N. sandeel",1,1,9,0,300,320,0.735593,0.735593,1996340,1.52798,6.56511,-0.652861,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.283667,0.232742,0.0509249,1481540,464632,5682.86,2.55718,0.0236048,0,0.0153488,1,1,1,1,0.331459157643198,1,1996341.86,0.00284663669778482,0.0125021633022152,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"N. sandeel",1,1,9,0,300,320,0.735593,0.735593,1996340,0,6.56511,-0.652861,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,23547800,0,130067,2.55718,0,0,0.174237,1,0,1,1,NA,1,1996341.86,0.0651526687919072,0.109084331208093,"1982-93","Y1991"
"A. radiata","Q1",1991,18,"N. sandeel",1,1,9,0,300,320,0.735593,0.735593,1996340,0,6.56511,-0.652861,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,32477600,0,328882,2.55718,0,0,0.0940813,1,0,1,1,NA,1,1996341.86,0.164742325244836,-0.0706610252448356,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"Other",1,1,9,0,350,371,1.12883,1.12883,2284620,5.22994,6.56511,0.416861,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.552401,0.796626,-0.244226,-1,1819990,1819990,1.81999,0.0214158,0,0.552401,1,1,1,1,-1.66887859845748,1,2284621.86,0.796626361615922,-0.244225361615922,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"N. sandeel",1,1,9,0,350,371,1.12883,1.12883,2284620,1.33517,6.56511,0.416861,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.447599,0.203374,0.244226,1481540,464632,5682.86,2.55718,0.0214158,0,0.0357455,1,1,1,1,1.66887859845748,1,2284621.86,0.00248744008778766,0.0332580599122123,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"N. sandeel",1,1,9,0,350,371,1.12883,1.12883,2284620,0,6.56511,0.416861,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,23547800,0,130067,2.55718,0,0,0.17663,1,0,1,1,NA,1,2284621.86,0.0569315221381975,0.119698477861802,"1982-93","Y1991"
"A. radiata","Q1",1991,19,"N. sandeel",1,1,9,0,350,371,1.12883,1.12883,2284620,0,6.56511,0.416861,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,32477600,0,328882,2.55718,0,0,0.235224,1,0,1,1,NA,1,2284621.86,0.143954676158093,0.091269323841907,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"Other",1,1,9,0,400,440,1.84996,1.84996,3346270,4.35646,6.56511,1.70239,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.316166,0.663578,-0.347412,-1,2220510,2220510,2.22051,0.0295094,0,0.316166,1,1,1,1,-2.0223886801222,1,3346269.86,0.663577682882994,-0.347411682882994,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3346270,1.97406,6.56511,1.70239,0,22,11,77,0.0015,0.0015,0,0,0,0,50,50,0.382963,0.300689,0.0822742,1481540,1006190,5682.86,2.55718,0.0277954,0,0.00580205,1,1,1,1,0.493488690205984,1,3346269.86,0.00169826709672483,0.00410378290327517,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3346270,0,6.56511,1.70239,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0,0,0,23547800,0,130067,2.55718,0,0,0.143461,1,0,1,1,NA,1,3346269.86,0.0388692500729753,0.104591749927025,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3346270,0,6.56511,1.70239,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,32477600,0,328882,2.55718,0,0,0.187401,1,0,1,1,NA,1,3346269.86,0.09828316715616,0.08911783284384,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3346270,0,6.56511,1.70239,0,22,14,132,0.00651,0.00651,0,0,0,0,50,50,0,0,0,23053000,0,383769,2.55718,0,0,0.0308174,1,0,1,1,NA,1,3346269.86,0.114685609964523,-0.0838682099645233,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"N. sandeel",1,1,9,0,400,440,1.84996,1.84996,3346270,0,6.56511,1.70239,0,22,15,165,0.01195,0.01195,0,0,0,0,50,50,0,0,0,5163420,0,157786,2.55718,0,0,0.0154814,1,0,1,1,NA,1,3346269.86,0.0471528019560263,-0.0316714019560263,"1982-93","Y1991"
"A. radiata","Q1",1991,20,"Nor. pout",1,1,9,0,400,440,1.84996,1.84996,3346270,0.234593,6.56511,1.70239,0,24,15,167,0.01698,0.01698,0,0,0,0,50,50,0.300871,0.0357332,0.265138,2501520,119573,119573,2.81509,0.00455464,0,0.300871,1,1,1,1,3.92866454966131,1,3346269.86,0.0357332208705965,0.265137779129404,"1982-93","Y1991"
"A. radiata","Q1",1991,21,"Other",1,1,9,0,500,515,2.91821,2.91821,3126810,5.60149,6.56511,-0.964216,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.851385,0.853221,-0.00183601,-1,2667860,2667860,2.66786,0.0165543,0,0.851385,1,1,1,1,-0.0142698573493068,1,3126809,0.85322128726123,-0.00183628726123031,"1982-93","Y1991"
"A. radiata","Q1",1991,21,"N. sandeel",1,1,9,0,500,515,2.91821,2.91821,3126810,0.96362,6.56511,-0.964216,0,22,12,88,0.00216,0.00216,0,0,0,0,50,50,0.148615,0.146779,0.00183601,23547800,458949,130067,2.55718,0.0165543,0,0.110398,1,1,1,1,0.0142698573493068,1,3126809,0.0415973601201736,0.0688006398798264,"1982-93","Y1991"
"A. radiata","Q1",1991,21,"N. sandeel",1,1,9,0,500,515,2.91821,2.91821,3126810,0,6.56511,-0.964216,0,22,13,110,0.00396,0.00396,0,0,0,0,50,50,0,0,0,32477600,0,328882,2.55718,0,0,0.0382172,1,0,1,1,NA,1,3126809,0.105181352618596,-0.0669641526185961,"1982-93","Y1991"
"A. radiata","Q2",1991,16,"Other",2,1,9,0,200,223,0.258472,0.258472,1005250,6.56511,6.56511,0,0,0,0,-1,-1,-1,0,0,0,0,50,50,1,1,0,-1,1005250,1005250,1.00525,0,0,1,1,1,1,1,NA,1,1005250,1,0,"1982-93","Y1991"
"A. radiata","Q2",1991,17,"Other",2,1,9,0,250,274,0.469298,0.469298,1855030,4.52347,6.56511,-0.807405,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.73554,0.689017,0.0465229,-1,1278150,1278150,1.27815,0.0283238,0,0.73554,1,1,1,1,0.276433720583809,1,1855033,0.689017392143428,0.0465226078565718,"1982-93","Y1991"
"A. radiata","Q2",1991,17,"N. sandeel",2,1,9,0,250,274,0.469298,0.469298,1855030,2.04164,6.56511,-0.807405,0,22,14,132,0.0073,0.0073,0,0,0,0,50,50,0.26446,0.310983,-0.0465229,30903100,576883,576883,2.55718,0.0283238,0,0.26446,1,1,1,1,-0.276433720583809,1,1855033,0.310982607856572,-0.0465226078565719,"1982-93","Y1991"
"A. radiata","Q2",1991,18,"Other",2,1,9,0,300,322,0.748986,0.748986,1833490,5.52451,6.56511,-0.940938,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.839963,0.841495,-0.00153221,-1,1542880,1542880,1.54288,0.0176311,0,0.839963,1,1,1,1,-0.0115392767185267,1,1833498,0.841495327510584,-0.00153232751058363,"1982-93","Y1991"
"A. radiata","Q2",1991,18,"N. sandeel",2,1,9,0,300,322,0.748986,0.748986,1833490,1.0406,6.56511,-0.940938,0,22,12,88,0.00242,0.00242,0,0,0,0,50,50,0.160037,0.158505,0.00153221,5561220,290618,34415,2.55718,0.0176311,0,0.0284859,1,1,1,1,0.0115392767185267,1,1833498,0.0187701322826641,0.00971576771733593,"1982-93","Y1991"
"A. radiata","Q2",1991,18,"N. sandeel",2,1,9,0,300,322,0.748986,0.748986,1833490,0,6.56511,-0.940938,0,22,13,110,0.00445,0.00445,0,0,0,0,50,50,0,0,0,22514500,0,256203,2.55718,0,0,0.131551,1,0,1,1,NA,1,1833498,0.139734540206752,-0.00818354020675233,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"Other",2,1,9,0,350,372,1.13767,1.13767,3310100,3.62104,6.56511,-0.511444,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.289978,0.551557,-0.261579,-1,1825710,1825710,1.82571,0.0326951,0,0.289978,1,1,1,1,-1.44664356706522,1,3310100.72,0.551557234790124,-0.261579234790124,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"N. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,1.6771,6.56511,-0.511444,0,22,12,88,0.00242,0.00242,0,0,0,0,50,50,0.481516,0.255456,0.22606,5561220,845585,34415,2.55718,0.0251415,0,0.00278415,1,1,1,1,1.42569993793514,1,3310100.72,0.0103969645975002,-0.00761281459750022,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"N. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,22,13,110,0.00445,0.00445,0,0,0,0,50,50,1e-06,0,0,22514500,0,0,2.55718,0,0,1e-06,1,0,0,2,NA,1,3310100.72,0,1e-06,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"N. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,22,14,132,0.0073,0.0073,0,0,0,0,50,50,0,0,0,30903100,0,576883,2.55718,0,0,0.0452351,1,0,1,1,NA,1,3310100.72,0.174279591105614,-0.129044491105614,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"N. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,22,15,165,0.01341,0.01341,0,0,0,0,50,50,0,0,0,6832160,0,234287,2.55718,0,0,0.433496,1,0,1,1,NA,1,3310100.72,0.0707794172498775,0.362716582750122,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"S. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,1.26698,6.56511,-0.511444,0,23,11,77,0.00167,0.00167,0,0,0,0,50,50,0.228506,0.192987,0.0355191,1445090,638806,2854.32,1.18275,0.020587,0,0.00041415,1,1,1,1,0.247551419291191,1,3310100.72,0.000862306087169456,-0.000448156087169456,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"S. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,23,12,88,0.00248,0.00248,0,0,0,0,50,50,0,0,0,8702850,0,25527.4,1.18275,0,0,0.00303288,1,0,1,1,NA,1,3310100.72,0.00771197077048459,-0.00467909077048459,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"S. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,23,13,110,0.00477,0.00477,0,0,0,0,50,50,1e-06,0,0,28782000,0,0,1.18275,0,0,1e-06,1,0,0,2,NA,1,3310100.72,0,1e-06,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"S. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,23,14,132,0.00814,0.00814,0,0,0,0,50,50,0,0,0,41929400,0,403679,1.18275,0,0,0.0918461,1,0,1,1,NA,1,3310100.72,0.12195369088346,-0.0301075908834605,"1982-93","Y1991"
"A. radiata","Q2",1991,19,"S. sandeel",2,1,9,0,350,372,1.13767,1.13767,3310100,0,6.56511,-0.511444,0,23,15,165,0.01567,0.01567,0,0,0,0,50,50,0,0,0,11155100,0,206745,1.18275,0,0,0.133212,1,0,1,1,NA,1,3310100.72,0.0624588245157688,0.0707531754842312,"1982-93","Y1991"
"A. radiata","Q2",1991,20,"Other",2,1,9,0,400,439,1.83781,1.83781,5333420,2.72607,6.56511,-5.31194,0,0,0,-1,-1,-1,0,0,0,0,50,50,0.602574,0.415236,0.187338,-1,2214630,2214630,2.21463,0.0320967,0,0.602574,1,1,1,1,1.04567250292437,1,5333422.43,0.415236188219953,0.187337811780047,"1982-93","Y1991"
"A. radiata","Q2",1991,20,"Whiting",2,1,9,0,400,439,1.83781,1.83781,5333420,0.806499,6.56511,-5.31194,0,17,15,167,0.03097,0.03097,0,0,0,0,50,50,0.0742824,0.122846,-0.0485638,1204850,655190,655190,17.5588,0.0142437,0,0.0742823,1,1,1,1,-0.406912707698728,1,5333422.43,0.122846072779575,-0.0485637727795754,"1982-93","Y1991"
"A. radiata","Q2",1991,20,"N. sandeel",2,1,9,0,400,439,1.83781,1.83781,5333420,1.31387,6.56511,-5.31194,0,22,13,110,0.00445,0.00445,0,0,0,0,50,50,0.265965,0.200129,0.0658357,22514500,1067370,256203,2.55718,0.02116,0,0.0298032,1,1,1,1,0.452588615981625,1,5333422.43,0.0480372600075483,-0.0182340600075483,"1982-93","Y1991"
