Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
1982         14836196         300992         401763         140266          0.510
1983         16264051         248568         348342         161319          0.685
1984         17327709         194007         310763         145614          0.819
1985         18336674         202722         295250         100364          0.614
1986         23812789         207243         367309         161508          0.810
1987         22407901         224754         369311         138802          0.922
1988         25800912         225803         331026         133209          0.723
1989         18023293         221194         386909         123582          0.725
1990         15310519         240855         346509         152614          0.747
1991         13566204         220481         316023         126730          0.596
1992         19713727         206363         289801         108541          0.581
1993         15935238         192260         280375         116921          0.706
1994         14361706         176065         262366         101644          0.665
1995         13993618         176393         264341         105486          0.571
1996          7610799         162580         232356          76123          0.524
1997         15165532         137171         183458          61432          0.465
1998         25199143         119998         178535          47478          0.379
1999         19984947         118577         204330          60836          0.515
2000         21743159         128280         218081          63813          0.570
2001         25827676         159563         257904          45245          0.340
2002         18626693         164577         244474          46448          0.298
2003         15243233         152309         195095          45643          0.321
2004         15673456         124862         161506          33558          0.255
2005         13317832         107772         151770          28879          0.244
2006         14600378          98193         135672          36764          0.302
2007         17433315          93975         125570          26974          0.272
2008         15470801          98207         138033          28242          0.267
2009          8330040         101055         134871          28417          0.250
2010         15713775         126007         161791          34442          0.276
2011         15518896         130829         175551          30665          0.251
2012          9914280         140633         170445          30211          0.207
2013         12167492         128669         149073          26661          0.203
2014         13892884         123365         163114          28362          0.237
2015         19878868         125907         163489          36250          0.286
2016         20969579         135127         175912          33393          0.281
2017         13981429         147265         194222          29344          0.224
2018         10349863         152946         187486          28437          0.209
2019         14602112         140058         173641          31281          0.236
2020                          165792

Haddock    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974         39842908         317243         838864         396271          0.731
1975          3731109         143307        1214791         494728          0.862
1976          5946201         167473         900049         402850          0.828
1977         12442625         326068         466641         240340          0.757
1978         17163047         128997         367496         146706          0.805
1979         33209572          81258         485337         149064          0.843
1980         15919360          94255         826840         202451          0.800
1981         24154468         166746         819893         226485          0.554
1982         12895457         386980         777969         256108          0.520
1983         20664301         261203         588583         253230          0.711
1984          7371429         226746         664140         247089          0.844
1985          7830266         152030         558045         247098          0.776
1986         16707512         251249         427803         223727          0.809
1987          1772154         158527         486586         194995          0.933
1988          1539747         120077         377058         179974          0.989
1989          2485490         151467         198809         127719          0.933
1990          6345413          67933         128692          86748          0.884
1991          7428217          39992         164013          97264          0.955
1992         10464933          39703         259023         135185          0.822
1993          3491712          84850         387195         180218          0.966
1994         17061863         102604         355245         169436          0.908
1995          7374388         134088         530798         168928          0.803
1996          5044585          94846         484161         204683          0.887
1997          3757983         190380         349669         170009          0.684
1998          2033584         133956         286670         161929          0.752
1999         20405115         111786         191787         123489          1.000
2000          6173616          64376         553122         126823          0.961
2001          1118959          38516         748071         173366          0.743
2002          1606219         406164         540378         155333          0.613
2003          1970656         277088         313108          74350          0.333
2004          1682461         170169         217620          72513          0.360
2005         12851756         105536         143950          64115          0.403
2006          3057587          66399         288722          66967          0.669
2007          1765845          37343         256297          67425          0.648
2008          1023213         143367         208638          47787          0.391
2009          5570609         102857         144914          47952          0.332
2010           757545          83577         229964          45378          0.360
2011           350153          60973         219271          49690          0.504
2012           859433         159038         177261          43194          0.311
2013           510567         120069         140590          47127          0.271
2014          4140505          78588         105259          46284          0.481
2015          1329800          55393         152379          41559          0.782
2016          2201274          30733         154881          43152          0.501
2017          1191644         103407         170897          40794          0.372
2018          1827649          87828         154619          39492          0.277
2019          9208806         101033         158632          36601          0.234
2020                          104797

Saithe     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 4-7
1974           271273         572098         873408         341457          0.454
1975           153299         497088         837618         308362          0.522
1976           183295         376207         748847         432832          0.577
1977           161489         298467         612413         242626          0.726
1978           363165         253815         463997         179361          0.429
1979           283948         246326         493023         144250          0.451
1980           286071         228649         480187         146784          0.527
1981           255728         218070         564105         150025          0.494
1982           306693         198569         582068         205438          0.506
1983           596485         202850         562197         205616          0.727
1984           295127         166653         456833         245308          0.613
1985           271147         144701         447136         280080          0.605
1986           174590         129437         504879         236972          0.790
1987           167998         131458         400237         195418          0.659
1988           231123         131700         364094         156418          0.724
1989           187639         112082         306009         126442          0.661
1990           226617         106891         287538         126902          0.586
1991           169920         100512         296090         133739          0.570
1992           473893          98739         313080         117430          0.540
1993           208799         110854         356897         135112          0.706
1994           290419         109785         365423         128816          0.523
1995           136593         134105         550516         143477          0.643
1996           266909         145842         485723         130551          0.553
1997           145121         177346         469728         121523          0.406
1998           324822         178409         407927         118480          0.430
1999           360605         181417         424120         120395          0.567
2000           245206         170916         428386          94676          0.414
2001           189321         178887         477026         104100          0.323
2002           310622         211223         567900         129849          0.429
2003           124901         201773         480176         121658          0.456
2004           174964         252098         531054         113792          0.326
2005           111927         236499         499774         119234          0.383
2006           120906         258677         483776         128711          0.369
2007           186871         240389         425634         106333          0.314
2008           100314         228322         399644         129887          0.467
2009           170835         218094         373450         114519          0.465
2010           181584         205934         384749         104723          0.469
2011           113204         162571         322275         102008          0.434
2012           145010         146300         313922          87049          0.400
2013           227829         149296         327492          87270          0.360
2014           161967         171971         345148          82172          0.377
2015            86850         179682         355783          81447          0.373
2016           125143         172136         377684          77671          0.342
2017           234054         198829         399184          94573          0.398
2018           221065         200172         357155          95446          0.364
2019           222700         211116         379095          96635          0.363
2020                          200065

Mackerel   

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 4-8
1974          4541168        4956627        5595692         604750          0.124
1975          4632691        4764240        5523900         780518          0.166
1976          3035549        4532550        5385061         826864          0.188
1977           754003        4361970        5140974         619776          0.147
1978          2394107        4268291        4781979         735619          0.187
1979          4645235        3763642        4148098         840578          0.230
1980          5277150        2691024        3245910         733063          0.244
1981          6373783        2440936        3253438         750656          0.252
1982          1764437        2439192        3403666         716385          0.249
1983          1274806        2613246        3396639         671927          0.214
1984          6095207        2632824        3043477         633027          0.221
1985          3017344        2514118        3117431         609877          0.198
1986          3127527        2597859        3325251         600246          0.186
1987          4683735        2627234        3221600         654429          0.202
1988          3183934        2609425        3302002         677317          0.219
1989          3945957        2482799        3221336         582714          0.187
1990          2888942        2637887        3279414         624046          0.203
1991          3409072        2753022        3359188         674986          0.240
1992          4229603        2705370        3203857         758475          0.278
1993          4534882        2586398        3160312         823385          0.321
1994          3923965        2521768        3116186         817922          0.345
1995          3372681        2543409        3148513         755210          0.327
1996          3484860        2431517        2958449         561267          0.245
1997          2913075        2447377        2956706         570291          0.238
1998          2950660        2445525        2872364         662343          0.271
1999          3320755        2390112        2807094         636297          0.281
2000          1984225        2254144        2662833         736472          0.333
2001          3961353        2099071        2444885         735748          0.372
2002          5361033        1800008        2183529         770238          0.448
2003          3530718        1754565        2325646         678030          0.431
2004          4837730        2049961        2510415         684412          0.471
2005          7760347        1973600        2549840         549854          0.343
2006          8877816        2202210        3094261         478373          0.280
2007          8151699        2672318        3909620         588318          0.314
2008          7631830        3183393        4517224         622041          0.290
2009          7274839        3745951        4973538         738620          0.270
2010         10920632        4196907        5177347         877019          0.254
2011         10216535        4868119        6093675         947366          0.236
2012          5928031        5046119        6531869         895262          0.206
2013          4654789        5382204        6416519         933733          0.203
2014          7033747        5434764        6168916        1395447          0.255
2015          2718851        5450743        6151879        1215562          0.238
2016          8153378        5259547        5920360        1096450          0.226
2017          4925930        4587939        5367336        1155502          0.245
2018          5863778        4381038        5513056        1025913          0.234
2019          4452927        4225229        5234067         840182          0.195
2020                         4264239

Herring    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974          9720564         224549         267010         266013          0.725
1975          4056779         156605         200100         253937          1.264
1976          2146407          82091          99990         159255          0.814
1977          1306960          56585          67005          39314          0.213
1978          1044861          67376          78028              0          0.000
1979          4007082          93726         105287              0          0.000
1980         14512250         122076         152623          73450          0.120
1981         19991116         187915         277670         208745          0.172
1982         29595279         337122         470734         277070          0.140
1983         26663164         605848         806349         430216          0.316
1984         30232564         900994        1109253         460933          0.510
1985         45404784         943777        1174747         659339          0.562
1986         51968866         896940        1165665         752731          0.463
1987         40459372        1027815        1361333        1008725          0.432
1988         22231373        1370616        1664260        1140874          0.435
1989         19636218        1401228        1609196         910318          0.372
1990         19245496        1431713        1552355         739056          0.365
1991         21045486        1263667        1382892         685045          0.385
1992         30370463        1025637        1239926         764432          0.526
1993         32060921         730707        1078717         687902          0.710
1994         24030215         732835         972585         597208          0.675
1995         25348072         702128         934588         595417          0.788
1996         26078646         605117         802542         274372          0.319
1997         16522916         723015         971042         264056          0.283
1998         12688271         984179        1254967         380193          0.430
1999         37661487        1038222        1221988         369622          0.326
2000         23746265        1064884        1344722         421779          0.330
2001         64114412        1384064        1690813         363691          0.262
2002         25749366        1722273        2140919         390438          0.233
2003         17713147        1953769        2798226         487432          0.244
2004         20102749        2148251        2789865         589576          0.258
2005         13736307        2108465        2318482         665396          0.337
2006         16193082        1541840        1734913         513247          0.271
2007         20943376        1210426        1373747         406368          0.237
2008         19125314        1082799        1214305         258713          0.167
2009         21449814        1215122        1338631         168589          0.098
2010         21566276        1286558        1624888         186255          0.113
2011         19176676        1719233        1958501         224049          0.102
2012         18572117        2021202        2143148         434509          0.192
2013         30413267        1837568        1989156         511220          0.221
2014         34726202        1651545        1847464         518042          0.212
2015          9471852        1579606        1967438         494949          0.237
2016         14470904        1820100        2141980         563618          0.240
2017          7256961        1665860        1843392         490975          0.183
2018         17227593        1485914        1724679         591798          0.239
2019         13793044        1246644        1397548         432123          0.216
2020                         1134231

N. sandeel 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        214549809         236396         963470         220388          0.295
1975        174682031         286727         677607         196585          0.393
1976        192369486         157975         509216         110245          0.294
1977        105681369         158245         612460         271729          0.707
1978        164904560         140345         409729         133700          0.465
1979        335248837         146531         559375         202374          0.175
1980        215047749         276734        1066638         303285          0.528
1981        263530720         262041         710623         152257          0.315
1982        240415025         145504         673963          87780          0.300
1983        195416765         138846         522443          96993          0.123
1984        107876298         218468         567389          98661          0.112
1985        216548694         317873         600809          91674          0.178
1986        298928665         187151         693176         400801          0.390
1987        126705769         248397         784145         408065          0.279
1988        408668484         319077         563086         393355          0.367
1989        145758434         176831         778122         478128          0.784
1990        204846829         158392         488234         252809          0.647
1991        246173832         162979         590501         413418          0.422
1992        285022419         127409         444737         190875          0.264
1993        524996488         232723         751833         279254          0.252
1994        550187002         279302         975248         502751          0.712
1995        266802030         258804        1088299         365350          0.305
1996        894617249         346071         982775         328107          0.326
1997        153229111         259327        1670683         584720          0.347
1998        189203209         510442         806203         562957          0.482
1999        255819008         230041         569652         296332          0.418
2000        295570728         170655         794190         267363          0.486
2001        188490997         139800         598136         291694          0.310
2002         74757800         120164         490421         163107          0.515
2003        129522177          87323         202195          72291          0.263
2004         76987304          44740         251695          80779          0.517
2005        126025887          49542         201927          23673          0.208
2006        192005053          43238         225841          16352          0.070
2007        169819263          80474         459310          89772          0.232
2008        150927173         134583         489130          88546          0.412
2009        297027362          99407         403888          29590          0.035
2010         51805588         249086         958400          76346          0.132
2011         39998667         316220         476393          95975          0.165
2012        215080128         194706         297737          43053          0.065
2013        167125346          86756         552389          25469          0.092
2014        225741723         192323         646301         134873          0.561
2015         38244864         175578         721065         119794          0.249
2016        697712952         260954         351737          46563          0.099
2017         58580867         185271        1572468         204772          0.145
2018        286614032         513501         757693         110539          0.154
2019        467004362         310259        1066421         143583          0.156
2020                          484741

S. sandeel 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        183558507         408054         728671         118670          0.144
1975         90849583         363596        1025670         162704          0.217
1976        143398957         497358         883999         316414          0.431
1977        315668144         325702         831856         314952          0.449
1978        151005665         348405        1573071         665810          0.590
1979        154171534         594496        1241461         481048          0.874
1980        106992654         368414        1008294         420808          0.588
1981        425589437         403071         852657         375286          0.596
1982         41677395         186183        1285533         537998          0.975
1983        328710247         352020         523962         470143          0.524
1984        109571106         201883        1079819         572693          0.766
1985        374513019         334512         643433         524433          0.889
1986         87856890         189475        1168965         463796          0.308
1987         81434184         656110        1055685         415066          0.220
1988        221768120         520722         750559         507642          0.537
1989        106585199         171982         699498         539481          0.636
1990        147350604         282540         645517         370806          0.771
1991        230540037         332238         866313         489379          0.519
1992         64657436         280922        1111718         678507          0.468
1993        210691138         441076         717635         292075          0.491
1994        284177440         245825         822121         283720          0.485
1995         89804541         402523        1481203         493912          0.321
1996        488123011         520401         816929         472730          0.613
1997        107866686         243930        1924643         551195          0.332
1998        165611543         767787        1190780         486734          0.463
1999        204784288         363122         746850         469095          0.762
2000        310422379         179186         721463         353295          0.495
2001        376614259         223291         844873         685450          0.893
2002         43545998         214841        1201887         647250          0.428
2003        169454506         381687         518805         236111          0.670
2004         74340740         102559         424983         266244          0.746
2005        163745137         106672         321163         145410          0.799
2006        132014986          70738         453755         265023          0.790
2007        271330299         133795         433586         114490          0.522
2008        115707699         144747         788037         245966          0.606
2009        636377755         219352         499381         298067          0.756
2010         71503239         168835        1888479         325647          0.288
2011        103752569         700578         988403         339262          0.260
2012        179486905         309852         555073          56754          0.077
2013        103721213         165602         470054         235406          0.776
2014        193904404         104455         318970          92328          0.498
2015         56006307         114512         539050         188375          0.801
2016        327338698         161846         290400          22091          0.087
2017         31000632         115927         824686         274609          0.521
2018        114395382         237846         338147         148005          0.594
2019        310659456          71832         270114          69622          0.228
2020                          150116

Nor. pout  

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        292007784         285309        1104519         732535          1.530
1975        419458682         281679         882971         508262          1.061
1976        313560875         351032        1177095         472608          0.945
1977        158541528         346731        1012345         383967          0.675
1978        202701798         307118         667637         253756          0.755
1979        230262796         256957         818386         339898          0.870
1980        124151374         374488        1038327         534650          1.005
1981        196520063         291508         553583         431928          0.603
1982        216755605         164995         561333         390197          0.748
1983        150371425         240992         735342         475746          0.975
1984        118531740         249318         637722         376484          1.210
1985         95831477         172323         412337         227635          1.426
1986        136572779          89574         290968         180330          0.771
1987         43109362         123959         401854         148927          1.173
1988         89724330          83332         145924         109219          0.546
1989         89259985          76013         263506         166742          0.720
1990        106786376         123473         302513         138841          0.789
1991        128980315         137628         379853         189819          1.184
1992         88575454         161012         463403         302275          0.666
1993         67177237         207206         365781         181098          1.141
1994        168871829          89427         222436         183618          0.875
1995         87364194         160427         587562         231894          0.504
1996        125090148         255524         416313         156224          0.529
1997         38924611         174034         506083         156781          0.522
1998         81124101         209685         292742          73981          0.386
1999        111199788         109253         273602          92388          0.529
2000         55313827         141572         418393         185103          0.533
2001         80546472         193036         303657          64358          0.165
2002         48437082         114268         257378          77138          0.398
2003         22579180          63389         143487          24569          0.376
2004         28844577          38541          77837          13488          0.236
2005         57728267          24722          72576             41          0.000
2006         42825452          48674         162219          46529          0.364
2007         59451496          62440         141473           5799          0.000
2008         94637822          76475         185515          34844          0.206
2009         99521066         104025         294831          45821          0.244
2010         27234496         181846         438278         131191          0.524
2011         57374720         151339         205070           6840          0.022
2012        108450133          73394         161412          26946          0.027
2013         38300805          85260         287999          82179          0.332
2014        128816263          95142         165342          44189          0.309
2015         78135696          95392         364985          57351          0.358
2016         98942167         160505         298363          60203          0.378
2017         49349564          88941         273314          33941          0.188
2018        122523937          99958         183265          36152          0.281
2019        181120382          93254         350706          97555          0.454
2020                          261185

Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        383566448         525710         957583         354208          0.406
1975        819146979         613746        1063430         806769          0.990
1976        311103463         747610        1599084         679972          0.914
1977        386625677         399731         672106         345286          0.787
1978        721405788         352371         733800         462129          0.663
1979        289515999         535580        1046495         469921          0.389
1980        155605622         620976         859428         413620          1.128
1981         62652006         163882         285485         291266          0.652
1982         39410112         101838         166367         189095          0.590
1983         71056478         140834         252409          80941          1.330
1984         53060685          94358         198174         104337          0.720
1985         31979325         155049         280195          69432          0.827
1986         93831893          71728         128820          30003          1.104
1987         35937868         135581         310899          46373          0.290
1988         51753818         136811         215689          74626          1.001
1989        105040803          67592         136009          74956          0.344
1990         95750484         138015         288501          83011          0.914
1991         61588236         100559         200499         118053          0.766
1992         89076200          88198         170111         133348          0.318
1993        167542513         116419         207164         201199          0.860
1994        113331870         141207         282662         402641          0.387
1995         37042152         215639         351609         415810          1.013
1996         34496726         125688         195008         153713          0.934
1997         45140723          65371         126324         119875          0.705
1998        100687762         134534         240594         157740          1.177
1999         73737062         114152         243930         221064          0.654
2000         51847346         115008         190427         226525          0.844
2001         60177204         110409         190555         218622          1.109
2002         52869251         164622         321936         154880          1.119
2003         65618503          87851         165182         181541          0.884
2004        178909850         155868         307937         114471          1.006
2005         53462108         157230         333920         242173          0.649
2006         62276791         177709         286384         127796          1.151
2007         52215481         139960         274547          98038          0.865
2008        126610394          80825         146073          61256          0.676
2009        122192821         243905         522974         141182          0.498
2010        138834803         219362         374881         158496          0.510
2011        104274943         232617         422093         152271          0.518
2012         60991853         240189         407522          95536          0.587
2013        204462563          91177         161504          64122          0.824
2014        155206815         368395         808970         127615          0.164
2015        109268354         412786         697535         290620          0.725
2016        134250569         225215         354122         223289          1.348
2017        200870989         103626         209286         114152          0.623
2018        188570749         185279         357069         161896          0.639
2019        232177311         223435         403445         125053          0.360
2020                          353468

Plaice     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974           825168         298975         433223         157490          0.471
1975           653864         310718         480137         195250          0.554
1976           956326         315941         464933         166919          0.441
1977           811509         322951         466763         176698          0.476
1978           858928         318578         460072         159632          0.422
1979          1111170         314535         468309         213301          0.637
1980          1030882         299090         437001         171853          0.509
1981          2141801         284441         414175         174253          0.524
1982          1473608         280321         474823         205256          0.569
1983          1407016         330764         528713         220273          0.542
1984          1928693         350448         561473         236610          0.560
1985          4698031         373700         590999         232402          0.504
1986          2184628         411143         750273         308876          0.621
1987          2101862         470060         769520         359282          0.639
1988          1440636         413646         683204         324986          0.679
1989          1123674         425086         609216         286666          0.606
1990           987990         381001         536901         240671          0.533
1991           856236         372169         525390         238215          0.627
1992           559272         318175         446538         193772          0.675
1993           543318         275930         382503         163530          0.654
1994           908286         229126         323685         145716          0.665
1995           904849         211332         312428         131181          0.623
1996          2547112         191886         296058         143445          0.724
1997           942078         181091         345978         193112          0.877
1998           813938         200255         340223         183573          0.753
1999           952964         193001         328239         160706          0.795
2000           605601         192562         298392         135074          0.614
2001          1749943         206907         319920         193207          0.779
2002           573460         171616         315992         134260          0.794
2003          1170716         186896         313533         154019          0.792
2004           727254         158142         292057         127979          0.615
2005           731551         179842         283208         119045          0.649
2006          1080101         177402         288280         131304          0.641
2007           926213         157804         261803         100965          0.566
2008           853065         182528         297769         105331          0.489
2009          1089111         213769         340362         108260          0.431
2010          1305555         252392         383179         116903          0.441
2011          1089073         242594         369394         118084          0.449
2012          1167401         241346         376663         141936          0.458
2013          1273270         264551         401829         126254          0.420
2014           718254         292332         437172         133627          0.419
2015           830492         267021         348342         134459          0.449
2016          1290051         255363         331682         136948          0.517
2017           743112         235403         316460         114291          0.396
2018          2238217         211663         291468         105774          0.400
2019           949833         212454         314189          86092          0.274
2020                          287083

Sole       

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974            49142          40998          59470          17986          0.459
1975           111019          43211          58407          20770          0.466
1976           138258          42835          52525          17322          0.435
1977            51185          35068          53691          18001          0.394
1978            14954          39999          58216          20276          0.484
1979           151835          45968          53114          22595          0.477
1980           162427          36198          43847          15803          0.482
1981           147010          25077          50669          15400          0.480
1982           149864          34150          59278          21575          0.542
1983            77112          42180          66981          24924          0.509
1984            92672          45357          66142          26837          0.585
1985           143123          41869          54685          24245          0.550
1986            66925          36282          53673          18198          0.609
1987           509291          29950          52053          17365          0.497
1988           115792          36518          68385          21587          0.498
1989           235062          32570          96252          21801          0.408
1990            83109          91206         117110          35118          0.429
1991           422870          77737         109388          33511          0.472
1992            86095          78290         109376          29339          0.457
1993            61457          54650         104586          31489          0.509
1994           103584          76934          90264          33000          0.549
1995            62340          59765          72525          30466          0.504
1996           260155          40752          56591          22648          0.728
1997           118067          29157          49374          14899          0.617
1998            91890          21845          58131          20865          0.653
1999           124175          38976          56355          23473          0.582
2000            67035          35687          52362          22639          0.647
2001           183452          28615          46845          19942          0.539
2002            85473          31165          48098          18659          0.536
2003            45509          26235          52920          19286          0.528
2004            50294          36969          49025          20942          0.521
2005           184905          31371          39531          17696          0.556
2006            73832          24019          39095          13588          0.474
2007            72051          17736          45035          15505          0.478
2008            89803          33741          46790          14615          0.409
2009           185987          31951          44902          15214          0.472
2010           228646          29285          49456          14850          0.529
2011            58439          25636          58663          13189          0.461
2012           105075          30623          43242          14695          0.519
2013           155951          36592          43348          15958          0.468
2014           112289          31404          41695          14640          0.443
2015            68240          29185          46573          14590          0.402
2016           138691          34913          41946          15323          0.453
2017           112278          31029          38077          13574          0.408
2018           632963          27506          40166          12266          0.351
2019            24286          27879          51252          10605          0.299
2020                           30285

