Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
16 1974  8.64524e+06 182377 408186 252714 245050 252714 245050 0.721689 144593
16 1975  5.06507e+06 169478 406215 241132 251526 241132 251526 0.753477 146580
16 1976  1.72366e+07 152625 434200 305329 254957 305329 254957 0.826283 216953
16 1977  8.71631e+06 124151 418464 347182 279704 347182 279704 0.810793 219773
16 1978  1.51181e+07 119229 480420 327061 363396 327061 363396 0.94089 231293
16 1979  7.66368e+06 113931 448564 428086 299843 428086 299843 0.76035 181684
16 1980  8.76959e+06 127406 469796 587443 345550 587443 345550 0.884558 206513
16 1981  3.03627e+07 132178 507862 390754 338956 390754 338956 0.871581 324851
16 1982  1.0671e+07 124395 416123 356376 337619 356376 337619 0.946196 210407
16 1983  1.02734e+07 107710 385231 279032 301697 279032 301697 0.953288 179423
16 1984  1.0256e+07 94314.8 349637 378275 270219 378275 270219 0.885542 195257
16 1985  8.25803e+06 97271.7 363422 245642 246155 245642 246155 0.894035 149658
16 1986  6.59263e+06 84640.9 296431 339692 241124 339692 241124 0.972998 150207
16 1987  4.9521e+06 86527.5 342959 243840 266556 243840 266556 0.968757 129763
16 1988  3.99506e+06 84032.9 272798 193767 215088 193767 215088 0.942556 97299.4
16 1989  3.52628e+06 77643.2 229227 201155 200195 201155 200195 0.985279 101064
16 1990  4.83504e+06 74733.4 230683 151592 157248 151592 157248 0.911205 102809
16 1991  5.86329e+06 70742.7 182974 119678 144807 119678 144807 0.910793 93967.7
16 1992  4.61153e+06 67831.6 190551 148985 162073 148985 162073 0.878858 100191
16 1993  6.77354e+06 69440.8 205558 132900 120383 132900 120383 0.819247 111768
16 1994  6.81055e+06 75937.1 206712 216500 125578 216500 125578 0.837448 117930
16 1995  6.17998e+06 85085.1 242068 198306 156929 198306 156929 0.930924 117565
16 1996  8.49089e+06 86175.6 218783 142941 154814 142941 154814 0.987708 118248
16 1997  6.37406e+06 73877.1 195889 135372 129626 135372 129626 0.898327 124737
16 1998  7.45038e+06 75598.5 221403 136757 121542 136757 121542 0.965486 115766
16 1999  1.43048e+07 62544 131279 95882.7 92452.7 95882.7 92452.7 1.08041 119216
16 2000  5.05996e+06 47058 117774 77117.6 85048.4 77117.6 85048.4 1.04265 80338
16 2001  6.35323e+06 52547.4 138469 78723.3 77379.3 78723.3 77379.3 0.98942 84063.2
