#Predator prey season overlap
#----------------------
# Predator:Fulmar     
# Other-food  Cod         Whiting     Haddock     Saithe      Mackerel    Herring     N. sandeel  S. sandeel  Nor. pout   Sprat       Plaice      Sole        
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Guillemot  
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Her. Gull  
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Kittiwake  
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:GBB. Gull  
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Gannet     
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Puffin     
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Razorbill  
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1              20          20       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:A. radiata 
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:G. gurnards
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:W.horse mac
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:N.horse mac
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Grey seal  
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:H. porpoise
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Hake       
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Cod        
       1           1           1           1           1           1           1           1           1           1           1           1           1    
        2.09       1           1           1           1           1           1            1.63        1.63       1           1           1           1    
        2.09       1           1           1           1           1           1            1.63        1.63       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Whiting    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
        2.79       1           1           1           1           1           1            2.51        2.51       1           1           1           1    
        2.79       1           1           1           1           1           1            2.51        2.51       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Haddock    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
        1.65       1           1           1           1           1           1           1           1           1           1           1           1    
        1.65       1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Saithe     
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
# Predator:Mackerel   
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1            2.25        2.25       1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
       1           1           1           1           1           1           1           1           1           1           1           1           1    
