Species.n catch CPUE SSB.Rec  stomachs stomachs.N penalty all n.catch n.CPUE n.SSB.R n.stom n.all.obs n.par
1   0 0 0 -326.062 0 0 -5455.65  0 0 0 144 144 1870
2   0 0 0 -208.483 0 0 -5455.65  0 0 0 144 144 1870
3   0 0 0 -388.036 0 0 -5455.65  0 0 0 168 168 1870
4   0 0 0 -237.917 0 0 -5455.65  0 0 0 132 132 1870
5   0 0 0 -503.04 0 0 -5455.65  0 0 0 204 204 1870
6   0 0 0 -134.182 0 0 -5455.65  0 0 0 96 96 1870
7   0 0 0 -104.769 0 0 -5455.65  0 0 0 96 96 1870
8   0 0 0 -152.836 0 0 -5455.65  0 0 0 132 132 1870
9   0 0 0 -35.7334 0 0 -5455.65  0 0 0 64 64 1870
10   0 0 0 -76.5667 0 0 -5455.65  0 0 0 149 149 1870
11   0 0 0 2.77627 0 0 -5455.65  0 0 0 14 14 1870
12   0 0 0 -9.40676 0 0 -5455.65  0 0 0 34 34 1870
13   0 0 0 -126.586 0 0 -5455.65  0 0 0 54 54 1870
14   0 0 0 -25.6697 0 0 -5455.65  0 0 0 19 19 1870
15   0 0 0 -17.1231 0 0 -5455.65  0 0 0 33 33 1870
16   -442.718 -159.874 -4.33189 -1454.02 0 0 -5455.65  460 302 46 881 1689 1870
17   -279.937 -172.951 -30.2997 -663.762 0 0 -5455.65  368 389 46 586 1389 1870
18   -193.747 -158.213 17.4163 -86.7309 0 0 -5455.65  460 409 46 131 1046 1870
19   -308.819 -61.9997 -16.0142 -108.192 0 0 -5455.65  368 322 46 188 924 1870
20   -446.667 -49.5238 -10.1469 -80.6434 0 0 -5455.65  460 432 46 105 1043 1870
21   233.907 -182.463 -8.18832 0 0 0 -5455.65  1564 275 46 0 1885 1870
22   138.427 35.0647 3.95548 0 0 0 -5455.65  828 231 46 0 1105 1870
23   92.3357 -51.6016 4.50558 0 0 0 -5455.65  828 159 46 0 1033 1870
24   252.168 -44.0666 -3.42835 0 0 0 -5455.65  644 269 46 0 959 1870
25   190.723 -66.6208 -3.47248 0 0 0 -5455.65  552 240 46 0 838 1870
26   -513.896 -57.8378 -24.0737 0 0 0 -5455.65  460 872 44 0 1376 1870
27   -424.156 134.796 1.59385 0 0 0 -5455.65  460 980 44 0 1484 1870
