Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
1982         14511652         380741         891333         174349          0.544
1983         19867667         307763         626416         175089          0.709
1984          9241052         250592         695151         145445          0.832
1985          8078280         249384         594616         167701          0.777
1986         20128564         245676         476915         170975          0.829
1987          3523360         185927         534643         122420          0.936
1988          2436771         186667         411489         108523          0.927
1989          5124764         153697         247731          84155          0.888
1990          8853056          79694         154571          57049          0.849
1991          9076467          59776         213012          49747          0.927
1992         12736418          79014         295287          72236          0.830
1993          4588835         126703         450867          86589          0.928
1994         18665905         169128         408140          81118          0.894
1995          6880885         164182         594012          78780          0.786
1996          6339591         208294         548563          76357          0.903
1997          4841974         215818         443510          82736          0.700
1998          2601216         176120         358835          85352          0.765
1999         26139331         134279         247544          67766          1.011
2000          7350098          88559         676740          46227          1.185
2001          1227416         236920         795042          34744          0.801
2002          2498165         366434         594496          51232          0.566
2003          3145655         265282         360680          41340          0.307
2004          1823175         191414         264118          47313          0.354
2005         14036095         138855         189347          48201          0.394
2006          3158742          97746         376198          38712          0.684
2007          1778140         124748         326926          28969          0.567
2008           983693         171761         288849          29485          0.299
2009          5558834         148472         213344          32187          0.248
2010           729217         141578         311107          29736          0.254
2011           478482         185538         337084          34592          0.290
2012          1176779         243473         323724          35752          0.160
2013           949019         221690         271737          42395          0.158
2014                          174749

Saithe     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 3-6
1974           213007         617724         927735         298348          0.459
1975           127436         523572         853941         271583          0.537
1976           153714         382943         718105         343963          0.585
1977           112904         299300         588968         216394          0.674
1978           274790         263394         454544         155138          0.426
1979           235670         254200         468110         128361          0.411
1980           229601         236732         451520         131906          0.477
1981           244269         235494         517883         132278          0.462
1982           306734         196457         536313         174349          0.459
1983           438705         203185         533290         180044          0.636
1984           239180         181681         472790         200835          0.564
1985           212672         156237         450025         220871          0.602
1986           125072         143703         462235         198592          0.752
1987           138777         140486         377854         167517          0.660
1988           200425         133114         327375         135175          0.682
1989           166540         117903         279784         108878          0.613
1990           215505         110958         268669         103798          0.560
1991           164879         101996         280726         108045          0.559
1992           430013          97396         303702          99744          0.387
1993           191904         119606         366326         111491          0.597
1994           259391         114676         372466         109625          0.450
1995           117116         144340         541185         121810          0.589
1996           234666         142242         484738         114997          0.479
1997           163639         184477         461629         107325          0.340
1998           364033         182652         401500         106123          0.338
1999           304945         191504         420027         110717          0.436
2000           203861         188103         478137          91323          0.317
2001           160580         201703         531192          95042          0.251
2002           292916         215471         563719         115395          0.367
2003            99215         232675         510095         105566          0.324
2004           160552         278475         545129         104238          0.266
2005           116916         270036         519010         124532          0.272
2006           101665         263627         484851         125681          0.311
2007           207455         255136         430401         101212          0.252
2008            92095         254381         435777         119304          0.295
2009           142800         233495         390106         115747          0.406
2010           106006         210213         390967         101940          0.389
2011           201421         177876         360809          96219          0.429
2012           198720         167256         325916          77446          0.328
2013           196581         160404         332906          79684          0.314
2014                          167364

Herring    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974         14226725         309891         363324         266297          0.767
1975          4534817         174267         246812         292243          1.082
1976          3671193         141810         181750         166578          0.688
1977          6226536         107004         129991          55105          0.258
1978          4278386         106124         142024          13368          0.023
1979          9606573         159031         194610          25242          0.037
1980         25494025         210203         274263          77390          0.097
1981         37137817         298219         425339         176292          0.205
1982         45831579         373412         527136         269180          0.141
1983         35494559         543842         772011         417046          0.259
1984         38115183         807951        1064827         451919          0.327
1985         58702733         963775        1270837         639489          0.422
1986         70735975         962774        1342104         763657          0.379
1987         56392842        1191434        1670084         805789          0.360
1988         28789416        1598988        2017028        1033393          0.377
1989         25596611        1601242        1883156         814319          0.339
1990         22767733        1516952        1683784         678461          0.306
1991         23261255        1322905        1480358         670985          0.344
1992         37219746        1048126        1310821         713180          0.469
1993         35469602         744848        1152746         686920          0.628
1994         26298496         739052        1012011         596506          0.485
1995         29750996         756998        1023154         584270          0.485
1996         34118870         719503         982649         274741          0.228
1997         20093330         861882        1210150         264466          0.186
1998         18083442        1162492        1526099         392320          0.330
1999         53251579        1203996        1449980         363146          0.234
2000         31681262        1198290        1603310         388296          0.254
2001         91423759        1765642        2206485         370370          0.188
2002         39455731        2173070        2803031         393672          0.155
2003         22662845        2461899        3648186         489663          0.171
2004         25937191        2629879        3452570         586832          0.179
2005         17957193        2516343        2785166         665979          0.234
2006         20188501        1882477        2132576         512033          0.200
2007         24073057        1526552        1749920         408780          0.172
2008         20860755        1327835        1583435         258901          0.134
2009         25563963        1330912        1601742         168817          0.081
2010         25325987        1502434        1825187         188240          0.091
2011         21661445        1759030        2123348         225057          0.100
2012         25105990        1869582        2176486         439446          0.184
2013         24620435        1676519        1949108         512102          0.241
2014                         1455724

N. sandeel 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        297001513         294722        1109647         221428          0.254
1975        188688534         353476         851297         196895          0.368
1976        223738587         163691         502680         110630          0.269
1977        154331656         148431         661776         272801          0.571
1978        205147747         169110         529280         134108          0.365
1979        400451708         192138         691861         203784          0.125
1980        287410645         356469        1280649         303647          0.360
1981        324029987         331250         852543         152559          0.270
1982        294139759         236810         790625          87123          0.194
1983        345832361         270792         857070         108765          0.122
1984        180330387         396517        1143419         136871          0.145
1985        365752510         449339         824473         100216          0.146
1986        500812567         364837        1117351         444291          0.389
1987        243002095         407647        1359066         416581          0.309
1988        468587159         439269         741011         392385          0.434
1989        241436038         260755         970593         489637          0.802
1990        376871465         237150         581400         222788          0.690
1991        373585605         190860         836298         413384          0.536
1992        448298555         311074        1012458         269201          0.351
1993        372392243         433151        1188370         397257          0.399
1994        476138468         428888        1182188         610099          0.755
1995        269902149         329372        1303295         403954          0.389
1996        820940134         413040         950246         415992          0.284
1997        133307338         450734        2523589         676624          0.431
1998        171213533         972278        1494792         565733          0.556
1999        504949815         479826         878934         277802          0.338
2000        480319355         393950        1441050         282216          0.373
2001        258903021         429939        1338631         294976          0.288
2002        124894684         353184         870873         221646          0.390
2003        170366463         212081         454608         122612          0.592
2004         81547359          92234         365663          86120          0.366
2005        180148045          95822         258874          31153          0.163
2006        248895224         108709         434819          18921          0.038
2007        225272574         191679         698829         113196          0.141
2008        368486420         285771         788489          95680          0.217
2009        486465309         373971        1226550          33213          0.290
2010         67526977         546294        1722516          80998          0.075
2011         61282855         964906        1279041          95462          0.110
2012        194391171         678080         786418          47654          0.061
2013        267506704         403319         747015          44145          0.208
2014                          334302

S. sandeel 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        170211501         379297         659223         118686          0.165
1975         90450844         347207         971734         162975          0.236
1976        142832028         491288         863037         316126          0.452
1977        332215676         328774         835787         315514          0.458
1978        167997512         363745        1548989         666594          0.566
1979        186619556         624139        1326633         480651          0.797
1980        141081386         439551        1188573         420844          0.490
1981        505977356         462656         983508         375977          0.539
1982         50120975         311437        1777157         508801          0.902
1983        450081366         480773         716154         458038          0.533
1984        151153591         242559        1732169         558313          0.812
1985        525253215         514407        1061205         535643          0.921
1986        126774782         271910        1976135         483698          0.292
1987         79839854         886563        1413933         414631          0.195
1988        306192696         586149         829293         522940          0.489
1989        193363770         266231        1230789         554878          0.678
1990        214216172         370747         959509         384220          0.713
1991        248586614         268704         909654         454295          0.493
1992         58067510         342667        1161910         634138          0.579
1993        215710878         409333         651511         183655          0.393
1994        277060642         273407         991416         260280          0.458
1995         89823706         438417        1446904         470824          0.308
1996        458564114         687140        1069541         378696          0.751
1997         71272736         323176        1936704         534614          0.361
1998        115420639         934818        1324308         439948          0.577
1999        162645550         442454         814970         463485          0.864
2000        178325148         188980         690288         338904          0.589
2001        341774975         262755         842693         570853          1.053
2002         30563268         216905        1278196         631917          0.786
2003        194200329         387375         542035         177964          0.629
2004         93127234         149210         666083         266618          0.730
2005        174381870         186894         475174         142225          0.701
2006        134138720         142995         653087         266752          0.810
2007        327641831         195365         595788         114495          0.436
2008        142448272         229380        1118539         250448          0.601
2009        754947965         381157         824308         299760          1.001
2010         94862162         217815        2353926         332676          0.286
2011        119985681        1042208        1484455         340988          0.240
2012        278299235         539823         820157          53733          0.064
2013        696424753         362362        1019931         198547          0.447
2014                          361824

Nor. pout  

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        261573796         364285        1523983         732535          1.375
1975        471489111         327508         910157         508262          1.180
1976        374969374         353477        1293194         472608          0.933
1977        146038454         351273        1197863         383967          0.561
1978        201175518         316025         644651         253756          0.710
1979        249836734         217783         740377         339898          0.840
1980        145825398         345841        1051335         534650          0.837
1981        251985198         303986         576457         431928          0.526
1982        285591516         205325         666124         390197          0.697
1983        245156501         280033         830610         475746          0.658
1984        158740036         360658         903439         376555          0.851
1985        141558063         271645         527006         227450          0.634
1986        194440263         151681         397309         180376          0.373
1987         72277671         188408         535178         148840          0.404
1988        175251958         180994         275969         109294          0.219
1989        129950839         157163         468258         166559          0.349
1990        146390608         214569         439827         138719          0.491
1991        170041369         205554         503913         190194          0.627
1992        102681369         254460         613958         302365          0.417
1993         94473088         325493         547475         181256          0.578
1994        242387889         198492         403544         183585          0.480
1995        136786115         297566         947908         231772          0.226
1996        168006803         571246         849277         156079          0.197
1997         64401664         432849         878956         156938          0.169
1998        134799998         454341         591213          73974          0.152
1999        169918440         281694         572446          92276          0.244
2000        103511735         295515         697269         184969          0.193
2001        161033557         470694         681899          64372          0.065
2002         99993631         322507         618511          77109          0.128
2003         44818672         196715         368015          24574          0.074
2004         78588200         119339         190342          13488          0.045
2005        129569199          87156         219932             41          0.000
2006        129023190         129152         362250          46553          0.093
2007        155991087         218785         454149           5796          0.000
2008        191318730         265811         549911          34844          0.032
2009        162704557         345152         743527          45813          0.036
2010         70013280         548587         925077         131077          0.161
2011         99920996         444664         560273           6843          0.007
2012        271555357         215205         340966          26946          0.008
2013        107345837         223670         684556          82108          0.079
2014                          431015

Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        303262865         396466         717044         315810          0.779
1975        529561393         647570        1277595         588103          0.991
1976        203751954        1014898        2268743         713905          1.106
1977        199477013         621277        1163940         323051          0.860
1978        378477365         456756         931248         446368          0.892
1979        202235276         861555        1937739         489561          0.996
1980        208684690         663699        1253623         512107          0.858
1981        101233909         343652         719108         204361          0.730
1982         48910979         187440         378962         158900          0.512
1983         67054924         107027         197091          68460          0.894
1984        133066485          98272         218393          61703          0.600
1985         51022902         162424         355601          42501          0.369
1986        142013835          97813         178413          18087          0.843
1987         96469034         164677         381269          29574          0.131
1988        151995948         134133         245796          76322          0.157
1989        137928628         183706         394663          64581          0.057
1990        153450947         200333         384757          93064          0.884
1991         92757172         178575         407232          72979          0.458
1992        178487307         155028         309497         112068          0.378
1993        225012716         285627         618063         176566          0.707
1994        141507410         445570         965061         389314          0.698
1995         53071326         437333         830680         385586          0.942
1996         76477074          99835         284673          85386          0.511
1997        114562475         192763         404900          85228          0.593
1998        145204325         365802         521386         123260          0.994
1999        116608244         389707         647138         186632          0.690
2000        101341458         291466         603249         168498          0.980
2001        104029728         244910         467237         157465          1.082
2002         93373561         194670         453729         117763          1.177
2003         74146790         100501         380763         142687          0.928
2004        164376114         182441         316319          94622          1.132
2005         74972606         125357         645509         192689          0.633
2006         90357977         301263         452880         127209          0.918
2007         63581771         157291         416193          73381          0.927
2008        149723704         117280         321172          61380          1.010
2009        135700847         380808         588821         126159          0.631
2010        195834746         413650         647392         169483          0.703
2011        193693832         350815         722478         141995          0.693
2012        111565469         376300         540843          81876          0.583
2013        288695798         227267         371559          67806          0.253
2014                          667492

Plaice     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 3-6
1974           858276         260080         458861         106592          0.486
1975           676755         292584         523686          94724          0.569
1976           959252         268694         452276         100316          0.452
1977           816494         277240         454298         101907          0.491
1978           852695         264923         430153         101133          0.436
1979          1098144         269431         437873         129132          0.659
1980          1005596         238099         400593         133990          0.527
1981          2079662         227544         400863         130686          0.542
1982          1418010         229660         465830         148412          0.596
1983          1353742         231387         485262         129564          0.581
1984          1905525         246928         519392         141840          0.587
1985          4655167         247679         529423         150365          0.530
1986          2110189         288562         735696         149679          0.657
1987          2031428         327680         810916         133553          0.657
1988          1385382         339625         807173         127905          0.693
1989          1146746         317819         666352         142846          0.643
1990          1031676         301380         580954         140076          0.563
1991           894373         282565         520794         131778          0.683
1992           528274         247670         445518         111207          0.729
1993           511617         208161         357053         105985          0.694
1994           959926         176998         286386         104225          0.712
1995           905713         152818         263556          92442          0.645
1996          2942400         143465         278602          73335          0.761
1997          1057936         134672         378608          69595          0.866
1998           867145         188654         444526          54917          0.810
1999           987284         199513         436501          63790          0.817
2000           618127         146696         291474          69811          0.634
2001          1764299         166964         293854          62739          0.853
2002           492071         139470         293721          63460          0.808
2003          1117211         162149         288398          55143          0.806
2004           657627         134797         271987          53361          0.624
2005           632241         151269         269015          47478          0.667
2006          1071638         148983         256491          49130          0.632
2007           922690         137535         259773          41015          0.507
2008           963944         171430         301232          42445          0.416
2009          1220052         209506         364251          46714          0.353
2010          1733279         257479         437041          50786          0.325
2011          1025914         322168         542548          56730          0.305
2012          1473060         406502         633961          62364          0.259
2013          1058090         481135         741479          68881          0.216
2014                          613830

Sole       

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974            48117          40450          59410          17973          0.459
1975           110300          42358          57224          20738          0.466
1976           137108          42531          53575          17174          0.432
1977            50225          34445          54258          17741          0.392
1978            14458          38525          57435          20276          0.482
1979           149018          45309          52049          22597          0.474
1980           159540          35692          44522          15715          0.477
1981           144568          24714          50258          15341          0.478
1982           149841          33692          59792          21199          0.539
1983            76907          41570          66117          24875          0.508
1984            93532          44607          66320          26810          0.579
1985           147062          41740          55456          24228          0.547
1986            70207          36174          54439          18151          0.611
1987           521587          29902          50962          17355          0.497
1988           110355          36876          70144          21589          0.504
1989           222740          32967         101066          21791          0.411
1990            78897          92712         116603          35014          0.429
1991           390322          78452         109045          33498          0.473
1992            73264          78408         106479          29200          0.468
1993            52521          53655         104173          31486          0.519
1994            91927          74200          85526          32901          0.545
1995            54912          57076          67777          29747          0.515
1996           246231          37730          51419          22623          0.727
1997           112225          27014          45342          14663          0.611
1998            86593          20185          55193          20837          0.628
1999           116362          38944          56586          23429          0.562
2000            60101          36506          52475          22303          0.626
2001           188118          29472          46352          19821          0.542
2002            78264          31382          47572          16799          0.519
2003            43709          26249          52640          17778          0.516
2004            45967          38968          50478          18691          0.500
2005           202793          32890          40343          16160          0.541
2006            63844          25143          40327          11501          0.451
2007            69121          18369          45842          14586          0.445
2008            99777          38230          49211          13777          0.374
2009           177106          35330          48404          13727          0.407
2010           152350          33085          53531          12543          0.407
2011            37710          34738          63325          11478          0.318
2012            52448          49559          69710          11610          0.255
2013            84510          60151          67189          13138          0.220
2014                           54090

