Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974          6290386         212981         475142         201598          0.718
1975          5027429         193553         442165         188294          0.773
1976         17849414         171570         462316         200846          0.856
1977         14290275         146444         479258         175697          0.853
1978         14684036         144605         553669         257593          0.975
1979         10431061         137257         490713         255697          0.786
1980         11985989         164918         555746         268019          0.884
1981         34230503         173637         579023         315790          0.899
1982         15031839         166225         514021         286605          0.977
1983         11005599         139651         447080         249501          0.942
1984         10373962         122153         394784         204493          0.897
1985         10343405         125132         406342         196862          0.888
1986          7280748         120764         367998         170071          0.987
1987          6207835         109708         372567         185373          0.967
1988          5816306         115166         323582         174464          0.980
1989          5112302         102908         266918         128690          0.998
1990          5121406          96280         249775         106378          0.965
1991          5832487          89801         203185          93677          0.927
1992          3892811          82676         200944         100761          0.909
1993          6595463          84713         214717          97265          0.869
1994          5785792          94797         230737          96020          0.868
1995          5610516         107098         261142         129443          0.972
1996          7774431         105976         237006         105441          0.965
1997          4241200          93184         214795          94841          0.919
1998          5525032          95617         233773          84351          1.043
1999          9070854          84406         165748          64351          0.991
2000          3333953          60590         132436          61122          1.020
2001          4461332          61474         146800          52244          1.009
2002          4744849          65897         128569          54506          0.874
2003          7065454          58751         109518          41506          1.003
2004          4313225          45015          82796          29779          0.890
2005          7335127          38432          75261          30034          0.846
2006          4274077          35861          76495          21647          0.698
2007          5159731          45717          99974          21306          0.627
2008          4294396          60037         104391          22290          0.727
2009          4774881          54556          93665          28133          0.643
2010          3791572          56638         101043          33834          0.596
2011         10243639          67912         120200          29763          0.458
2012         10399987          84129         140944          30855          0.329
2013          7255405         104991         168607          28863          0.248
2014                          130353

Whiting    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974         24242012         503185         688402         173647          0.798
1975         27931048         429872         735013         157149          0.824
1976         28085330         501100         834565         183739          0.867
1977         32042030         601234         853500         168956          0.705
1978         33570771         485374         823470          87300          0.659
1979         23547281         511192         807802          96107          0.627
1980         18688853         557096         881007          91662          0.722
1981         27698503         596868         790220          77854          0.632
1982         14760213         446886         595042          71552          0.467
1983         14336470         339082         467709          82342          0.594
1984         19833979         270265         439049          80235          0.713
1985         18539924         300376         440140          51348          0.629
1986         21602484         296470         517746          57804          0.784
1987         18491958         346890         567234          57709          0.906
1988         24891794         377174         537810          46038          0.666
1989         19546693         331154         625213          39005          0.780
1990         17579291         398336         557729          34450          0.690
1991         12307919         354064         502180          43444          0.583
1992         17873079         306777         427811          43605          0.524
1993         16277410         294457         440341          44584          0.661
1994         14440637         281793         417984          41516          0.604
1995         13923202         284443         406979          39670          0.532
1996          6263194         271528         369488          34898          0.473
1997         14830622         226963         284125          32563          0.381
1998         22441727         184866         271602          24826          0.328
1999         25525349         178730         312220          24837          0.421
2000         22209515         212598         341683          25079          0.529
2001         22704567         268122         394281          22939          0.354
2002         13912611         294668         421764          17967          0.261
2003         16124234         276413         330840          12826          0.216
2004         14906329         212440         266106          11249          0.187
2005         13024148         152933         212340          13123          0.192
2006         12088373         131328         183562          16291          0.267
2007         20656250         121931         170600          15930          0.268
2008         13943512         121974         202929          14792          0.273
2009          9943108         147087         214358          17385          0.226
2010         16553718         180611         243304          16589          0.225
2011         16403676         209043         293990          15783          0.179
2012          7816695         236968         291745          14070          0.161
2013          9437954         204653         232599          17883          0.156
2014                          147902

Haddock    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974         50107298         336630         932853         147558          0.754
1975          5399996         243457        1344680         130705          0.902
1976          9356424         370248         951472         148049          0.856
1977         22991883         309536         545562         139372          0.807
1978         25106518         149574         425629          91525          0.844
1979         40606687         112937         501825          86378          0.887
1980         24055872         153251         873014          95490          0.813
1981         26088755         293183         850381         122430          0.581
