Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
18 1974  6.29039e+06 212981 475142 253989 239652 201598 199140 0.717923 153982
18 1975  5.02743e+06 193553 442165 242349 244413 188294 188084 0.772736 151214
18 1976  1.78494e+07 171570 462316 307102 253256 200846 187009 0.855674 231866
18 1977  1.42903e+07 146444 479258 349038 278430 175697 178364 0.853103 294194
18 1978  1.4684e+07 144605 553669 328585 361259 257593 273232 0.975397 273060
18 1979  1.04311e+07 137257 490713 430688 293267 255697 243112 0.786058 214731
18 1980  1.1986e+07 164918 555746 590678 336408 268019 253130 0.884348 271817
18 1981  3.42305e+07 173637 579023 393451 336216 315790 279829 0.89881 379892
18 1982  1.50318e+07 166225 514021 359372 331681 286605 256052 0.976605 281771
18 1983  1.10056e+07 139651 447080 281696 287337 249501 240390 0.941796 218962
18 1984  1.0374e+07 122153 394784 379974 259256 204493 183475 0.897347 213966
18 1985  1.03434e+07 125132 406342 247031 237804 196862 190370 0.888099 183212
18 1986  7.28075e+06 120764 367998 341047 232207 170071 158713 0.987161 182514
18 1987  6.20783e+06 109708 372567 244809 254842 185373 186913 0.967119 153617
18 1988  5.81631e+06 115166 323582 194798 213262 174464 180302 0.979813 120762
18 1989  5.1123e+06 102908 266918 202639 191708 128690 130867 0.997501 117817
18 1990  5.12141e+06 96280.4 249775 153021 153816 106378 105302 0.964759 102326
18 1991  5.83249e+06 89800.8 203185 121204 134829 93677.2 99643.5 0.927122 92476.7
18 1992  3.89281e+06 82675.5 200944 151755 153851 100761 104050 0.909453 93212.4
18 1993  6.59546e+06 84712.6 214717 129801 123253 97264.7 95126 0.86898 103379
18 1994  5.78579e+06 94796.6 230737 206539 127808 96019.9 97472 0.867548 110303
18 1995  5.61052e+06 107098 261142 187639 156487 129443 117621 0.972023 109954
18 1996  7.77443e+06 105976 237006 130846 143328 105441 113964 0.964691 108944
18 1997  4.2412e+06 93184.2 214795 132523 128418 94840.5 96077.5 0.918878 104425
18 1998  5.52503e+06 95616.9 233773 130506 118129 84351 79707.2 1.04311 95150.1
