Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
18 1999  9.07085e+06 84406.1 165748 84501.6 80962.9 64350.8 60682.3 0.990692 88294.5
18 2000  3.33395e+06 60590.1 132436 78245.4 86144.7 61121.6 65341.1 1.0203 63840.4
18 2001  4.46133e+06 61474.2 146800 84492.8 81532.1 52244.3 52092 1.0095 64388.2
18 2002  4.74485e+06 65896.9 128569 67818.4 72896.1 54505.7 57965.8 0.873578 58602.7
18 2003  7.06545e+06 58751.1 109518 61422.4 59103.9 41505.6 41813.6 1.00301 71199.7
18 2004  4.31322e+06 45015.1 82795.8 40740.6 42161 29779 29344.4 0.890287 54726.6
18 2005  7.33513e+06 38432.2 75260.8 41075.9 41444.1 30033.8 30550.9 0.845548 71342.1
18 2006  4.27408e+06 35860.9 76495.2 33593.4 32273 21646.6 20934.4 0.698148 64930.6
18 2007  5.15973e+06 45717.1 99973.6 48076.6 43987.5 21306.4 19804.4 0.627131 71512.5
18 2008  4.2944e+06 60037.3 104391 48887.3 51936.6 22290.2 23308.8 0.726746 54831.6
18 2009  4.77488e+06 54555.7 93664.7 44824.2 49426.1 28132.8 29707.3 0.64347 56697.4
18 2010  3.79157e+06 56638.4 101043 46897.5 50371.4 33834.1 34169.4 0.595733 55498.9
18 2011  1.02436e+07 67912.2 120200 42453.2 45721.1 29762.7 30918.8 0.458023 96991.7
18 2012  1.04e+07 84129.1 140944 41517.2 40831.2 30855.2 29711.7 0.329087 109526
18 2013  7.2554e+06 104991 168607 41686.7 38291.1 28863 26431.7 0.247575 101345
18 2014  NA 130353 NA NA NA NA NA NA NA
19 1974  2.4242e+07 503185 688402 323086 223032 173647 129442 0.797739 502289
19 1975  2.7931e+07 429872 735013 276621 243577 157149 148026 0.824196 568270
19 1976  2.80853e+07 501100 834565 326300 266962 183739 156768 0.866726 648199
19 1977  3.2042e+07 601234 853500 289804 235302 168956 141166 0.704655 650060
19 1978  3.35708e+07 485374 823470 188218 199636 87299.6 92704.4 0.659428 726044
19 1979  2.35473e+07 511192 807802 243570 203772 96107.1 84488.2 0.626936 562336
19 1980  1.86889e+07 557096 881007 223362 246994 91662.5 83741.5 0.72187 559253
19 1981  2.76985e+07 596868 790220 192132 207290 77853.7 75174.4 0.632327 626733
19 1982  1.47602e+07 446886 595042 140250 130251 71552.2 65642.5 0.467121 410476
19 1983  1.43365e+07 339082 467709 161318 132996 82342.3 72099.5 0.59359 318830
19 1984  1.9834e+07 270265 439049 145636 133955 80235.4 68795.5 0.713281 380145
19 1985  1.85399e+07 300376 440140 100328 123055 51347.8 57633.6 0.629305 345835
19 1986  2.16025e+07 296470 517746 161493 163430 57803.6 63507.7 0.783817 417728
19 1987  1.8492e+07 346890 567234 138735 175423 57709.2 60569.5 0.905882 398333
19 1988  2.48918e+07 377174 537810 133212 130134 46037.8 48733.2 0.666335 427938
19 1989  1.95467e+07 331154 625213 123532 166625 39005 45930 0.780418 487784
19 1990  1.75793e+07 398336 557729 152603 140774 34449.6 31460 0.690281 378012
19 1991  1.23079e+07 354064 502180 126730 133889 43444 52195.6 0.582792 322057
19 1992  1.78731e+07 306777 427811 108553 110901 43604.9 48278 0.524019 318472
19 1993  1.62774e+07 294457 440341 116913 125822 44583.5 49851.1 0.660663 325662
19 1994  1.44406e+07 281793 417984 101651 112053 41516.5 42711.9 0.604037 305388
19 1995  1.39232e+07 284443 406979 105494 103080 39669.7 42001.1 0.531742 297892
19 1996  6.26319e+06 271528 369488 76123 82709.8 34897.8 36278.5 0.472899 219415
19 1997  1.48306e+07 226963 284125 61435 59487.1 32562.7 30630.5 0.380584 244547
19 1998  2.24417e+07 184866 271602 47475.2 45904.7 24826.4 24246.3 0.327673 331798
19 1999  2.55253e+07 178730 312220 60846.2 56005.7 24836.7 24026.8 0.421009 401971
19 2000  2.22095e+07 212598 341683 63805.7 90338.6 25078.9 29980.7 0.529258 342908
19 2001  2.27046e+07 268122 394281 45241.7 71768.6 22938.5 31853.4 0.354497 372008
19 2002  1.39126e+07 294668 421764 46450.4 51153.7 17967 18472.5 0.261154 331233
19 2003  1.61242e+07 276413 330840 45640.5 36867.2 12826.4 12676.5 0.21584 286701
19 2004  1.49063e+07 212440 266106 33557.5 29758.6 11249.1 10592.7 0.186824 262570
19 2005  1.30241e+07 152933 212340 28879.6 25425.6 13123.4 12870.6 0.191697 229034
19 2006  1.20884e+07 131328 183562 37038.2 31586 16291 14465.6 0.267085 200847
19 2007  2.06563e+07 121931 170600 27125.1 24467 15929.9 15202.8 0.268311 273142
19 2008  1.39435e+07 121974 202929 28242.5 28330.1 14791.6 14208 0.27259 244763
19 2009  9.94311e+06 147087 214358 26123.2 28536.5 17385.2 16762.4 0.225942 196075
19 2010  1.65537e+07 180611 243304 29800.6 33473.8 16588.6 17728.9 0.224841 257145
19 2011  1.64037e+07 209043 293990 30819.2 30772.5 15782.5 15463.4 0.178937 300866
19 2012  7.8167e+06 236968 291745 25407.3 26656.8 14070 14690.2 0.160573 214188
19 2013  9.43795e+06 204653 232599 25310.8 22833.4 17882.5 16127.9 0.156072 189813
19 2014  NA 147902 NA NA NA NA NA NA NA
20 1974  5.01073e+07 336630 932853 396271 307197 147558 148845 0.753788 1.05764e+06
20 1975  5.4e+06 243457 1.34468e+06 494728 364315 130705 114640 0.901604 943705
20 1976  9.35642e+06 370248 951472 402849 388506 148049 136804 0.855934 455262
20 1977  2.29919e+07 309536 545562 240340 237091 139372 145092 0.807209 476626
20 1978  2.51065e+07 149574 425629 146706 132371 91525.2 77856.7 0.844093 555408
20 1979  4.06067e+07 112937 501825 149064 149812 86378 76318 0.887455 789034
20 1980  2.40559e+07 153251 873014 202451 220441 95489.5 87397.5 0.812716 869378
20 1981  2.60888e+07 293183 850381 226485 241609 122430 120681 0.581351 716883
20 1982  1.45117e+07 380741 891333 256108 224988 174349 147505 0.54391 612139
20 1983  1.98677e+07 307763 626416 253230 242346 175089 161228 0.708731 441701
20 1984  9.24105e+06 250592 695151 247090 261782 145445 148802 0.832159 420242
20 1985  8.07828e+06 249384 594616 247098 257693 167701 176724 0.777073 288477
20 1986  2.01286e+07 245676 476915 223727 204254 170975 153905 0.829102 385539
20 1987  3.52336e+06 185927 534643 194995 202710 122420 121438 0.935784 263159
20 1988  2.43677e+06 186667 411489 179974 188219 108523 109955 0.926673 134618
20 1989  5.12476e+06 153697 247731 127719 122590 84155.3 81810.7 0.888192 120362
20 1990  8.85306e+06 79694.4 154571 86747.9 74801.9 57049.3 51939.7 0.849244 156393
20 1991  9.07647e+06 59776.3 213012 97264.4 83247 49746.7 45421.1 0.926877 207790
20 1992  1.27364e+07 79014.5 295287 135184 106578 72236 56534.9 0.829955 273028
20 1993  4.58883e+06 126703 450867 180218 170132 86589.5 80424.5 0.927967 242885
20 1994  1.86659e+07 169128 408140 169436 186931 81117.9 87843.7 0.894344 303066
20 1995  6.88088e+06 164182 594012 168928 175080 78779.9 77635.7 0.78575 374727
20 1996  6.33959e+06 208294 548563 204683 238972 76356.8 80429.2 0.902998 222857
20 1997  4.84197e+06 215818 443510 170009 172427 82736.3 84625.1 0.699626 179116
20 1998  2.60122e+06 176120 358835 161929 150438 85352.2 80583.4 0.764529 126674
20 1999  2.61393e+07 134279 247544 123489 134145 67766 70606 1.01141 298551
20 2000  7.3501e+06 88559.5 676740 126823 226099 46227.2 49972.4 1.18483 437222
20 2001  1.22742e+06 236920 795042 173366 293651 34744.2 47638.3 0.80084 203026
20 2002  2.49817e+06 366434 594496 155333 215171 51232.1 68836.8 0.565539 112235
20 2003  3.14565e+06 265282 360680 74350.3 83707.9 41339.7 45804.8 0.306664 99632.4
20 2004  1.82318e+06 191414 264118 72513.1 64006.2 47312.7 41970.9 0.353917 83184.5
20 2005  1.40361e+07 138855 189347 64115.2 52447.9 48200.7 36887.2 0.394048 194799
20 2006  3.15874e+06 97745.6 376198 66967.2 85162.6 38712.2 39229.3 0.684194 270937
20 2007  1.77814e+06 124748 326926 67425.3 95799.5 28969.3 33551.6 0.566537 114346
20 2008  983693 171761 288849 47787 61500.8 29485.2 38443.5 0.298844 67449.8
20 2009  5.55883e+06 148472 213344 47952.6 42689 32187.4 27754.8 0.247972 87872.1
20 2010  729217 141578 311107 45377.5 41873.4 29735.6 29628.7 0.254424 116698
20 2011  478482 185538 337084 49689.9 64520.6 34591.7 35860.5 0.290382 73809.8
20 2012  1.17678e+06 243473 323724 43194.3 42967.3 35751.8 35551.2 0.159756 56638.9
20 2013  949019 221690 271737 46789.7 35656 42395.2 32846.4 0.157804 59838.9
20 2014  NA 174749 NA NA NA NA NA NA NA
21 1974  213007 617724 927735 298348 282495 298348 282495 0.458833 0
21 1975  127436 523572 853941 271583 277950 271583 277950 0.536714 0
21 1976  153714 382943 718105 343963 257473 343963 257473 0.585179 0
21 1977  112904 299300 588968 216394 246261 216394 246261 0.674079 0
21 1978  274790 263394 454544 155138 133228 155138 133228 0.426026 0
21 1979  235670 254200 468110 128361 130069 128361 130069 0.410819 0
21 1980  229601 236732 451520 131906 137331 131906 137331 0.477264 0
21 1981  244269 235494 517883 132278 148150 132278 148150 0.46173 0
21 1982  306734 196457 536313 174349 161242 174349 161242 0.459483 0
21 1983  438705 203185 533290 180044 210488 180044 210488 0.636335 0
21 1984  239180 181681 472790 200835 161642 200835 161642 0.564467 0
21 1985  212672 156237 450025 220871 155596 220871 155596 0.601745 0
21 1986  125072 143703 462235 198592 198766 198592 198766 0.75206 0
21 1987  138777 140486 377854 167517 154402 167517 154402 0.660157 0
21 1988  200425 133114 327375 135175 140570 135175 140570 0.682318 0
21 1989  166540 117903 279784 108878 103802 108878 103802 0.613467 0
21 1990  215505 110958 268669 103798 88238.9 103798 88238.9 0.560051 0
21 1991  164879 101996 280726 108045 93046.1 108045 93046.1 0.558564 0
21 1992  430013 97396.5 303702 99744.1 69498.1 99744.1 69498.1 0.386501 0
21 1993  191904 119606 366326 111491 122495 111491 122495 0.596822 0
21 1994  259391 114676 372466 109625 93995.8 109625 93995.8 0.450191 0
21 1995  117116 144340 541185 121810 162868 121810 162868 0.589326 0
21 1996  234666 142242 484738 114997 143858 114997 143858 0.478663 0
21 1997  163639 184477 461629 107325 111209 107325 111209 0.340474 0
21 1998  364033 182652 401500 106123 99055.1 106123 99055.1 0.338017 0
21 1999  304945 191504 420027 110717 120746 110717 120746 0.436485 0
21 2000  203861 188103 478137 91322.6 98796.2 91322.6 98796.2 0.317478 0
21 2001  160580 201703 531192 95042 87155.7 95042 87155.7 0.251351 0
21 2002  292916 215471 563719 115395 136499 115395 136499 0.366849 0
21 2003  99214.8 232675 510095 105566 123565 105566 123565 0.324457 0
21 2004  160552 278475 545129 104238 111996 104238 111996 0.266315 0
21 2005  116916 270036 519010 124532 108655 124532 108655 0.271635 0
21 2006  101665 263627 484851 125681 120205 125681 120205 0.310861 0
21 2007  207455 255136 430401 101212 89938.1 101212 89938.1 0.251745 0
21 2008  92095.1 254381 435777 119304 102915 119304 102915 0.295209 0
21 2009  142800 233495 390106 115747 119850 115747 119850 0.406213 0
21 2010  106006 210213 390967 101940 116966 101940 116966 0.388984 0
21 2011  201421 177876 360809 96219.4 108180 96219.4 108180 0.428734 0
21 2012  198720 167256 325916 77445.9 73968.6 77445.9 73968.6 0.327664 0
21 2013  196581 160404 332906 79684.1 70996.7 79684.1 70996.7 0.314152 0
21 2014  NA 167364 NA NA NA NA NA NA NA
22 1974  1.42267e+07 309891 363324 266297 304244 266297 304244 0.76669 165943
22 1975  4.53482e+06 174267 246812 292243 263778 292243 263778 1.08202 100445
22 1976  3.67119e+06 141810 181750 166578 135583 166578 135583 0.687779 79211.9
22 1977  6.22654e+06 107004 129991 55104.8 46710.8 55104.8 46710.8 0.257898 80868.5
22 1978  4.27839e+06 106124 142024 13367.6 9100.18 13367.6 9100.18 0.0231176 86424.7
22 1979  9.60657e+06 159031 194610 25241.5 20743.5 25241.5 20743.5 0.0374441 105761
22 1980  2.5494e+07 210203 274263 77390.3 98022.5 77390.3 98022.5 0.0967137 213356
22 1981  3.71378e+07 298219 425339 176292 219141 176292 219141 0.204508 348118
22 1982  4.58316e+07 373412 527136 269180 242385 269180 242385 0.141369 430613
22 1983  3.54946e+07 543842 772011 417046 309950 417046 309950 0.258865 471158
22 1984  3.81152e+07 807951 1.06483e+06 451919 486190 451919 486190 0.326825 513769
22 1985  5.87027e+07 963775 1.27084e+06 639489 660965 639489 660965 0.421959 632537
22 1986  7.0736e+07 962774 1.3421e+06 763657 741539 763657 741539 0.379427 744242
22 1987  5.63928e+07 1.19143e+06 1.67008e+06 805789 702160 805789 702160 0.360045 829243
22 1988  2.87894e+07 1.59899e+06 2.01703e+06 1.03339e+06 874338 1.03339e+06 874338 0.377335 741725
22 1989  2.55966e+07 1.60124e+06 1.88316e+06 814319 730566 814319 730566 0.33928 531908
22 1990  2.27677e+07 1.51695e+06 1.68378e+06 678461 610901 678461 610901 0.305852 470606
22 1991  2.32613e+07 1.32291e+06 1.48036e+06 670985 645654 670985 645654 0.343813 387820
22 1992  3.72197e+07 1.04813e+06 1.31082e+06 713180 725728 713180 725728 0.469209 397577
22 1993  3.54696e+07 744848 1.15275e+06 686920 769180 686920 769180 0.628085 409708
22 1994  2.62985e+07 739052 1.01201e+06 596506 634386 596506 634386 0.484635 366015
22 1995  2.9751e+07 756998 1.02315e+06 584270 610680 584270 610680 0.484709 397596
22 1996  3.41189e+07 719503 982649 274741 271460 274741 271460 0.227767 448984
22 1997  2.00933e+07 861882 1.21015e+06 264466 300033 264466 300033 0.186108 492020
22 1998  1.80834e+07 1.16249e+06 1.5261e+06 392320 441663 392320 441663 0.330043 533847
22 1999  5.32516e+07 1.204e+06 1.44998e+06 363146 323274 363146 323274 0.234304 609770
22 2000  3.16813e+07 1.19829e+06 1.60331e+06 388296 386729 388296 386729 0.25371 591433
22 2001  9.14238e+07 1.76564e+06 2.20648e+06 370370 397296 370370 397296 0.187778 1.06203e+06
22 2002  3.94557e+07 2.17307e+06 2.80303e+06 393672 385768 393672 385768 0.155174 1.34768e+06
22 2003  2.26628e+07 2.4619e+06 3.64819e+06 489663 516567 489663 516567 0.171441 1.35964e+06
22 2004  2.59372e+07 2.62988e+06 3.45257e+06 586832 559761 586832 559761 0.179223 1.21613e+06
22 2005  1.79572e+07 2.51634e+06 2.78517e+06 665979 641799 665979 641799 0.233941 937789
22 2006  2.01885e+07 1.88248e+06 2.13258e+06 512033 444254 512033 444254 0.199917 680106
22 2007  2.40731e+07 1.52655e+06 1.74992e+06 408780 319201 408780 319201 0.17209 648046
22 2008  2.08608e+07 1.32784e+06 1.58343e+06 258901 235002 258901 235002 0.1343 594212
22 2009  2.5564e+07 1.33091e+06 1.60174e+06 168817 158398 168817 158398 0.0805454 518838
22 2010  2.5326e+07 1.50243e+06 1.82519e+06 188240 188488 188240 188488 0.0911504 594858
22 2011  2.16614e+07 1.75903e+06 2.12335e+06 225057 221373 225057 221373 0.0996788 751200
22 2012  2.5106e+07 1.86958e+06 2.17649e+06 439446 424373 439446 424373 0.183503 727660
22 2013  2.46204e+07 1.67652e+06 1.94911e+06 512102 486724 512102 486724 0.240635 645632
22 2014  NA 1.45572e+06 NA NA NA NA NA NA NA
23 1974  2.97002e+08 294722 1.10965e+06 221428 184019 221428 184019 0.253802 1.27491e+06
23 1975  1.88689e+08 353476 851297 196895 197877 196895 197877 0.368265 865041
23 1976  2.23739e+08 163691 502680 110630 95724.8 110630 95724.8 0.269496 648033
23 1977  1.54332e+08 148431 661776 272801 213684 272801 213684 0.570822 587156
23 1978  2.05148e+08 169110 529280 134108 135092 134108 135092 0.364927 586166
23 1979  4.00452e+08 192138 691861 203784 69476.2 203784 69476.2 0.1248 1.03808e+06
23 1980  2.87411e+08 356469 1.28065e+06 303647 272535 303647 272535 0.360182 1.31851e+06
23 1981  3.2403e+08 331250 852543 152559 163093 152559 163093 0.269999 1.11862e+06
23 1982  2.9414e+08 236810 790625 87123.4 106403 87123.4 106403 0.193529 989843
23 1983  3.45832e+08 270792 857070 108765 78389.7 108765 78389.7 0.122414 1.05817e+06
23 1984  1.8033e+08 396517 1.14342e+06 136871 107194 136871 107194 0.144623 1.0437e+06
23 1985  3.65753e+08 449339 824473 100216 106472 100216 106472 0.146168 1.03165e+06
23 1986  5.00813e+08 364837 1.11735e+06 444291 278599 444291 278599 0.388735 1.39268e+06
23 1987  2.43002e+08 407647 1.35907e+06 416581 262786 416581 262786 0.308852 1.30539e+06
23 1988  4.68587e+08 439269 741011 392385 271746 392385 271746 0.434467 1.14925e+06
23 1989  2.41436e+08 260755 970593 489637 427402 489637 427402 0.801726 836467
23 1990  3.76871e+08 237150 581400 222788 288827 222788 288827 0.68997 783183
23 1991  3.73586e+08 190860 836298 413384 324773 413384 324773 0.53642 938308
23 1992  4.48299e+08 311074 1.01246e+06 269201 261243 269201 261243 0.350788 1.22602e+06
23 1993  3.72392e+08 433151 1.18837e+06 397257 291608 397257 291608 0.399018 1.17424e+06
23 1994  4.76138e+08 428888 1.18219e+06 610099 516300 610099 516300 0.754616 1.16966e+06
23 1995  2.69902e+08 329372 1.30329e+06 403954 321082 403954 321082 0.38863 1.19661e+06
23 1996  8.2094e+08 413040 950246 415992 239958 415992 239958 0.283619 1.5489e+06
23 1997  1.33307e+08 450734 2.52359e+06 676624 485010 676624 485010 0.430923 1.45679e+06
23 1998  1.71214e+08 972278 1.49479e+06 565733 446515 565733 446515 0.555841 853017
23 1999  5.0495e+08 479826 878934 277802 274618 277802 274618 0.338165 1.18495e+06
23 2000  4.80319e+08 393950 1.44105e+06 282216 258987 282216 258987 0.373371 1.64035e+06
23 2001  2.58903e+08 429939 1.33863e+06 294976 184869 294976 184869 0.288224 1.32595e+06
23 2002  1.24895e+08 353184 870873 221646 163331 221646 163331 0.390308 761298
23 2003  1.70366e+08 212081 454608 122612 131050 122612 131050 0.591952 530762
23 2004  8.15474e+07 92234.1 365663 86119.5 69117.7 86119.5 69117.7 0.366313 362688
23 2005  1.80148e+08 95822 258874 31152.6 28892.5 31152.6 28892.5 0.163365 471269
23 2006  2.48895e+08 108709 434819 18921.5 11261 18921.5 11261 0.0382641 694718
23 2007  2.25273e+08 191679 698829 113196 69058.1 113196 69058.1 0.140913 793092
23 2008  3.68486e+08 285771 788489 95679.9 119202 95679.9 119202 0.216746 956468
23 2009  4.86465e+08 373971 1.22655e+06 33213.1 217055 33213.1 217055 0.290149 1.25666e+06
23 2010  6.7527e+07 546294 1.72252e+06 80998.1 95606.9 80998.1 95606.9 0.0749491 1.0486e+06
23 2011  6.12829e+07 964906 1.27904e+06 95461.8 92275 95461.8 92275 0.109635 790899
23 2012  1.94391e+08 678080 786418 47653.8 29528.3 47653.8 29528.3 0.060661 717120
23 2013  2.67507e+08 403319 747015 44145.4 74048 44145.4 74048 0.208147 739195
23 2014  NA 334302 NA NA NA NA NA NA NA
24 1974  1.70212e+08 379297 659223 118686 88422.4 118686 88422.4 0.164526 342404
24 1975  9.04508e+07 347207 971734 162975 155561 162975 155561 0.23617 428211
24 1976  1.42832e+08 491288 863037 316126 268186 316126 268186 0.451683 369502
24 1977  3.32216e+08 328774 835787 315514 247038 315514 247038 0.458424 472854
24 1978  1.67998e+08 363745 1.54899e+06 666594 471136 666594 471136 0.566384 599301
24 1979  1.8662e+08 624139 1.32663e+06 480651 605092 480651 605092 0.797192 385348
24 1980  1.41081e+08 439551 1.18857e+06 420844 346482 420844 346482 0.490028 513368
24 1981  5.05977e+08 462656 983508 375977 321378 375977 321378 0.539237 804630
24 1982  5.0121e+07 311437 1.77716e+06 508801 702245 508801 702245 0.901524 653363
24 1983  4.50081e+08 480773 716154 458038 259812 458038 259812 0.532813 543068
24 1984  1.51154e+08 242559 1.73217e+06 558313 621485 558313 621485 0.811949 761902
24 1985  5.25253e+08 514407 1.0612e+06 535643 512670 535643 512670 0.921018 673871
24 1986  1.26775e+08 271910 1.97614e+06 483698 302713 483698 302713 0.291905 1.03414e+06
24 1987  7.98399e+07 886563 1.41393e+06 414631 222557 414631 222557 0.194592 728366
24 1988  3.06193e+08 586149 829293 522940 338263 522940 338263 0.488542 512903
24 1989  1.93364e+08 266231 1.23079e+06 554878 373232 554878 373232 0.677665 663464
24 1990  2.14216e+08 370747 959509 384220 376376 384220 376376 0.712549 528899
24 1991  2.48587e+08 268704 909654 454295 356337 454295 356337 0.493001 555825
24 1992  5.80675e+07 342667 1.16191e+06 634138 482700 634138 482700 0.579383 470454
24 1993  2.15711e+08 409333 651511 183655 229898 183655 229898 0.393094 362933
24 1994  2.77061e+08 273407 991416 260280 263704 260280 263704 0.457856 524279
24 1995  8.98237e+07 438417 1.4469e+06 470824 336720 470824 336720 0.308112 635954
24 1996  4.58564e+08 687140 1.06954e+06 378696 479009 378696 479009 0.751349 536929
24 1997  7.12727e+07 323176 1.9367e+06 534614 446872 534614 446872 0.361237 805147
24 1998  1.15421e+08 934818 1.32431e+06 439948 499675 439948 499675 0.577263 431088
24 1999  1.62646e+08 442454 814970 463485 345883 463485 345883 0.863866 348802
24 2000  1.78325e+08 188980 690288 338904 229905 338904 229905 0.588638 371645
24 2001  3.41775e+08 262755 842693 570853 364327 570853 364327 1.05255 490702
24 2002  3.05633e+07 216905 1.2782e+06 631917 456217 631917 456217 0.785689 490159
24 2003  1.942e+08 387375 542035 177964 165239 177964 165239 0.628898 343932
24 2004  9.31272e+07 149210 666083 266618 206110 266618 206110 0.730238 341064
24 2005  1.74382e+08 186894 475174 142225 167653 142225 167653 0.700868 321880
24 2006  1.34139e+08 142995 653087 266752 229725 266752 229725 0.809948 370887
24 2007  3.27642e+08 195365 595788 114495 132889 114495 132889 0.435946 562314
24 2008  1.42448e+08 229380 1.11854e+06 250448 315707 250448 315707 0.600928 624267
24 2009  7.54948e+08 381157 824308 299760 382174 299760 382174 1.00149 884991
24 2010  9.48622e+07 217815 2.35393e+06 332676 317015 332676 317015 0.286394 1.31171e+06
24 2011  1.19986e+08 1.04221e+06 1.48445e+06 340988 250765 340988 250765 0.240468 802252
24 2012  2.78299e+08 539823 820157 53733.4 39997.2 53733.4 39997.2 0.0639641 724263
24 2013  6.96425e+08 362362 1.01993e+06 198547 188093 198547 188093 0.447424 1.10768e+06
24 2014  NA 361824 NA NA NA NA NA NA NA
25 1974  2.61574e+08 364285 1.52398e+06 732535 885943 732535 885943 1.37482 1.91975e+06
25 1975  4.71489e+08 327508 910157 508262 524152 508262 524152 1.17993 2.14435e+06
25 1976  3.74969e+08 353477 1.29319e+06 472608 509356 472608 509356 0.932598 2.25803e+06
25 1977  1.46038e+08 351273 1.19786e+06 383967 357050 383967 357050 0.560839 1.57602e+06
25 1978  2.01176e+08 316025 644651 253756 261878 253756 261878 0.710027 1.06654e+06
25 1979  2.49837e+08 217783 740377 339898 347472 339898 347472 0.839534 1.23794e+06
25 1980  1.45825e+08 345841 1.05134e+06 534650 477865 534650 477865 0.836889 1.33462e+06
25 1981  2.51985e+08 303986 576457 431928 198308 431928 198308 0.526114 1.29669e+06
25 1982  2.85592e+08 205325 666124 390197 273770 390197 273770 0.69669 1.48825e+06
25 1983  2.45157e+08 280033 830610 475746 350435 475746 350435 0.657692 1.39583e+06
25 1984  1.5874e+08 360658 903439 376555 368589 376555 368589 0.850971 1.23483e+06
25 1985  1.41558e+08 271645 527006 227450 204272 227450 204272 0.633862 882731
25 1986  1.9444e+08 151681 397309 180376 112490 180376 112490 0.372826 1.00036e+06
25 1987  7.22777e+07 188408 535178 148840 129620 148840 129620 0.404485 758018
25 1988  1.75252e+08 180994 275969 109294 61199.6 109294 61199.6 0.219001 805534
25 1989  1.29951e+08 157163 468258 166559 114298 166559 114298 0.348851 866181
25 1990  1.46391e+08 214569 439827 138719 155628 138719 155628 0.490657 798094
25 1991  1.70041e+08 205554 503913 190194 258858 190194 258858 0.627083 895513
25 1992  1.02681e+08 254460 613958 302365 220102 302365 220102 0.417454 791657
25 1993  9.44731e+07 325493 547475 181256 241394 181256 241394 0.577755 665573
25 1994  2.42388e+08 198492 403544 183585 179431 183585 179431 0.480028 951597
25 1995  1.36786e+08 297566 947908 231772 170773 231772 170773 0.226228 1.30452e+06
25 1996  1.68007e+08 571246 849277 156079 167465 156079 167465 0.19747 1.09973e+06
25 1997  6.44017e+07 432849 878956 156938 110173 156938 110173 0.168938 947605
25 1998  1.348e+08 454341 591213 73974 79079 73974 79079 0.151538 867003
25 1999  1.69918e+08 281694 572446 92276.5 107993 92276.5 107993 0.243889 968425
25 2000  1.03512e+08 295515 697269 184969 121539 184969 121539 0.193333 889335
25 2001  1.61034e+08 470694 681899 64372.2 44838.3 64372.2 44838.3 0.0645578 1.11838e+06
25 2002  9.99936e+07 322507 618511 77108.7 61956.8 77108.7 61956.8 0.127779 943187
25 2003  4.48187e+07 196715 368015 24573.6 20741.8 24573.6 20741.8 0.0739469 529629
25 2004  7.85882e+07 119339 190342 13487.7 8567.24 13487.7 8567.24 0.0453253 451893
25 2005  1.29569e+08 87156.2 219932 41.443 0 41.443 0 0 667352
25 2006  1.29023e+08 129152 362250 46552.5 32517.8 46552.5 32517.8 0.0932246 791895
25 2007  1.55991e+08 218785 454149 5796.11 0 5796.11 0 0 964361
25 2008  1.91319e+08 265811 549911 34843.6 17858.7 34843.6 17858.7 0.0315263 1.10929e+06
25 2009  1.62705e+08 345152 743527 45812.8 28777.2 45812.8 28777.2 0.0356363 1.11029e+06
25 2010  7.00133e+07 548587 925077 131077 156023 131077 156023 0.161097 1.01967e+06
25 2011  9.9921e+07 444664 560273 6842.52 3921.39 6842.52 3921.39 0.00748486 848368
